Rk,Team,Date,Won,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Match Report
1,Lecce,2025-04-06,41,,Venezia,it Serie A,D 1-1,1,1,0,50,1,0,0,0,41,17,70.7,Match Report
2,Valladolid,2024-11-22,39,@,Getafe,es La Liga,L 0-2,0,2,-2,43,0,0,0,0,39,32,54.9,Match Report
3,Union Berlin,2025-03-02,38,,Holstein Kiel,de Bundesliga,L 0-1,0,1,-1,52,0,0,0,0,38,32,54.3,Match Report
4,Bochum,2024-12-22,38,,Heidenheim,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,38,22,63.3,Match Report
5,Brentford,2024-11-09,37,,Bournemouth,eng Premier League,W 3-2,3,2,+1,51,3,0,0,0,37,18,67.3,Match Report
6,Getafe,2024-09-28,36,,Alavés,es La Liga,W 2-0,2,0,+2,46,1,1,1,0,36,27,57.1,Match Report
7,Inter,2025-02-22,35,,Genoa,it Serie A,W 1-0,1,0,+1,62,1,0,0,0,35,17,67.3,Match Report
8,Hoffenheim,2025-03-09,34,,Heidenheim,de Bundesliga,D 1-1,1,1,0,55,1,0,0,0,34,19,64.2,Match Report
9,Hoffenheim,2024-11-02,34,,St. Pauli,de Bundesliga,L 0-2,0,2,-2,67,0,0,0,0,34,24,58.6,Match Report
10,Bochum,2025-03-01,34,,Hoffenheim,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,34,29,54.0,Match Report
11,Bochum,2025-02-09,34,@,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,52,2,0,0,0,34,21,61.8,Match Report
12,Cagliari,2024-09-20,34,,Empoli,it Serie A,L 0-2,0,2,-2,61,0,0,0,0,34,28,54.8,Match Report
13,Wolfsburg,2024-10-05,33,@,Bochum,de Bundesliga,W 3-1,3,1,+2,42,3,0,1,1,33,30,52.4,Match Report
14,Union Berlin,2025-01-19,33,,Mainz 05,de Bundesliga,W 2-1,2,1,+1,34,1,1,1,0,33,25,56.9,Match Report
