Rk,Team,Date,SoTA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SoTA,Saves,Save%,Match Report
1,Valladolid,2025-02-23,16,@,Athletic Club,es La Liga,L 1-7,1,7,-6,43,1,0,0,0,16,9,56.3,Match Report
2,Leicester City,2024-09-28,16,@,Arsenal,eng Premier League,L 2-4,2,4,-2,26,2,0,0,0,16,13,75.0,Match Report
3,Augsburg,2024-11-22,14,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,20,0,0,0,0,14,11,92.9,Match Report
4,Espanyol,2024-09-21,14,@,Real Madrid,es La Liga,L 1-4,1,4,-3,27,0,0,0,0,14,10,78.6,Match Report
5,Las Palmas,2025-01-19,13,@,Real Madrid,es La Liga,L 1-4,1,4,-3,39,1,0,0,0,13,9,76.9,Match Report
6,Angers,2025-03-02,13,,Toulouse,fr Ligue 1,L 0-4,0,4,-4,46,0,0,0,0,13,9,69.2,Match Report
7,West Ham,2024-12-29,13,,Liverpool,eng Premier League,L 0-5,0,5,-5,46,0,0,0,0,13,8,61.5,Match Report
8,Saint-Étienne,2025-02-15,13,@,Marseille,fr Ligue 1,L 1-5,1,5,-4,30,1,0,0,0,13,8,69.2,Match Report
9,Saint-Étienne,2025-02-01,13,@,Lille,fr Ligue 1,L 1-4,1,4,-3,33,0,1,1,0,13,9,76.9,Match Report
10,Eint Frankfurt,2024-10-06,13,,Bayern Munich,de Bundesliga,D 3-3,3,3,0,26,3,0,0,0,13,10,76.9,Match Report
11,Holstein Kiel,2024-09-14,12,,Bayern Munich,de Bundesliga,L 1-6,1,6,-5,30,1,0,0,0,12,7,58.3,Match Report
12,Southampton,2025-02-22,12,,Brighton,eng Premier League,L 0-4,0,4,-4,50,0,0,0,0,12,8,66.7,Match Report
13,Bournemouth,2024-09-21,12,@,Liverpool,eng Premier League,L 0-3,0,3,-3,42,0,0,0,0,12,9,75.0,Match Report
14,Werder Bremen,2025-02-07,12,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,25,0,0,0,0,12,9,91.7,Match Report
15,Angers,2024-11-09,12,,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,30,2,0,0,0,12,8,66.7,Match Report
16,Wolves,2024-10-05,12,@,Brentford,eng Premier League,L 3-5,3,5,-2,56,3,0,0,0,12,7,66.7,Match Report
17,Freiburg,2024-12-21,12,@,Leverkusen,de Bundesliga,L 1-5,1,5,-4,33,1,0,0,0,12,6,58.3,Match Report
18,Ipswich Town,2024-10-05,12,@,West Ham,eng Premier League,L 1-4,1,4,-3,48,1,0,0,0,12,8,66.7,Match Report
19,Strasbourg,2024-08-30,12,@,Lyon,fr Ligue 1,L 3-4,3,4,-1,52,3,0,0,0,12,8,66.7,Match Report
20,Brentford,2024-11-04,12,@,Fulham,eng Premier League,L 1-2,1,2,-1,32,1,0,0,0,12,10,83.3,Match Report
21,Saint-Étienne,2024-09-20,12,@,Nice,fr Ligue 1,L 0-8,0,8,-8,41,0,0,0,0,12,5,41.7,Match Report
22,Hellas Verona,2024-09-29,11,@,Como,it Serie A,L 2-3,2,3,-1,29,1,1,1,0,11,8,72.7,Match Report
23,Valladolid,2024-08-31,11,@,Barcelona,es La Liga,L 0-7,0,7,-7,30,0,0,0,0,11,4,36.4,Match Report
24,Arsenal,2024-09-22,11,@,Manchester City,eng Premier League,D 2-2,2,2,0,23,2,0,0,0,11,9,81.8,Match Report
25,Montpellier,2025-01-17,11,,Monaco,fr Ligue 1,W 2-1,2,1,+1,33,2,0,0,0,11,10,90.9,Match Report
26,Montpellier,2024-08-23,11,@,Paris S-G,fr Ligue 1,L 0-6,0,6,-6,32,0,0,0,0,11,5,45.5,Match Report
27,Holstein Kiel,2025-02-01,11,@,Bayern Munich,de Bundesliga,L 3-4,3,4,-1,29,3,0,0,0,11,7,63.6,Match Report
28,Southampton,2024-12-04,11,,Chelsea,eng Premier League,L 1-5,1,5,-4,45,1,0,0,0,11,6,54.5,Match Report
29,Southampton,2024-11-24,11,,Liverpool,eng Premier League,L 2-3,2,3,-1,38,2,0,1,1,11,8,81.8,Match Report
30,Tottenham,2024-12-22,11,,Liverpool,eng Premier League,L 3-6,3,6,-3,52,3,0,0,0,11,5,45.5,Match Report
31,Fiorentina,2025-03-09,11,@,Napoli,it Serie A,L 1-2,1,2,-1,51,1,0,0,0,11,9,81.8,Match Report
32,Auxerre,2024-12-06,11,,Paris S-G,fr Ligue 1,D 0-0,0,0,0,27,0,0,0,0,11,11,100.0,Match Report
33,Mainz 05,2024-08-31,11,@,Stuttgart,de Bundesliga,D 3-3,3,3,0,37,2,1,1,0,11,8,72.7,Match Report
34,Leicester City,2024-12-14,11,@,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,41,0,0,0,0,11,7,63.6,Match Report
35,Espanyol,2024-09-29,11,@,Betis,es La Liga,L 0-1,0,1,-1,47,0,0,0,0,11,9,90.9,Match Report
36,Newcastle Utd,2024-09-21,11,@,Fulham,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,11,8,72.7,Match Report
37,Strasbourg,2025-03-28,11,,Lyon,fr Ligue 1,W 4-2,4,2,+2,40,4,0,0,0,11,9,90.9,Match Report
38,Cagliari,2025-01-11,11,@,Milan,it Serie A,D 1-1,1,1,0,32,1,0,0,0,11,10,90.9,Match Report
39,Lille,2025-03-01,11,@,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,42,1,0,0,0,11,7,63.6,Match Report
40,Brentford,2024-10-19,11,@,Manchester Utd,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,11,9,81.8,Match Report
41,Lyon,2025-02-02,11,@,Marseille,fr Ligue 1,L 2-3,2,3,-1,37,1,1,1,0,11,8,72.7,Match Report
42,Nantes,2025-02-15,11,@,Monaco,fr Ligue 1,L 1-7,1,7,-6,35,1,0,0,0,11,4,45.5,Match Report
43,Valencia,2025-01-26,11,@,Barcelona,es La Liga,L 1-7,1,7,-6,29,1,0,0,0,11,5,36.4,Match Report
44,Monaco,2024-12-18,11,,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,40,1,1,1,0,11,7,63.6,Match Report
45,Lecce,2024-10-20,11,,Fiorentina,it Serie A,L 0-6,0,6,-6,39,0,0,0,0,11,5,45.5,Match Report
