Rk,Team,Date,CrdY,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,CrdY,CrdR,2CrdY,Fls,Fld,Match Report
1,Las Palmas,2024-10-21,9,@,Valencia,es La Liga,W 3-2,3,2,+1,52,3,0,0,0,9,0,0,12,12,Match Report
2,Las Palmas,2025-03-09,8,@,Betis,es La Liga,L 0-1,0,1,-1,33,0,0,0,0,8,1,1,14,12,Match Report
3,Osasuna,2025-01-24,8,@,Las Palmas,es La Liga,D 1-1,1,1,0,49,1,0,0,0,8,0,0,17,12,Match Report
4,Werder Bremen,2025-01-31,8,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,38,1,0,1,1,8,2,2,14,12,Match Report
5,Cagliari,2024-11-04,8,@,Lazio,it Serie A,L 1-2,1,2,-1,46,1,0,0,0,8,2,2,17,12,Match Report
6,Chelsea,2024-09-14,8,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,66,1,0,0,0,8,0,0,9,16,Match Report
7,Celta Vigo,2024-10-05,8,@,Las Palmas,es La Liga,W 1-0,1,0,+1,40,1,0,0,0,8,2,2,13,9,Match Report
8,Las Palmas,2025-01-24,7,,Osasuna,es La Liga,D 1-1,1,1,0,51,1,0,0,0,7,1,1,14,15,Match Report
9,Heidenheim,2024-12-22,7,@,Bochum,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,7,0,0,15,18,Match Report
10,Monza,2024-12-28,7,@,Parma,it Serie A,L 1-2,1,2,-1,56,1,0,0,0,7,1,1,21,16,Match Report
11,Como,2025-03-02,7,@,Roma,it Serie A,L 1-2,1,2,-1,52,1,0,0,0,7,1,1,18,5,Match Report
12,Wolfsburg,2024-08-31,7,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,46,2,0,0,0,7,0,0,14,17,Match Report
13,Aston Villa,2024-10-26,7,,Bournemouth,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,7,0,0,12,13,Match Report
