Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Paris S-G,2024-10-27,815,@,Marseille,fr Ligue 1,W 3-0,3,0,+3,74,2,0,0,0,815,3820,1968,33,40,16,15,8,873,77,Match Report
2,Bayern Munich,2024-12-07,789,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,82,4,0,0,0,789,3537,1765,27,22,6,14,6,946,78,Match Report
3,Marseille,2024-08-31,769,@,Toulouse,fr Ligue 1,W 3-1,3,1,+2,76,2,0,0,0,769,3102,1379,16,17,4,15,7,828,54,Match Report
4,Leverkusen,2024-11-23,742,,Heidenheim,de Bundesliga,W 5-2,5,2,+3,78,5,0,0,0,742,4150,2349,35,38,9,7,13,890,83,Match Report
5,Paris S-G,2025-04-05,718,,Angers,fr Ligue 1,W 1-0,1,0,+1,81,1,0,0,0,718,3982,2051,37,41,14,8,12,912,77,Match Report
6,Paris S-G,2024-11-30,718,,Nantes,fr Ligue 1,D 1-1,1,1,0,84,1,0,0,0,718,3865,2388,44,29,13,12,18,967,114,Match Report
7,Bayern Munich,2025-02-07,714,,Werder Bremen,de Bundesliga,W 3-0,3,0,+3,75,1,2,2,0,714,2915,1504,22,28,6,12,9,878,66,Match Report
8,Marseille,2025-03-02,697,,Nantes,fr Ligue 1,W 2-0,2,0,+2,74,2,0,0,0,697,2746,1423,28,19,5,15,10,739,47,Match Report
9,Marseille,2024-12-08,694,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,68,2,0,1,1,694,2897,1561,23,13,10,16,5,824,54,Match Report
10,Paris S-G,2024-08-16,678,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,76,3,1,1,0,678,3200,1550,25,22,10,13,15,796,64,Match Report
11,Marseille,2025-03-29,672,@,Reims,fr Ligue 1,L 1-3,1,3,-2,80,1,0,0,0,672,3105,1770,40,29,6,11,8,713,104,Match Report
12,Manchester City,2025-04-02,671,,Leicester City,eng Premier League,W 2-0,2,0,+2,72,2,0,0,0,671,3388,1612,29,32,10,22,10,744,54,Match Report
13,Leverkusen,2024-10-05,666,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,74,2,0,0,0,666,2990,1511,27,23,8,12,11,760,105,Match Report
14,Bayern Munich,2024-10-06,654,@,Eint Frankfurt,de Bundesliga,D 3-3,3,3,0,74,3,0,0,0,654,3274,1756,34,37,11,6,9,797,84,Match Report
