Rk,Team,Date,Opp,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Opp,Stp,Stp%,Match Report
1,Mainz 05,2024-12-21,48,@,Eint Frankfurt,de Bundesliga,W 3-1,3,1,+2,30,2,0,0,0,48,4,8.3,Match Report
2,Valladolid,2024-12-13,45,,Valencia,es La Liga,W 1-0,1,0,+1,33,1,0,0,0,45,4,8.9,Match Report
3,Leicester City,2024-12-26,44,@,Liverpool,eng Premier League,L 1-3,1,3,-2,32,1,0,0,0,44,3,6.8,Match Report
4,Leganés,2025-01-26,42,@,Athletic Club,es La Liga,D 0-0,0,0,0,32,0,0,0,0,42,2,4.8,Match Report
5,Leganés,2024-11-30,42,@,Alavés,es La Liga,D 1-1,1,1,0,40,1,0,0,0,42,4,9.5,Match Report
6,Mainz 05,2024-09-20,41,@,Augsburg,de Bundesliga,W 3-2,3,2,+1,27,3,0,0,0,41,3,7.3,Match Report
7,Udinese,2024-12-09,40,@,Monza,it Serie A,W 2-1,2,1,+1,33,2,0,0,0,40,1,2.5,Match Report
8,Reims,2025-03-29,40,,Marseille,fr Ligue 1,W 3-1,3,1,+2,20,3,0,0,0,40,6,15.0,Match Report
9,Eint Frankfurt,2025-01-26,40,@,Hoffenheim,de Bundesliga,D 2-2,2,2,0,49,1,1,1,0,40,2,5.0,Match Report
10,Las Palmas,2025-02-28,39,@,Valladolid,es La Liga,D 1-1,1,1,0,36,1,0,0,0,39,3,7.7,Match Report
11,Hoffenheim,2024-10-06,38,@,Stuttgart,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,38,2,5.3,Match Report
12,Augsburg,2025-03-08,38,@,Dortmund,de Bundesliga,W 1-0,1,0,+1,29,1,0,0,0,38,3,7.9,Match Report
13,Augsburg,2025-01-19,37,@,Werder Bremen,de Bundesliga,W 2-0,2,0,+2,29,2,0,0,0,37,0,0.0,Match Report
14,Nantes,2025-04-04,37,@,Nice,fr Ligue 1,W 2-1,2,1,+1,24,2,0,0,0,37,1,2.7,Match Report
15,Leicester City,2024-09-28,36,@,Arsenal,eng Premier League,L 2-4,2,4,-2,26,2,0,0,0,36,2,5.6,Match Report
16,Brentford,2024-11-23,36,@,Everton,eng Premier League,D 0-0,0,0,0,41,0,0,0,0,36,2,5.6,Match Report
17,Holstein Kiel,2025-03-02,35,@,Union Berlin,de Bundesliga,W 1-0,1,0,+1,48,1,0,0,0,35,1,2.9,Match Report
18,Marseille,2024-09-22,35,@,Lyon,fr Ligue 1,W 3-2,3,2,+1,37,3,0,0,0,35,3,8.6,Match Report
19,Union Berlin,2025-03-15,35,,Bayern Munich,de Bundesliga,D 1-1,1,1,0,20,1,0,0,0,35,3,8.6,Match Report
20,Ipswich Town,2025-04-02,35,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,37,2,0,0,0,35,3,8.6,Match Report
21,Strasbourg,2024-12-15,35,@,Le Havre,fr Ligue 1,W 3-0,3,0,+3,44,3,0,0,0,35,0,0.0,Match Report
22,Celta Vigo,2024-10-05,35,@,Las Palmas,es La Liga,W 1-0,1,0,+1,40,1,0,0,0,35,2,5.7,Match Report
23,Torino,2024-10-05,34,@,Inter,it Serie A,L 2-3,2,3,-1,20,1,1,1,0,34,1,2.9,Match Report
24,Holstein Kiel,2025-01-24,34,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,34,1,2.9,Match Report
25,Holstein Kiel,2024-10-05,34,@,Leverkusen,de Bundesliga,D 2-2,2,2,0,26,1,1,1,0,34,0,0.0,Match Report
26,Gladbach,2024-12-21,34,@,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,34,2,5.9,Match Report
27,Real Madrid,2025-03-15,34,@,Villarreal,es La Liga,W 2-1,2,1,+1,54,2,0,0,0,34,0,0.0,Match Report
28,Auxerre,2024-09-22,34,@,Montpellier,fr Ligue 1,L 2-3,2,3,-1,46,2,0,0,0,34,2,5.9,Match Report
29,Roma,2025-01-05,34,,Lazio,it Serie A,W 2-0,2,0,+2,33,2,0,0,0,34,1,2.9,Match Report
30,Nott'ham Forest,2024-09-22,34,@,Brighton,eng Premier League,D 2-2,2,2,0,30,1,1,1,0,34,0,0.0,Match Report
31,Holstein Kiel,2025-01-14,33,,Dortmund,de Bundesliga,W 4-2,4,2,+2,25,4,0,0,0,33,2,6.1,Match Report
32,Espanyol,2025-04-04,33,@,Rayo Vallecano,es La Liga,W 4-0,4,0,+4,31,3,1,1,0,33,3,9.1,Match Report
33,Brentford,2024-11-04,33,@,Fulham,eng Premier League,L 1-2,1,2,-1,32,1,0,0,0,33,2,6.1,Match Report
34,Brest,2025-02-07,33,@,Nantes,fr Ligue 1,W 2-0,2,0,+2,42,2,0,0,0,33,2,6.1,Match Report
35,Betis,2024-12-15,33,@,Villarreal,es La Liga,W 2-1,2,1,+1,38,2,0,0,0,33,4,12.1,Match Report
36,Osasuna,2024-10-27,32,@,Real Sociedad,es La Liga,W 2-0,2,0,+2,26,2,0,0,0,32,1,3.1,Match Report
37,Udinese,2024-08-24,32,,Lazio,it Serie A,W 2-1,2,1,+1,34,2,0,0,0,32,0,0.0,Match Report
38,Villarreal,2024-08-31,32,@,Valencia,es La Liga,D 1-1,1,1,0,42,1,0,0,0,32,0,0.0,Match Report
39,Gladbach,2025-04-06,32,@,St. Pauli,de Bundesliga,D 1-1,1,1,0,37,1,0,0,0,32,9,28.1,Match Report
40,Le Havre,2025-01-12,32,,Lens,fr Ligue 1,L 1-2,1,2,-1,31,1,0,0,0,32,1,3.1,Match Report
41,Espanyol,2024-09-14,32,,Alavés,es La Liga,W 3-2,3,2,+1,39,2,1,1,0,32,3,9.4,Match Report
42,Sevilla,2024-10-25,32,@,Espanyol,es La Liga,W 2-0,2,0,+2,57,2,0,0,0,32,2,6.3,Match Report
43,Nantes,2024-11-30,32,@,Paris S-G,fr Ligue 1,D 1-1,1,1,0,16,1,0,0,0,32,0,0.0,Match Report
44,Monza,2025-03-08,31,@,Inter,it Serie A,L 2-3,2,3,-1,31,2,0,0,0,31,1,3.2,Match Report
45,Holstein Kiel,2025-02-22,31,,Leverkusen,de Bundesliga,L 0-2,0,2,-2,38,0,0,0,0,31,0,0.0,Match Report
46,Toulouse,2025-01-05,31,@,Lens,fr Ligue 1,W 1-0,1,0,+1,34,0,1,1,0,31,0,0.0,Match Report
47,Le Havre,2025-02-08,31,@,Lille,fr Ligue 1,W 2-1,2,1,+1,34,2,0,0,0,31,1,3.2,Match Report
48,Aston Villa,2025-01-18,31,@,Arsenal,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,31,3,9.7,Match Report
49,Rayo Vallecano,2024-12-07,31,@,Valencia,es La Liga,W 1-0,1,0,+1,40,1,0,0,0,31,3,9.7,Match Report
50,Mainz 05,2025-03-15,31,,Freiburg,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,31,1,3.2,Match Report
51,Venezia,2024-12-29,31,@,Napoli,it Serie A,L 0-1,0,1,-1,34,0,0,0,0,31,1,3.2,Match Report
52,Ipswich Town,2025-01-05,31,@,Fulham,eng Premier League,D 2-2,2,2,0,27,1,1,1,0,31,2,6.5,Match Report
53,Nott'ham Forest,2025-04-01,31,,Manchester Utd,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,31,0,0.0,Match Report
54,Las Palmas,2024-11-08,30,@,Rayo Vallecano,es La Liga,W 3-1,3,1,+2,36,2,0,0,0,30,0,0.0,Match Report
55,Augsburg,2025-03-29,30,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,44,1,0,0,0,30,0,0.0,Match Report
56,Torino,2024-08-17,30,@,Milan,it Serie A,D 2-2,2,2,0,44,1,0,0,0,30,1,3.3,Match Report
57,Montpellier,2025-01-17,30,,Monaco,fr Ligue 1,W 2-1,2,1,+1,33,2,0,0,0,30,2,6.7,Match Report
58,Gladbach,2025-01-11,30,,Bayern Munich,de Bundesliga,L 0-1,0,1,-1,33,0,0,0,0,30,0,0.0,Match Report
59,St. Pauli,2024-11-02,30,@,Hoffenheim,de Bundesliga,W 2-0,2,0,+2,33,2,0,0,0,30,1,3.3,Match Report
60,Werder Bremen,2024-12-07,30,@,Bochum,de Bundesliga,W 1-0,1,0,+1,48,1,0,0,0,30,1,3.3,Match Report
61,Reims,2025-03-16,30,@,Brest,fr Ligue 1,D 0-0,0,0,0,29,0,0,0,0,30,2,6.7,Match Report
62,Mainz 05,2024-08-31,30,@,Stuttgart,de Bundesliga,D 3-3,3,3,0,37,2,1,1,0,30,2,6.7,Match Report
63,Brentford,2025-01-18,30,,Liverpool,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,30,2,6.7,Match Report
64,Atlético Madrid,2025-02-22,30,@,Valencia,es La Liga,W 3-0,3,0,+3,51,3,0,0,0,30,0,0.0,Match Report
65,Nott'ham Forest,2024-12-21,30,@,Brentford,eng Premier League,W 2-0,2,0,+2,36,2,0,0,0,30,1,3.3,Match Report
66,Eint Frankfurt,2025-01-17,30,,Dortmund,de Bundesliga,W 2-0,2,0,+2,33,2,0,0,0,30,5,16.7,Match Report
67,Heidenheim,2025-02-23,29,@,RB Leipzig,de Bundesliga,D 2-2,2,2,0,26,1,1,1,0,29,3,10.3,Match Report
68,Mallorca,2025-03-02,29,,Alavés,es La Liga,D 1-1,1,1,0,44,1,0,0,0,29,1,3.4,Match Report
69,Mallorca,2025-02-10,29,,Osasuna,es La Liga,D 1-1,1,1,0,46,0,1,1,0,29,1,3.4,Match Report
70,Mallorca,2024-12-14,29,,Girona,es La Liga,W 2-1,2,1,+1,32,2,0,0,0,29,1,3.4,Match Report
71,Holstein Kiel,2025-02-09,29,,Bochum,de Bundesliga,D 2-2,2,2,0,48,1,1,1,0,29,2,6.9,Match Report
72,Southampton,2024-11-29,29,@,Brighton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,29,0,0.0,Match Report
73,Fiorentina,2025-01-26,29,@,Lazio,it Serie A,W 2-1,2,1,+1,30,2,0,0,0,29,0,0.0,Match Report
74,Wolfsburg,2024-11-10,29,@,Heidenheim,de Bundesliga,W 3-1,3,1,+2,35,3,0,0,0,29,1,3.4,Match Report
75,Stuttgart,2024-11-30,29,@,Werder Bremen,de Bundesliga,D 2-2,2,2,0,57,2,0,0,0,29,0,0.0,Match Report
76,Le Havre,2024-11-24,29,@,Nantes,fr Ligue 1,W 2-0,2,0,+2,30,1,0,0,0,29,0,0.0,Match Report
77,Getafe,2025-02-09,29,@,Alavés,es La Liga,W 1-0,1,0,+1,35,0,1,1,0,29,1,3.4,Match Report
78,Leganés,2024-12-15,29,@,Barcelona,es La Liga,W 1-0,1,0,+1,21,1,0,0,0,29,3,10.3,Match Report
79,Leganés,2024-08-17,29,@,Osasuna,es La Liga,D 1-1,1,1,0,39,1,0,0,0,29,0,0.0,Match Report
80,Girona,2024-11-10,29,@,Getafe,es La Liga,W 1-0,1,0,+1,53,1,0,0,0,29,3,10.3,Match Report
81,Empoli,2024-11-25,29,,Udinese,it Serie A,D 1-1,1,1,0,30,1,0,0,0,29,3,10.3,Match Report
82,Bochum,2025-02-15,29,,Dortmund,de Bundesliga,W 2-0,2,0,+2,31,2,0,0,0,29,2,6.9,Match Report
83,Roma,2024-09-15,29,@,Genoa,it Serie A,D 1-1,1,1,0,52,1,0,0,0,29,1,3.4,Match Report
84,Napoli,2025-04-07,29,@,Bologna,it Serie A,D 1-1,1,1,0,39,1,0,0,0,29,1,3.4,Match Report
85,Atlético Madrid,2024-12-21,29,@,Barcelona,es La Liga,W 2-1,2,1,+1,38,2,0,0,0,29,0,0.0,Match Report
86,Valencia,2024-10-27,29,@,Getafe,es La Liga,D 1-1,1,1,0,36,1,0,0,0,29,0,0.0,Match Report
87,Parma,2024-12-01,29,,Lazio,it Serie A,W 3-1,3,1,+2,28,3,0,0,0,29,2,6.9,Match Report
88,Las Palmas,2024-10-21,28,@,Valencia,es La Liga,W 3-2,3,2,+1,52,3,0,0,0,28,1,3.6,Match Report
89,Torino,2025-02-14,28,@,Bologna,it Serie A,L 2-3,2,3,-1,35,2,0,0,0,28,2,7.1,Match Report
90,Southampton,2024-11-24,28,,Liverpool,eng Premier League,L 2-3,2,3,-1,38,2,0,1,1,28,3,10.7,Match Report
91,Tottenham,2025-02-02,28,@,Brentford,eng Premier League,W 2-0,2,0,+2,46,1,0,0,0,28,1,3.6,Match Report
92,Auxerre,2024-10-20,28,,Reims,fr Ligue 1,W 2-1,2,1,+1,35,2,0,1,1,28,2,7.1,Match Report
93,Werder Bremen,2025-03-08,28,@,Leverkusen,de Bundesliga,W 2-0,2,0,+2,28,2,0,0,0,28,3,10.7,Match Report
94,Lazio,2025-04-06,28,@,Atalanta,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,28,5,17.9,Match Report
95,Lazio,2024-10-19,28,@,Juventus,it Serie A,L 0-1,0,1,-1,31,0,0,0,0,28,3,10.7,Match Report
96,Union Berlin,2025-03-30,28,@,Freiburg,de Bundesliga,W 2-1,2,1,+1,28,2,0,0,0,28,1,3.6,Match Report
97,Union Berlin,2025-02-08,28,@,Hoffenheim,de Bundesliga,W 4-0,4,0,+4,36,4,0,0,0,28,2,7.1,Match Report
98,West Ham,2024-11-25,28,@,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,47,2,0,0,0,28,0,0.0,Match Report
99,Wolves,2024-10-20,28,,Manchester City,eng Premier League,L 1-2,1,2,-1,23,1,0,0,0,28,3,10.7,Match Report
100,Venezia,2025-01-27,28,,Hellas Verona,it Serie A,D 1-1,1,1,0,50,1,0,0,0,28,1,3.6,Match Report
101,Ipswich Town,2025-02-15,28,@,Aston Villa,eng Premier League,D 1-1,1,1,0,25,1,0,0,0,28,0,0.0,Match Report
102,Strasbourg,2025-01-19,28,@,Marseille,fr Ligue 1,D 1-1,1,1,0,31,1,0,0,0,28,4,14.3,Match Report
103,Nantes,2025-02-02,28,@,Reims,fr Ligue 1,W 2-1,2,1,+1,45,2,0,0,0,28,1,3.6,Match Report
104,Nantes,2024-08-25,28,,Auxerre,fr Ligue 1,W 2-0,2,0,+2,36,2,0,0,0,28,1,3.6,Match Report
105,Lecce,2024-11-02,28,@,Bologna,it Serie A,L 0-1,0,1,-1,28,0,0,0,0,28,0,0.0,Match Report
106,Lecce,2024-08-31,28,,Cagliari,it Serie A,W 1-0,1,0,+1,35,1,0,0,0,28,1,3.6,Match Report
107,Villarreal,2024-09-14,27,@,Mallorca,es La Liga,W 2-1,2,1,+1,47,2,0,0,0,27,2,7.4,Match Report
108,Southampton,2024-10-05,27,@,Arsenal,eng Premier League,L 1-3,1,3,-2,41,1,0,0,0,27,0,0.0,Match Report
109,Wolfsburg,2025-02-08,27,,Leverkusen,de Bundesliga,D 0-0,0,0,0,41,0,0,0,0,27,2,7.4,Match Report
110,Werder Bremen,2024-09-15,27,@,Mainz 05,de Bundesliga,W 2-1,2,1,+1,42,1,1,1,0,27,2,7.4,Match Report
111,Angers,2025-03-15,27,,Monaco,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,27,4,14.8,Match Report
112,Leganés,2025-01-18,27,,Atlético Madrid,es La Liga,W 1-0,1,0,+1,33,1,0,0,0,27,7,25.9,Match Report
113,Empoli,2024-09-20,27,@,Cagliari,it Serie A,W 2-0,2,0,+2,39,2,0,0,0,27,2,7.4,Match Report
114,Leverkusen,2025-01-25,27,@,RB Leipzig,de Bundesliga,D 2-2,2,2,0,35,2,0,0,0,27,0,0.0,Match Report
115,Nantes,2024-08-31,27,@,Montpellier,fr Ligue 1,W 3-1,3,1,+2,31,2,1,1,0,27,3,11.1,Match Report
116,Milan,2024-10-19,27,,Udinese,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,27,2,7.4,Match Report
117,Nott'ham Forest,2025-01-14,27,,Liverpool,eng Premier League,D 1-1,1,1,0,30,1,0,0,0,27,1,3.7,Match Report
118,Nott'ham Forest,2024-12-29,27,@,Everton,eng Premier League,W 2-0,2,0,+2,36,2,0,0,0,27,2,7.4,Match Report
119,Valladolid,2024-11-22,26,@,Getafe,es La Liga,L 0-2,0,2,-2,43,0,0,0,0,26,5,19.2,Match Report
120,Como,2024-09-24,26,@,Atalanta,it Serie A,W 3-2,3,2,+1,41,2,0,0,0,26,2,7.7,Match Report
121,Gladbach,2024-11-24,26,,St. Pauli,de Bundesliga,W 2-0,2,0,+2,48,2,0,0,0,26,1,3.8,Match Report
122,Toulouse,2025-02-23,26,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,46,3,1,1,0,26,0,0.0,Match Report
123,St. Pauli,2024-12-21,26,@,Stuttgart,de Bundesliga,W 1-0,1,0,+1,28,1,0,1,1,26,0,0.0,Match Report
124,Stuttgart,2025-03-16,26,,Leverkusen,de Bundesliga,L 3-4,3,4,-1,43,2,0,0,0,26,0,0.0,Match Report
125,Le Havre,2024-10-25,26,@,Rennes,fr Ligue 1,L 0-1,0,1,-1,40,0,0,0,0,26,1,3.8,Match Report
126,Genoa,2024-12-15,26,@,Milan,it Serie A,D 0-0,0,0,0,43,0,0,0,0,26,1,3.8,Match Report
127,Angers,2025-01-05,26,,Brest,fr Ligue 1,W 2-0,2,0,+2,39,2,0,0,0,26,1,3.8,Match Report
128,Leganés,2025-01-11,26,@,Espanyol,es La Liga,D 1-1,1,1,0,47,1,0,0,0,26,0,0.0,Match Report
129,Alavés,2024-12-08,26,@,Osasuna,es La Liga,D 2-2,2,2,0,40,2,0,0,0,26,3,11.5,Match Report
130,Rayo Vallecano,2025-03-29,26,@,Alavés,es La Liga,W 2-0,2,0,+2,45,2,0,0,0,26,4,15.4,Match Report
131,Rayo Vallecano,2025-01-19,26,@,Osasuna,es La Liga,D 1-1,1,1,0,48,1,0,0,0,26,0,0.0,Match Report
132,Leicester City,2025-01-26,26,@,Tottenham,eng Premier League,W 2-1,2,1,+1,39,2,0,0,0,26,1,3.8,Match Report
133,Empoli,2024-08-25,26,@,Roma,it Serie A,W 2-1,2,1,+1,27,1,1,1,0,26,2,7.7,Match Report
134,Espanyol,2024-10-05,26,,Mallorca,es La Liga,W 2-1,2,1,+1,40,2,0,0,0,26,1,3.8,Match Report
135,RB Leipzig,2025-03-15,26,,Dortmund,de Bundesliga,W 2-0,2,0,+2,34,2,0,0,0,26,1,3.8,Match Report
136,Saint-Étienne,2024-09-29,26,@,Nantes,fr Ligue 1,D 2-2,2,2,0,39,1,1,1,0,26,1,3.8,Match Report
137,Parma,2025-01-05,26,@,Torino,it Serie A,D 0-0,0,0,0,38,0,0,0,0,26,4,15.4,Match Report
138,Brest,2025-03-30,26,@,Toulouse,fr Ligue 1,W 4-2,4,2,+2,47,4,0,0,0,26,2,7.7,Match Report
139,Brest,2024-10-26,26,@,Reims,fr Ligue 1,W 2-1,2,1,+1,47,1,1,1,0,26,1,3.8,Match Report
140,Fulham,2024-12-14,26,@,Liverpool,eng Premier League,D 2-2,2,2,0,39,2,0,0,0,26,1,3.8,Match Report
141,Hoffenheim,2025-02-16,25,@,Werder Bremen,de Bundesliga,W 3-1,3,1,+2,37,3,0,0,0,25,1,4.0,Match Report
142,Osasuna,2024-09-16,25,@,Rayo Vallecano,es La Liga,L 1-3,1,3,-2,35,1,0,0,0,25,1,4.0,Match Report
143,Udinese,2024-08-18,25,@,Bologna,it Serie A,D 1-1,1,1,0,27,1,0,1,1,25,2,8.0,Match Report
144,Torino,2025-02-01,25,@,Atalanta,it Serie A,D 1-1,1,1,0,35,1,0,0,0,25,0,0.0,Match Report
145,Nice,2024-12-15,25,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,48,2,0,0,0,25,2,8.0,Match Report
146,Nice,2024-10-06,25,,Paris S-G,fr Ligue 1,D 1-1,1,1,0,29,1,0,0,0,25,0,0.0,Match Report
147,Nice,2024-09-28,25,@,Lens,fr Ligue 1,D 0-0,0,0,0,44,0,0,0,0,25,1,4.0,Match Report
148,Arsenal,2024-09-15,25,@,Tottenham,eng Premier League,W 1-0,1,0,+1,37,1,0,0,0,25,2,8.0,Match Report
149,Mallorca,2024-10-28,25,,Athletic Club,es La Liga,D 0-0,0,0,0,33,0,0,0,0,25,1,4.0,Match Report
150,Tottenham,2024-11-23,25,@,Manchester City,eng Premier League,W 4-0,4,0,+4,42,4,0,0,0,25,3,12.0,Match Report
151,Fiorentina,2025-02-02,25,,Genoa,it Serie A,W 2-1,2,1,+1,41,2,0,0,0,25,0,0.0,Match Report
152,Auxerre,2025-02-14,25,@,Brest,fr Ligue 1,D 2-2,2,2,0,36,2,0,0,0,25,0,0.0,Match Report
153,Auxerre,2024-12-06,25,,Paris S-G,fr Ligue 1,D 0-0,0,0,0,27,0,0,0,0,25,2,8.0,Match Report
154,Le Havre,2025-01-19,25,@,Reims,fr Ligue 1,D 1-1,1,1,0,45,1,0,0,0,25,3,12.0,Match Report
155,Angers,2025-01-12,25,@,Montpellier,fr Ligue 1,W 3-1,3,1,+2,42,3,0,0,0,25,2,8.0,Match Report
156,Angers,2024-12-01,25,@,Le Havre,fr Ligue 1,W 1-0,1,0,+1,45,1,0,0,0,25,2,8.0,Match Report
157,Girona,2025-02-08,25,@,Athletic Club,es La Liga,L 0-3,0,3,-3,55,0,0,0,0,25,2,8.0,Match Report
158,Leicester City,2024-10-05,25,,Bournemouth,eng Premier League,W 1-0,1,0,+1,45,1,0,0,0,25,2,8.0,Match Report
159,Empoli,2024-10-06,25,@,Lazio,it Serie A,L 1-2,1,2,-1,42,1,0,0,0,25,3,12.0,Match Report
160,Espanyol,2025-03-10,25,,Girona,es La Liga,D 1-1,1,1,0,33,1,0,0,0,25,3,12.0,Match Report
161,RB Leipzig,2024-08-31,25,@,Leverkusen,de Bundesliga,W 3-2,3,2,+1,38,3,0,0,0,25,0,0.0,Match Report
162,Venezia,2024-10-04,25,@,Hellas Verona,it Serie A,L 1-2,1,2,-1,49,1,0,0,0,25,0,0.0,Match Report
163,Rennes,2025-03-02,25,@,Montpellier,fr Ligue 1,W 4-0,4,0,+4,54,4,0,1,1,25,1,4.0,Match Report
164,Bochum,2024-12-14,25,@,Union Berlin,de Bundesliga,W 2-0,2,0,+2,31,1,0,0,0,25,0,0.0,Match Report
165,Ipswich Town,2024-11-10,25,@,Tottenham,eng Premier League,W 2-1,2,1,+1,34,2,0,0,0,25,7,28.0,Match Report
166,Brighton,2024-11-23,25,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,45,2,0,0,0,25,3,12.0,Match Report
167,Everton,2025-01-25,25,@,Brighton,eng Premier League,W 1-0,1,0,+1,31,0,1,1,0,25,2,8.0,Match Report
168,Atlético Madrid,2024-10-06,25,@,Real Sociedad,es La Liga,D 1-1,1,1,0,34,1,0,0,0,25,1,4.0,Match Report
169,Milan,2025-02-02,25,,Inter,it Serie A,D 1-1,1,1,0,37,1,0,0,0,25,0,0.0,Match Report
170,Juventus,2025-02-23,25,@,Cagliari,it Serie A,W 1-0,1,0,+1,60,1,0,0,0,25,0,0.0,Match Report
171,Nott'ham Forest,2025-02-26,25,,Arsenal,eng Premier League,D 0-0,0,0,0,36,0,0,0,0,25,0,0.0,Match Report
172,Nott'ham Forest,2025-02-15,25,@,Fulham,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,25,0,0.0,Match Report
173,Parma,2024-11-09,25,@,Venezia,it Serie A,W 2-1,2,1,+1,33,2,0,0,0,25,2,8.0,Match Report
174,Eint Frankfurt,2024-10-06,25,,Bayern Munich,de Bundesliga,D 3-3,3,3,0,26,3,0,0,0,25,3,12.0,Match Report
175,Eint Frankfurt,2024-09-14,25,@,Wolfsburg,de Bundesliga,W 2-1,2,1,+1,40,1,1,1,0,25,3,12.0,Match Report
176,Brest,2024-10-06,25,,Le Havre,fr Ligue 1,W 2-0,2,0,+2,53,2,0,0,0,25,2,8.0,Match Report
177,Lens,2025-03-08,25,@,Marseille,fr Ligue 1,W 1-0,1,0,+1,25,1,0,0,0,25,4,16.0,Match Report
178,Hoffenheim,2025-03-01,24,@,Bochum,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,24,1,4.2,Match Report
179,Osasuna,2024-12-14,24,@,Espanyol,es La Liga,D 0-0,0,0,0,58,0,0,0,0,24,0,0.0,Match Report
180,Udinese,2024-12-14,24,,Napoli,it Serie A,L 1-3,1,3,-2,30,1,0,1,1,24,0,0.0,Match Report
181,Torino,2025-03-15,24,,Empoli,it Serie A,W 1-0,1,0,+1,50,1,0,0,0,24,3,12.5,Match Report
182,Monza,2024-10-21,24,@,Hellas Verona,it Serie A,W 3-0,3,0,+3,41,3,0,0,0,24,1,4.2,Match Report
183,Montpellier,2024-11-10,24,,Brest,fr Ligue 1,W 3-1,3,1,+2,33,2,1,2,1,24,1,4.2,Match Report
184,Wolfsburg,2025-02-02,24,@,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,39,0,0,0,0,24,2,8.3,Match Report
185,Real Madrid,2025-02-15,24,@,Osasuna,es La Liga,D 1-1,1,1,0,55,1,0,0,0,24,0,0.0,Match Report
186,Auxerre,2025-01-10,24,,Lille,fr Ligue 1,D 0-0,0,0,0,30,0,0,0,0,24,2,8.3,Match Report
187,Le Havre,2025-03-01,24,@,Lens,fr Ligue 1,W 4-3,4,3,+1,31,3,1,1,0,24,0,0.0,Match Report
188,Getafe,2025-01-18,24,,Barcelona,es La Liga,D 1-1,1,1,0,23,1,0,0,0,24,0,0.0,Match Report
189,Leganés,2025-03-02,24,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,24,1,4.2,Match Report
190,Reims,2024-11-10,24,@,Le Havre,fr Ligue 1,W 3-0,3,0,+3,45,3,0,0,0,24,2,8.3,Match Report
191,Wolves,2024-10-26,24,@,Brighton,eng Premier League,D 2-2,2,2,0,49,2,0,0,0,24,1,4.2,Match Report
192,Alavés,2025-04-05,24,@,Girona,es La Liga,W 1-0,1,0,+1,36,1,0,0,0,24,0,0.0,Match Report
193,Alavés,2024-12-22,24,@,Valencia,es La Liga,D 2-2,2,2,0,38,1,1,1,0,24,4,16.7,Match Report
194,Empoli,2024-12-22,24,@,Atalanta,it Serie A,L 2-3,2,3,-1,35,1,1,1,0,24,3,12.5,Match Report
