Rk,Team,Date,PSxG,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PSxG,PSxG/SoT,PSxG+/-,Match Report
1,Valladolid,2024-11-30,5.9,,Atlético Madrid,es La Liga,L 0-5,0,5,-5,45,0,0,0,0,5.9,0.67,+0.9,Match Report
2,Valladolid,2025-02-23,5.8,@,Athletic Club,es La Liga,L 1-7,1,7,-6,43,1,0,0,0,5.8,0.37,-1.2,Match Report
3,Hoffenheim,2025-01-15,5.6,@,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,35,0,0,0,0,5.6,0.48,+0.6,Match Report
4,Angers,2025-03-02,5.6,,Toulouse,fr Ligue 1,L 0-4,0,4,-4,46,0,0,0,0,5.6,0.49,+1.6,Match Report
5,Holstein Kiel,2025-02-01,5.5,@,Bayern Munich,de Bundesliga,L 3-4,3,4,-1,29,3,0,0,0,5.5,0.50,+1.5,Match Report
6,Saint-Étienne,2025-02-15,5.5,@,Marseille,fr Ligue 1,L 1-5,1,5,-4,30,1,0,0,0,5.5,0.38,+0.5,Match Report
7,Valencia,2025-01-26,5.5,@,Barcelona,es La Liga,L 1-7,1,7,-6,29,1,0,0,0,5.5,0.50,-0.5,Match Report
8,Southampton,2024-12-04,5.4,,Chelsea,eng Premier League,L 1-5,1,5,-4,45,1,0,0,0,5.4,0.50,+0.4,Match Report
9,Tottenham,2024-12-22,5.4,,Liverpool,eng Premier League,L 3-6,3,6,-3,52,3,0,0,0,5.4,0.49,-0.6,Match Report
10,Angers,2024-11-09,5.4,,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,30,2,0,0,0,5.4,0.46,+1.4,Match Report
11,Las Palmas,2025-01-19,5.3,@,Real Madrid,es La Liga,L 1-4,1,4,-3,39,1,0,0,0,5.3,0.36,+1.3,Match Report
12,Saint-Étienne,2024-09-20,5.3,@,Nice,fr Ligue 1,L 0-8,0,8,-8,41,0,0,0,0,5.3,0.41,-1.7,Match Report
13,Mallorca,2024-12-03,5.2,,Barcelona,es La Liga,L 1-5,1,5,-4,41,1,0,0,0,5.2,0.51,+0.2,Match Report
14,Leicester City,2024-09-28,5.2,@,Arsenal,eng Premier League,L 2-4,2,4,-2,26,2,0,0,0,5.2,0.36,+2.2,Match Report
15,Nantes,2025-02-15,5.2,@,Monaco,fr Ligue 1,L 1-7,1,7,-6,35,1,0,0,0,5.2,0.40,-1.8,Match Report
16,Union Berlin,2025-02-22,5.1,@,Dortmund,de Bundesliga,L 0-6,0,6,-6,36,0,0,0,0,5.1,0.63,+0.1,Match Report
17,Lille,2025-03-01,5.0,@,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,42,1,0,0,0,5.0,0.53,+1.0,Match Report
18,Augsburg,2024-11-22,4.8,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,20,0,0,0,0,4.8,0.22,+1.8,Match Report
19,Le Havre,2024-09-28,4.8,,Lille,fr Ligue 1,L 0-3,0,3,-3,38,0,0,0,0,4.8,0.45,+1.8,Match Report
20,Wolves,2024-10-05,4.8,@,Brentford,eng Premier League,L 3-5,3,5,-2,56,3,0,0,0,4.8,0.33,-0.2,Match Report
21,Bochum,2024-11-02,4.8,@,Eint Frankfurt,de Bundesliga,L 2-7,2,7,-5,36,2,0,0,0,4.8,0.53,-2.2,Match Report
22,Montpellier,2024-10-20,4.7,,Marseille,fr Ligue 1,L 0-5,0,5,-5,35,0,0,0,0,4.7,0.47,-0.3,Match Report
23,Southampton,2025-02-22,4.7,,Brighton,eng Premier League,L 0-4,0,4,-4,50,0,0,0,0,4.7,0.39,+0.7,Match Report
24,Strasbourg,2024-10-19,4.7,@,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,45,2,0,0,0,4.7,0.49,+0.7,Match Report
25,Hoffenheim,2024-09-14,4.6,,Leverkusen,de Bundesliga,L 1-4,1,4,-3,40,1,0,0,0,4.6,0.52,+0.6,Match Report
26,Werder Bremen,2025-02-07,4.6,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,25,0,0,0,0,4.6,0.24,+1.6,Match Report
27,Werder Bremen,2024-09-21,4.6,,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,31,0,0,0,0,4.6,0.66,-0.4,Match Report
28,Roma,2024-10-27,4.6,@,Fiorentina,it Serie A,L 1-5,1,5,-4,61,1,0,0,0,4.6,0.37,+0.6,Match Report
29,Saint-Étienne,2024-11-30,4.6,@,Rennes,fr Ligue 1,L 0-5,0,5,-5,29,0,0,0,0,4.6,0.31,-0.4,Match Report
30,Celta Vigo,2024-08-26,4.6,@,Villarreal,es La Liga,L 3-4,3,4,-1,55,3,0,0,0,4.6,0.41,+1.6,Match Report
31,Gladbach,2025-01-11,4.5,,Bayern Munich,de Bundesliga,L 0-1,0,1,-1,33,0,0,0,0,4.5,0.37,+3.5,Match Report
32,Southampton,2025-01-04,4.5,,Brentford,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,4.5,0.36,-0.5,Match Report
33,Le Havre,2025-01-05,4.5,@,Marseille,fr Ligue 1,L 1-5,1,5,-4,30,1,0,0,0,4.5,0.56,-0.5,Match Report
34,Le Havre,2024-08-16,4.5,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,24,1,0,0,0,4.5,0.43,+0.5,Match Report
35,Espanyol,2024-09-21,4.5,@,Real Madrid,es La Liga,L 1-4,1,4,-3,27,0,0,0,0,4.5,0.26,+0.5,Match Report
36,Sevilla,2024-10-20,4.5,@,Barcelona,es La Liga,L 1-5,1,5,-4,33,1,0,0,0,4.5,0.41,-0.5,Match Report
37,Eint Frankfurt,2025-02-23,4.5,@,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,37,0,0,0,0,4.5,0.45,+0.5,Match Report
38,Holstein Kiel,2024-09-14,4.4,,Bayern Munich,de Bundesliga,L 1-6,1,6,-5,30,1,0,0,0,4.4,0.32,-0.6,Match Report
39,Leganés,2024-12-22,4.4,,Villarreal,es La Liga,L 2-5,2,5,-3,36,1,1,1,0,4.4,0.29,-0.6,Match Report
