Rk,Team,Date,GCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
1,Eint Frankfurt,2024-11-02,13,,Bochum,de Bundesliga,W 7-2,7,2,+5,64,7,0,0,0,13,7,0,3,0,1,2,Match Report
2,Monaco,2025-02-15,13,,Nantes,fr Ligue 1,W 7-1,7,1,+6,65,6,1,1,0,13,11,0,1,0,1,0,Match Report
3,Nice,2024-09-20,12,,Saint-Étienne,fr Ligue 1,W 8-0,8,0,+8,59,6,1,1,0,12,6,1,2,2,1,0,Match Report
4,Athletic Club,2025-02-23,12,,Valladolid,es La Liga,W 7-1,7,1,+6,57,7,0,0,0,12,8,0,2,2,0,0,Match Report
5,Paris S-G,2024-08-23,12,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,12,11,0,1,0,0,0,Match Report
6,Barcelona,2025-01-26,11,,Valencia,es La Liga,W 7-1,7,1,+6,71,6,0,0,0,11,9,0,1,1,0,0,Match Report
7,Manchester City,2025-01-19,11,@,Ipswich Town,eng Premier League,W 6-0,6,0,+6,67,6,0,0,0,11,11,0,0,0,0,0,Match Report
8,Chelsea,2024-08-25,11,@,Wolves,eng Premier League,W 6-2,6,2,+4,60,6,0,0,0,11,8,1,1,1,0,0,Match Report
9,Inter,2024-12-16,11,@,Lazio,it Serie A,W 6-0,6,0,+6,48,5,1,1,0,11,10,0,0,1,0,0,Match Report
10,Arsenal,2024-11-30,10,@,West Ham,eng Premier League,W 5-2,5,2,+3,60,3,2,2,0,10,5,2,1,0,2,0,Match Report
11,Barcelona,2024-08-31,10,,Valladolid,es La Liga,W 7-0,7,0,+7,70,7,0,0,0,10,7,0,2,1,0,0,Match Report
12,Villarreal,2025-02-01,10,,Valladolid,es La Liga,W 5-1,5,1,+4,53,5,0,0,0,10,8,0,2,0,0,0,Match Report
13,Wolfsburg,2025-01-14,10,,Gladbach,de Bundesliga,W 5-1,5,1,+4,35,4,1,1,0,10,9,0,0,0,1,0,Match Report
14,Marseille,2025-01-05,10,,Le Havre,fr Ligue 1,W 5-1,5,1,+4,70,5,0,0,0,10,9,0,1,0,0,0,Match Report
15,Marseille,2024-08-17,10,@,Brest,fr Ligue 1,W 5-1,5,1,+4,50,3,2,2,0,10,8,0,0,0,2,0,Match Report
16,Lazio,2025-02-09,10,,Monza,it Serie A,W 5-1,5,1,+4,61,5,0,0,0,10,10,0,0,0,0,0,Match Report
17,Liverpool,2024-12-22,10,@,Tottenham,eng Premier League,W 6-3,6,3,+3,48,6,0,0,0,10,8,0,0,2,0,0,Match Report
18,Atalanta,2024-10-26,10,,Hellas Verona,it Serie A,W 6-1,6,1,+5,69,6,0,0,0,10,7,1,0,2,0,0,Match Report
19,Freiburg,2025-02-21,10,,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,37,5,0,0,0,10,8,0,0,0,1,1,Match Report
20,Dortmund,2025-02-22,10,,Union Berlin,de Bundesliga,W 6-0,6,0,+6,64,5,0,0,0,10,8,0,1,0,0,1,Match Report
21,Leverkusen,2024-12-21,10,,Freiburg,de Bundesliga,W 5-1,5,1,+4,67,5,0,1,1,10,7,1,1,1,0,0,Match Report
22,Leverkusen,2024-11-23,10,,Heidenheim,de Bundesliga,W 5-2,5,2,+3,78,5,0,0,0,10,10,0,0,0,0,0,Match Report
23,Inter,2024-11-23,10,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,69,5,0,0,0,10,9,0,1,0,0,0,Match Report
24,Bayern Munich,2025-01-15,9,,Hoffenheim,de Bundesliga,W 5-0,5,0,+5,65,4,1,1,0,9,8,0,0,1,0,0,Match Report
