Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Launch%,AvgLen,Match Report
1,Lecce,2024-11-02,24,@,Bologna,it Serie A,L 0-1,0,1,-1,28,0,0,0,0,24,87.5,55.6,Match Report
2,Augsburg,2025-03-08,20,@,Dortmund,de Bundesliga,W 1-0,1,0,+1,29,1,0,0,0,20,85.0,61.7,Match Report
3,Leganés,2025-01-26,20,@,Athletic Club,es La Liga,D 0-0,0,0,0,32,0,0,0,0,20,100.0,69.9,Match Report
4,Cagliari,2025-01-11,20,@,Milan,it Serie A,D 1-1,1,1,0,32,1,0,0,0,20,80.0,52.7,Match Report
5,Las Palmas,2024-11-08,19,@,Rayo Vallecano,es La Liga,W 3-1,3,1,+2,36,2,0,0,0,19,68.4,58.8,Match Report
6,Espanyol,2025-01-25,19,@,Sevilla,es La Liga,D 1-1,1,1,0,26,1,0,0,0,19,63.2,46.1,Match Report
7,Bochum,2024-09-27,19,@,Dortmund,de Bundesliga,L 2-4,2,4,-2,34,2,0,0,0,19,68.4,42.6,Match Report
8,Atlético Madrid,2024-10-06,19,@,Real Sociedad,es La Liga,D 1-1,1,1,0,34,1,0,0,0,19,63.2,47.5,Match Report
9,Mallorca,2025-02-24,18,@,Sevilla,es La Liga,D 1-1,1,1,0,47,1,0,0,0,18,27.8,30.7,Match Report
10,Mallorca,2024-10-28,18,,Athletic Club,es La Liga,D 0-0,0,0,0,33,0,0,0,0,18,83.3,58.2,Match Report
11,Genoa,2024-11-04,18,@,Parma,it Serie A,W 1-0,1,0,+1,45,1,0,0,0,18,88.9,58.4,Match Report
12,Union Berlin,2025-03-30,18,@,Freiburg,de Bundesliga,W 2-1,2,1,+1,28,2,0,0,0,18,100.0,61.9,Match Report
13,Reims,2025-03-29,18,,Marseille,fr Ligue 1,W 3-1,3,1,+2,20,3,0,0,0,18,61.1,41.1,Match Report
14,Alavés,2025-03-08,18,,Villarreal,es La Liga,W 1-0,1,0,+1,32,1,0,0,0,18,100.0,68.9,Match Report
15,Mainz 05,2024-12-21,18,@,Eint Frankfurt,de Bundesliga,W 3-1,3,1,+2,30,2,0,0,0,18,88.9,65.2,Match Report
16,Empoli,2024-11-08,18,@,Lecce,it Serie A,D 1-1,1,1,0,42,1,0,0,0,18,66.7,50.5,Match Report
17,Bochum,2024-12-14,18,@,Union Berlin,de Bundesliga,W 2-0,2,0,+2,31,1,0,0,0,18,88.9,56.3,Match Report
18,Brighton,2024-11-23,18,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,45,2,0,0,0,18,55.6,39.0,Match Report
19,Atlético Madrid,2024-10-27,18,@,Betis,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,18,61.1,43.1,Match Report
20,Augsburg,2024-11-22,17,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,20,0,0,0,0,17,47.1,40.1,Match Report
21,Valladolid,2025-02-23,17,@,Athletic Club,es La Liga,L 1-7,1,7,-6,43,1,0,0,0,17,88.2,63.9,Match Report
22,Valladolid,2024-11-10,17,,Athletic Club,es La Liga,D 1-1,1,1,0,34,1,0,0,0,17,47.1,37.3,Match Report
23,Southampton,2024-10-05,17,@,Arsenal,eng Premier League,L 1-3,1,3,-2,41,1,0,0,0,17,5.9,14.7,Match Report
24,Tottenham,2024-11-23,17,@,Manchester City,eng Premier League,W 4-0,4,0,+4,42,4,0,0,0,17,11.8,19.1,Match Report
25,West Ham,2024-11-25,17,@,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,47,2,0,0,0,17,64.7,46.4,Match Report
26,Aston Villa,2025-04-05,17,,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,17,41.2,31.6,Match Report
27,Girona,2025-02-23,17,@,Real Madrid,es La Liga,L 0-2,0,2,-2,37,0,0,0,0,17,5.9,18.4,Match Report
28,Rayo Vallecano,2024-10-20,17,@,Mallorca,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,17,47.1,40.6,Match Report
29,Mainz 05,2024-09-20,17,@,Augsburg,de Bundesliga,W 3-2,3,2,+1,27,3,0,0,0,17,64.7,53.4,Match Report
30,Leverkusen,2024-09-28,17,@,Bayern Munich,de Bundesliga,D 1-1,1,1,0,31,1,0,0,0,17,35.3,29.0,Match Report
31,Celta Vigo,2024-11-10,17,@,Betis,es La Liga,D 2-2,2,2,0,44,2,0,0,0,17,41.2,37.7,Match Report
32,Villarreal,2025-02-08,16,@,Las Palmas,es La Liga,W 2-1,2,1,+1,44,2,0,0,0,16,43.8,35.6,Match Report
33,Holstein Kiel,2024-10-26,16,@,Stuttgart,de Bundesliga,L 1-2,1,2,-1,42,1,0,0,0,16,62.5,47.1,Match Report
34,Holstein Kiel,2024-10-05,16,@,Leverkusen,de Bundesliga,D 2-2,2,2,0,26,1,1,1,0,16,93.8,64.2,Match Report
35,Wolfsburg,2025-02-02,16,@,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,39,0,0,0,0,16,93.8,56.4,Match Report
36,Lazio,2024-10-19,16,@,Juventus,it Serie A,L 0-1,0,1,-1,31,0,0,0,0,16,87.5,61.4,Match Report
37,Leganés,2024-12-15,16,@,Barcelona,es La Liga,W 1-0,1,0,+1,21,1,0,0,0,16,100.0,70.3,Match Report
38,Freiburg,2025-02-01,16,@,Bochum,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,16,56.3,43.4,Match Report
39,Dortmund,2024-10-26,16,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,75,1,0,0,0,16,18.8,18.7,Match Report
40,Roma,2024-08-18,16,@,Cagliari,it Serie A,D 0-0,0,0,0,57,0,0,0,0,16,31.3,31.1,Match Report
