Rk,Team,Date,Off,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Off,PKwon,PKcon,OG,Recov,Match Report
1,Real Madrid,2024-10-26,12,,Barcelona,es La Liga,L 0-4,0,4,-4,43,0,0,0,0,12,0,0,0,42,Match Report
2,Mallorca,2024-12-03,11,,Barcelona,es La Liga,L 1-5,1,5,-4,41,1,0,0,0,11,0,1,0,47,Match Report
3,Alavés,2025-02-02,11,@,Barcelona,es La Liga,L 0-1,0,1,-1,31,0,0,0,0,11,0,0,0,32,Match Report
4,Alavés,2024-10-06,11,,Barcelona,es La Liga,L 0-3,0,3,-3,29,0,0,0,0,11,0,0,0,39,Match Report
5,Osasuna,2024-09-28,10,,Barcelona,es La Liga,W 4-2,4,2,+2,27,3,1,1,0,10,1,0,0,48,Match Report
6,Leganés,2024-10-04,9,,Valencia,es La Liga,D 0-0,0,0,0,59,0,0,0,0,9,0,0,0,37,Match Report
7,Leverkusen,2024-11-01,9,,Stuttgart,de Bundesliga,D 0-0,0,0,0,53,0,0,0,0,9,0,0,0,45,Match Report
8,Mallorca,2024-12-21,8,@,Getafe,es La Liga,W 1-0,1,0,+1,46,0,1,1,0,8,1,0,0,25,Match Report
9,Gladbach,2024-09-14,8,,Stuttgart,de Bundesliga,L 1-3,1,3,-2,44,1,0,0,0,8,0,0,0,58,Match Report
10,Werder Bremen,2024-08-31,8,,Dortmund,de Bundesliga,D 0-0,0,0,0,47,0,0,0,0,8,0,0,0,35,Match Report
11,Cagliari,2024-11-09,8,,Milan,it Serie A,D 3-3,3,3,0,45,3,0,0,0,8,0,0,0,31,Match Report
12,Paris S-G,2024-10-27,8,@,Marseille,fr Ligue 1,W 3-0,3,0,+3,74,2,0,0,0,8,0,0,0,62,Match Report
13,Arsenal,2024-11-10,7,@,Chelsea,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,7,0,0,0,34,Match Report
14,Manchester Utd,2025-02-16,7,@,Tottenham,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,7,0,0,0,45,Match Report
15,Como,2024-10-19,7,,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,7,0,0,0,51,Match Report
16,Villarreal,2024-09-22,7,,Barcelona,es La Liga,L 1-5,1,5,-4,37,1,0,0,0,7,0,1,0,33,Match Report
17,Crystal Palace,2025-02-25,7,,Aston Villa,eng Premier League,W 4-1,4,1,+3,36,4,0,0,0,7,0,0,0,46,Match Report
