Rk,Team,Date,PKatt,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,Match Report
1,Wolves,2024-11-30,3,,Bournemouth,eng Premier League,L 2-4,2,4,-2,60,2,0,0,0,3,3,0,0,0.0,Match Report
2,Udinese,2025-01-26,2,,Roma,it Serie A,L 1-2,1,2,-1,49,1,0,0,0,2,2,0,0,0.0,Match Report
3,Udinese,2024-10-30,2,@,Venezia,it Serie A,L 2-3,2,3,-1,43,2,0,0,0,2,2,0,0,0.0,Match Report
4,Augsburg,2024-11-22,2,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,20,0,0,0,0,2,2,0,0,0.0,Match Report
5,Montpellier,2024-12-01,2,,Lille,fr Ligue 1,D 2-2,2,2,0,42,2,0,0,0,2,2,0,0,0.0,Match Report
6,Southampton,2025-03-08,2,@,Liverpool,eng Premier League,L 1-3,1,3,-2,29,1,0,0,0,2,2,0,0,0.0,Match Report
7,Tottenham,2024-12-08,2,,Chelsea,eng Premier League,L 3-4,3,4,-1,39,3,0,0,0,2,2,0,0,0.0,Match Report
8,Fiorentina,2024-10-06,2,,Milan,it Serie A,W 2-1,2,1,+1,41,2,0,1,1,2,0,2,0,100.0,Match Report
9,Werder Bremen,2025-02-07,2,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,25,0,0,0,0,2,2,0,0,0.0,Match Report
10,Genoa,2024-11-24,2,,Cagliari,it Serie A,D 2-2,2,2,0,52,2,0,0,0,2,2,0,0,0.0,Match Report
11,Lazio,2024-09-22,2,@,Fiorentina,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,2,2,0,0,0.0,Match Report
12,West Ham,2024-11-30,2,,Arsenal,eng Premier League,L 2-5,2,5,-3,40,2,0,0,0,2,2,0,0,0.0,Match Report
13,Leganés,2024-12-22,2,,Villarreal,es La Liga,L 2-5,2,5,-3,36,1,1,1,0,2,2,0,0,0.0,Match Report
14,Alavés,2025-02-15,2,@,Leganés,es La Liga,D 3-3,3,3,0,57,2,1,1,0,2,2,0,0,0.0,Match Report
15,Alavés,2024-10-18,2,,Valladolid,es La Liga,L 2-3,2,3,-1,62,2,0,0,0,2,2,0,0,0.0,Match Report
16,Girona,2024-10-06,2,,Athletic Club,es La Liga,W 2-1,2,1,+1,66,1,1,1,0,2,0,2,0,100.0,Match Report
17,Espanyol,2025-03-15,2,@,Mallorca,es La Liga,L 1-2,1,2,-1,38,0,0,0,0,2,1,1,0,50.0,Match Report
18,Venezia,2024-11-30,2,@,Bologna,it Serie A,L 0-3,0,3,-3,40,0,0,0,0,2,2,0,0,0.0,Match Report
19,Venezia,2024-09-14,2,@,Milan,it Serie A,L 0-4,0,4,-4,38,0,0,0,0,2,2,0,0,0.0,Match Report
20,Ipswich Town,2025-01-05,2,@,Fulham,eng Premier League,D 2-2,2,2,0,27,1,1,1,0,2,2,0,0,0.0,Match Report
21,Strasbourg,2024-11-30,2,@,Brest,fr Ligue 1,L 1-3,1,3,-2,62,1,0,0,0,2,1,1,0,50.0,Match Report
22,Saint-Étienne,2025-02-22,2,,Angers,fr Ligue 1,D 3-3,3,3,0,61,3,0,0,0,2,2,0,0,0.0,Match Report
23,Saint-Étienne,2024-11-30,2,@,Rennes,fr Ligue 1,L 0-5,0,5,-5,29,0,0,0,0,2,2,0,0,0.0,Match Report
24,Saint-Étienne,2024-08-31,2,@,Brest,fr Ligue 1,L 0-4,0,4,-4,53,0,0,0,0,2,2,0,0,0.0,Match Report
25,Nantes,2025-03-30,2,@,Le Havre,fr Ligue 1,L 2-3,2,3,-1,48,2,0,0,0,2,2,0,0,0.0,Match Report
26,Juventus,2024-10-27,2,@,Inter,it Serie A,D 4-4,4,4,0,53,4,0,0,0,2,2,0,0,0.0,Match Report
27,Real Sociedad,2024-09-14,2,,Real Madrid,es La Liga,L 0-2,0,2,-2,48,0,0,0,0,2,2,0,0,0.0,Match Report
28,Parma,2024-12-22,2,@,Roma,it Serie A,L 0-5,0,5,-5,41,0,0,0,0,2,2,0,0,0.0,Match Report
29,Brest,2024-11-10,2,@,Montpellier,fr Ligue 1,L 1-3,1,3,-2,67,1,0,0,0,2,1,1,0,50.0,Match Report
