Rk,Team,Date,Att (GK),,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att (GK),Thr,Launch%,AvgLen,Match Report
1,Dortmund,2025-01-10,69,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,70,1,1,1,0,69,3,8.7,24.5,Match Report
2,Strasbourg,2025-02-02,69,@,Rennes,fr Ligue 1,L 0-1,0,1,-1,54,0,0,0,0,69,4,7.2,25.1,Match Report
3,Barcelona,2024-11-10,65,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,69,0,0,0,0,65,7,6.2,23.3,Match Report
4,St. Pauli,2025-02-15,65,,Freiburg,de Bundesliga,L 0-1,0,1,-1,54,0,0,0,0,65,4,26.2,28.7,Match Report
5,Saint-Étienne,2024-12-13,62,@,Toulouse,fr Ligue 1,L 1-2,1,2,-1,61,1,0,0,0,62,7,19.4,28.5,Match Report
6,Fulham,2024-10-26,62,@,Everton,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,62,7,12.9,25.3,Match Report
7,Strasbourg,2024-11-30,61,@,Brest,fr Ligue 1,L 1-3,1,3,-2,62,1,0,0,0,61,4,8.2,22.3,Match Report
8,Brentford,2024-09-14,61,@,Manchester City,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,61,2,29.5,32.3,Match Report
9,Bayern Munich,2024-08-25,60,@,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,70,2,0,0,0,60,8,15.0,26.3,Match Report
10,Torino,2025-02-08,59,,Genoa,it Serie A,D 1-1,1,1,0,57,0,0,0,0,59,3,37.3,34.5,Match Report
11,Gladbach,2025-03-07,59,,Mainz 05,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,59,3,37.3,35.7,Match Report
12,Manchester City,2024-11-09,59,@,Brighton,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,59,6,18.6,26.9,Match Report
13,Brentford,2024-09-21,59,@,Tottenham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,59,4,47.5,40.2,Match Report
14,Southampton,2025-02-22,58,,Brighton,eng Premier League,L 0-4,0,4,-4,50,0,0,0,0,58,8,46.6,36.6,Match Report
15,Freiburg,2024-11-08,58,@,Union Berlin,de Bundesliga,D 0-0,0,0,0,59,0,0,1,1,58,9,22.4,28.8,Match Report
16,Strasbourg,2024-10-27,58,,Nantes,fr Ligue 1,W 3-1,3,1,+2,50,3,0,0,0,58,5,36.2,31.3,Match Report
17,Roma,2024-12-02,58,,Atalanta,it Serie A,L 0-2,0,2,-2,48,0,0,0,0,58,6,31.0,29.5,Match Report
18,Bayern Munich,2024-10-19,57,,Stuttgart,de Bundesliga,W 4-0,4,0,+4,65,4,0,0,0,57,3,14.0,25.9,Match Report
19,Southampton,2024-10-26,57,@,Manchester City,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,57,9,17.5,24.7,Match Report
20,Stuttgart,2024-09-14,57,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,56,3,0,0,0,57,7,28.1,30.4,Match Report
21,Freiburg,2025-03-02,57,@,Augsburg,de Bundesliga,D 0-0,0,0,0,49,0,0,0,0,57,3,22.8,31.2,Match Report
22,Bologna,2025-03-16,56,,Lazio,it Serie A,W 5-0,5,0,+5,51,5,0,0,0,56,3,21.4,28.0,Match Report
23,St. Pauli,2025-02-22,56,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,47,0,0,0,0,56,3,30.4,30.2,Match Report
24,Inter,2024-08-30,56,,Atalanta,it Serie A,W 4-0,4,0,+4,55,3,0,0,0,56,6,14.3,23.8,Match Report
25,Werder Bremen,2024-12-21,55,,Union Berlin,de Bundesliga,W 4-1,4,1,+3,54,4,0,0,0,55,9,30.9,32.7,Match Report
26,Werder Bremen,2024-12-07,55,@,Bochum,de Bundesliga,W 1-0,1,0,+1,48,1,0,0,0,55,7,32.7,33.3,Match Report
27,Manchester Utd,2024-08-24,54,@,Brighton,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,54,9,24.1,27.1,Match Report
28,Southampton,2024-12-04,54,,Chelsea,eng Premier League,L 1-5,1,5,-4,45,1,0,0,0,54,4,42.6,34.6,Match Report
29,Tottenham,2024-10-06,54,@,Brighton,eng Premier League,L 2-3,2,3,-1,59,2,0,0,0,54,7,0.0,17.3,Match Report
30,Strasbourg,2025-02-23,54,,Brest,fr Ligue 1,D 0-0,0,0,0,57,0,0,0,0,54,6,11.1,21.7,Match Report
31,Brentford,2025-01-01,54,,Arsenal,eng Premier League,L 1-3,1,3,-2,50,1,0,0,0,54,1,44.4,37.1,Match Report
32,Roma,2025-01-12,54,@,Bologna,it Serie A,D 2-2,2,2,0,46,1,1,1,0,54,12,14.8,25.2,Match Report
33,Valladolid,2024-09-15,53,@,Celta Vigo,es La Liga,L 1-3,1,3,-2,46,1,0,0,0,53,6,32.1,32.9,Match Report
34,Barcelona,2024-10-06,53,@,Alavés,es La Liga,W 3-0,3,0,+3,71,3,0,0,0,53,1,13.2,25.6,Match Report
35,Strasbourg,2025-03-16,53,,Toulouse,fr Ligue 1,W 2-1,2,1,+1,57,2,0,0,0,53,2,17.0,24.4,Match Report
36,Strasbourg,2025-03-02,53,@,Auxerre,fr Ligue 1,W 1-0,1,0,+1,55,1,0,0,0,53,7,18.9,23.9,Match Report
37,Chelsea,2024-09-28,53,,Brighton,eng Premier League,W 4-2,4,2,+2,41,3,1,1,0,53,10,28.3,31.2,Match Report
38,Parma,2024-08-31,53,@,Napoli,it Serie A,L 1-2,1,2,-1,45,0,1,1,0,53,9,41.5,36.8,Match Report
39,Augsburg,2025-03-02,52,,Freiburg,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,52,7,28.8,30.8,Match Report
40,Bologna,2025-03-29,52,@,Venezia,it Serie A,W 1-0,1,0,+1,59,1,0,0,0,52,3,17.3,28.4,Match Report
41,Lazio,2025-03-16,52,@,Bologna,it Serie A,L 0-5,0,5,-5,49,0,0,0,0,52,6,28.8,33.3,Match Report
42,Lazio,2024-11-24,52,,Bologna,it Serie A,W 3-0,3,0,+3,70,3,0,0,0,52,3,26.9,30.5,Match Report
43,Strasbourg,2025-01-25,52,,Lille,fr Ligue 1,W 2-1,2,1,+1,42,2,0,0,0,52,2,13.5,25.8,Match Report
44,Strasbourg,2024-08-25,52,,Rennes,fr Ligue 1,W 3-1,3,1,+2,59,2,0,0,0,52,7,17.3,25.5,Match Report
45,Milan,2025-02-27,52,@,Bologna,it Serie A,L 1-2,1,2,-1,43,1,0,0,0,52,6,50.0,38.3,Match Report
46,Torino,2024-12-21,51,,Bologna,it Serie A,L 0-2,0,2,-2,42,0,0,0,0,51,1,54.9,41.3,Match Report
47,Heidenheim,2025-04-05,51,,Leverkusen,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,51,0,27.5,31.7,Match Report
48,Heidenheim,2025-02-16,51,,Mainz 05,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,51,8,21.6,30.9,Match Report
49,Freiburg,2024-10-26,51,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,51,10,23.5,31.9,Match Report
50,Dortmund,2024-10-26,51,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,75,1,0,0,0,51,5,17.6,29.9,Match Report
51,Manchester City,2025-01-25,51,,Chelsea,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,51,6,21.6,28.9,Match Report
52,Strasbourg,2024-10-19,51,@,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,45,2,0,0,0,51,4,37.3,34.8,Match Report
53,Inter,2025-03-30,51,,Udinese,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,51,3,27.5,32.5,Match Report
