Rk,Team,Date,Cmp,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
1,Paris S-G,2024-11-30,973,,Nantes,fr Ligue 1,D 1-1,1,1,0,84,1,0,0,0,973,1083,89.8,21,104,21,4,115,15966,3840,453,488,92.8,448,483,92.8,53,69,76.8,Match Report
2,Bayern Munich,2024-12-07,949,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,82,4,0,0,0,949,1038,91.4,18,99,14,3,78,14700,4175,510,531,96.0,342,364,94.0,66,86,76.7,Match Report
3,Paris S-G,2025-04-05,914,,Angers,fr Ligue 1,W 1-0,1,0,+1,81,1,0,0,0,914,991,92.2,16,87,17,4,77,14427,4061,483,507,95.3,364,389,93.6,48,58,82.8,Match Report
4,Leverkusen,2024-11-23,897,,Heidenheim,de Bundesliga,W 5-2,5,2,+3,78,5,0,0,0,897,996,90.1,15,79,13,1,84,13366,3966,508,533,95.3,333,362,92.0,30,53,56.6,Match Report
5,Bayern Munich,2025-02-07,883,,Werder Bremen,de Bundesliga,W 3-0,3,0,+3,75,1,2,2,0,883,955,92.5,16,81,14,3,67,13678,3796,503,520,96.7,312,330,94.5,54,73,74.0,Match Report
6,Marseille,2025-01-05,880,,Le Havre,fr Ligue 1,W 5-1,5,1,+4,70,5,0,0,0,880,951,92.5,12,101,9,0,74,14132,3774,401,432,92.8,428,445,96.2,28,41,68.3,Match Report
7,Paris S-G,2024-10-27,878,@,Marseille,fr Ligue 1,W 3-0,3,0,+3,74,2,0,0,0,878,945,92.9,16,101,15,4,77,13341,3350,473,494,95.7,326,343,95.0,50,60,83.3,Match Report
8,Marseille,2025-02-09,856,@,Angers,fr Ligue 1,W 2-0,2,0,+2,78,2,0,0,0,856,942,90.9,15,72,17,5,68,12522,3924,484,518,93.4,293,321,91.3,39,48,81.3,Match Report
9,Marseille,2024-08-31,838,@,Toulouse,fr Ligue 1,W 3-1,3,1,+2,76,2,0,0,0,838,913,91.8,6,61,14,1,54,12746,3932,449,465,96.6,349,374,93.3,25,50,50.0,Match Report
10,Bayern Munich,2024-11-22,837,,Augsburg,de Bundesliga,W 3-0,3,0,+3,80,1,2,2,0,837,928,90.2,23,118,22,3,105,13620,4119,404,430,94.0,368,393,93.6,48,68,70.6,Match Report
11,Marseille,2024-12-08,830,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,68,2,0,1,1,830,901,92.1,17,42,10,2,56,12210,3571,450,476,94.5,329,350,94.0,25,42,59.5,Match Report
12,Bayern Munich,2024-11-02,816,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,77,2,1,1,0,816,902,90.5,14,84,13,0,79,13757,3685,363,391,92.8,412,436,94.5,37,56,66.1,Match Report
13,Marseille,2025-03-08,811,,Lens,fr Ligue 1,L 0-1,0,1,-1,75,0,0,0,0,811,912,88.9,14,68,14,3,80,12888,3284,403,432,93.3,372,406,91.6,29,51,56.9,Match Report
14,Bayern Munich,2024-09-21,801,@,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,69,5,0,0,0,801,878,91.2,22,74,24,3,97,12754,4167,402,424,94.8,351,370,94.9,32,56,57.1,Match Report
15,Bayern Munich,2024-10-06,800,@,Eint Frankfurt,de Bundesliga,D 3-3,3,3,0,74,3,0,0,0,800,908,88.1,17,83,19,2,85,12291,3397,465,487,95.5,299,336,89.0,30,55,54.5,Match Report
16,Paris S-G,2024-08-16,798,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,76,3,1,1,0,798,866,92.1,12,62,7,1,64,13370,3735,368,389,94.6,352,368,95.7,61,76,80.3,Match Report
17,Paris S-G,2024-09-21,783,@,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,783,849,92.2,11,93,21,5,82,13657,3981,337,355,94.9,379,398,95.2,61,83,73.5,Match Report
18,Marseille,2025-02-15,780,,Saint-Étienne,fr Ligue 1,W 5-1,5,1,+4,70,4,1,1,0,780,871,89.6,20,45,14,4,60,11689,3681,435,461,94.4,272,291,93.5,38,56,67.9,Match Report
19,Paris S-G,2025-02-15,777,@,Toulouse,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,777,847,91.7,13,59,13,3,64,13156,3336,338,363,93.1,383,399,96.0,45,62,72.6,Match Report
20,Marseille,2024-11-03,771,@,Nantes,fr Ligue 1,W 2-1,2,1,+1,73,2,0,0,0,771,852,90.5,9,59,9,3,68,13901,4096,312,339,92.0,394,418,94.3,58,80,72.5,Match Report
21,Bayern Munich,2024-11-09,769,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,75,1,0,0,0,769,869,88.5,8,77,10,3,67,12521,3306,389,413,94.2,315,347,90.8,55,71,77.5,Match Report
22,Inter,2024-11-23,769,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,69,5,0,0,0,769,829,92.8,11,56,6,0,42,14018,4145,306,321,95.3,393,411,95.6,65,82,79.3,Match Report
23,Leverkusen,2024-10-05,764,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,74,2,0,0,0,764,860,88.8,19,87,18,6,105,11235,3266,446,475,93.9,256,287,89.2,37,60,61.7,Match Report
24,Paris S-G,2024-11-09,763,@,Angers,fr Ligue 1,W 4-2,4,2,+2,70,4,0,0,0,763,838,91.1,20,63,17,3,77,12553,3443,381,408,93.4,321,338,95.0,49,63,77.8,Match Report
25,Bayern Munich,2024-09-14,757,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,+5,70,4,1,1,0,757,836,90.6,19,66,12,0,66,12854,4225,360,378,95.2,337,362,93.1,51,79,64.6,Match Report
26,Real Madrid,2025-02-01,754,@,Espanyol,es La Liga,L 0-1,0,1,-1,76,0,0,0,0,754,845,89.2,15,62,19,0,85,12577,3678,360,381,94.5,329,347,94.8,48,77,62.3,Match Report
27,Manchester City,2025-04-02,749,,Leicester City,eng Premier League,W 2-0,2,0,+2,72,2,0,0,0,749,810,92.5,13,67,17,1,54,12125,3042,384,403,95.3,324,344,94.2,39,49,79.6,Match Report
28,Dortmund,2024-10-18,746,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,74,2,0,0,0,746,822,90.8,16,74,11,5,60,13665,3283,296,310,95.5,386,404,95.5,58,85,68.2,Match Report
29,Marseille,2025-03-02,745,,Nantes,fr Ligue 1,W 2-0,2,0,+2,74,2,0,0,0,745,830,89.8,18,58,12,3,47,11391,3876,398,422,94.3,285,304,93.8,41,60,68.3,Match Report
30,Marseille,2025-02-22,745,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,79,0,0,0,0,745,837,89.0,7,62,9,0,75,11765,3405,363,384,94.5,346,376,92.0,23,50,46.0,Match Report
31,Paris S-G,2025-01-25,742,,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,742,824,90.0,13,71,18,5,87,11990,3459,344,367,93.7,334,355,94.1,39,57,68.4,Match Report
32,Leverkusen,2024-09-22,740,,Wolfsburg,de Bundesliga,W 4-3,4,3,+1,78,4,0,0,0,740,831,89.0,18,69,12,2,73,11395,3598,396,428,92.5,293,320,91.6,35,54,64.8,Match Report
33,Atalanta,2024-10-26,730,,Hellas Verona,it Serie A,W 6-1,6,1,+5,69,6,0,0,0,730,812,89.9,13,59,13,3,66,11955,3166,357,381,93.7,326,353,92.4,36,56,64.3,Match Report
34,Barcelona,2024-12-15,729,,Leganés,es La Liga,L 0-1,0,1,-1,79,0,0,0,0,729,846,86.2,18,96,19,4,100,11533,3812,361,396,91.2,307,342,89.8,39,55,70.9,Match Report
35,Manchester City,2024-08-24,726,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,75,3,1,1,0,726,796,91.2,11,61,18,4,60,11491,2774,390,418,93.3,281,300,93.7,42,49,85.7,Match Report
36,Girona,2024-11-23,724,,Espanyol,es La Liga,W 4-1,4,1,+3,75,4,0,0,0,724,812,89.2,11,48,8,1,55,12769,4029,306,321,95.3,330,358,92.2,70,97,72.2,Match Report
37,Barcelona,2024-11-03,717,,Espanyol,es La Liga,W 3-1,3,1,+2,76,3,0,0,0,717,799,89.7,13,58,13,0,63,11507,3416,352,369,95.4,315,346,91.0,36,54,66.7,Match Report
38,Inter,2024-10-05,717,,Torino,it Serie A,W 3-2,3,2,+1,80,3,0,0,0,717,804,89.2,21,72,15,6,72,12497,3294,315,338,93.2,338,366,92.3,54,77,70.1,Match Report
39,Marseille,2025-03-29,716,@,Reims,fr Ligue 1,L 1-3,1,3,-2,80,1,0,0,0,716,835,85.7,19,100,16,2,105,11032,3153,381,409,93.2,281,315,89.2,31,67,46.3,Match Report
40,Bayern Munich,2025-02-23,715,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,63,4,0,0,0,715,807,88.6,14,60,16,0,70,11639,4117,376,401,93.8,279,302,92.4,48,72,66.7,Match Report
41,Lille,2025-03-08,715,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,715,804,88.9,16,65,12,2,60,11668,3417,352,378,93.1,307,339,90.6,41,57,71.9,Match Report
42,Bayern Munich,2025-02-01,713,,Holstein Kiel,de Bundesliga,W 4-3,4,3,+1,71,4,0,0,0,713,784,90.9,25,80,12,3,63,11556,3580,357,374,95.5,271,296,91.6,55,71,77.5,Match Report
43,Inter,2024-10-30,713,@,Empoli,it Serie A,W 3-0,3,0,+3,77,3,0,0,0,713,805,88.6,12,69,14,3,75,11699,3112,361,392,92.1,285,314,90.8,49,67,73.1,Match Report
44,Paris S-G,2024-08-23,713,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,713,774,92.1,22,34,12,1,61,10239,3038,407,425,95.8,224,237,94.5,41,58,70.7,Match Report
45,Paris S-G,2024-11-22,708,,Toulouse,fr Ligue 1,W 3-0,3,0,+3,72,3,0,0,0,708,806,87.8,15,37,9,1,59,11058,3096,363,390,93.1,284,309,91.9,38,58,65.5,Match Report
46,Barcelona,2025-03-02,706,,Real Sociedad,es La Liga,W 4-0,4,0,+4,76,4,0,0,0,706,786,89.8,24,62,16,2,69,10572,2619,382,401,95.3,254,286,88.8,37,52,71.2,Match Report
47,Barcelona,2025-03-27,701,,Osasuna,es La Liga,W 3-0,3,0,+3,74,2,1,1,0,701,786,89.2,15,68,17,1,61,11470,3570,339,361,93.9,310,338,91.7,40,57,70.2,Match Report
48,Marseille,2024-10-04,700,,Angers,fr Ligue 1,D 1-1,1,1,0,76,1,0,0,0,700,773,90.6,12,78,13,0,79,10558,2897,368,385,95.6,298,327,91.1,20,36,55.6,Match Report
49,Manchester City,2025-01-19,700,@,Ipswich Town,eng Premier League,W 6-0,6,0,+6,67,6,0,0,0,700,773,90.6,13,53,14,0,50,11361,2965,359,375,95.7,308,332,92.8,32,52,61.5,Match Report
50,Bayern Munich,2025-01-15,699,,Hoffenheim,de Bundesliga,W 5-0,5,0,+5,65,4,1,1,0,699,793,88.1,17,88,21,4,86,12295,4157,327,359,91.1,288,314,91.7,74,93,79.6,Match Report
51,Real Madrid,2024-09-24,698,,Alavés,es La Liga,W 3-2,3,2,+1,68,3,0,0,0,698,767,91.0,7,41,4,1,39,11686,3376,327,352,92.9,303,313,96.8,49,71,69.0,Match Report
52,Paris S-G,2024-12-15,697,,Lyon,fr Ligue 1,W 3-1,3,1,+2,68,2,1,1,0,697,774,90.1,9,50,9,0,51,11749,3094,321,332,96.7,290,314,92.4,63,85,74.1,Match Report
53,Bayern Munich,2025-03-08,696,,Bochum,de Bundesliga,L 2-3,2,3,-1,73,2,0,1,1,696,779,89.3,13,69,18,3,59,11333,3735,365,390,93.6,270,291,92.8,46,63,73.0,Match Report
54,Torino,2024-09-20,696,@,Hellas Verona,it Serie A,W 3-2,3,2,+1,70,3,0,1,1,696,793,87.8,8,60,13,5,56,12331,3535,297,328,90.5,325,350,92.9,61,85,71.8,Match Report
55,Liverpool,2025-01-25,696,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,70,4,0,0,0,696,790,88.1,12,75,15,4,77,11259,3020,337,367,91.8,312,342,91.2,35,53,66.0,Match Report
56,Saint-Étienne,2025-01-19,696,,Nantes,fr Ligue 1,D 1-1,1,1,0,75,1,0,0,0,696,798,87.2,10,67,13,2,64,10815,3588,359,388,92.5,287,312,92.0,31,59,52.5,Match Report
57,Bayern Munich,2024-10-27,691,@,Bochum,de Bundesliga,W 5-0,5,0,+5,72,5,0,0,0,691,779,88.7,17,44,11,1,60,11873,3894,313,338,92.6,336,364,92.3,39,60,65.0,Match Report
58,Manchester City,2024-08-31,691,@,West Ham,eng Premier League,W 3-1,3,1,+2,67,3,0,0,0,691,762,90.7,20,67,19,1,77,11460,3117,361,389,92.8,265,288,92.0,58,70,82.9,Match Report
59,Roma,2025-02-24,688,,Monza,it Serie A,W 4-0,4,0,+4,65,4,0,0,0,688,763,90.2,21,73,5,2,53,11930,3465,301,323,93.2,336,357,94.1,45,67,67.2,Match Report
60,Strasbourg,2024-11-02,687,@,Saint-Étienne,fr Ligue 1,L 0-2,0,2,-2,64,0,0,0,0,687,760,90.4,8,43,7,1,62,11926,3687,290,305,95.1,354,378,93.7,34,55,61.8,Match Report
61,Manchester City,2024-10-20,686,@,Wolves,eng Premier League,W 2-1,2,1,+1,77,2,0,0,0,686,795,86.3,19,57,26,1,100,10077,2543,389,424,91.7,251,284,88.4,25,42,59.5,Match Report
62,Bayern Munich,2025-03-15,685,@,Union Berlin,de Bundesliga,D 1-1,1,1,0,80,1,0,0,0,685,802,85.4,13,96,14,1,93,11419,3369,337,363,92.8,301,342,88.0,41,74,55.4,Match Report
