Rk,Team,Date,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Match Report
1,Paris S-G,2024-11-30,967,,Nantes,fr Ligue 1,D 1-1,1,1,0,84,1,0,0,0,967,114,718,3865,2388,44,29,13,12,18,Match Report
2,Bayern Munich,2024-12-07,946,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,82,4,0,0,0,946,78,789,3537,1765,27,22,6,14,6,Match Report
3,Paris S-G,2025-04-05,912,,Angers,fr Ligue 1,W 1-0,1,0,+1,81,1,0,0,0,912,77,718,3982,2051,37,41,14,8,12,Match Report
4,Leverkusen,2024-11-23,890,,Heidenheim,de Bundesliga,W 5-2,5,2,+3,78,5,0,0,0,890,83,742,4150,2349,35,38,9,7,13,Match Report
5,Bayern Munich,2025-02-07,878,,Werder Bremen,de Bundesliga,W 3-0,3,0,+3,75,1,2,2,0,878,66,714,2915,1504,22,28,6,12,9,Match Report
6,Paris S-G,2024-10-27,873,@,Marseille,fr Ligue 1,W 3-0,3,0,+3,74,2,0,0,0,873,77,815,3820,1968,33,40,16,15,8,Match Report
7,Marseille,2025-01-05,871,,Le Havre,fr Ligue 1,W 5-1,5,1,+4,70,5,0,0,0,871,74,549,2681,1416,22,22,6,11,11,Match Report
8,Marseille,2025-02-09,849,@,Angers,fr Ligue 1,W 2-0,2,0,+2,78,2,0,0,0,849,68,636,2830,1573,31,25,5,10,9,Match Report
9,Bayern Munich,2024-11-22,835,,Augsburg,de Bundesliga,W 3-0,3,0,+3,80,1,2,2,0,835,105,575,3291,1832,39,22,11,14,5,Match Report
10,Marseille,2024-08-31,828,@,Toulouse,fr Ligue 1,W 3-1,3,1,+2,76,2,0,0,0,828,54,769,3102,1379,16,17,4,15,7,Match Report
11,Marseille,2024-12-08,824,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,68,2,0,1,1,824,54,694,2897,1561,23,13,10,16,5,Match Report
12,Bayern Munich,2024-11-02,814,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,77,2,1,1,0,814,79,643,3397,1778,27,19,9,7,4,Match Report
13,Marseille,2025-03-08,804,,Lens,fr Ligue 1,L 0-1,0,1,-1,75,0,0,0,0,804,80,526,3131,1881,40,44,9,13,20,Match Report
14,Bayern Munich,2024-09-21,798,@,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,69,5,0,0,0,798,96,529,2792,1286,31,19,13,23,10,Match Report
15,Bayern Munich,2024-10-06,797,@,Eint Frankfurt,de Bundesliga,D 3-3,3,3,0,74,3,0,0,0,797,84,654,3274,1756,34,37,11,6,9,Match Report
16,Paris S-G,2024-08-16,796,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,76,3,1,1,0,796,64,678,3200,1550,25,22,10,13,15,Match Report
17,Marseille,2025-02-15,778,,Saint-Étienne,fr Ligue 1,W 5-1,5,1,+4,70,4,1,1,0,778,60,606,2372,1162,31,21,10,8,7,Match Report
18,Paris S-G,2024-09-21,775,@,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,775,82,459,2035,1211,17,10,5,18,11,Match Report
19,Paris S-G,2025-02-15,774,@,Toulouse,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,774,64,569,2927,1716,28,26,6,17,10,Match Report
20,Bayern Munich,2024-11-09,764,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,75,1,0,0,0,764,65,649,3474,1718,15,19,3,16,8,Match Report
21,Inter,2024-11-23,763,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,69,5,0,0,0,763,42,526,2187,1198,20,13,4,2,8,Match Report
22,Leverkusen,2024-10-05,760,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,74,2,0,0,0,760,105,666,2990,1511,27,23,8,12,11,Match Report
23,Marseille,2024-11-03,759,@,Nantes,fr Ligue 1,W 2-1,2,1,+1,73,2,0,0,0,759,66,626,3508,1918,25,16,9,16,12,Match Report
24,Paris S-G,2024-11-09,759,@,Angers,fr Ligue 1,W 4-2,4,2,+2,70,4,0,0,0,759,77,566,2927,1703,22,24,5,9,5,Match Report
25,Bayern Munich,2024-09-14,755,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,+5,70,4,1,1,0,755,66,642,2669,1154,22,14,10,9,6,Match Report
26,Real Madrid,2025-02-01,751,@,Espanyol,es La Liga,L 0-1,0,1,-1,76,0,0,0,0,751,85,642,3781,2119,40,28,10,8,12,Match Report
27,Manchester City,2025-04-02,744,,Leicester City,eng Premier League,W 2-0,2,0,+2,72,2,0,0,0,744,54,671,3388,1612,29,32,10,22,10,Match Report
28,Marseille,2025-03-02,739,,Nantes,fr Ligue 1,W 2-0,2,0,+2,74,2,0,0,0,739,47,697,2746,1423,28,19,5,15,10,Match Report
29,Paris S-G,2025-01-25,739,,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,739,87,516,2760,1679,27,23,10,20,12,Match Report
30,Marseille,2025-02-22,738,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,79,0,0,0,0,738,75,500,2796,1618,17,21,3,12,13,Match Report
31,Dortmund,2024-10-18,738,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,74,2,0,0,0,738,59,631,2820,1505,15,33,3,13,10,Match Report
32,Leverkusen,2024-09-22,736,,Wolfsburg,de Bundesliga,W 4-3,4,3,+1,78,4,0,0,0,736,73,467,2378,1293,16,20,8,21,3,Match Report
