Rk,Team,Date,Gls,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1,Nice,2024-09-20,7,,Saint-Étienne,fr Ligue 1,W 8-0,8,0,+8,59,6,1,1,0,7,17,0.35,0.55,11,64.7,15.3,0,Match Report
2,Barcelona,2024-08-31,7,,Valladolid,es La Liga,W 7-0,7,0,+7,70,7,0,0,0,7,23,0.30,0.64,11,47.8,13.7,1,Match Report
3,Athletic Club,2025-02-23,7,,Valladolid,es La Liga,W 7-1,7,1,+6,57,7,0,0,0,7,29,0.24,0.44,16,55.2,16.4,0,Match Report
4,Eint Frankfurt,2024-11-02,7,,Bochum,de Bundesliga,W 7-2,7,2,+5,64,7,0,0,0,7,18,0.39,0.78,9,50.0,17.0,2,Match Report
5,Monaco,2025-02-15,7,,Nantes,fr Ligue 1,W 7-1,7,1,+6,65,6,1,1,0,7,21,0.29,0.60,10,47.6,15.1,0,Match Report
6,Barcelona,2025-01-26,6,,Valencia,es La Liga,W 7-1,7,1,+6,71,6,0,0,0,6,22,0.27,0.55,11,50.0,16.2,0,Match Report
7,Fiorentina,2024-10-20,6,@,Lecce,it Serie A,W 6-0,6,0,+6,61,6,0,0,0,6,19,0.32,0.55,11,57.9,19.0,1,Match Report
8,Liverpool,2024-12-22,6,@,Tottenham,eng Premier League,W 6-3,6,3,+3,48,6,0,0,0,6,24,0.25,0.55,11,45.8,13.3,0,Match Report
9,Atalanta,2024-10-26,6,,Hellas Verona,it Serie A,W 6-1,6,1,+5,69,6,0,0,0,6,19,0.32,0.60,10,52.6,15.3,0,Match Report
10,Manchester City,2025-01-19,6,@,Ipswich Town,eng Premier League,W 6-0,6,0,+6,67,6,0,0,0,6,17,0.35,0.67,9,52.9,14.9,0,Match Report
11,Chelsea,2024-08-25,6,@,Wolves,eng Premier League,W 6-2,6,2,+4,60,6,0,0,0,6,14,0.43,0.75,8,57.1,15.4,1,Match Report
12,Inter,2024-12-16,6,@,Lazio,it Serie A,W 6-0,6,0,+6,48,5,1,1,0,6,11,0.45,0.83,6,54.5,18.5,1,Match Report
13,Paris S-G,2025-03-29,6,@,Saint-Étienne,fr Ligue 1,W 6-1,6,1,+5,53,5,1,1,0,6,21,0.24,0.56,9,42.9,20.0,0,Match Report
14,Paris S-G,2024-08-23,6,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,6,27,0.22,0.55,11,40.7,17.0,4,Match Report
15,Nott'ham Forest,2025-02-01,6,,Brighton,eng Premier League,W 7-0,7,0,+7,38,5,1,1,0,6,13,0.38,0.63,8,61.5,13.4,0,Match Report
16,Bayern Munich,2025-01-15,5,,Hoffenheim,de Bundesliga,W 5-0,5,0,+5,65,4,1,1,0,5,24,0.17,0.44,9,37.5,15.7,0,Match Report
