Rk,Team,Date,SCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
1,Liverpool,2025-01-18,68,@,Brentford,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,68,55,5,2,6,0,0,Match Report
2,Manchester City,2024-09-22,64,,Arsenal,eng Premier League,D 2-2,2,2,0,77,2,0,0,0,64,55,1,3,3,1,1,Match Report
3,Bayern Munich,2024-11-22,61,,Augsburg,de Bundesliga,W 3-0,3,0,+3,80,1,2,2,0,61,47,0,7,3,3,1,Match Report
4,Arsenal,2024-09-28,58,,Leicester City,eng Premier League,W 4-2,4,2,+2,74,3,0,0,0,58,44,3,2,6,1,2,Match Report
5,Barcelona,2025-03-02,58,,Real Sociedad,es La Liga,W 4-0,4,0,+4,76,4,0,0,0,58,46,1,3,5,2,1,Match Report
6,Real Madrid,2024-09-21,58,,Espanyol,es La Liga,W 4-1,4,1,+3,73,3,1,1,0,58,45,5,2,5,1,0,Match Report
7,Rayo Vallecano,2024-11-08,56,,Las Palmas,es La Liga,L 1-3,1,3,-2,64,0,0,0,0,56,42,6,1,4,3,0,Match Report
8,Bayern Munich,2025-02-01,55,,Holstein Kiel,de Bundesliga,W 4-3,4,3,+1,71,4,0,0,0,55,42,4,3,5,1,0,Match Report
9,Athletic Club,2025-01-26,55,,Leganés,es La Liga,D 0-0,0,0,0,68,0,0,0,0,55,44,5,2,1,2,1,Match Report
10,Napoli,2024-08-31,55,,Parma,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,55,51,2,0,0,2,0,Match Report
11,Inter,2025-03-08,55,,Monza,it Serie A,W 3-2,3,2,+1,69,2,0,0,0,55,44,6,0,5,0,0,Match Report
12,Augsburg,2024-09-20,54,,Mainz 05,de Bundesliga,L 2-3,2,3,-1,73,2,0,0,0,54,38,9,1,6,0,0,Match Report
13,Inter,2024-10-05,54,,Torino,it Serie A,W 3-2,3,2,+1,80,3,0,0,0,54,45,4,1,3,0,1,Match Report
14,Paris S-G,2024-08-23,53,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,53,39,3,5,1,4,1,Match Report
15,Eint Frankfurt,2024-12-21,53,,Mainz 05,de Bundesliga,L 1-3,1,3,-2,70,1,0,0,0,53,30,9,2,11,0,1,Match Report
16,Arsenal,2024-10-05,52,,Southampton,eng Premier League,W 3-1,3,1,+2,59,3,0,0,0,52,40,5,2,3,1,1,Match Report
17,West Ham,2024-12-03,52,@,Leicester City,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,52,35,6,3,6,2,0,Match Report
18,Newcastle Utd,2024-12-14,52,,Leicester City,eng Premier League,W 4-0,4,0,+4,59,4,0,0,0,52,40,3,5,2,1,1,Match Report
19,Barcelona,2024-11-30,51,,Las Palmas,es La Liga,L 1-2,1,2,-1,69,1,0,0,0,51,43,2,1,1,4,0,Match Report
20,Athletic Club,2025-02-23,51,,Valladolid,es La Liga,W 7-1,7,1,+6,57,7,0,0,0,51,42,0,2,5,0,2,Match Report
21,Liverpool,2025-03-08,51,,Southampton,eng Premier League,W 3-1,3,1,+2,71,1,2,2,0,51,36,1,6,6,1,1,Match Report
22,Everton,2024-11-23,51,,Brentford,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,51,46,2,1,1,1,0,Match Report
23,Bournemouth,2024-12-16,50,,West Ham,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,50,40,2,0,5,1,2,Match Report
24,Real Madrid,2025-01-19,50,,Las Palmas,es La Liga,W 4-1,4,1,+3,61,3,1,1,0,50,39,3,3,3,2,0,Match Report
25,Lille,2025-02-01,50,,Saint-Étienne,fr Ligue 1,W 4-1,4,1,+3,67,3,1,1,0,50,36,5,1,6,2,0,Match Report
26,Las Palmas,2024-10-05,49,,Celta Vigo,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,49,38,4,3,2,2,0,Match Report
27,Gladbach,2024-09-21,49,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,63,0,0,0,0,49,26,9,4,3,6,1,Match Report
28,Rennes,2025-02-21,49,,Reims,fr Ligue 1,W 1-0,1,0,+1,58,0,1,1,0,49,43,3,1,2,0,0,Match Report
29,Leverkusen,2024-10-19,49,,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,54,2,0,1,1,49,39,2,3,4,1,0,Match Report
30,Stuttgart,2024-12-21,48,,St. Pauli,de Bundesliga,L 0-1,0,1,-1,72,0,0,0,0,48,36,6,2,3,1,0,Match Report
31,Roma,2024-08-25,48,,Empoli,it Serie A,L 1-2,1,2,-1,73,1,0,0,0,48,36,4,1,6,0,1,Match Report
32,Chelsea,2025-01-14,48,,Bournemouth,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,48,31,6,6,1,3,1,Match Report
