Rk,Team,Date,#OPA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,#OPA,AvgDist,Match Report
1,Barcelona,2024-11-23,12,@,Celta Vigo,es La Liga,D 2-2,2,2,0,59,2,0,0,0,12,23.7,Match Report
2,Como,2025-03-29,12,,Empoli,it Serie A,D 1-1,1,1,0,71,1,0,0,0,12,23.3,Match Report
3,Barcelona,2024-12-21,9,,Atlético Madrid,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,9,25.7,Match Report
4,Barcelona,2024-12-15,9,,Leganés,es La Liga,L 0-1,0,1,-1,79,0,0,0,0,9,29.3,Match Report
5,Barcelona,2024-11-10,9,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,69,0,0,0,0,9,30.8,Match Report
6,Barcelona,2024-12-03,8,@,Mallorca,es La Liga,W 5-1,5,1,+4,59,4,1,1,0,8,21.3,Match Report
7,Tottenham,2024-08-19,8,@,Leicester City,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,8,28.3,Match Report
8,Auxerre,2025-02-01,8,@,Monaco,fr Ligue 1,L 2-4,2,4,-2,43,1,1,1,0,8,19.3,Match Report
9,Osasuna,2025-02-21,7,@,Celta Vigo,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,7,27.7,Match Report
10,Barcelona,2024-11-30,7,,Las Palmas,es La Liga,L 1-2,1,2,-1,69,1,0,0,0,7,25.7,Match Report
11,Barcelona,2024-10-20,7,,Sevilla,es La Liga,W 5-1,5,1,+4,67,4,1,1,0,7,28.0,Match Report
12,Barcelona,2024-10-06,7,@,Alavés,es La Liga,W 3-0,3,0,+3,71,3,0,0,0,7,20.1,Match Report
13,Marseille,2024-11-23,7,@,Lens,fr Ligue 1,W 3-1,3,1,+2,55,3,0,0,0,7,24.3,Match Report
14,Mainz 05,2024-09-15,7,,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,58,1,0,0,0,7,26.4,Match Report
15,Chelsea,2024-09-01,7,,Crystal Palace,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,7,19.6,Match Report
16,Everton,2024-12-04,7,,Wolves,eng Premier League,W 4-0,4,0,+4,44,2,0,0,0,7,25.6,Match Report
17,Las Palmas,2024-10-05,6,,Celta Vigo,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,6,30.3,Match Report
18,Osasuna,2024-10-19,6,,Betis,es La Liga,L 1-2,1,2,-1,55,1,0,0,0,6,22.4,Match Report
19,Osasuna,2024-09-28,6,,Barcelona,es La Liga,W 4-2,4,2,+2,27,3,1,1,0,6,18.6,Match Report
20,Osasuna,2024-09-01,6,,Celta Vigo,es La Liga,W 3-2,3,2,+1,50,2,0,0,0,6,26.1,Match Report
21,Valladolid,2024-10-26,6,,Villarreal,es La Liga,L 1-2,1,2,-1,45,0,1,1,0,6,19.9,Match Report
22,Arsenal,2025-03-16,6,,Chelsea,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,6,20.6,Match Report
23,Arsenal,2024-11-10,6,@,Chelsea,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,6,17.3,Match Report
24,Barcelona,2025-02-22,6,@,Las Palmas,es La Liga,W 2-0,2,0,+2,69,2,0,0,0,6,25.4,Match Report
25,Barcelona,2024-09-25,6,,Getafe,es La Liga,W 1-0,1,0,+1,76,1,0,0,0,6,24.4,Match Report
26,Como,2025-04-05,6,@,Monza,it Serie A,W 3-1,3,1,+2,58,3,0,0,0,6,19.5,Match Report
27,Como,2025-02-23,6,,Napoli,it Serie A,W 2-1,2,1,+1,42,1,0,0,0,6,17.6,Match Report
28,Bournemouth,2025-02-22,6,,Wolves,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,6,23.9,Match Report
29,Auxerre,2024-12-01,6,@,Toulouse,fr Ligue 1,L 0-2,0,2,-2,48,0,0,0,0,6,22.1,Match Report
30,West Ham,2025-04-01,6,@,Wolves,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,6,25.4,Match Report
31,Leganés,2024-10-27,6,,Celta Vigo,es La Liga,W 3-0,3,0,+3,39,3,0,0,0,6,20.7,Match Report
32,Atalanta,2024-09-28,6,@,Bologna,it Serie A,D 1-1,1,1,0,64,1,0,0,0,6,28.0,Match Report
33,Mainz 05,2025-01-25,6,,Stuttgart,de Bundesliga,W 2-0,2,0,+2,44,2,0,0,0,6,17.8,Match Report
34,Mainz 05,2025-01-19,6,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,66,0,1,1,0,6,22.2,Match Report
35,Mainz 05,2024-11-09,6,,Dortmund,de Bundesliga,W 3-1,3,1,+2,53,3,0,0,0,6,20.7,Match Report
36,Dortmund,2024-10-05,6,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,67,1,0,0,0,6,22.3,Match Report
37,Newcastle Utd,2024-08-25,6,@,Bournemouth,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,6,19.2,Match Report
38,Ipswich Town,2024-11-24,6,,Manchester Utd,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,6,21.6,Match Report
39,Manchester City,2024-09-14,6,,Brentford,eng Premier League,W 2-1,2,1,+1,54,2,0,0,0,6,16.3,Match Report
40,Strasbourg,2025-01-19,6,@,Marseille,fr Ligue 1,D 1-1,1,1,0,31,1,0,0,0,6,18.9,Match Report
41,Brighton,2024-12-27,6,,Brentford,eng Premier League,D 0-0,0,0,0,57,0,0,0,0,6,25.1,Match Report
42,Brighton,2024-09-22,6,,Nott'ham Forest,eng Premier League,D 2-2,2,2,0,70,2,0,0,0,6,22.5,Match Report
43,Milan,2025-03-30,6,@,Napoli,it Serie A,L 1-2,1,2,-1,49,1,0,1,1,6,24.3,Match Report
44,Milan,2024-08-31,6,@,Lazio,it Serie A,D 2-2,2,2,0,57,2,0,0,0,6,28.5,Match Report
45,Valencia,2024-12-13,6,@,Valladolid,es La Liga,L 0-1,0,1,-1,67,0,0,0,0,6,32.9,Match Report
46,Las Palmas,2024-09-15,5,,Athletic Club,es La Liga,L 2-3,2,3,-1,64,2,0,0,0,5,20.5,Match Report
47,Osasuna,2025-02-15,5,,Real Madrid,es La Liga,D 1-1,1,1,0,45,0,1,1,0,5,23.8,Match Report
48,Osasuna,2024-11-24,5,,Villarreal,es La Liga,D 2-2,2,2,0,41,1,1,1,0,5,18.8,Match Report
49,Osasuna,2024-08-17,5,,Leganés,es La Liga,D 1-1,1,1,0,61,0,0,0,0,5,30.5,Match Report
50,Bayern Munich,2024-10-06,5,@,Eint Frankfurt,de Bundesliga,D 3-3,3,3,0,74,3,0,0,0,5,45.6,Match Report
51,Augsburg,2024-10-26,5,,Dortmund,de Bundesliga,W 2-1,2,1,+1,25,2,0,0,0,5,18.8,Match Report
52,Torino,2024-12-07,5,@,Genoa,it Serie A,D 0-0,0,0,0,48,0,0,0,0,5,15.6,Match Report
53,Torino,2024-09-29,5,,Lazio,it Serie A,L 2-3,2,3,-1,57,2,0,0,0,5,27.3,Match Report
54,Valladolid,2024-09-15,5,@,Celta Vigo,es La Liga,L 1-3,1,3,-2,46,1,0,0,0,5,23.0,Match Report
55,Bologna,2025-03-16,5,,Lazio,it Serie A,W 5-0,5,0,+5,51,5,0,0,0,5,20.6,Match Report
56,Barcelona,2025-02-09,5,@,Sevilla,es La Liga,W 4-1,4,1,+3,60,4,0,0,0,5,25.3,Match Report
57,Barcelona,2024-09-28,5,@,Osasuna,es La Liga,L 2-4,2,4,-2,73,2,0,0,0,5,22.9,Match Report
58,Holstein Kiel,2025-03-16,5,@,Heidenheim,de Bundesliga,L 1-3,1,3,-2,61,1,0,0,0,5,18.3,Match Report
59,Athletic Club,2025-03-01,5,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,5,20.6,Match Report
60,Southampton,2024-12-04,5,,Chelsea,eng Premier League,L 1-5,1,5,-4,45,1,0,0,0,5,32.2,Match Report
61,Crystal Palace,2025-04-05,5,,Brighton,eng Premier League,W 2-1,2,1,+1,38,2,0,0,0,5,17.5,Match Report
62,Crystal Palace,2024-11-30,5,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,5,24.8,Match Report
63,Bournemouth,2024-12-26,5,,Crystal Palace,eng Premier League,D 0-0,0,0,0,52,0,0,0,0,5,26.7,Match Report
64,Bournemouth,2024-11-23,5,,Brighton,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,5,24.3,Match Report
65,Marseille,2025-01-05,5,,Le Havre,fr Ligue 1,W 5-1,5,1,+4,70,5,0,0,0,5,26.2,Match Report
66,Marseille,2024-08-25,5,,Reims,fr Ligue 1,D 2-2,2,2,0,66,2,0,0,0,5,19.0,Match Report
67,Stuttgart,2025-03-29,5,@,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,54,0,0,0,0,5,24.0,Match Report
68,Stuttgart,2024-12-21,5,,St. Pauli,de Bundesliga,L 0-1,0,1,-1,72,0,0,0,0,5,19.9,Match Report
69,Lazio,2025-01-26,5,,Fiorentina,it Serie A,L 1-2,1,2,-1,70,1,0,0,0,5,38.8,Match Report
70,Union Berlin,2024-12-06,5,@,Stuttgart,de Bundesliga,L 2-3,2,3,-1,36,2,0,0,0,5,19.7,Match Report
71,Leganés,2024-11-30,5,@,Alavés,es La Liga,D 1-1,1,1,0,40,1,0,0,0,5,16.0,Match Report
72,Liverpool,2024-12-14,5,,Fulham,eng Premier League,D 2-2,2,2,0,61,2,0,0,0,5,21.6,Match Report
73,Liverpool,2024-09-01,5,@,Manchester Utd,eng Premier League,W 3-0,3,0,+3,47,3,0,0,0,5,17.7,Match Report
74,Alavés,2024-10-18,5,,Valladolid,es La Liga,L 2-3,2,3,-1,62,2,0,0,0,5,19.4,Match Report
75,Atalanta,2025-02-01,5,,Torino,it Serie A,D 1-1,1,1,0,65,1,0,1,1,5,27.0,Match Report
