Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Succ,Succ%,Tkld,Tkld%,Match Report
1,Real Madrid,2024-11-09,46,,Osasuna,es La Liga,W 4-0,4,0,+4,68,4,0,0,0,46,21,45.7,18,39.1,Match Report
2,West Ham,2024-12-03,45,@,Leicester City,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,45,20,44.4,20,44.4,Match Report
3,Dortmund,2025-01-17,43,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,67,0,0,0,0,43,20,46.5,17,39.5,Match Report
4,Manchester City,2025-03-15,42,,Brighton,eng Premier League,D 2-2,2,2,0,60,1,1,1,0,42,21,50.0,14,33.3,Match Report
5,Chelsea,2024-12-22,42,@,Everton,eng Premier League,D 0-0,0,0,0,75,0,0,0,0,42,17,40.5,18,42.9,Match Report
6,Paris S-G,2025-01-25,40,,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,40,22,55.0,18,45.0,Match Report
7,Real Madrid,2025-03-01,38,@,Betis,es La Liga,L 1-2,1,2,-1,58,1,0,0,0,38,15,39.5,19,50.0,Match Report
8,Dortmund,2025-02-01,38,@,Heidenheim,de Bundesliga,W 2-1,2,1,+1,63,2,0,0,0,38,21,55.3,15,39.5,Match Report
9,Manchester City,2025-02-23,38,,Liverpool,eng Premier League,L 0-2,0,2,-2,66,0,0,0,0,38,23,60.5,13,34.2,Match Report
10,Southampton,2025-03-15,37,,Wolves,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,37,18,48.6,12,32.4,Match Report
11,Leicester City,2024-11-10,37,@,Manchester Utd,eng Premier League,L 0-3,0,3,-3,49,0,0,0,0,37,19,51.4,15,40.5,Match Report
12,Rennes,2025-01-18,37,,Brest,fr Ligue 1,L 1-2,1,2,-1,68,1,0,0,0,37,22,59.5,14,37.8,Match Report
13,Barcelona,2025-03-27,36,,Osasuna,es La Liga,W 3-0,3,0,+3,74,2,1,1,0,36,19,52.8,14,38.9,Match Report
14,Real Madrid,2025-02-08,36,,Atlético Madrid,es La Liga,D 1-1,1,1,0,60,1,0,0,0,36,17,47.2,16,44.4,Match Report
15,West Ham,2025-01-26,36,@,Aston Villa,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,36,15,41.7,17,47.2,Match Report
16,Sevilla,2025-01-25,36,,Espanyol,es La Liga,D 1-1,1,1,0,74,1,0,0,0,36,12,33.3,20,55.6,Match Report
17,Bayern Munich,2024-12-20,35,,RB Leipzig,de Bundesliga,W 5-1,5,1,+4,71,5,0,0,0,35,21,60.0,13,37.1,Match Report
18,Mallorca,2025-01-25,35,,Betis,es La Liga,L 0-1,0,1,-1,48,0,0,0,0,35,15,42.9,17,48.6,Match Report
19,Strasbourg,2024-10-19,35,@,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,45,2,0,0,0,35,16,45.7,17,48.6,Match Report
20,Ipswich Town,2025-02-01,34,,Southampton,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,34,17,50.0,15,44.1,Match Report
21,Nantes,2025-02-23,34,,Lens,fr Ligue 1,W 3-1,3,1,+2,35,2,1,1,0,34,16,47.1,16,47.1,Match Report
22,Bayern Munich,2025-01-18,33,,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,71,3,0,0,0,33,14,42.4,15,45.5,Match Report
23,Bayern Munich,2024-08-25,33,@,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,70,2,0,0,0,33,16,48.5,13,39.4,Match Report
24,Arsenal,2024-09-28,33,,Leicester City,eng Premier League,W 4-2,4,2,+2,74,3,0,0,0,33,18,54.5,10,30.3,Match Report
25,Barcelona,2025-02-22,33,@,Las Palmas,es La Liga,W 2-0,2,0,+2,69,2,0,0,0,33,17,51.5,15,45.5,Match Report
26,Barcelona,2025-02-02,33,,Alavés,es La Liga,W 1-0,1,0,+1,69,1,0,0,0,33,19,57.6,12,36.4,Match Report
27,Barcelona,2024-09-25,33,,Getafe,es La Liga,W 1-0,1,0,+1,76,1,0,0,0,33,12,36.4,15,45.5,Match Report
28,Villarreal,2025-03-08,33,@,Alavés,es La Liga,L 0-1,0,1,-1,68,0,0,0,0,33,12,36.4,18,54.5,Match Report
29,Tottenham,2025-02-16,33,,Manchester Utd,eng Premier League,W 1-0,1,0,+1,55,1,0,0,0,33,13,39.4,18,54.5,Match Report
30,West Ham,2024-10-19,33,@,Tottenham,eng Premier League,L 1-4,1,4,-3,43,1,0,0,0,33,15,45.5,15,45.5,Match Report
