Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Bochum,RB Leipzig,2024-08-24,L,A,0,1,-1,0,0,0,38,0,27,2,66.7,43.4,14,18,43.8,11,1,9.1,9,81.8,220,940,453,7,7,19,1,5.3,3,0,0,16,9,0,0,0,0,0,0,0,11,81.8,55.5,10,0.0,0.0,3,30.0,19.3,1,2,0,0,0,38,0,5.0,233,335,69.6,6,27,2,0,24,4877,2181,72,93,77.4,129,150,86.0,29,76,38.2,0,0,0,,0,0,,0,0,0,287,46,11,3,2,11,19,3,3,0,0,2,8,231,7,1,16,5,14,9,0,1,3,1,0,3,2,66.7,456,68,154,208,97,9,456,17,11,6,10,1,6,16,37.5,10,19,5,14,6,23,25,1,1.0,1.0,-0.3,-0.3,0.4,0.4,-1.0,-1.0,-0.4,0.11,1,0.5,0.15,-0.5
Bochum,Gladbach,2024-08-31,L,H,0,2,-2,0,0,0,39,0,34,3,52.9,36.2,15,12,55.6,13,2,15.4,9,69.2,260,1371,722,13,10,17,1,5.9,1,0,0,9,10,0,0,0,0,0,0,0,7,42.9,34.4,15,0.0,0.0,4,26.7,21.3,0,1,0,0,0,35,3,19.2,297,402,73.9,11,20,10,6,38,5829,2446,111,140,79.3,146,179,81.6,36,65,55.4,0,0,0,,0,0,,0,0,0,352,49,12,1,2,19,24,3,2,1,0,1,6,296,10,1,15,5,24,18,5,0,0,1,0,5,3,60.0,522,76,159,229,141,20,522,13,10,5,4,4,9,22,40.9,13,23,5,18,4,17,28,1,0.7,0.7,-2.2,-2.2,0.6,1.0,-0.7,-0.7,-0.6,0.05,0,2.6,0.52,0.6
Bochum,Freiburg,2024-09-14,L,A,1,2,-1,0,0,1,46,0,38,3,42.1,36.9,29,21,58.0,14,7,50.0,7,50.0,272,1129,422,10,4,18,1,5.6,3,0,0,16,5,1,0,0,0,1,0,0,10,80.0,55.0,13,0.08,0.33,3,23.1,19.8,0,2,0,0,0,39,3,15.3,295,416,70.9,9,29,8,1,31,6034,2765,107,125,85.6,141,174,81.0,42,88,47.7,0,0,0,,0,0,,0,0,0,361,53,12,3,1,14,22,6,2,3,0,2,12,291,4,2,23,9,20,14,3,0,2,0,1,8,6,75.0,549,70,210,237,106,18,549,12,9,7,3,2,6,15,40.0,9,16,10,6,11,23,24,0,0.9,0.9,-2.8,-2.8,0.5,0.6,0.1,0.1,-0.5,0.07,0,3.8,0.49,1.8
Bochum,Holstein Kiel,2024-09-21,D,H,2,2,0,0,0,2,44,0,35,5,54.3,38.3,21,19,52.5,12,6,50.0,5,41.7,281,1302,525,7,4,20,0,0.0,4,0,0,19,9,4,4,0,0,0,0,0,14,85.7,55.3,14,0.14,0.67,3,21.4,17.0,0,0,0,0,0,36,3,16.4,283,388,72.9,12,13,6,4,22,5109,2292,103,127,81.1,114,149,76.5,36,72,50.0,0,0,0,,0,0,,0,0,0,334,54,13,0,0,16,22,2,1,1,0,0,3,281,4,2,17,6,27,22,2,0,2,1,0,4,2,50.0,501,72,177,226,101,16,501,8,7,3,4,1,3,7,42.9,4,12,2,10,14,22,27,0,0.8,0.8,-1.1,-1.1,0.7,0.9,1.2,1.2,1.3,0.06,0,1.9,0.48,-0.1
Bochum,Dortmund,2024-09-27,L,A,2,4,-2,0,0,2,34,0,31,3,77.4,46.1,18,17,51.4,9,6,66.7,2,22.2,142,820,431,8,8,23,3,13.0,0,0,0,9,11,2,2,0,0,0,0,0,19,68.4,42.6,10,0.2,0.4,5,50.0,20.0,0,3,0,1,0,30,0,2.8,218,310,70.3,8,11,5,2,17,4037,1935,96,112,85.7,81,109,74.3,27,64,42.2,1,1,0,0.0,1,0,0.0,0,0,0,261,46,14,1,1,11,8,0,0,0,0,3,4,217,8,5,11,8,16,16,0,0,0,0,0,8,4,62.5,422,102,198,168,60,12,422,20,15,14,5,1,10,30,33.3,20,13,7,6,9,29,25,1,1.3,1.3,-1.9,-1.2,0.9,0.5,0.7,0.7,0.1,0.13,0,1.9,0.12,-2.1
Bochum,Wolfsburg,2024-10-05,L,H,1,3,-2,0,0,1,58,0,37,3,67.6,41.7,30,33,47.6,11,6,54.5,5,45.5,287,1419,645,16,16,10,0,0.0,1,0,0,11,12,2,2,0,0,0,0,0,5,80.0,53.6,18,0.06,0.2,5,27.8,18.9,1,5,0,1,0,32,2,24.7,333,463,71.9,12,30,8,3,34,6744,3186,115,139,82.7,167,200,83.5,47,97,48.5,1,0,1,100.0,0,1,100.0,0,1,0,410,48,12,1,1,29,20,7,5,2,0,5,11,327,16,4,12,7,30,19,6,1,1,2,1,5,1,40.0,562,57,179,243,146,31,562,14,10,8,4,2,4,12,33.3,8,10,7,3,8,22,12,0,1.7,1.7,-0.6,0.3,1.5,1.3,-0.7,-0.7,-0.5,0.1,1,3.0,0.39,0.0
Bochum,Hoffenheim,2024-10-19,L,A,1,3,-2,0,1,1,50,1,36,4,58.3,44.6,18,13,58.1,19,8,42.1,10,52.6,288,1367,577,11,10,7,0,0.0,1,0,0,12,10,2,2,0,0,0,0,0,6,0.0,14.0,12,0.08,0.33,3,25.0,19.8,1,0,1,0,0,38,2,13.9,358,461,77.7,10,21,7,1,45,6899,2879,149,178,83.7,149,173,86.1,51,80,63.8,0,0,0,,0,0,,0,0,0,410,51,11,5,2,10,28,2,1,0,0,0,9,355,10,2,19,7,24,18,0,1,1,2,2,7,4,57.1,581,52,172,285,126,17,580,16,11,7,8,1,10,17,58.8,7,12,1,11,4,20,23,1,2.7,1.9,0.2,-0.6,1.8,1.7,-1.7,-0.9,-0.8,0.16,1,3.7,0.54,0.7
Bochum,Bayern Munich,2024-10-27,L,H,0,5,-5,0,0,0,28,0,28,4,50.0,38.1,10,19,34.5,5,3,60.0,2,40.0,181,790,352,8,2,12,0,0.0,1,0,0,15,6,0,0,0,0,0,0,0,9,88.9,53.6,6,0.0,0.0,1,16.7,24.2,1,3,0,0,0,34,0,10.0,203,304,66.8,4,14,1,0,14,4250,1926,69,84,82.1,103,135,76.3,29,71,40.8,0,0,0,,0,0,,1,0,0,263,38,8,2,3,10,13,2,2,0,0,3,8,202,2,2,14,7,9,6,1,0,1,1,0,10,5,50.0,393,77,176,158,61,5,393,17,10,6,8,3,14,29,48.3,15,14,2,12,8,25,19,1,0.6,0.6,-1.6,-1.6,0.5,0.3,-0.6,-0.6,-0.5,0.09,1,3.9,0.39,-1.1
Bochum,Eint Frankfurt,2024-11-02,L,A,2,7,-5,0,0,2,36,0,30,4,70.0,44.7,11,22,33.3,10,5,50.0,5,50.0,223,949,376,8,8,11,0,0.0,2,0,0,15,6,4,2,1,0,0,1,0,7,100.0,64.6,11,0.18,0.25,8,72.7,17.5,0,1,0,0,0,46,4,23.4,247,354,69.8,9,20,2,1,24,5196,2270,97,115,84.3,103,133,77.4,44,89,49.4,0,0,0,,0,0,,1,0,0,308,45,6,0,2,17,22,2,2,0,0,1,10,241,8,2,12,8,17,13,2,0,0,2,0,9,2,22.2,471,65,196,180,98,10,471,26,16,15,7,4,16,26,61.5,10,16,6,10,5,31,28,2,1.8,1.8,-1.7,-1.7,1.7,1.3,0.2,0.2,0.3,0.16,0,4.8,0.53,-2.2
Bochum,Leverkusen,2024-11-09,D,H,1,1,0,0,0,1,30,0,17,0,76.5,45.1,12,9,57.1,13,6,46.2,7,53.8,223,1068,460,11,9,12,0,0.0,0,0,0,10,9,1,0,0,0,1,0,0,6,100.0,55.5,15,0.07,0.33,3,20.0,20.1,0,1,0,0,0,43,0,6.0,230,321,71.7,9,17,7,2,22,4704,2245,90,101,89.1,95,129,73.6,39,74,52.7,0,0,0,,0,0,,0,0,0,278,42,11,0,1,22,17,6,3,3,0,1,5,228,9,1,11,6,23,15,2,4,2,0,0,3,2,66.7,426,54,169,169,95,18,426,9,3,7,2,0,5,13,38.5,8,9,4,5,11,20,26,0,0.7,0.7,-0.5,-0.5,0.4,0.5,0.3,0.3,-0.4,0.05,0,0.5,0.16,-0.5
