Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Eint Frankfurt,Dortmund,2024-08-24,L,A,0,2,-2,0,0,0,31,0,18,5,22.2,27.7,3,17,15.0,19,7,36.8,12,63.2,216,1165,492,12,6,20,1,5.0,1,0,0,3,6,0,0,0,0,0,0,0,9,11.1,17.7,7,0.0,0.0,2,28.6,17.0,0,1,0,0,0,29,0,2.0,269,341,78.9,4,13,9,0,28,4469,1595,120,133,90.2,115,136,84.6,23,52,44.2,0,0,0,,0,0,,0,0,0,292,48,5,2,1,16,24,7,3,4,0,1,8,268,6,3,17,10,11,9,0,1,1,0,0,5,3,60.0,461,83,194,173,99,19,461,16,9,11,3,2,8,14,57.1,6,18,8,10,9,25,27,0,1.4,1.4,-0.3,-0.3,1.2,1.2,-1.4,-1.4,-1.2,0.2,0,1.3,0.25,-0.7
Eint Frankfurt,Hoffenheim,2024-08-31,W,H,3,1,2,0,0,3,50,0,27,6,59.3,41.3,15,10,60.0,24,10,41.7,11,45.8,402,2045,970,18,19,20,0,0.0,0,0,0,10,10,6,5,0,1,0,0,0,10,50.0,38.9,18,0.17,0.43,7,38.9,15.5,0,1,0,0,0,37,1,17.5,422,498,84.7,16,29,13,4,37,7517,2726,197,208,94.7,169,186,90.9,47,84,56.0,0,0,0,,0,0,,0,0,0,461,36,11,3,5,14,12,1,1,0,0,1,5,416,19,2,11,3,34,27,1,3,1,1,1,3,2,66.7,612,81,193,286,136,31,612,17,11,7,7,3,7,17,41.2,10,8,4,4,8,25,29,0,2.4,2.4,1.4,1.4,2.3,2.2,0.6,0.6,0.7,0.13,0,1.0,0.34,0.0
Eint Frankfurt,Wolfsburg,2024-09-14,W,A,2,1,1,1,0,1,40,1,30,5,36.7,32.5,15,9,62.5,21,13,61.9,7,33.3,301,1508,783,19,20,25,3,12.0,2,0,0,18,6,3,1,1,1,0,0,0,12,41.7,34.8,13,0.08,0.2,5,38.5,16.4,0,3,0,0,0,46,2,14.2,292,377,77.5,12,16,5,1,28,5253,2514,133,149,89.3,121,137,88.3,32,60,53.3,0,0,0,,0,0,,0,0,0,334,40,6,0,2,9,16,4,0,3,0,3,13,290,20,7,17,9,24,13,4,2,3,2,0,4,3,75.0,516,100,244,192,96,20,515,12,8,5,5,2,5,11,45.5,6,24,8,16,7,19,40,1,2.5,1.7,1.0,0.2,1.7,0.7,-0.5,-0.7,-0.7,0.13,0,0.3,0.06,-0.7
Eint Frankfurt,Gladbach,2024-09-21,W,H,2,0,2,0,0,2,37,0,34,7,26.5,34.2,14,15,48.3,22,8,36.4,12,54.5,244,1539,927,22,12,13,1,7.7,1,0,0,10,11,3,1,0,1,1,0,0,6,16.7,19.7,18,0.11,0.5,4,22.2,16.2,2,0,0,0,0,38,0,12.5,329,399,82.5,14,31,7,0,31,6387,2408,135,147,91.8,139,162,85.8,48,70,68.6,0,0,0,,0,0,,0,0,0,363,36,11,1,4,15,10,8,2,5,0,0,6,324,12,12,22,7,31,20,1,2,3,3,2,7,7,100.0,532,75,191,197,152,34,532,13,8,7,4,2,6,13,46.2,7,21,12,9,9,22,25,0,2.7,2.7,1.0,1.0,2.6,1.6,-0.7,-0.7,-0.6,0.15,2,1.8,0.26,1.8
Eint Frankfurt,Holstein Kiel,2024-09-29,W,A,4,2,2,0,0,4,53,0,32,6,28.1,31.6,18,13,58.1,14,8,57.1,5,35.7,352,1464,728,20,12,21,2,9.5,3,0,0,12,11,5,3,1,0,1,0,0,3,66.7,45.7,20,0.2,0.4,10,50.0,14.6,0,1,0,1,0,37,5,17.3,384,476,80.7,12,31,11,2,37,7008,2527,164,187,87.7,172,193,89.1,41,78,52.6,1,1,0,0.0,1,0,0.0,0,1,0,430,45,13,1,2,31,17,9,2,7,0,1,10,378,12,9,21,10,36,23,3,2,5,2,1,5,3,80.0,592,56,186,250,158,39,592,9,2,6,2,1,4,13,30.8,9,12,3,9,5,14,26,0,2.1,2.1,1.1,1.9,1.9,1.7,1.9,1.9,1.1,0.12,0,1.2,0.06,-0.8
Eint Frankfurt,Bayern Munich,2024-10-06,D,H,3,3,0,0,0,3,26,0,36,5,33.3,29.7,10,4,71.4,17,9,52.9,8,47.1,225,873,411,6,3,25,3,12.0,1,0,0,10,6,5,4,0,1,0,0,0,7,14.3,20.3,6,0.5,0.75,4,66.7,16.9,0,3,0,0,0,41,0,7.0,246,320,76.9,6,8,2,0,14,3757,1752,133,147,90.5,90,115,78.3,14,40,35.0,0,0,0,,0,0,,0,2,0,288,29,11,1,0,0,7,0,0,0,0,3,6,243,3,3,18,8,11,9,0,2,0,0,0,13,10,76.9,473,140,290,159,29,8,473,20,7,12,6,2,11,22,50.0,11,15,5,10,13,33,46,0,1.2,1.2,-0.9,-0.9,1.2,0.8,1.8,1.8,1.8,0.2,0,3.8,0.31,0.8
Eint Frankfurt,Leverkusen,2024-10-19,L,A,1,2,-1,1,0,0,46,1,28,8,32.1,29.3,8,11,42.1,17,8,47.1,6,35.3,419,1821,1040,14,14,21,0,0.0,1,0,0,5,9,2,0,1,0,0,1,0,14,14.3,19.1,8,0.0,,0,0.0,18.8,0,2,1,1,0,31,0,5.0,428,501,85.4,5,34,6,0,41,7118,2469,230,246,93.5,153,174,87.9,38,65,58.5,1,0,1,100.0,0,1,100.0,0,0,0,461,38,10,0,2,13,8,3,1,2,0,2,2,422,14,7,13,9,15,10,1,1,1,2,0,9,6,77.8,607,112,246,244,118,14,606,12,9,8,2,2,6,15,40.0,9,14,7,7,11,23,25,3,1.9,1.1,-1.9,-2.0,0.2,0.3,-0.9,-1.1,-0.2,0.14,0,3.4,0.3,1.4
Eint Frankfurt,Union Berlin,2024-10-27,D,A,1,1,0,0,0,1,52,0,34,1,41.2,39.0,19,13,59.4,16,4,25.0,12,75.0,301,1509,779,15,8,17,1,5.9,3,1,1,7,13,1,0,0,0,1,0,0,14,50.0,32.9,17,0.06,0.2,5,29.4,17.4,1,1,0,0,0,37,0,7.5,405,531,76.3,11,16,3,0,16,6772,2270,177,205,86.3,180,207,87.0,33,94,35.1,0,0,0,,0,0,,0,0,0,464,66,17,1,1,10,28,5,1,3,0,1,6,403,8,2,20,7,28,11,6,0,8,3,0,4,3,75.0,662,77,266,306,92,14,662,15,6,9,5,1,9,17,52.9,8,11,2,9,13,28,23,1,1.5,1.5,0.0,0.0,0.6,0.4,-0.5,-0.5,-0.6,0.11,1,1.4,0.35,0.4
Eint Frankfurt,Bochum,2024-11-02,W,H,7,2,5,0,0,7,64,0,42,6,14.3,21.3,22,11,66.7,26,10,38.5,16,61.5,408,1871,1047,20,17,12,0,0.0,1,0,0,6,15,13,7,0,3,0,1,2,4,0.0,21.5,18,0.39,0.78,9,50.0,17.0,2,0,0,0,0,43,1,14.7,524,621,84.4,9,32,10,1,45,9271,3272,236,259,91.1,229,253,90.5,51,85,60.0,0,0,0,,0,0,,0,1,0,582,39,14,4,5,14,13,5,1,3,0,0,11,521,17,10,17,10,31,19,1,3,3,3,2,8,6,75.0,754,76,260,335,162,38,754,13,13,7,3,3,5,10,50.0,5,10,0,10,13,26,21,2,3.5,3.5,1.7,1.7,2.5,2.5,3.5,3.5,2.5,0.2,2,2.4,0.3,0.4
Eint Frankfurt,Stuttgart,2024-11-10,W,A,3,2,1,0,0,3,40,0,35,6,34.3,33.8,10,13,43.5,18,11,61.1,7,38.9,284,1578,751,15,12,20,1,5.0,3,0,0,15,10,5,1,1,1,1,1,0,9,22.2,25.1,8,0.38,0.6,5,62.5,16.6,1,4,0,1,0,58,1,17.0,308,405,76.0,4,17,6,0,19,5422,2128,136,160,85.0,135,160,84.4,32,68,47.1,1,0,1,100.0,0,1,100.0,0,1,0,358,43,14,2,1,8,14,3,2,1,0,4,6,305,12,6,21,5,12,7,2,1,1,1,0,10,7,80.0,530,96,261,198,78,17,530,23,16,9,10,4,13,21,61.9,8,16,6,10,10,33,24,0,1.3,1.3,-1.2,-0.4,0.5,0.6,1.7,1.7,0.5,0.17,1,2.5,0.17,0.5
