Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Freiburg,Stuttgart,2024-08-24,W,H,3,1,2,0,0,3,33,0,22,1,59.1,40.6,10,12,45.5,9,5,55.6,4,44.4,231,1274,618,11,8,17,0,0.0,2,0,0,7,10,5,2,1,0,2,0,0,8,62.5,49.5,16,0.19,0.6,5,31.3,16.4,1,3,0,0,0,41,1,21.0,251,344,73.0,10,13,5,1,23,4333,1703,102,122,83.6,106,124,85.5,28,62,45.2,0,0,0,,0,0,,0,1,0,300,41,9,1,3,15,16,6,0,6,0,3,12,248,8,7,18,5,27,19,2,2,3,1,0,2,1,50.0,439,47,138,216,88,20,439,15,11,9,5,1,6,10,60.0,4,9,2,7,11,26,19,0,2.1,2.1,1.8,1.8,1.3,1.1,0.9,0.9,0.7,0.17,1,0.9,0.46,-0.1
Freiburg,Bayern Munich,2024-09-01,L,A,0,2,-2,0,1,0,34,1,33,2,45.5,38.2,8,19,29.6,12,5,41.7,7,58.3,271,1486,704,12,9,9,0,0.0,0,0,0,12,12,0,0,0,0,0,0,0,10,50.0,46.8,8,0.0,0.0,3,37.5,26.8,0,0,0,1,0,40,0,9.0,278,381,73.0,4,15,2,0,16,4778,1622,111,131,84.7,133,156,85.3,21,69,30.4,1,1,0,0.0,1,0,0.0,0,0,0,333,48,13,1,1,10,18,4,1,3,0,0,9,269,9,1,9,7,9,3,2,1,1,1,1,3,1,66.7,478,62,185,199,98,11,477,16,12,10,5,1,9,22,40.9,13,11,4,7,15,31,20,1,1.0,0.3,-0.5,-0.5,0.2,0.4,-1.0,-0.3,-0.2,0.04,0,1.5,0.27,-0.5
Freiburg,Bochum,2024-09-14,W,H,2,1,1,0,0,2,54,0,41,5,48.8,39.6,21,29,42.0,15,9,60.0,6,40.0,227,1546,770,10,10,10,2,20.0,0,0,0,5,15,3,2,0,0,1,0,0,5,40.0,38.2,26,0.08,0.25,8,30.8,14.4,0,7,0,0,0,48,3,16.6,370,489,75.7,18,39,4,2,40,6953,2862,150,182,82.4,176,215,81.9,36,69,52.2,0,0,0,,0,0,,0,0,0,434,48,17,3,2,20,19,5,2,3,0,7,7,365,10,6,18,6,41,23,4,2,9,2,1,3,2,66.7,618,51,186,298,140,34,618,16,13,6,8,2,7,14,50.0,7,14,3,11,11,27,16,1,3.7,3.7,2.8,2.8,2.2,1.9,-1.7,-1.7,-1.2,0.16,0,1.8,0.61,0.8
Freiburg,Heidenheim,2024-09-21,W,A,3,0,3,0,0,3,58,0,50,5,34.0,35.2,12,16,42.9,11,6,54.5,4,36.4,343,1867,873,12,11,14,0,0.0,1,0,0,7,6,5,4,0,0,1,0,0,6,16.7,23.3,15,0.2,0.6,5,33.3,16.8,0,1,0,0,0,48,1,11.8,441,562,78.5,13,34,14,2,54,9014,3637,149,175,85.1,216,255,84.7,69,114,60.5,0,0,0,,0,0,,0,0,0,516,45,8,1,4,21,21,9,4,5,0,1,11,429,11,1,18,3,28,24,1,2,1,0,0,1,1,100.0,647,57,227,262,164,23,647,11,10,6,2,3,7,9,77.8,2,7,1,6,11,22,14,0,1.4,1.4,0.7,0.7,1.2,2.1,1.6,1.6,0.8,0.09,0,0.1,0.11,0.1
Freiburg,St. Pauli,2024-09-28,L,H,0,3,-3,0,1,0,73,1,23,5,17.4,23.0,24,18,57.1,19,7,36.8,9,47.4,536,2831,1661,26,19,7,0,0.0,3,0,0,7,17,0,0,0,0,0,0,0,3,0.0,24.7,8,0.0,0.0,1,12.5,16.9,1,7,1,0,0,37,3,23.0,582,699,83.3,7,57,15,5,61,10135,2911,265,288,92.0,259,290,89.3,44,72,61.1,0,0,0,,0,0,,0,0,0,645,47,14,0,6,32,22,4,4,0,0,7,14,570,19,5,13,7,18,14,1,1,0,2,0,4,1,25.0,780,25,142,424,219,27,779,13,8,5,7,1,5,12,41.7,7,7,2,5,3,16,8,1,1.2,0.4,0.1,-0.7,0.3,1.2,-1.2,-0.4,-0.3,0.05,1,1.5,0.37,-1.5
Freiburg,Werder Bremen,2024-10-05,W,A,1,0,1,0,0,1,42,0,36,5,50.0,40.3,14,13,51.9,14,9,64.3,5,35.7,329,1809,874,20,14,16,1,6.3,1,0,0,9,7,2,2,0,0,0,0,0,6,16.7,28.7,15,0.07,0.33,3,20.0,20.6,0,0,0,0,0,48,2,16.4,382,485,78.8,12,33,8,1,35,6505,2588,193,213,90.6,150,176,85.2,30,71,42.3,0,0,0,,0,0,,0,0,0,446,39,7,6,2,19,20,5,3,0,0,0,9,374,14,8,15,5,25,18,0,4,2,0,1,3,3,100.0,616,56,184,298,142,22,616,21,12,11,10,0,10,14,71.4,4,18,3,15,14,35,26,0,1.0,1.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.07,0,0.7,0.24,0.7
Freiburg,Augsburg,2024-10-19,W,H,3,1,2,0,0,3,57,0,46,4,26.1,34.3,16,20,44.4,16,6,37.5,9,56.3,430,1640,750,11,9,16,1,6.3,1,0,0,11,7,6,4,1,1,0,0,0,7,42.9,37.9,15,0.2,0.5,6,40.0,19.8,0,0,0,0,0,42,3,18.4,506,619,81.7,10,35,6,3,31,8531,3042,264,295,89.5,198,224,88.4,41,84,48.8,0,0,0,,0,0,,0,0,0,578,41,9,0,2,22,18,5,4,1,0,0,11,500,9,2,15,7,26,20,2,1,3,0,0,3,2,66.7,713,68,231,333,154,18,713,13,8,7,3,3,5,11,45.5,6,3,0,3,5,18,21,0,0.8,0.8,0.2,0.2,0.4,0.6,2.2,2.2,2.6,0.05,0,1.0,0.33,0.0
Freiburg,RB Leipzig,2024-10-26,L,A,1,3,-2,0,0,1,57,0,51,10,23.5,31.9,12,19,38.7,20,12,60.0,7,35.0,450,2168,1054,13,13,13,2,15.4,2,0,0,7,9,2,2,0,0,0,0,0,2,100.0,61.0,15,0.07,0.2,5,33.3,18.0,2,1,0,0,0,44,1,12.0,502,602,83.4,9,36,12,4,36,8397,2731,214,247,86.6,236,256,92.2,30,64,46.9,0,0,0,,0,0,,0,0,0,570,31,8,0,1,18,14,3,1,1,0,1,8,493,13,3,12,11,30,23,1,2,0,4,0,9,6,66.7,705,76,225,315,171,20,705,16,9,3,11,2,6,16,37.5,10,9,1,8,6,22,22,1,1.7,1.7,-0.1,-0.1,0.8,1.7,-0.7,-0.7,0.2,0.12,2,4.2,0.46,1.2
Freiburg,Mainz 05,2024-11-03,D,H,0,0,0,0,0,0,51,0,42,2,38.1,35.4,22,22,50.0,8,3,37.5,4,50.0,282,1821,926,15,7,14,2,14.3,1,0,0,9,12,0,0,0,0,0,0,0,6,33.3,34.5,10,0.0,0.0,2,20.0,19.7,0,2,0,0,0,39,1,10.6,403,527,76.5,10,38,5,1,37,7765,2780,139,169,82.2,216,248,87.1,43,86,50.0,0,0,0,,0,0,,0,0,0,473,52,15,2,2,19,22,8,4,3,0,2,12,389,7,8,7,4,20,15,3,0,0,2,0,2,2,100.0,611,60,180,309,125,13,611,9,4,1,5,3,3,5,60.0,2,11,2,9,8,17,20,0,0.8,0.8,0.3,0.3,0.8,0.5,-0.8,-0.8,-0.8,0.08,0,0.3,0.17,0.3
Freiburg,Union Berlin,2024-11-08,D,A,0,0,0,0,1,0,59,1,58,9,22.4,28.8,24,17,58.5,10,4,40.0,5,50.0,335,2053,1091,22,13,16,4,25.0,0,0,0,8,10,0,0,0,0,0,0,0,5,0.0,14.0,13,0.0,0.0,3,23.1,19.8,0,1,1,0,0,36,1,8.6,504,613,82.2,9,25,9,3,36,8272,2737,232,257,90.3,217,247,87.9,38,72,52.8,0,0,0,,0,0,,0,0,0,577,35,14,0,2,15,14,1,0,1,0,1,10,494,13,5,7,9,26,23,0,1,1,1,0,6,6,100.0,727,101,281,325,124,29,726,16,10,9,6,1,5,15,33.3,10,14,4,10,5,21,29,0,1.7,0.9,0.9,0.1,0.8,1.7,-1.7,-0.9,-0.8,0.07,0,0.8,0.13,0.8
