Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Heidenheim,St. Pauli,2024-08-25,W,A,2,0,2,0,0,2,40,0,25,2,56.0,44.6,25,17,59.5,19,8,42.1,11,57.9,234,1245,571,15,12,18,1,5.6,3,0,0,15,9,4,2,2,0,0,0,0,15,53.3,39.3,5,0.4,0.67,3,60.0,17.0,1,0,0,0,0,47,0,10.0,272,393,69.2,4,17,2,0,21,5083,2076,108,139,77.7,119,156,76.3,32,65,49.2,0,0,0,,0,0,,0,0,0,338,55,8,0,2,11,29,2,1,1,0,0,12,269,12,2,17,13,10,7,2,0,0,1,0,3,3,100.0,514,72,213,221,87,9,514,18,11,7,10,1,6,11,54.5,5,14,1,13,8,26,29,0,1.1,1.1,-0.1,-0.1,1.1,0.4,0.9,0.9,0.9,0.22,1,0.7,0.23,0.7
Heidenheim,Augsburg,2024-09-01,W,H,4,0,4,1,0,3,36,1,25,5,40.0,37.4,19,16,54.3,24,10,41.7,11,45.8,219,1652,957,28,14,14,1,7.1,1,0,0,15,9,6,5,1,0,0,0,0,11,72.7,58.7,14,0.21,0.43,7,50.0,17.2,0,2,0,0,0,44,0,7.3,241,328,73.5,10,19,6,2,21,4663,2080,103,130,79.2,98,113,86.7,34,61,55.7,0,0,0,,0,0,,0,0,0,286,40,11,1,4,10,12,5,3,2,0,2,9,238,14,5,11,5,22,15,2,4,0,1,0,0,0,,459,74,205,184,79,21,458,19,13,12,7,0,11,16,68.8,5,19,4,15,12,31,37,0,3.1,2.3,2.3,1.6,2.1,1.5,0.9,0.7,-0.1,0.16,0,0.0,,0.0
Heidenheim,Dortmund,2024-09-13,L,A,2,4,-2,1,0,1,40,1,36,9,16.7,26.8,12,18,40.0,10,5,50.0,5,50.0,277,1356,768,18,7,18,0,0.0,2,0,0,18,11,4,3,0,0,0,1,0,6,50.0,39.5,10,0.1,0.33,3,30.0,18.2,0,1,1,1,0,30,2,32.5,302,395,76.5,8,20,9,2,23,5801,2247,116,137,84.7,138,158,87.3,41,72,56.9,1,1,0,0.0,1,0,0.0,0,0,0,348,46,11,0,1,20,23,1,1,0,0,1,14,301,7,4,16,3,21,17,1,0,1,2,0,6,2,50.0,517,81,224,204,93,21,516,17,6,10,6,1,11,22,50.0,11,12,4,8,5,22,36,0,1.8,1.0,-0.8,-0.9,0.7,0.7,0.2,0.0,0.3,0.1,0,2.3,0.26,-1.7
Heidenheim,Freiburg,2024-09-21,L,H,0,3,-3,0,0,0,42,0,33,4,24.2,31.7,16,12,57.1,10,2,20.0,7,70.0,269,1165,550,7,7,13,0,0.0,1,0,0,6,7,0,0,0,0,0,0,0,8,37.5,40.1,7,0.0,0.0,1,14.3,16.7,0,2,0,0,0,46,2,16.0,307,415,74.0,6,23,6,3,29,6423,2666,99,120,82.5,165,199,82.9,42,85,49.4,0,0,0,,0,0,,0,0,0,372,41,8,1,2,17,18,3,1,2,0,2,7,303,7,0,25,4,12,10,2,0,0,0,0,5,2,40.0,512,64,238,189,91,13,512,7,7,4,3,0,4,10,40.0,6,12,4,8,11,18,20,0,0.7,0.7,-0.7,-0.7,0.6,0.6,-0.7,-0.7,-0.6,0.1,0,2.5,0.5,-0.5
Heidenheim,Mainz 05,2024-09-28,W,A,2,0,2,0,0,2,50,0,26,1,38.5,35.0,32,29,52.5,11,7,63.6,4,36.4,301,1230,575,10,9,21,1,4.8,4,1,0,10,10,4,2,1,0,1,0,0,5,60.0,45.4,14,0.14,0.33,6,42.9,14.5,0,2,0,0,0,39,0,5.5,321,440,73.0,14,20,10,4,25,6174,2411,116,151,76.8,149,177,84.2,43,80,53.8,0,0,0,,0,0,,0,0,0,388,50,10,1,3,20,28,6,1,5,0,2,7,318,9,1,11,12,27,16,5,1,4,1,0,1,1,100.0,556,54,181,250,133,21,556,21,16,10,9,2,10,14,71.4,4,9,3,6,8,29,29,0,1.2,1.2,0.6,0.6,1.2,1.3,0.8,0.8,0.8,0.09,0,0.3,0.27,0.3
Heidenheim,RB Leipzig,2024-10-06,L,H,0,1,-1,0,0,0,45,0,32,6,40.6,40.9,14,19,42.4,21,9,42.9,11,52.4,319,1502,753,18,5,16,1,6.3,2,0,0,12,13,0,0,0,0,0,0,0,9,33.3,42.9,14,0.0,0.0,4,28.6,18.8,0,1,0,0,0,48,0,13.0,319,441,72.3,9,27,8,5,29,6318,2576,110,140,78.6,144,166,86.7,55,102,53.9,0,0,0,,0,0,,0,0,0,390,50,15,1,4,16,21,3,0,1,0,1,8,314,5,4,20,7,25,16,5,1,2,1,0,2,1,50.0,581,75,231,237,121,25,581,23,9,10,12,1,12,20,60.0,8,11,5,6,9,32,31,0,1.0,1.0,-0.4,-0.4,0.9,1.2,-1.0,-1.0,-0.9,0.08,0,0.5,0.26,-0.5
Heidenheim,Gladbach,2024-10-19,L,A,2,3,-1,1,0,1,34,1,28,5,28.6,33.3,23,23,50.0,13,4,30.8,4,30.8,191,974,496,9,8,14,0,0.0,3,0,0,9,14,2,0,1,0,1,0,0,6,33.3,38.7,18,0.06,0.2,5,27.8,15.9,1,2,0,1,0,26,0,14.5,204,299,68.2,11,12,8,5,25,4136,1812,78,97,80.4,100,127,78.7,26,63,41.3,1,1,0,0.0,1,0,0.0,0,1,0,252,45,13,0,1,16,19,3,1,1,0,2,10,204,8,1,15,8,34,21,3,0,7,3,0,10,7,80.0,455,74,201,166,95,24,454,21,11,17,4,0,10,18,55.6,8,12,3,9,7,28,46,1,2.0,1.2,-1.6,-1.6,1.0,1.1,0.0,-0.2,-1.0,0.07,1,3.7,0.3,0.7
Heidenheim,Hoffenheim,2024-10-27,D,H,0,0,0,0,0,0,47,0,34,10,26.5,30.4,10,11,47.6,22,14,63.6,8,36.4,338,2030,930,17,11,9,1,11.1,1,0,0,12,16,0,0,0,0,0,0,0,7,0.0,19.9,17,0.0,0.0,3,17.6,18.4,2,0,0,0,0,50,1,14.5,322,433,74.4,10,27,5,1,29,6093,2718,122,147,83.0,143,178,80.3,45,82,54.9,0,0,0,,0,0,,0,0,0,379,54,14,1,3,18,25,7,4,1,0,0,13,319,11,3,18,15,26,16,1,4,2,2,1,4,4,100.0,563,62,229,238,102,19,563,23,10,12,11,0,10,18,55.6,8,22,5,17,4,27,16,0,1.5,1.5,0.8,0.8,1.2,0.5,-1.5,-1.5,-1.2,0.11,2,0.8,0.21,0.8
Heidenheim,Holstein Kiel,2024-11-02,L,A,0,1,-1,0,0,0,55,0,22,6,18.2,31.0,20,20,50.0,20,8,40.0,10,50.0,327,1849,972,16,15,12,1,8.3,5,0,0,14,16,0,0,0,0,0,0,0,6,16.7,26.7,17,0.0,0.0,4,23.5,15.0,0,0,0,0,0,37,0,12.5,348,452,77.0,13,34,13,7,39,6931,2648,120,149,80.5,181,211,85.8,45,80,56.3,0,0,0,,0,0,,0,0,0,386,66,17,0,3,22,35,6,5,1,0,0,11,342,15,1,19,5,32,18,4,2,2,5,1,6,5,83.3,581,63,181,268,139,29,581,16,7,8,5,3,10,17,58.8,7,10,1,9,11,27,26,0,1.2,1.2,0.1,0.1,1.0,1.7,-1.2,-1.2,-1.0,0.07,0,1.1,0.19,0.1
Heidenheim,Wolfsburg,2024-11-10,L,H,1,3,-2,0,0,1,65,0,26,6,15.4,25.7,29,18,61.7,14,4,28.6,8,57.1,435,2692,1482,24,23,8,0,0.0,1,0,0,9,22,1,0,0,0,1,0,0,4,0.0,20.8,19,0.05,0.25,4,21.1,14.6,1,4,0,0,0,43,3,13.5,461,575,80.2,12,33,7,4,43,8424,3044,163,196,83.2,242,280,86.4,43,69,62.3,0,0,0,,0,0,,0,1,0,513,58,20,0,2,33,25,5,3,2,0,4,8,459,23,4,18,9,32,17,5,1,5,4,0,6,3,50.0,694,47,165,353,187,28,694,21,12,13,5,3,11,17,64.7,6,10,4,6,8,29,16,2,2.4,2.4,0.9,0.9,1.4,1.4,-1.4,-1.4,-1.4,0.13,1,2.0,0.37,-1.0
Heidenheim,Leverkusen,2024-11-23,L,A,2,5,-3,0,0,2,22,0,26,6,30.8,37.7,4,11,26.7,11,5,45.5,4,36.4,124,808,473,9,6,13,0,0.0,0,0,0,11,8,4,1,0,2,0,0,1,9,33.3,35.7,6,0.33,0.67,3,50.0,16.7,0,1,0,0,0,43,0,9.7,192,274,70.1,4,14,1,0,13,3758,1661,74,89,83.1,88,112,78.6,27,61,44.3,0,0,0,,0,0,,0,0,0,245,28,8,1,1,10,5,0,0,0,0,1,4,191,6,1,14,1,8,4,0,2,0,1,1,10,5,50.0,391,87,233,120,43,6,391,26,13,23,2,1,13,21,61.9,8,17,5,12,9,35,30,0,1.1,1.1,-1.2,-1.2,0.9,0.5,0.9,0.9,1.1,0.18,0,3.5,0.35,-1.5
Heidenheim,Eint Frankfurt,2024-12-01,L,H,0,4,-4,0,0,0,46,0,38,1,21.1,32.3,13,13,50.0,17,7,41.2,8,47.1,352,1766,842,17,10,8,0,0.0,0,0,0,7,9,0,0,0,0,0,0,0,10,20.0,29.9,8,0.0,0.0,1,12.5,17.0,0,2,0,0,0,55,0,10.5,352,477,73.8,8,24,4,2,24,6893,2624,127,162,78.4,175,204,85.8,48,89,53.9,0,0,0,,0,0,,0,0,0,419,56,11,1,1,22,25,6,3,3,0,2,18,349,10,4,17,8,16,13,2,1,0,0,0,8,4,50.0,595,77,232,246,125,15,595,16,7,5,8,3,6,14,42.9,8,14,2,12,17,33,16,1,0.7,0.7,-1.9,-1.9,0.7,0.6,-0.7,-0.7,-0.7,0.09,0,3.6,0.46,-0.4
Heidenheim,Bayern Munich,2024-12-07,L,A,2,4,-2,0,0,2,18,0,22,6,40.9,36.5,6,12,33.3,15,6,40.0,8,53.3,169,708,296,3,1,20,1,5.0,0,0,0,5,4,3,2,0,1,0,0,0,12,25.0,26.8,2,1.0,1.0,2,100.0,9.5,0,0,0,0,0,41,0,6.5,155,233,66.5,1,9,2,0,7,2969,1434,67,83,80.7,65,88,73.9,19,49,38.8,0,0,0,,0,0,,0,1,0,194,39,5,0,0,4,17,0,0,0,0,0,10,154,1,0,17,4,3,2,0,1,0,0,0,10,6,60.0,352,72,221,113,23,4,352,18,15,12,6,0,12,25,48.0,13,15,2,13,11,29,28,2,1.3,1.3,-1.1,-1.1,0.3,0.2,0.7,0.7,0.7,0.64,0,2.8,0.28,-1.2
Heidenheim,Stuttgart,2024-12-15,L,H,1,3,-2,0,0,1,34,0,24,4,41.7,38.1,14,19,42.4,22,11,50.0,11,50.0,192,1208,647,17,11,11,0,0.0,4,0,0,25,13,0,0,0,0,0,0,0,6,83.3,58.7,9,0.11,0.5,2,22.2,18.0,0,2,0,1,0,48,1,16.0,215,323,66.6,6,16,6,3,26,4019,1925,76,101,75.2,91,120,75.8,33,70,47.1,1,1,0,0.0,1,0,0.0,0,0,0,273,48,13,1,2,21,16,9,6,2,0,2,10,210,11,1,11,5,14,8,3,1,1,1,0,7,4,71.4,465,66,160,187,124,17,465,24,12,11,11,2,12,20,60.0,8,21,6,15,12,36,28,0,1.0,1.0,-1.4,-0.6,0.8,0.8,0.0,0.0,0.2,0.11,0,2.9,0.27,-0.1
Heidenheim,Bochum,2024-12-22,L,A,0,2,-2,0,0,0,48,0,30,4,46.7,37.0,22,38,36.7,13,6,46.2,6,46.2,247,1427,709,10,9,14,0,0.0,7,0,0,15,18,0,0,0,0,0,0,0,8,25.0,35.5,10,0.0,0.0,2,20.0,19.5,1,0,0,0,0,38,2,15.6,306,436,70.2,7,21,9,2,36,6130,2534,105,138,76.1,141,169,83.4,53,97,54.6,0,0,0,,0,0,,0,0,0,383,53,19,0,1,12,21,2,0,2,0,0,12,305,9,1,14,6,20,17,2,0,0,1,0,4,2,50.0,580,70,214,279,92,17,580,23,16,7,16,0,12,21,57.1,9,14,5,9,10,33,35,1,0.6,0.6,-1.1,-1.1,0.4,0.7,-0.6,-0.6,-0.4,0.06,1,1.2,0.3,-0.8
Heidenheim,Union Berlin,2025-01-11,W,H,2,0,2,0,0,2,58,0,40,7,37.5,33.9,13,20,39.4,14,8,57.1,6,42.9,495,2828,1548,32,18,10,0,0.0,0,0,0,8,9,3,2,0,0,1,0,0,5,40.0,34.8,16,0.13,0.25,8,50.0,15.9,2,0,0,0,0,54,0,7.5,523,624,83.8,12,43,16,5,60,10478,3401,164,195,84.1,290,313,92.7,62,94,66.0,0,0,0,,0,0,,0,0,0,589,35,9,0,8,22,15,5,3,2,0,0,7,517,18,6,12,8,31,21,2,4,2,2,0,6,6,100.0,716,55,186,353,184,33,716,18,9,8,6,4,4,13,30.8,9,8,2,6,9,27,13,1,1.4,1.4,0.3,0.3,1.1,2.0,0.6,0.6,0.9,0.09,2,2.0,0.34,2.0
Heidenheim,Werder Bremen,2025-01-15,D,A,3,3,0,0,0,3,48,0,33,3,42.4,39.0,16,22,42.1,19,8,42.1,9,47.4,318,1473,695,12,13,10,1,10.0,3,0,0,15,10,5,2,0,0,2,1,0,6,50.0,40.8,14,0.21,0.6,5,35.7,17.6,1,2,0,0,0,44,0,5.0,360,477,75.5,11,32,7,2,36,7238,2786,128,166,77.1,185,218,84.9,47,82,57.3,0,0,0,,0,0,,0,0,0,425,50,10,0,0,18,28,2,2,0,0,2,9,358,13,1,23,7,25,18,2,2,2,1,0,5,2,40.0,615,54,195,296,129,15,615,27,19,9,15,3,13,21,61.9,8,13,2,11,6,33,22,0,1.4,1.4,-0.1,-0.1,0.9,1.0,1.6,1.6,0.1,0.11,1,1.8,0.36,-1.2
Heidenheim,St. Pauli,2025-01-18,L,H,0,2,-2,0,0,0,60,0,33,4,27.3,29.5,23,22,51.1,27,11,40.7,12,44.4,408,2177,1078,8,14,8,0,0.0,1,0,0,11,17,0,0,0,0,0,0,0,6,0.0,25.5,8,0.0,0.0,1,12.5,14.1,0,3,0,1,0,35,3,15.3,485,603,80.4,7,28,7,3,39,9239,2864,170,198,85.9,261,296,88.2,47,81,58.0,1,1,0,0.0,1,0,0.0,0,0,0,541,59,18,1,1,14,28,4,3,1,0,3,11,483,14,1,15,8,15,9,3,1,0,2,0,4,2,75.0,721,57,225,381,121,16,721,6,6,4,1,1,5,9,55.6,4,9,2,7,9,15,31,1,0.7,0.7,-1.3,-0.5,0.6,1.0,-0.7,-0.7,-0.6,0.08,0,1.6,0.23,-0.4
Heidenheim,Augsburg,2025-01-25,L,A,1,2,-1,0,0,1,40,0,31,7,25.8,31.9,7,18,28.0,13,5,38.5,7,53.8,270,1276,634,12,6,14,0,0.0,0,0,0,9,8,1,0,0,0,1,0,0,7,14.3,29.1,11,0.09,0.17,6,54.5,19.2,0,1,0,0,0,36,0,9.5,324,415,78.1,9,22,6,1,28,6230,2195,128,150,85.3,159,187,85.0,34,63,54.0,0,0,0,,0,0,,0,2,0,375,39,8,3,1,17,18,4,3,1,0,1,5,321,6,4,12,12,18,13,1,1,1,2,0,7,5,71.4,543,63,214,221,110,17,543,19,15,10,8,1,9,18,50.0,9,20,1,19,9,28,25,0,1.2,1.2,0.1,0.1,1.1,0.9,-0.2,-0.2,-0.1,0.11,0,1.8,0.3,-0.2
Heidenheim,Dortmund,2025-02-01,L,H,1,2,-1,0,0,1,37,0,23,2,39.1,37.4,11,17,39.3,9,3,33.3,6,66.7,260,1408,772,17,14,13,1,7.7,1,0,0,11,9,2,2,0,0,0,0,0,9,11.1,21.6,11,0.09,0.2,5,45.5,20.0,0,3,0,0,0,41,0,15.0,260,375,69.3,8,19,2,0,19,4832,2122,114,133,85.7,102,135,75.6,37,75,49.3,0,0,0,,0,0,,0,1,0,323,49,10,0,0,19,23,4,3,1,0,3,19,258,14,2,18,9,21,15,2,0,1,2,1,5,3,60.0,498,58,190,194,124,14,498,26,11,11,11,4,15,36,41.7,21,14,5,9,10,36,22,0,0.6,0.6,-1.6,-1.6,0.4,0.8,0.4,0.4,0.6,0.05,0,2.6,0.53,0.6
Heidenheim,Freiburg,2025-02-08,L,A,0,1,-1,0,0,0,47,0,38,6,28.9,31.2,17,31,35.4,12,7,58.3,5,41.7,364,1699,890,18,11,13,2,15.4,1,0,0,8,11,0,0,0,0,0,0,0,3,33.3,31.0,11,0.0,0.0,5,45.5,20.1,0,2,0,0,0,47,0,11.7,396,497,79.7,8,25,12,7,33,7502,2364,143,164,87.2,194,220,88.2,48,87,55.2,0,0,0,,0,0,,0,0,0,461,34,11,0,6,18,15,3,3,0,0,2,8,393,11,2,18,8,21,16,1,2,0,1,1,3,2,66.7,604,68,197,294,119,22,604,14,8,3,10,1,5,10,50.0,5,8,1,7,6,20,26,0,0.5,0.5,-0.5,-0.5,0.4,1.1,-0.5,-0.5,-0.4,0.05,0,1.4,0.47,0.4
Heidenheim,Mainz 05,2025-02-16,L,H,0,2,-2,0,0,0,56,0,51,8,21.6,30.9,17,22,43.6,20,7,35.0,11,55.0,365,1948,1041,24,8,15,1,6.7,1,0,0,9,16,0,0,0,0,0,0,0,8,12.5,20.9,12,0.0,0.0,3,25.0,20.2,0,3,0,0,0,52,0,8.0,406,543,74.8,7,28,6,1,28,8121,3258,138,173,79.8,216,254,85.0,51,97,52.6,0,0,0,,0,0,,0,0,0,476,64,18,1,3,26,27,8,5,3,0,3,11,401,8,4,22,8,20,14,3,0,2,1,0,5,3,60.0,690,97,313,257,127,16,690,18,15,11,5,2,10,16,62.5,6,11,1,10,9,27,40,0,0.6,0.6,-1.4,-1.4,0.5,1.1,-0.6,-0.6,-0.5,0.05,0,2.5,0.5,0.5
Heidenheim,RB Leipzig,2025-02-23,D,A,2,2,0,1,0,1,26,1,23,4,73.9,51.1,19,15,55.9,9,1,11.1,8,88.9,103,565,289,7,4,29,3,10.3,3,0,0,15,13,4,2,1,0,0,1,0,7,71.4,52.0,3,0.33,1.0,1,33.3,28.5,0,0,1,1,0,26,0,11.1,132,227,58.1,3,17,3,1,13,3119,1705,52,68,76.5,41,65,63.1,37,85,43.5,1,1,0,0.0,1,0,0.0,0,0,0,182,45,15,0,1,15,16,4,0,4,0,0,6,132,4,2,23,4,7,5,1,0,0,1,0,6,4,83.3,392,86,202,113,77,7,391,21,9,16,5,0,12,24,50.0,12,20,7,13,11,32,53,0,0.8,0.1,-1.0,-1.0,0.1,0.5,1.2,0.9,0.9,0.02,0,2.6,0.3,0.6
