Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Holstein Kiel,Hoffenheim,2024-08-24,L,A,2,3,-1,0,0,2,46,0,33,4,48.5,36.8,27,20,57.4,10,4,40.0,6,60.0,236,1004,470,14,7,17,2,11.8,3,1,1,14,8,4,4,0,0,0,0,0,7,14.3,20.0,17,0.12,0.33,6,35.3,16.9,0,1,0,1,0,40,0,6.0,325,428,75.9,14,21,8,6,28,6020,2782,139,157,88.5,140,167,83.8,37,82,45.1,1,1,0,0.0,1,0,0.0,0,0,0,382,45,10,1,2,22,18,6,2,2,0,1,7,319,7,3,18,10,32,25,2,0,5,0,0,8,5,75.0,554,99,241,206,111,26,554,15,11,8,4,3,5,13,38.5,8,17,5,12,7,22,30,0,1.7,1.7,-1.7,-0.9,1.2,0.7,0.3,0.3,0.8,0.11,0,3.8,0.37,0.8
Holstein Kiel,Wolfsburg,2024-08-31,L,H,0,2,-2,0,0,0,54,0,22,6,31.8,32.3,25,20,55.6,10,7,70.0,3,30.0,285,1354,622,9,9,20,3,15.0,4,0,0,17,14,0,0,0,0,0,0,0,5,20.0,27.2,13,0.0,0.0,5,38.5,19.2,1,2,0,0,0,35,0,4.5,367,451,81.4,10,14,6,1,31,6337,2489,161,182,88.5,173,189,91.5,26,60,43.3,0,0,0,,0,0,,1,0,0,403,46,13,1,0,7,24,1,0,1,0,2,4,363,9,1,23,13,24,18,2,2,1,1,0,4,2,50.0,591,75,272,248,75,15,591,19,9,14,3,2,8,13,61.5,5,7,5,2,11,30,32,0,1.1,1.1,-0.2,-0.2,1.0,0.9,-1.1,-1.1,-1.0,0.08,1,1.2,0.3,-0.8
Holstein Kiel,Bayern Munich,2024-09-14,L,H,1,6,-5,0,0,1,30,0,43,10,55.8,36.6,10,11,47.6,11,5,45.5,6,54.5,189,871,309,5,2,14,1,7.1,0,0,0,12,11,2,2,0,0,0,0,0,8,25.0,19.9,5,0.2,1.0,1,20.0,16.9,0,0,0,1,1,35,1,11.0,268,355,75.5,5,14,3,2,13,4620,1845,136,153,88.9,99,129,76.7,25,56,44.6,1,1,0,0.0,1,0,0.0,0,0,1,314,41,11,0,2,13,13,2,1,0,0,0,7,265,2,1,10,3,9,8,0,0,0,0,1,12,7,58.3,458,112,241,167,54,8,458,24,12,12,8,4,18,32,56.3,14,8,5,3,10,34,23,2,0.3,0.3,-2.9,-2.1,0.3,0.5,0.7,0.7,0.7,0.06,0,4.4,0.32,-0.6
Holstein Kiel,Bochum,2024-09-21,D,A,2,2,0,0,0,2,56,0,33,6,36.4,36.1,19,21,47.5,10,4,40.0,3,30.0,299,1280,627,18,11,15,2,13.3,1,0,0,9,18,4,2,1,1,0,0,0,5,0.0,12.4,14,0.14,0.5,4,28.6,16.5,1,4,0,0,0,57,0,7.1,366,489,74.8,8,21,8,3,34,7454,3087,130,151,86.1,164,196,83.7,69,118,58.5,0,0,0,,0,0,,0,0,0,428,57,18,1,5,25,26,5,3,2,0,4,12,362,11,4,9,5,26,18,4,1,0,3,0,3,1,33.3,593,67,255,234,112,30,593,11,5,7,3,1,5,11,45.5,6,7,4,3,16,27,19,0,1.9,1.9,1.1,1.1,1.5,1.3,0.1,0.1,0.5,0.13,1,1.4,0.46,-0.6
Holstein Kiel,Eint Frankfurt,2024-09-29,L,H,2,4,-2,1,0,1,47,1,33,5,33.3,32.3,13,18,41.9,14,9,64.3,4,28.6,182,1030,543,12,10,23,0,0.0,1,0,0,12,12,4,3,0,0,0,1,0,10,20.0,24.6,9,0.11,0.25,4,44.4,23.4,1,1,1,0,0,32,0,15.7,322,428,75.2,6,24,3,1,24,6509,2442,113,126,89.7,164,205,80.0,43,84,51.2,0,0,0,,0,0,,0,2,0,376,51,12,0,4,21,20,4,1,3,0,1,9,321,10,2,10,5,20,15,2,0,0,3,0,10,6,60.0,545,97,265,176,104,11,544,15,10,10,4,1,5,13,38.5,8,16,7,9,3,18,29,1,1.1,0.3,-1.1,-1.9,0.2,0.3,0.9,0.7,-0.2,0.03,1,1.8,0.18,-2.2
Holstein Kiel,Leverkusen,2024-10-05,D,A,2,2,0,1,0,1,26,1,23,1,69.6,47.7,10,11,47.6,10,4,40.0,5,50.0,201,873,352,8,7,34,0,0.0,2,0,0,9,5,4,0,1,1,1,1,0,16,93.8,64.2,7,0.14,0.33,3,42.9,13.6,0,1,1,0,0,35,0,8.0,217,299,72.6,7,14,3,2,9,4145,1996,102,119,85.7,80,103,77.7,31,57,54.4,0,0,0,,0,0,,0,0,0,259,39,7,2,0,5,10,3,2,0,0,1,10,215,7,3,7,6,15,7,3,2,2,1,0,7,5,71.4,444,111,230,168,51,11,443,26,14,20,3,3,15,21,71.4,6,15,10,5,14,40,44,1,1.6,0.8,-0.5,-1.3,0.9,0.8,0.4,0.2,0.1,0.12,0,1.3,0.19,-0.7
Holstein Kiel,Union Berlin,2024-10-20,L,H,0,2,-2,0,0,0,48,0,27,9,25.9,30.3,24,17,58.5,15,8,53.3,5,33.3,236,1459,802,14,9,14,0,0.0,2,0,0,8,11,0,0,0,0,0,0,0,7,71.4,50.6,12,0.0,0.0,4,33.3,14.7,0,1,0,0,0,30,2,24.0,381,493,77.3,8,23,7,5,30,7151,2655,138,166,83.1,206,239,86.2,35,69,50.7,0,0,0,,0,0,,0,1,0,434,58,15,1,3,24,26,7,3,3,0,1,13,379,9,1,11,5,20,13,6,0,0,1,0,4,2,50.0,602,66,199,290,117,18,602,18,11,12,4,2,8,14,57.1,6,18,4,14,8,26,18,0,1.3,1.3,0.2,0.2,1.0,0.9,-1.3,-1.3,-1.0,0.11,0,1.4,0.34,-0.6
Holstein Kiel,Stuttgart,2024-10-26,L,A,1,2,-1,0,0,1,42,0,26,6,26.9,31.3,6,12,33.3,15,5,33.3,9,60.0,281,1170,495,6,7,16,1,6.3,6,1,1,17,6,1,0,0,0,1,0,0,16,62.5,47.1,9,0.11,0.33,3,33.3,18.0,0,3,0,0,0,30,0,16.0,317,408,77.7,6,29,5,1,30,6061,2334,116,130,89.2,158,186,84.9,38,73,52.1,0,0,0,,0,0,,0,0,0,360,45,8,0,0,18,13,5,4,1,0,3,6,314,7,2,14,6,15,11,2,0,2,0,0,6,4,66.7,495,70,206,206,86,18,495,16,11,7,8,1,9,18,50.0,9,9,1,8,6,22,16,0,0.5,0.5,-1.1,-1.1,0.4,0.4,0.5,0.5,-0.4,0.06,0,1.5,0.25,-0.5
Holstein Kiel,Heidenheim,2024-11-02,W,H,1,0,1,0,0,1,45,0,27,1,66.7,42.8,20,20,50.0,18,7,38.9,10,55.6,184,1303,710,18,16,21,0,0.0,4,0,0,16,13,2,1,0,0,0,1,0,8,87.5,57.1,11,0.09,0.17,6,54.5,17.2,0,1,0,0,0,43,1,16.3,253,364,69.5,9,17,5,1,21,4844,2043,102,126,81.0,120,149,80.5,28,73,38.4,0,0,0,,0,0,,0,0,0,319,44,14,1,1,17,16,5,0,5,0,1,11,251,16,5,14,6,18,14,1,0,2,1,0,4,4,100.0,495,75,181,213,111,21,495,15,11,7,6,2,10,18,55.6,8,13,3,10,9,24,31,0,1.1,1.1,-0.1,-0.1,0.9,0.9,-0.1,-0.1,0.1,0.1,0,0.9,0.22,0.9
Holstein Kiel,Werder Bremen,2024-11-09,L,A,1,2,-1,0,0,1,40,0,23,4,47.8,39.0,22,19,53.7,10,4,40.0,4,40.0,183,850,386,7,3,20,3,15.0,2,0,0,19,9,1,0,0,0,0,0,1,12,58.3,45.0,12,0.08,0.2,5,41.7,17.0,0,2,0,0,0,39,0,9.8,285,394,72.3,11,13,3,2,22,5358,2101,112,137,81.8,143,174,82.2,30,67,44.8,0,0,0,,0,0,,0,0,0,340,52,10,2,0,5,24,3,1,1,0,2,8,284,3,4,8,7,20,11,3,1,3,1,1,5,3,60.0,499,80,233,213,54,16,499,10,10,4,5,1,5,8,62.5,3,9,4,5,13,23,33,2,0.7,0.7,-1.0,-1.0,0.6,0.7,0.3,0.3,0.4,0.06,0,1.7,0.34,-0.3
Holstein Kiel,Mainz 05,2024-11-24,L,H,0,3,-3,0,0,0,38,0,46,2,43.5,38.3,14,8,63.6,9,2,22.2,5,55.6,187,822,336,5,6,22,1,4.5,1,0,0,11,7,0,0,0,0,0,0,0,9,44.4,38.3,7,0.0,0.0,2,28.6,16.8,0,1,0,1,0,32,0,7.3,284,379,74.9,7,14,4,2,19,5346,2141,118,135,87.4,120,143,83.9,38,79,48.1,1,1,0,0.0,1,0,0.0,0,0,0,338,40,8,1,0,9,17,2,2,0,0,1,10,281,6,1,17,13,14,11,2,0,1,0,0,7,4,71.4,500,107,255,191,61,11,500,14,5,8,3,3,2,9,22.2,7,10,5,5,10,24,33,0,0.4,0.4,-1.8,-1.1,0.4,0.8,-0.4,-0.4,-0.4,0.06,0,2.5,0.27,-0.5
Holstein Kiel,St. Pauli,2024-11-29,L,A,1,3,-2,0,1,1,51,1,32,0,56.3,39.8,17,13,56.7,11,5,45.5,5,45.5,344,1485,670,10,5,12,0,0.0,5,0,0,11,10,2,2,0,0,0,0,0,3,100.0,58.3,9,0.11,0.5,2,22.2,20.3,0,0,1,0,0,48,1,12.3,375,497,75.5,6,23,4,2,22,7232,2477,131,158,82.9,199,233,85.4,40,90,44.4,0,0,0,,0,0,,0,0,0,449,48,12,0,2,18,25,4,4,0,0,0,12,371,5,1,11,7,18,13,2,0,1,2,0,3,0,0.0,601,47,196,324,85,10,600,18,12,7,10,1,10,16,62.5,6,13,6,7,11,29,16,1,1.2,0.4,-0.1,-0.9,0.3,0.5,-0.2,0.6,0.7,0.04,0,0.9,0.29,-2.1
Holstein Kiel,RB Leipzig,2024-12-07,L,H,0,2,-2,0,0,0,56,0,21,1,33.3,30.7,18,15,54.5,11,6,54.5,3,27.3,352,1814,912,18,10,4,0,0.0,4,0,0,11,13,0,0,0,0,0,0,0,1,0.0,23.0,17,0.0,0.0,5,29.4,16.0,0,2,0,1,0,49,1,15.2,409,534,76.6,10,33,10,5,48,7528,2638,153,186,82.3,219,253,86.6,34,72,47.2,1,1,0,0.0,1,0,0.0,0,0,0,481,51,15,0,1,21,26,6,2,2,0,2,9,406,10,6,22,11,30,19,3,2,3,2,1,5,3,80.0,636,40,189,314,140,30,636,16,14,6,6,4,8,14,57.1,6,10,3,7,3,19,13,0,1.2,1.2,-0.4,0.4,0.8,1.1,-1.2,-1.2,-0.8,0.07,0,1.6,0.15,-0.4
