Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Leverkusen,Gladbach,2024-08-23,W,A,3,2,1,0,1,3,57,1,20,4,30.0,33.4,16,9,64.0,16,3,18.8,11,68.8,333,1892,1063,24,20,12,1,8.3,0,0,0,7,11,3,0,0,0,2,0,1,4,50.0,29.5,24,0.13,0.33,9,37.5,18.3,1,0,1,0,0,40,0,12.0,553,650,85.1,15,43,13,5,57,8216,2629,319,354,90.1,177,203,87.2,40,60,66.7,0,0,0,,0,0,,0,0,0,612,38,11,3,2,18,16,4,0,2,0,0,8,549,20,7,15,9,45,34,1,2,4,2,2,7,5,71.4,764,49,161,378,229,32,763,13,7,6,5,2,4,8,50.0,4,11,5,6,4,17,16,0,2.7,1.7,1.1,0.2,1.2,1.2,0.3,1.3,-1.2,0.07,1,2.3,0.36,0.3
Leverkusen,RB Leipzig,2024-08-31,L,H,2,3,-1,0,0,2,62,0,21,1,23.8,30.4,8,3,72.7,20,8,40.0,12,60.0,363,1859,1102,34,19,6,0,0.0,3,0,0,7,8,3,2,0,1,0,0,0,4,0.0,12.5,26,0.08,0.2,10,38.5,15.6,0,0,0,0,0,49,3,20.2,527,625,84.3,21,45,15,3,48,8531,3249,278,309,90.0,172,200,86.0,52,75,69.3,0,0,0,,0,0,,0,0,0,572,53,13,1,4,33,14,18,7,6,0,0,16,523,19,6,7,13,47,34,5,3,4,1,0,4,1,25.0,722,49,168,309,247,52,722,16,14,4,9,3,10,14,71.4,4,5,1,4,8,24,9,0,2.2,2.2,1.1,1.1,1.7,2.7,-0.2,-0.2,-0.7,0.09,0,1.3,0.33,-1.7
Leverkusen,Hoffenheim,2024-09-14,W,A,4,1,3,1,0,3,60,1,22,6,22.7,28.6,15,8,65.2,26,6,23.1,15,57.7,385,2156,1159,25,16,12,1,8.3,2,0,0,10,9,8,5,0,2,0,1,0,6,16.7,23.2,19,0.16,0.5,6,31.6,15.8,1,1,1,0,0,41,0,10.5,599,665,90.1,12,62,12,2,54,9581,3181,317,331,95.8,236,254,92.9,38,59,64.4,0,0,0,,0,0,,0,0,0,627,37,9,3,0,19,8,12,3,3,0,1,8,596,16,10,15,11,37,24,3,3,5,2,0,5,4,80.0,786,69,159,372,261,38,785,13,9,5,5,3,7,9,77.8,2,10,5,5,4,17,20,0,3.5,2.7,2.6,1.8,2.1,2.8,0.5,0.3,0.9,0.15,1,0.6,0.13,-0.4
Leverkusen,Wolfsburg,2024-09-22,W,H,4,3,1,0,0,4,78,0,18,4,11.1,23.9,10,12,45.5,27,17,63.0,9,33.3,467,2378,1293,16,20,6,0,0.0,4,0,0,6,14,7,1,2,0,4,0,0,5,20.0,29.6,20,0.2,0.57,7,35.0,16.3,0,4,0,0,1,39,4,27.8,740,831,89.0,18,69,12,2,73,11395,3598,396,428,92.5,293,320,91.6,35,54,64.8,0,0,0,,0,0,,0,1,1,772,55,15,2,3,25,25,6,3,0,0,4,7,736,20,8,21,3,38,23,4,4,6,1,0,4,2,25.0,939,41,166,427,350,36,939,15,13,5,6,4,7,12,58.3,5,5,0,5,9,24,11,3,1.9,1.9,1.2,1.2,1.7,2.4,2.1,2.1,1.3,0.1,0,0.8,0.21,-1.2
Leverkusen,Bayern Munich,2024-09-28,D,A,1,1,0,0,0,1,31,0,28,4,53.6,42.0,12,11,52.2,11,5,45.5,6,54.5,178,741,297,5,3,13,1,7.7,3,0,0,15,10,2,1,1,0,0,0,0,17,35.3,29.0,3,0.33,0.5,2,66.7,40.5,0,0,0,0,0,33,0,4.3,254,342,74.3,3,15,0,0,14,4618,1897,112,132,84.8,86,105,81.9,37,73,50.7,0,0,0,,0,0,,0,0,0,295,47,11,0,4,3,16,1,0,1,0,0,7,253,3,1,12,9,5,4,1,0,0,0,0,3,2,66.7,431,90,215,165,55,4,431,14,6,8,5,1,8,18,44.4,10,17,4,13,9,23,18,0,0.1,0.1,-1.3,-1.3,0.1,0.1,0.9,0.9,0.9,0.02,0,0.5,0.18,-0.5
Leverkusen,Holstein Kiel,2024-10-05,D,H,2,2,0,0,0,2,74,0,11,3,18.2,27.5,11,10,52.4,23,6,26.1,15,65.2,666,2990,1511,27,23,4,0,0.0,2,0,0,5,9,3,3,0,0,0,0,0,4,0.0,20.8,23,0.09,0.29,7,30.4,18.3,0,3,0,1,0,52,0,,764,860,88.8,19,87,18,6,105,11235,3266,446,475,93.9,256,287,89.2,37,60,61.7,1,1,0,0.0,1,0,0.0,0,1,0,807,50,10,4,5,37,21,12,3,2,0,3,5,760,23,8,12,11,41,30,4,1,3,2,1,4,2,75.0,978,29,112,410,462,50,978,11,6,5,4,2,5,9,55.6,4,13,2,11,9,20,5,1,2.1,2.1,0.5,1.3,1.9,3.1,-0.1,-0.1,0.1,0.09,0,1.9,0.32,-0.1
Leverkusen,Eint Frankfurt,2024-10-19,W,H,2,1,1,0,1,2,54,1,19,2,31.6,33.4,11,8,57.9,15,9,60.0,6,40.0,356,2039,1219,23,13,12,0,0.0,2,0,0,9,5,4,4,0,0,0,0,0,8,12.5,18.3,26,0.08,0.25,8,30.8,17.4,0,2,1,1,0,45,2,15.0,520,585,88.9,20,51,19,8,62,8547,3103,265,281,94.3,195,211,92.4,38,55,69.1,1,1,0,0.0,1,0,0.0,0,0,0,548,35,6,0,6,25,11,8,2,2,0,2,8,515,13,6,18,6,49,39,2,3,4,1,0,1,0,100.0,697,57,168,278,254,52,696,15,10,8,4,3,6,14,42.9,8,5,3,2,5,20,16,0,3.8,3.1,1.9,2.0,1.7,3.0,-1.8,-1.1,-0.7,0.12,0,0.9,0.0,-0.1
Leverkusen,Werder Bremen,2024-10-26,D,A,2,2,0,0,0,1,57,0,22,4,31.8,37.4,15,17,46.9,15,6,40.0,9,60.0,467,2368,1093,25,19,9,0,0.0,1,0,0,11,9,2,2,0,0,0,0,0,7,42.9,31.7,14,0.07,0.2,5,35.7,15.2,1,1,0,0,0,39,2,19.3,545,654,83.3,9,40,10,1,39,8313,2682,302,334,90.4,181,212,85.4,39,69,56.5,0,0,0,,0,0,,0,0,0,608,45,11,0,1,17,19,5,3,0,0,1,10,537,19,8,10,5,25,18,3,1,1,2,0,8,6,75.0,735,42,141,373,224,31,735,7,4,2,2,3,4,11,36.4,7,4,0,4,6,13,12,1,1.3,1.3,-0.3,-0.3,1.1,0.8,-0.3,-0.3,-0.1,0.09,1,2.4,0.3,0.4
Leverkusen,Stuttgart,2024-11-01,D,H,0,0,0,0,0,0,53,0,24,3,20.8,29.3,16,10,61.5,26,17,65.4,9,34.6,373,2044,1062,25,11,5,0,0.0,3,0,0,13,12,0,0,0,0,0,0,0,6,16.7,25.8,19,0.0,0.0,5,26.3,13.4,0,9,0,0,0,45,3,20.4,402,503,79.9,16,38,7,3,38,6731,2746,207,229,90.4,140,170,82.4,40,65,61.5,0,0,0,,0,0,,0,0,0,446,48,13,6,2,26,18,10,8,0,0,9,11,400,11,7,18,5,35,25,7,1,1,1,0,1,1,100.0,597,44,166,249,189,29,597,10,5,2,7,1,2,8,25.0,6,3,1,2,8,18,14,0,2.2,2.2,1.9,1.9,2.1,2.0,-2.2,-2.2,-2.1,0.12,0,0.1,0.1,0.1
Leverkusen,Bochum,2024-11-09,D,A,1,1,0,0,0,1,70,0,21,4,14.3,26.5,9,12,42.9,14,8,57.1,5,35.7,622,2962,1663,20,23,18,1,5.6,1,0,0,9,10,2,1,1,0,0,0,0,9,22.2,27.0,11,0.09,0.33,3,27.3,16.4,0,3,0,0,0,36,0,7.0,663,756,87.7,11,55,9,1,61,10177,3252,389,414,94.0,227,251,90.4,33,64,51.6,0,0,0,,0,0,,0,0,0,711,42,11,5,5,14,16,4,4,0,0,3,6,659,23,4,10,4,22,19,2,1,0,0,0,3,2,66.7,851,64,168,473,214,23,851,13,9,6,6,1,7,13,53.8,6,9,6,3,8,21,24,0,1.2,1.2,0.5,0.5,1.2,1.6,-0.2,-0.2,-0.2,0.11,0,0.2,0.08,-0.8
