Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Mainz 05,Union Berlin,2024-08-24,D,H,1,1,0,0,0,1,53,0,25,8,40.0,36.0,26,21,55.3,12,6,50.0,6,50.0,221,1015,452,11,4,21,2,9.5,1,0,0,10,14,1,0,0,0,0,1,0,10,50.0,48.2,14,0.07,0.33,3,21.4,15.4,1,1,0,0,0,29,3,14.2,319,422,75.6,10,29,11,3,23,6305,2701,127,151,84.1,129,154,83.8,55,90,61.1,0,0,0,,0,0,,0,0,0,370,51,14,0,3,17,17,8,1,5,2,1,11,318,4,1,15,7,24,16,4,0,2,2,0,5,4,80.0,535,72,206,217,115,19,535,16,8,10,4,2,10,12,83.3,2,7,2,5,7,23,38,0,1.2,1.2,0.5,0.5,0.7,1.4,-0.2,-0.2,-0.7,0.08,1,0.9,0.19,-0.1
Mainz 05,Stuttgart,2024-08-31,D,A,3,3,0,1,0,2,37,1,22,4,54.5,43.0,7,10,41.2,7,2,28.6,4,57.1,143,586,252,3,4,30,2,6.7,1,0,0,12,6,6,5,0,0,0,1,0,8,62.5,40.5,10,0.2,0.33,6,60.0,21.6,1,2,1,0,0,31,0,7.9,244,326,74.8,6,17,8,2,27,4442,1784,115,132,87.1,92,108,85.2,31,70,44.3,0,0,0,,0,0,,1,0,0,285,39,6,2,3,13,19,2,0,2,0,2,5,243,4,0,9,10,18,16,0,0,0,2,0,11,8,72.7,453,88,186,185,83,12,452,15,6,4,10,1,2,8,25.0,6,14,8,6,7,22,36,2,2.3,1.5,-1.6,-2.4,1.4,1.3,0.7,0.5,0.6,0.15,1,2.8,0.26,-0.2
Mainz 05,Werder Bremen,2024-09-15,L,H,1,2,-1,0,0,1,58,0,25,6,44.0,37.0,11,11,50.0,8,7,87.5,1,12.5,373,1786,844,20,7,13,1,7.7,3,0,0,12,6,2,2,0,0,0,0,0,6,33.3,36.8,16,0.06,0.2,5,31.3,16.9,1,4,0,1,0,41,7,26.4,424,550,77.1,11,44,12,3,63,7210,2666,204,232,87.9,174,216,80.6,37,71,52.1,1,1,0,0.0,1,0,0.0,0,0,0,495,51,6,1,0,37,26,10,3,2,2,4,12,422,7,4,15,11,31,27,1,1,1,1,0,4,2,75.0,650,46,127,284,241,37,650,19,10,8,6,5,3,9,33.3,6,11,4,7,13,32,16,1,1.1,1.1,-0.5,-0.1,0.6,2.1,-0.1,-0.1,-0.6,0.07,1,1.6,0.28,-0.4
Mainz 05,Augsburg,2024-09-20,W,A,3,2,1,0,0,3,27,0,28,7,60.7,46.7,18,17,51.4,6,3,50.0,3,50.0,104,528,219,3,3,41,3,7.3,5,1,1,12,7,5,3,1,0,1,0,0,17,64.7,53.4,5,0.6,1.0,3,60.0,11.4,0,2,0,0,0,17,2,11.4,136,231,58.9,4,7,3,2,12,2739,1348,55,75,73.3,54,72,75.0,21,59,35.6,0,0,0,,0,0,,0,0,0,186,43,8,0,0,6,14,1,1,0,0,2,8,133,3,0,11,6,9,7,1,0,1,0,0,7,5,71.4,362,116,198,105,60,6,362,9,6,5,4,0,6,11,54.5,5,20,10,10,4,13,54,0,1.0,1.0,-1.4,-1.4,0.9,0.4,2.0,2.0,1.1,0.22,0,2.6,0.38,0.6
Mainz 05,Heidenheim,2024-09-28,L,H,0,2,-2,0,0,0,50,0,30,4,36.7,33.9,29,32,47.5,16,4,25.0,10,62.5,277,1541,682,18,14,19,2,10.5,4,1,1,10,10,0,0,0,0,0,0,0,8,62.5,53.3,7,0.0,0.0,1,14.3,17.9,1,0,0,0,0,38,2,13.0,322,444,72.5,6,31,4,2,19,6024,2261,146,175,83.4,127,171,74.3,43,82,52.4,0,0,0,,0,0,,0,1,0,388,56,11,0,2,23,27,7,5,2,0,0,6,317,14,0,15,11,14,10,3,0,0,1,0,6,4,66.7,561,51,187,254,126,12,561,16,7,8,4,4,4,11,36.4,7,8,2,6,12,28,26,0,0.6,0.6,-0.6,-0.6,0.5,0.4,-0.6,-0.6,-0.5,0.08,1,1.7,0.31,-0.3
Mainz 05,St. Pauli,2024-10-05,W,A,3,0,3,0,0,3,44,0,36,8,44.4,41.5,19,17,52.8,13,5,38.5,7,53.8,224,1014,439,11,4,22,0,0.0,3,0,0,16,12,4,4,0,0,0,0,0,10,50.0,36.3,8,0.38,0.75,4,50.0,21.4,0,1,0,0,0,42,0,7.3,338,446,75.8,7,16,5,0,14,6045,2093,151,176,85.8,148,175,84.6,34,81,42.0,0,0,0,,0,0,,0,0,0,407,38,13,3,2,5,12,2,0,2,0,1,4,336,4,4,16,5,14,14,0,0,0,0,0,4,4,100.0,577,94,261,266,54,9,577,23,15,11,11,1,9,18,50.0,9,20,9,11,9,32,35,0,1.1,1.1,0.0,0.0,1.1,0.7,1.9,1.9,1.9,0.14,0,1.0,0.26,1.0
Mainz 05,RB Leipzig,2024-10-19,L,H,0,2,-2,0,0,0,53,0,23,1,39.1,37.0,10,23,30.3,31,13,41.9,15,48.4,310,1634,715,15,12,9,0,0.0,1,0,0,12,9,0,0,0,0,0,0,0,7,0.0,13.0,17,0.0,0.0,2,11.8,18.1,0,2,0,0,0,55,2,22.5,420,554,75.8,12,61,15,5,58,7701,2865,169,198,85.4,208,241,86.3,39,96,40.6,0,0,0,,0,0,,0,1,0,505,47,15,1,3,25,17,5,0,3,0,2,12,414,12,2,21,11,32,24,4,2,0,1,1,5,3,60.0,688,48,150,342,201,21,688,17,9,6,8,3,8,17,47.1,9,12,3,9,15,32,12,2,0.6,0.6,-1.3,-1.3,0.5,1.3,-0.6,-0.6,-0.5,0.04,0,1.7,0.34,-0.3
Mainz 05,Gladbach,2024-10-25,D,H,1,1,0,0,0,0,52,0,31,5,35.5,33.1,26,27,49.1,21,10,47.6,11,52.4,325,1467,633,15,9,12,0,0.0,3,0,0,16,15,0,0,0,0,0,0,0,4,25.0,34.8,23,0.0,0.0,6,26.1,19.2,0,2,0,0,0,58,0,13.0,410,513,79.9,16,27,12,2,45,7116,2923,157,182,86.3,192,221,86.9,37,70,52.9,0,0,0,,0,0,,0,0,0,472,39,15,1,0,17,16,2,0,1,0,2,6,408,9,5,27,8,37,26,5,1,3,2,0,5,4,80.0,653,61,214,296,148,40,653,16,11,4,12,0,5,14,35.7,9,8,0,8,9,25,24,0,1.7,1.7,0.9,0.9,1.5,1.6,-1.7,-1.7,-1.5,0.07,0,1.5,0.29,0.5
Mainz 05,Freiburg,2024-11-03,D,A,0,0,0,0,0,0,49,0,42,10,35.7,35.6,22,22,50.0,5,2,40.0,3,60.0,288,1277,572,14,8,15,1,6.7,2,0,0,12,8,0,0,0,0,0,0,0,1,0.0,21.0,9,0.0,0.0,2,22.2,17.0,0,2,0,0,0,47,2,12.0,387,505,76.6,6,23,3,1,23,6742,2461,186,216,86.1,155,185,83.8,39,81,48.1,0,0,0,,0,0,,0,0,0,468,35,11,0,3,16,18,4,0,4,0,2,11,386,8,3,13,6,14,9,2,0,2,1,0,2,2,100.0,618,76,267,263,90,10,618,8,3,3,5,0,4,7,57.1,3,14,5,9,15,23,31,0,0.5,0.5,-0.3,-0.3,0.3,0.4,-0.5,-0.5,-0.3,0.06,0,0.4,0.18,0.4
Mainz 05,Dortmund,2024-11-09,W,H,3,1,2,0,0,3,53,0,21,5,23.8,31.0,10,18,35.7,20,11,55.0,8,40.0,387,1922,911,22,16,13,1,7.7,3,0,0,17,5,6,6,0,0,0,0,0,6,33.3,33.7,13,0.23,0.33,9,69.2,13.4,0,3,0,1,0,47,6,20.7,430,525,81.9,10,35,11,3,54,8125,3343,181,203,89.2,189,212,89.2,53,83,63.9,1,1,0,0.0,1,0,0.0,0,0,0,485,37,5,2,2,23,16,8,4,3,0,3,13,429,16,5,14,7,23,15,4,1,1,1,1,1,0,100.0,618,47,187,273,169,29,618,17,12,12,2,3,8,13,61.5,5,8,0,8,8,25,13,0,2.0,2.0,1.2,1.9,2.0,2.6,1.0,1.0,1.0,0.16,0,0.7,0.0,-0.3
