Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
St. Pauli,Heidenheim,2024-08-25,L,H,0,2,-2,0,0,0,60,0,45,4,22.2,28.5,17,25,40.5,12,5,41.7,6,50.0,248,1028,504,9,4,10,0,0.0,2,0,0,9,15,0,0,0,0,0,0,0,4,0.0,12.8,11,0.0,0.0,3,27.3,18.5,1,1,0,0,0,55,2,22.5,468,598,78.3,8,37,4,2,37,8745,3275,179,213,84.0,242,277,87.4,45,92,48.9,0,0,0,,0,0,,0,1,0,546,51,14,0,2,23,26,4,2,2,0,1,18,462,4,2,15,12,20,13,3,1,1,2,0,3,1,33.3,710,62,219,352,143,16,710,24,12,8,12,4,11,19,57.9,8,12,0,12,7,31,16,0,1.2,1.2,0.1,0.1,1.1,0.8,-1.2,-1.2,-1.1,0.11,1,1.8,0.6,-0.2
St. Pauli,Union Berlin,2024-08-30,L,A,0,1,-1,0,0,0,61,0,37,9,21.6,27.2,21,18,53.8,17,8,47.1,6,35.3,344,1511,835,16,11,14,3,21.4,1,0,0,11,10,0,0,0,0,0,0,0,9,33.3,29.2,8,0.0,0.0,1,12.5,16.0,0,3,0,0,0,33,0,12.0,505,647,78.1,7,30,7,1,46,9094,3236,201,246,81.7,248,279,88.9,48,94,51.1,0,0,0,,0,0,,0,1,0,587,57,12,0,2,16,30,4,0,3,0,3,12,502,11,3,12,8,16,10,3,1,1,1,0,5,4,80.0,739,66,239,377,130,15,739,13,7,6,6,1,3,11,27.3,8,7,0,7,4,17,20,1,0.5,0.5,-0.5,-0.5,0.4,0.6,-0.5,-0.5,-0.4,0.07,0,0.7,0.14,-0.3
St. Pauli,Augsburg,2024-09-15,L,A,1,3,-2,0,0,1,56,0,36,4,38.9,35.2,19,29,39.6,11,6,54.5,5,45.5,275,1502,762,12,6,19,0,0.0,3,0,0,10,11,2,1,1,0,0,0,0,8,12.5,21.8,11,0.09,0.33,3,27.3,19.9,0,2,0,0,0,40,2,23.7,365,478,76.4,8,26,4,1,35,6778,2603,145,165,87.9,166,204,81.4,47,88,53.4,0,0,0,,0,0,,0,0,0,429,47,13,1,3,23,15,7,2,2,0,2,12,360,6,3,17,7,20,13,3,1,1,2,0,8,5,62.5,590,78,195,277,126,27,590,9,3,5,2,2,2,10,20.0,8,12,3,9,7,16,30,0,0.5,0.5,-2.2,-2.2,0.4,0.8,0.5,0.5,0.6,0.05,0,3.9,0.48,0.9
St. Pauli,RB Leipzig,2024-09-22,D,H,0,0,0,0,0,0,31,0,26,2,53.8,42.0,16,26,38.1,24,11,45.8,11,45.8,241,1258,547,12,11,9,0,0.0,2,0,0,6,8,0,0,0,0,0,0,0,6,66.7,52.3,17,0.0,0.0,4,23.5,14.0,0,2,0,0,0,55,0,17.3,248,362,68.5,14,32,8,2,43,4912,2372,103,128,80.5,101,132,76.5,38,77,49.4,0,0,0,,0,0,,0,0,0,325,35,9,2,4,17,16,3,0,2,0,2,5,247,11,10,16,13,32,22,2,3,4,1,0,5,5,100.0,500,51,148,219,140,37,500,23,10,6,13,4,8,16,50.0,8,18,1,17,7,30,22,0,1.4,1.4,0.7,0.7,1.2,1.5,-1.4,-1.4,-1.2,0.08,0,0.4,0.09,0.4
St. Pauli,Freiburg,2024-09-28,W,A,3,0,3,0,0,3,27,0,38,0,65.8,50.5,18,24,42.9,13,7,53.8,5,38.5,154,759,379,6,9,23,1,4.3,3,0,0,18,7,4,1,0,2,1,0,0,7,85.7,62.7,10,0.3,0.75,4,40.0,17.6,2,1,0,1,0,31,0,10.7,168,261,64.4,7,17,6,1,14,3618,1652,61,80,76.3,72,91,79.1,30,69,43.5,1,0,1,100.0,0,1,100.0,0,0,0,223,37,12,1,2,9,15,2,0,0,0,1,5,167,9,1,13,8,17,11,0,3,1,2,0,2,1,100.0,372,55,166,139,71,14,372,16,9,12,3,1,9,16,56.3,7,11,1,10,11,27,36,0,1.1,1.1,-0.1,0.7,0.9,0.4,1.9,1.9,2.1,0.11,2,1.2,0.13,1.2
St. Pauli,Mainz 05,2024-10-05,L,H,0,3,-3,0,0,0,56,0,36,4,52.8,38.9,17,19,47.2,21,9,42.9,9,42.9,321,1777,927,18,15,4,0,0.0,0,0,0,12,16,0,0,0,0,0,0,0,3,33.3,30.7,19,0.0,0.0,4,21.1,16.5,0,1,0,0,0,40,1,20.0,450,577,78.0,15,49,10,4,49,8052,2476,181,210,86.2,226,263,85.9,36,79,45.6,0,0,0,,0,0,,0,0,0,509,67,17,0,3,27,41,2,0,1,0,1,14,442,15,4,12,14,36,24,6,1,3,2,0,4,1,25.0,673,28,128,362,188,27,673,12,7,2,7,3,7,12,58.3,5,5,1,4,6,18,13,2,1.0,1.0,0.0,0.0,0.8,1.0,-1.0,-1.0,-0.8,0.06,0,0.9,0.22,-2.1
St. Pauli,Dortmund,2024-10-18,L,A,1,2,-1,0,0,1,26,0,31,6,35.5,31.3,9,14,39.1,15,6,40.0,6,40.0,200,929,461,6,7,20,1,5.0,1,0,0,7,8,1,0,0,0,1,0,0,9,66.7,51.6,10,0.1,0.33,3,30.0,19.7,0,1,0,0,0,30,1,14.0,212,284,74.6,7,10,3,1,11,3450,1346,99,111,89.2,80,94,85.1,19,54,35.2,0,0,0,,0,0,,0,0,0,241,42,8,1,1,6,21,1,0,1,0,1,7,210,7,4,16,10,16,11,1,1,1,0,2,7,5,71.4,403,74,213,127,70,13,403,22,13,17,4,1,12,22,54.5,10,8,4,4,8,30,28,0,0.6,0.6,-2.0,-2.0,0.5,0.5,0.4,0.4,-0.5,0.06,0,2.2,0.32,0.2
St. Pauli,Wolfsburg,2024-10-26,D,H,0,0,0,0,0,0,54,0,44,3,9.1,26.4,12,24,33.3,9,7,77.8,2,22.2,306,1709,919,16,13,9,1,11.1,0,0,0,9,11,0,0,0,0,0,0,0,12,25.0,21.3,14,0.0,0.0,5,35.7,18.7,1,2,0,0,0,28,0,11.3,424,542,78.2,11,26,5,3,35,7393,2469,168,198,84.8,212,243,87.2,30,72,41.7,0,0,0,,0,0,,0,0,0,488,52,13,0,2,19,19,7,2,4,1,2,7,417,13,6,11,3,26,17,2,2,2,1,2,4,4,100.0,637,74,222,276,141,24,637,17,11,5,10,2,7,14,50.0,7,7,0,7,8,25,24,2,0.8,0.8,-0.3,-0.3,0.7,0.7,-0.8,-0.8,-0.7,0.06,1,2.2,0.56,2.2
St. Pauli,Hoffenheim,2024-11-02,W,A,2,0,2,0,0,2,33,0,26,3,61.5,45.8,24,34,41.4,10,6,60.0,4,40.0,233,1178,514,10,10,30,1,3.3,1,0,0,10,9,4,3,0,0,0,0,1,8,62.5,43.0,7,0.29,0.67,3,42.9,15.7,0,0,0,0,0,41,0,8.0,239,339,70.5,6,24,4,1,22,4475,2210,94,118,79.7,105,128,82.0,31,68,45.6,0,0,0,,0,0,,0,0,0,295,44,12,1,2,9,21,2,2,0,0,0,7,233,10,2,25,9,11,10,0,0,0,0,1,6,6,100.0,505,74,224,205,81,9,505,24,15,13,10,1,11,18,61.1,7,18,3,15,14,38,49,0,0.9,0.9,0.2,0.2,0.9,0.5,1.1,1.1,1.1,0.13,0,0.6,0.1,0.6
St. Pauli,Bayern Munich,2024-11-09,L,H,0,1,-1,0,0,0,25,0,37,3,45.9,40.9,8,10,44.4,12,4,33.3,7,58.3,135,586,264,5,1,16,1,6.3,2,0,0,10,7,0,0,0,0,0,0,0,8,25.0,20.6,3,0.0,,0,0.0,21.8,0,0,0,0,0,37,0,9.4,211,295,71.5,1,15,1,0,10,4268,1938,73,86,84.9,103,126,81.7,32,66,48.5,0,0,0,,0,0,,0,0,0,259,36,9,0,0,12,12,5,2,2,0,0,8,208,1,1,17,10,4,4,0,0,0,0,0,6,5,83.3,416,84,219,145,55,9,416,20,10,10,8,2,12,17,70.6,5,14,3,11,14,34,26,0,0.1,0.1,-0.7,-0.7,0.1,0.5,-0.1,-0.1,-0.1,0.03,0,0.8,0.14,-0.2
