Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Union Berlin,Mainz 05,2024-08-24,D,A,1,1,0,0,0,1,47,0,26,4,73.1,47.5,21,26,44.7,12,2,16.7,10,83.3,183,837,341,3,7,15,1,6.7,3,0,0,15,10,2,2,0,0,0,0,0,9,66.7,50.1,15,0.07,0.2,5,33.3,19.8,0,1,0,0,0,32,0,7.3,250,367,68.1,10,29,12,2,29,5158,2557,99,121,81.8,107,144,74.3,40,85,47.1,0,0,0,,0,0,,1,0,0,318,48,11,0,1,22,17,9,7,2,0,1,7,242,7,1,17,6,25,19,2,0,3,0,1,3,2,66.7,474,50,166,177,137,23,474,13,10,6,5,2,6,12,50.0,6,12,3,9,5,18,15,0,0.6,0.6,-0.5,-0.5,0.5,0.5,0.4,0.4,0.5,0.04,0,0.8,0.28,-0.2
Union Berlin,St. Pauli,2024-08-30,W,H,1,0,1,0,0,1,39,0,30,7,36.7,33.2,18,21,46.2,11,8,72.7,3,27.3,249,1276,592,14,8,13,1,7.7,3,0,0,10,11,1,0,0,0,1,0,0,8,50.0,42.6,11,0.09,0.2,5,45.5,21.5,0,2,0,0,0,36,2,17.8,299,422,70.9,8,21,8,2,21,5842,2524,115,147,78.2,135,167,80.8,42,83,50.6,0,0,0,,0,0,,0,0,0,373,47,14,0,2,24,19,5,3,0,0,2,11,294,8,3,14,10,17,12,1,1,1,0,2,1,1,100.0,529,71,218,211,110,15,529,14,6,8,4,2,6,14,42.9,8,15,3,12,7,21,22,1,1.1,1.1,0.5,0.5,0.5,0.8,-0.1,-0.1,-0.5,0.1,0,0.0,0.04,0.0
Union Berlin,RB Leipzig,2024-09-14,D,A,0,0,0,0,0,0,33,0,23,4,30.4,33.4,5,17,22.7,15,6,40.0,8,53.3,257,1116,365,5,8,15,1,6.7,3,0,0,19,8,0,0,0,0,0,0,0,6,66.7,51.2,10,0.0,0.0,3,30.0,12.9,0,1,0,1,0,45,0,8.0,280,382,73.3,6,16,2,0,16,4651,1882,145,169,85.8,96,118,81.4,26,59,44.1,1,0,1,100.0,0,1,100.0,0,0,0,344,37,9,2,1,11,16,5,3,2,0,1,11,279,8,1,9,14,17,4,6,1,4,2,0,3,2,100.0,513,73,222,204,89,14,513,24,9,15,8,1,11,20,55.0,9,12,6,6,7,31,34,0,0.6,0.6,-0.7,0.1,0.4,0.7,-0.6,-0.6,-0.4,0.06,0,1.1,0.05,1.1
Union Berlin,Hoffenheim,2024-09-21,W,H,2,1,1,0,0,2,51,0,18,5,33.3,34.9,19,19,50.0,18,9,50.0,8,44.4,286,1452,707,12,10,18,0,0.0,3,0,0,17,18,4,1,1,1,1,0,0,6,50.0,41.8,12,0.17,1.0,2,16.7,18.3,2,1,0,0,0,41,1,20.5,391,490,79.8,6,21,3,0,34,6123,2499,202,220,91.8,135,172,78.5,32,65,49.2,0,0,0,,0,0,,0,0,0,445,44,16,0,2,13,15,5,0,3,0,1,4,389,10,5,12,7,21,13,2,1,2,3,0,3,2,66.7,615,60,174,322,125,24,615,13,9,5,7,1,6,13,46.2,7,9,2,7,7,20,36,0,1.2,1.2,0.8,0.8,0.3,0.9,0.8,0.8,0.7,0.1,2,0.8,0.27,-0.2
Union Berlin,Gladbach,2024-09-28,L,A,0,1,-1,0,0,0,38,0,31,4,51.6,37.8,16,22,42.1,12,4,33.3,7,58.3,261,1098,392,8,2,10,0,0.0,1,0,0,12,10,0,0,0,0,0,0,0,4,50.0,42.3,9,0.0,0.0,2,22.2,19.9,0,1,0,0,0,29,0,7.0,273,408,66.9,7,23,9,4,35,5026,2139,118,150,78.7,112,151,74.2,37,83,44.6,0,0,0,,0,0,,0,0,0,342,65,14,0,1,21,41,4,2,1,0,1,13,272,2,1,17,12,15,11,3,0,0,1,0,2,1,50.0,516,49,166,221,132,14,516,17,10,9,6,2,14,21,66.7,7,13,4,9,10,27,17,0,0.7,0.7,-0.2,-0.2,0.6,0.8,-0.7,-0.7,-0.6,0.07,0,0.3,0.15,-0.7
Union Berlin,Dortmund,2024-10-05,W,H,2,1,1,1,0,1,33,1,30,4,60.0,46.4,16,17,48.5,12,0,0.0,10,83.3,168,1066,536,10,7,14,5,35.7,4,0,0,15,17,4,2,0,0,0,1,1,5,40.0,39.0,13,0.08,0.25,4,30.8,19.1,0,4,1,0,0,43,0,5.2,205,319,64.3,8,15,6,3,16,3746,1751,90,113,79.6,74,100,74.0,28,72,38.9,0,0,0,,0,0,,0,0,0,271,44,16,2,2,15,18,3,0,3,0,4,5,203,7,5,13,5,21,13,3,0,1,3,1,4,3,75.0,439,49,153,172,120,18,438,25,17,15,9,1,14,24,58.3,10,11,0,11,11,36,15,0,1.5,0.7,0.7,0.0,0.5,0.8,0.5,0.3,0.5,0.05,0,1.6,0.4,0.6
Union Berlin,Holstein Kiel,2024-10-20,W,A,2,0,2,0,0,2,52,0,25,9,16.0,31.6,17,24,41.5,15,6,40.0,8,53.3,346,1412,765,18,11,19,3,15.8,1,0,0,11,8,4,2,1,0,1,0,0,9,44.4,38.0,14,0.14,0.5,4,28.6,14.8,0,4,0,0,0,38,1,9.8,423,529,80.0,11,30,13,5,49,7423,2913,197,220,89.5,164,193,85.0,47,71,66.2,0,0,0,,0,0,,0,0,0,486,39,9,2,4,19,17,3,0,3,0,4,15,418,11,3,8,10,26,19,1,1,4,0,1,4,4,100.0,631,51,190,299,144,28,631,10,7,6,3,1,5,13,38.5,8,12,2,10,11,21,16,0,1.1,1.1,-0.2,-0.2,1.0,1.4,0.9,0.9,1.0,0.08,0,1.8,0.45,1.8
Union Berlin,Eint Frankfurt,2024-10-27,D,H,1,1,0,0,0,1,48,0,35,8,17.1,26.6,13,19,40.6,17,8,47.1,9,52.9,280,1607,812,16,8,8,0,0.0,5,0,0,13,7,2,1,0,1,0,0,0,3,0.0,25.7,13,0.08,0.25,4,30.8,14.8,0,4,0,0,0,61,1,16.7,358,498,71.9,8,32,7,3,41,6281,2394,178,205,86.8,141,194,72.7,37,80,46.3,0,0,0,,0,0,,0,1,0,460,34,8,0,2,21,17,4,2,2,0,4,10,356,8,1,14,6,21,14,2,3,2,0,0,5,4,80.0,614,41,179,309,132,16,614,19,10,8,9,2,12,16,75.0,4,10,5,5,16,35,13,0,1.4,1.4,0.0,0.0,1.2,1.2,-0.4,-0.4,-0.2,0.11,0,1.7,0.36,0.7
Union Berlin,Bayern Munich,2024-11-02,L,A,0,3,-3,0,0,0,23,0,22,3,50.0,42.0,17,12,58.6,10,6,60.0,4,40.0,167,709,267,3,2,12,2,16.7,2,0,0,9,2,0,0,0,0,0,0,0,12,41.7,33.8,8,0.0,0.0,1,12.5,12.7,0,3,0,1,0,34,0,6.7,192,277,69.3,6,7,5,0,11,3725,1549,78,93,83.9,73,100,73.0,32,59,54.2,1,1,0,0.0,1,0,0.0,0,0,0,233,41,3,0,1,6,18,4,1,2,1,3,7,192,2,1,9,8,14,8,4,0,2,0,0,7,4,71.4,371,75,203,125,46,22,371,12,10,9,1,2,8,21,38.1,13,15,4,11,12,24,22,0,0.5,0.5,-2.0,-1.2,0.3,0.8,-0.5,-0.5,-0.3,0.06,0,2.8,0.28,-0.2
Union Berlin,Freiburg,2024-11-08,D,H,0,0,0,0,0,0,41,0,21,3,42.9,36.8,17,24,41.5,15,10,66.7,5,33.3,257,1200,512,12,5,11,0,0.0,2,0,0,11,7,0,0,0,0,0,0,0,6,83.3,52.0,12,0.0,0.0,6,50.0,20.2,0,4,0,1,0,49,0,16.5,305,419,72.8,9,28,12,3,31,5518,2324,129,154,83.8,115,139,82.7,41,79,51.9,1,0,1,100.0,0,1,100.0,0,0,0,378,37,9,0,0,22,17,4,1,3,0,4,13,301,5,3,10,11,22,17,1,2,0,2,0,4,3,100.0,523,52,150,225,151,25,523,14,8,6,8,0,5,9,55.6,4,11,2,9,5,19,22,0,0.7,0.7,-0.9,-0.1,0.7,1.0,-0.7,-0.7,-0.7,0.06,0,1.2,0.12,1.2
