Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Wolfsburg,Bayern Munich,2024-08-25,L,H,2,3,-1,1,0,1,30,1,33,1,93.9,55.9,12,16,42.9,15,5,33.3,8,53.3,190,967,365,8,4,13,0,0.0,2,0,0,12,11,3,2,0,0,0,1,0,9,11.1,13.2,9,0.11,1.0,1,11.1,19.7,0,3,1,0,1,37,0,3.3,188,283,66.4,7,20,6,2,21,3559,1764,88,102,86.3,61,87,70.1,28,67,41.8,0,0,0,,0,0,,0,0,1,235,45,11,2,3,11,20,1,1,0,0,3,7,187,4,3,12,10,18,12,1,1,1,2,1,8,6,62.5,395,59,158,158,88,16,394,21,16,11,6,4,13,29,44.8,16,15,5,10,13,34,22,0,1.9,1.1,-0.5,-1.3,0.8,0.9,0.1,-0.1,0.2,0.12,0,2.9,0.37,0.9
Wolfsburg,Holstein Kiel,2024-08-31,W,A,2,0,2,0,0,2,46,0,34,3,82.4,51.3,20,25,44.4,13,5,38.5,8,61.5,265,1232,418,7,5,6,0,0.0,7,0,0,14,17,4,1,1,0,0,2,0,10,60.0,42.0,13,0.15,0.5,4,30.8,18.3,1,1,0,0,0,32,0,,267,379,70.4,10,31,2,0,40,4674,1921,133,155,85.8,93,122,76.2,30,82,36.6,0,0,0,,0,0,,0,0,0,322,56,18,0,1,23,20,7,7,0,0,1,2,266,5,6,15,11,24,14,4,1,1,4,0,5,5,100.0,485,44,125,181,181,20,485,16,9,1,7,8,3,10,30.0,7,6,2,4,5,21,16,0,1.3,1.3,0.2,0.2,0.9,0.8,0.7,0.7,0.1,0.1,1,1.2,0.25,1.2
Wolfsburg,Eint Frankfurt,2024-09-14,L,H,1,2,-1,0,0,1,60,0,50,8,38.0,35.5,9,15,37.5,11,6,54.5,5,45.5,337,1756,945,17,9,8,0,0.0,1,0,0,7,18,2,2,0,0,0,0,0,2,50.0,32.0,18,0.06,0.25,4,22.2,17.9,0,0,0,1,0,47,0,15.0,438,562,77.9,12,36,8,3,36,7269,2472,212,239,88.7,178,215,82.8,30,68,44.1,1,1,0,0.0,1,0,0.0,0,0,0,506,56,21,0,5,28,25,5,3,1,0,0,16,429,9,5,12,7,28,23,3,0,2,0,0,6,4,83.3,668,49,164,326,181,27,668,16,11,8,5,3,7,20,35.0,13,16,4,12,6,22,16,0,1.5,1.5,-1.0,-0.2,1.2,0.9,-0.5,-0.5,-0.2,0.09,0,2.5,0.26,0.5
Wolfsburg,Leverkusen,2024-09-22,L,A,3,4,-1,0,0,2,22,0,25,3,84.0,52.0,12,10,54.5,12,5,41.7,7,58.3,140,601,256,4,10,20,0,0.0,5,1,0,14,5,4,1,1,1,0,1,0,11,90.9,66.5,9,0.22,0.5,4,44.4,22.1,0,1,0,0,0,32,0,12.5,161,238,67.6,6,15,4,3,18,3282,1211,58,68,85.3,71,90,78.9,28,68,41.2,0,0,0,,0,0,,0,3,0,183,54,10,0,0,6,26,2,2,0,0,1,5,156,10,2,15,8,15,10,2,2,0,1,0,7,3,42.9,353,66,160,141,56,6,353,12,7,7,3,2,9,26,34.6,17,13,6,7,13,25,30,0,0.7,0.7,-1.2,-1.2,0.6,0.5,1.3,1.3,1.4,0.08,0,3.1,0.44,-0.9
Wolfsburg,Stuttgart,2024-09-28,D,H,2,2,0,0,0,2,31,0,24,0,62.5,47.0,16,15,51.6,11,6,54.5,5,45.5,135,661,254,6,4,9,0,0.0,5,0,0,20,9,3,2,0,0,0,0,1,9,55.6,43.1,5,0.4,1.0,2,40.0,14.3,0,2,0,1,0,41,0,4.0,177,282,62.8,5,15,2,1,16,3397,1552,74,103,71.8,71,102,69.6,26,59,44.1,1,0,1,100.0,0,1,100.0,0,0,0,231,49,12,1,2,5,24,1,1,0,0,2,6,174,4,4,21,2,9,8,0,0,0,0,1,4,1,50.0,393,50,157,169,69,13,393,14,7,6,8,0,4,14,28.6,10,20,8,12,8,22,15,1,1.1,1.1,-0.7,0.1,1.1,0.8,0.9,0.9,0.9,0.22,0,1.9,0.23,-0.1
Wolfsburg,Bochum,2024-10-05,W,A,3,1,2,0,1,3,42,1,31,3,83.9,55.9,33,30,52.4,12,8,66.7,4,33.3,163,1001,438,12,12,21,1,4.8,2,0,0,12,11,5,3,0,0,2,0,0,9,22.2,21.3,16,0.19,0.75,4,25.0,18.2,0,1,1,0,0,31,2,13.4,222,338,65.7,11,15,9,0,28,4763,1981,77,105,73.3,97,129,75.2,41,87,47.1,0,0,0,,0,0,,0,0,0,289,48,15,2,6,11,16,6,2,4,0,1,4,218,12,4,9,10,29,18,1,2,6,2,0,5,4,80.0,475,103,192,203,82,23,474,12,8,5,6,1,5,11,45.5,6,15,7,8,8,20,49,0,2.4,1.4,0.6,-0.3,1.3,1.3,0.6,1.6,0.7,0.09,0,1.8,0.37,0.8
Wolfsburg,Werder Bremen,2024-10-20,L,H,2,4,-2,0,0,2,43,0,31,3,32.3,35.7,13,10,56.5,18,9,50.0,7,38.9,264,1406,721,21,8,10,1,10.0,1,1,0,15,9,3,2,0,0,1,0,0,6,66.7,46.0,14,0.14,0.4,5,35.7,16.3,0,4,0,0,0,55,2,13.4,324,427,75.9,10,26,6,1,35,5985,2235,136,160,85.0,137,156,87.8,41,79,51.9,0,0,0,,0,0,,0,0,0,385,38,9,2,2,15,15,4,3,1,0,4,7,321,8,9,13,5,21,15,1,2,1,2,0,7,3,42.9,533,59,165,270,106,24,533,12,10,3,5,4,7,14,50.0,7,10,4,6,13,25,18,1,1.8,1.8,-0.2,-0.2,0.7,0.8,0.2,0.2,-0.7,0.15,0,2.8,0.42,-1.2
Wolfsburg,St. Pauli,2024-10-26,D,A,0,0,0,0,0,0,46,0,31,3,35.5,36.2,24,12,66.7,15,7,46.7,7,46.7,322,1471,688,9,11,16,0,0.0,3,0,0,12,9,0,0,0,0,0,0,0,7,28.6,29.4,9,0.0,0.0,4,44.4,17.1,0,3,0,0,0,38,0,19.0,363,463,78.4,8,32,5,0,39,7241,2440,124,148,83.8,187,217,86.2,47,82,57.3,0,0,0,,0,0,,0,0,0,420,40,11,1,5,9,15,6,2,4,0,3,7,358,11,3,15,10,16,13,2,0,1,0,0,5,5,100.0,566,66,193,280,97,18,566,5,2,4,0,1,2,9,22.2,7,12,5,7,9,14,25,2,1.1,1.1,0.3,0.3,1.0,0.7,-1.1,-1.1,-1.0,0.12,0,0.8,0.16,0.8
Wolfsburg,Augsburg,2024-11-02,D,H,1,1,0,0,0,1,69,0,37,5,13.5,27.7,10,16,38.5,17,7,41.2,8,47.1,411,2060,1119,21,15,5,0,0.0,1,0,0,7,14,2,1,0,0,1,0,0,8,0.0,22.1,18,0.06,0.2,5,27.8,17.7,1,0,0,0,0,36,1,16.3,562,674,83.4,14,46,14,2,51,10983,3483,203,227,89.4,271,305,88.9,79,112,70.5,0,0,0,,0,0,,0,0,0,620,54,14,1,7,23,22,8,3,5,0,0,18,560,15,5,12,4,29,21,2,1,4,1,0,1,0,0.0,769,41,199,373,201,31,769,9,6,2,6,1,4,11,36.4,7,9,0,9,5,14,11,1,1.2,1.2,0.8,0.8,1.0,1.1,-0.2,-0.2,0.0,0.07,1,0.9,0.9,-0.1
Wolfsburg,Heidenheim,2024-11-10,W,A,3,1,2,0,0,3,35,0,28,6,50.0,39.1,18,29,38.3,17,6,35.3,11,64.7,171,1091,495,11,9,29,1,3.4,6,0,0,23,9,4,3,0,0,1,0,0,10,70.0,46.9,13,0.23,0.5,6,46.2,14.1,1,0,0,0,0,40,0,4.0,210,307,68.4,7,17,6,0,23,4026,1884,88,102,86.3,81,109,74.3,31,70,44.3,0,0,0,,0,0,,0,1,0,260,47,13,2,3,12,17,5,3,2,0,0,7,208,9,3,7,10,21,10,5,1,5,0,0,4,3,75.0,453,82,194,151,114,21,453,17,8,15,1,1,8,12,66.7,4,15,8,7,7,24,44,0,1.5,1.5,-0.9,-0.9,0.4,0.8,1.5,1.5,0.6,0.12,1,1.5,0.38,0.5
