Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Werder Bremen,Augsburg,2024-08-24,D,A,2,2,0,0,0,2,54,0,30,9,20.0,32.1,13,9,59.1,8,4,50.0,4,50.0,353,2072,1049,17,12,15,1,6.7,1,0,0,10,9,4,4,0,0,0,0,0,10,20.0,32.9,11,0.18,0.4,5,45.5,13.0,0,2,0,0,0,30,1,15.3,419,505,83.0,10,33,15,6,47,8304,3043,178,198,89.9,151,178,84.8,80,102,78.4,0,0,0,,0,0,,0,0,0,460,43,12,1,17,16,16,2,1,1,0,2,8,419,12,4,15,6,22,20,1,1,0,0,0,3,1,33.3,597,62,207,272,119,26,597,15,9,11,4,0,7,15,46.7,8,10,2,8,9,24,17,0,1.4,1.4,0.4,0.4,1.4,1.2,0.6,0.6,0.6,0.13,0,1.5,0.49,-0.5
Heidenheim,Augsburg,2024-09-01,W,H,4,0,4,1,0,3,36,1,25,5,40.0,37.4,19,16,54.3,24,10,41.7,11,45.8,219,1652,957,28,14,14,1,7.1,1,0,0,15,9,6,5,1,0,0,0,0,11,72.7,58.7,14,0.21,0.43,7,50.0,17.2,0,2,0,0,0,44,0,7.3,241,328,73.5,10,19,6,2,21,4663,2080,103,130,79.2,98,113,86.7,34,61,55.7,0,0,0,,0,0,,0,0,0,286,40,11,1,4,10,12,5,3,2,0,2,9,238,14,5,11,5,22,15,2,4,0,1,0,0,0,,459,74,205,184,79,21,458,19,13,12,7,0,11,16,68.8,5,19,4,15,12,31,37,0,3.1,2.3,2.3,1.6,2.1,1.5,0.9,0.7,-0.1,0.16,0,0.0,,0.0
St. Pauli,Augsburg,2024-09-15,L,A,1,3,-2,0,0,1,56,0,36,4,38.9,35.2,19,29,39.6,11,6,54.5,5,45.5,275,1502,762,12,6,19,0,0.0,3,0,0,10,11,2,1,1,0,0,0,0,8,12.5,21.8,11,0.09,0.33,3,27.3,19.9,0,2,0,0,0,40,2,23.7,365,478,76.4,8,26,4,1,35,6778,2603,145,165,87.9,166,204,81.4,47,88,53.4,0,0,0,,0,0,,0,0,0,429,47,13,1,3,23,15,7,2,2,0,2,12,360,6,3,17,7,20,13,3,1,1,2,0,8,5,62.5,590,78,195,277,126,27,590,9,3,5,2,2,2,10,20.0,8,12,3,9,7,16,30,0,0.5,0.5,-2.2,-2.2,0.4,0.8,0.5,0.5,0.6,0.05,0,3.9,0.48,0.9
Mainz 05,Augsburg,2024-09-20,W,A,3,2,1,0,0,3,27,0,28,7,60.7,46.7,18,17,51.4,6,3,50.0,3,50.0,104,528,219,3,3,41,3,7.3,5,1,1,12,7,5,3,1,0,1,0,0,17,64.7,53.4,5,0.6,1.0,3,60.0,11.4,0,2,0,0,0,17,2,11.4,136,231,58.9,4,7,3,2,12,2739,1348,55,75,73.3,54,72,75.0,21,59,35.6,0,0,0,,0,0,,0,0,0,186,43,8,0,0,6,14,1,1,0,0,2,8,133,3,0,11,6,9,7,1,0,1,0,0,7,5,71.4,362,116,198,105,60,6,362,9,6,5,4,0,6,11,54.5,5,20,10,10,4,13,54,0,1.0,1.0,-1.4,-1.4,0.9,0.4,2.0,2.0,1.1,0.22,0,2.6,0.38,0.6
RB Leipzig,Augsburg,2024-09-28,W,H,4,0,4,0,0,4,59,0,19,2,15.8,27.9,13,6,68.4,14,10,71.4,4,28.6,315,1673,867,20,11,8,1,12.5,1,0,0,9,12,7,5,0,1,1,0,0,5,20.0,30.6,17,0.24,0.67,6,35.3,14.0,0,1,0,1,0,43,0,2.0,507,610,83.1,16,38,16,3,58,8722,3031,208,234,88.9,261,298,87.6,33,58,56.9,1,0,1,100.0,0,1,100.0,0,0,0,555,54,14,4,2,21,26,8,5,1,0,1,11,507,11,7,11,6,29,16,4,4,2,3,0,1,0,100.0,700,55,176,382,151,33,700,7,6,3,4,0,2,10,20.0,8,12,3,9,6,13,21,0,3.0,3.0,2.0,2.7,2.9,2.2,1.0,1.0,1.1,0.18,0,0.9,0.0,0.9
Gladbach,Augsburg,2024-10-04,L,A,1,2,-1,0,0,1,65,0,37,11,10.8,26.6,18,18,50.0,23,9,39.1,14,60.9,479,2193,1223,21,10,19,1,5.3,4,0,0,15,12,2,1,1,0,0,0,0,9,11.1,29.6,11,0.09,0.25,4,36.4,15.1,0,2,0,0,0,34,0,6.3,538,664,81.0,10,28,10,5,39,9773,3352,225,261,86.2,252,291,86.6,57,90,63.3,0,0,0,,0,0,,0,1,0,602,60,16,3,6,21,27,5,2,0,0,2,14,538,10,1,8,11,21,16,4,0,0,1,0,5,3,60.0,776,75,284,375,122,19,776,16,9,8,6,2,9,12,75.0,3,12,3,9,5,21,29,1,0.5,0.5,-0.8,-0.8,0.5,0.8,0.5,0.5,0.5,0.05,0,0.8,0.17,-1.2
Freiburg,Augsburg,2024-10-19,W,H,3,1,2,0,0,3,57,0,46,4,26.1,34.3,16,20,44.4,16,6,37.5,9,56.3,430,1640,750,11,9,16,1,6.3,1,0,0,11,7,6,4,1,1,0,0,0,7,42.9,37.9,15,0.2,0.5,6,40.0,19.8,0,0,0,0,0,42,3,18.4,506,619,81.7,10,35,6,3,31,8531,3042,264,295,89.5,198,224,88.4,41,84,48.8,0,0,0,,0,0,,0,0,0,578,41,9,0,2,22,18,5,4,1,0,0,11,500,9,2,15,7,26,20,2,1,3,0,0,3,2,66.7,713,68,231,333,154,18,713,13,8,7,3,3,5,11,45.5,6,3,0,3,5,18,21,0,0.8,0.8,0.2,0.2,0.4,0.6,2.2,2.2,2.6,0.05,0,1.0,0.33,0.0
Dortmund,Augsburg,2024-10-26,L,A,1,2,-1,0,0,1,75,0,51,5,17.6,29.9,7,18,28.0,30,10,33.3,17,56.7,491,2454,1328,24,13,5,0,0.0,3,1,1,10,13,2,2,0,0,0,0,0,16,18.8,18.7,11,0.09,0.25,4,36.4,20.1,0,1,0,0,0,42,2,17.3,653,755,86.5,8,44,5,0,41,11531,3492,277,297,93.3,319,355,89.9,49,87,56.3,0,0,0,,0,0,,0,0,0,703,51,14,8,7,14,13,5,3,1,0,1,6,646,13,8,10,4,18,15,0,2,1,0,0,4,2,50.0,856,98,309,428,125,18,856,22,10,13,6,3,13,17,76.5,4,10,1,9,4,26,12,2,1.0,1.0,0.4,0.4,0.9,1.5,0.0,0.0,0.1,0.09,0,0.7,0.18,-1.3
Wolfsburg,Augsburg,2024-11-02,D,H,1,1,0,0,0,1,69,0,37,5,13.5,27.7,10,16,38.5,17,7,41.2,8,47.1,411,2060,1119,21,15,5,0,0.0,1,0,0,7,14,2,1,0,0,1,0,0,8,0.0,22.1,18,0.06,0.2,5,27.8,17.7,1,0,0,0,0,36,1,16.3,562,674,83.4,14,46,14,2,51,10983,3483,203,227,89.4,271,305,88.9,79,112,70.5,0,0,0,,0,0,,0,0,0,620,54,14,1,7,23,22,8,3,5,0,0,18,560,15,5,12,4,29,21,2,1,4,1,0,1,0,0.0,769,41,199,373,201,31,769,9,6,2,6,1,4,11,36.4,7,9,0,9,5,14,11,1,1.2,1.2,0.8,0.8,1.0,1.1,-0.2,-0.2,0.0,0.07,1,0.9,0.9,-0.1
Hoffenheim,Augsburg,2024-11-10,D,A,0,0,0,0,0,0,56,0,32,6,25.0,32.2,18,19,48.6,9,4,44.4,5,55.6,345,1552,770,14,13,14,0,0.0,3,0,0,7,15,0,0,0,0,0,0,0,7,0.0,16.3,11,0.0,0.0,2,18.2,20.5,0,3,0,0,0,36,1,18.5,501,617,81.2,10,34,8,2,47,9014,3090,213,240,88.8,237,268,88.4,45,76,59.2,0,0,0,,0,0,,0,0,0,558,56,17,0,3,22,25,6,3,0,1,3,16,500,13,5,8,9,17,13,0,1,2,0,1,4,4,100.0,725,70,201,358,174,19,725,19,10,4,11,4,14,22,63.6,8,16,6,10,10,29,30,1,0.5,0.5,-0.4,-0.4,0.5,0.7,-0.5,-0.5,-0.5,0.04,0,0.3,0.08,0.3
Bayern Munich,Augsburg,2024-11-22,W,H,3,0,3,2,0,1,80,2,38,6,5.3,24.4,11,11,50.0,24,13,54.2,9,37.5,575,3291,1832,39,22,4,0,0.0,0,0,0,9,8,5,4,0,0,0,1,0,3,0.0,16.0,31,0.03,0.08,12,38.7,18.1,1,1,1,0,0,62,4,20.3,837,928,90.2,23,118,22,3,105,13620,4119,404,430,94.0,368,393,93.6,48,68,70.6,0,0,0,,0,0,,0,0,0,895,32,6,6,1,26,14,8,3,0,0,1,15,835,22,11,14,5,61,47,0,7,3,3,1,1,1,100.0,1031,34,162,482,391,48,1029,17,9,7,6,4,5,8,62.5,3,6,0,6,5,22,3,0,3.7,2.2,3.6,2.1,1.7,2.7,-0.7,-1.2,-0.7,0.07,1,0.0,0.02,0.0
Bochum,Augsburg,2024-11-30,L,A,0,1,-1,0,0,0,48,0,39,3,46.2,37.4,22,22,50.0,5,2,40.0,3,60.0,279,1294,581,13,9,11,0,0.0,3,0,0,22,8,0,0,0,0,0,0,0,12,33.3,35.2,7,0.0,0.0,1,14.3,22.0,0,0,0,1,0,43,2,16.0,314,445,70.6,5,32,8,1,41,6276,2787,113,139,81.3,148,192,77.1,49,91,53.8,1,1,0,0.0,1,0,0.0,0,0,0,388,57,11,1,0,12,31,1,1,0,0,0,13,310,9,3,13,7,13,11,0,1,0,1,0,4,3,100.0,548,68,201,236,114,14,548,13,8,7,3,3,7,12,58.3,5,18,5,13,15,28,12,1,0.3,0.3,-1.6,-0.8,0.2,0.4,-0.3,-0.3,-0.2,0.04,0,2.4,0.36,1.4
Eint Frankfurt,Augsburg,2024-12-07,D,H,2,2,0,0,0,2,66,0,16,2,6.3,20.1,14,12,53.8,19,14,73.7,3,15.8,506,2472,1331,32,20,6,0,0.0,2,0,0,17,9,4,2,0,1,0,1,0,3,0.0,25.7,16,0.13,0.5,4,25.0,16.0,0,1,0,0,0,54,4,22.8,512,621,82.4,12,36,15,7,54,8402,3067,248,275,90.2,206,245,84.1,40,62,64.5,0,0,0,,0,0,,0,0,0,576,44,13,0,5,26,21,4,2,2,0,1,11,507,20,5,17,7,31,25,1,1,2,1,1,3,1,33.3,728,34,191,350,194,33,728,20,15,5,10,5,8,15,53.3,7,10,1,9,10,30,17,1,1.7,1.7,1.1,1.1,1.5,1.9,0.3,0.3,-0.5,0.11,0,0.4,0.12,-1.6
Leverkusen,Augsburg,2024-12-14,W,A,2,0,2,0,0,2,65,0,26,2,23.1,31.3,11,20,35.5,11,4,36.4,5,45.5,454,1780,946,25,13,10,0,0.0,0,0,0,5,10,4,4,0,0,0,0,0,4,75.0,55.3,14,0.14,0.67,3,21.4,22.1,3,2,0,0,0,43,0,8.5,651,751,86.7,8,50,3,1,44,11064,3224,327,349,93.7,262,296,88.5,56,88,63.6,0,0,0,,0,0,,0,0,0,708,41,13,2,0,25,14,9,5,4,0,2,9,648,13,7,9,3,24,16,2,1,0,3,2,4,4,100.0,840,58,179,483,180,17,840,11,7,4,3,4,4,9,44.4,5,7,1,6,8,19,21,0,0.8,0.8,0.2,0.2,0.5,0.6,1.2,1.2,1.5,0.06,3,0.5,0.13,0.5
Holstein Kiel,Augsburg,2024-12-21,W,H,5,1,4,0,0,5,37,0,24,3,58.3,41.5,11,19,36.7,11,7,63.6,3,27.3,198,1006,465,8,8,20,1,5.0,0,0,0,11,11,8,7,0,0,0,1,0,12,100.0,65.0,8,0.63,0.83,6,75.0,12.4,1,2,0,0,0,35,1,10.0,225,320,70.3,5,19,6,1,21,4711,2042,81,101,80.2,101,125,80.8,41,81,50.6,0,0,0,,0,0,,0,0,0,279,39,12,0,2,10,10,3,1,1,1,2,2,222,8,1,13,4,14,12,1,0,0,1,0,4,3,75.0,432,64,168,186,85,13,432,15,11,4,8,3,7,20,35.0,13,15,7,8,9,24,35,0,1.7,1.7,0.1,0.1,1.2,2.0,3.3,3.3,0.8,0.21,1,1.2,0.3,0.2
Stuttgart,Augsburg,2025-01-12,W,A,1,0,1,0,0,1,57,0,46,7,32.6,32.5,17,14,54.8,20,5,25.0,13,65.0,473,2091,998,19,10,13,0,0.0,1,0,0,14,11,1,0,0,0,1,0,0,8,12.5,17.5,13,0.08,0.2,5,38.5,12.8,1,0,0,0,0,43,0,11.7,482,605,79.7,9,37,13,4,37,7768,2894,252,288,87.5,180,222,81.1,39,70,55.7,0,0,0,,0,0,,0,0,0,561,44,12,2,2,25,14,9,5,0,1,0,10,475,10,5,15,10,22,19,0,0,2,1,0,2,2,100.0,727,94,296,271,165,36,727,17,11,9,7,1,5,7,71.4,2,7,0,7,12,29,33,0,2.4,2.4,2.1,2.1,1.4,2.2,-1.4,-1.4,-1.4,0.2,1,0.1,0.06,0.1
