Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
RB Leipzig,Bochum,2024-08-24,W,H,1,0,1,0,0,1,62,0,28,3,14.3,29.3,18,14,56.3,22,10,45.5,6,27.3,303,1801,843,20,7,7,1,14.3,1,1,0,9,16,1,0,0,0,1,0,0,4,25.0,26.8,13,0.08,0.33,3,23.1,14.7,0,3,0,0,0,50,0,13.5,440,554,79.4,12,32,13,2,45,8007,3111,172,212,81.1,211,241,87.6,46,70,65.7,0,0,0,,0,0,,0,0,0,499,52,17,2,2,22,21,9,7,0,0,3,16,438,7,4,15,11,25,20,3,0,2,0,0,3,3,100.0,643,51,205,336,111,29,643,14,9,5,9,0,9,10,90.0,1,13,7,6,11,25,10,1,1.3,1.3,0.3,0.3,1.3,1.3,-0.3,-0.3,-1.3,0.1,0,0.9,0.29,0.9
Gladbach,Bochum,2024-08-31,W,A,2,0,2,0,0,2,61,0,43,3,32.6,34.3,12,15,44.4,23,13,56.5,9,39.1,418,2028,913,23,10,16,0,0.0,0,0,0,10,9,4,4,0,0,0,0,0,9,33.3,33.3,15,0.13,0.4,5,33.3,14.8,0,2,0,0,0,43,1,15.5,518,632,82.0,13,36,14,3,45,9027,3301,243,260,93.5,202,235,86.0,56,93,60.2,0,0,0,,0,0,,0,0,0,579,51,10,4,8,23,27,4,1,2,0,2,17,515,10,4,16,4,29,25,0,1,2,0,1,4,4,100.0,740,93,327,265,154,36,740,14,11,9,5,0,9,11,81.8,2,8,3,5,11,25,28,0,2.9,2.9,2.2,2.2,2.8,2.0,-0.9,-0.9,-0.8,0.2,0,0.7,0.17,0.7
Freiburg,Bochum,2024-09-14,W,H,2,1,1,0,0,2,54,0,41,5,48.8,39.6,21,29,42.0,15,9,60.0,6,40.0,227,1546,770,10,10,10,2,20.0,0,0,0,5,15,3,2,0,0,1,0,0,5,40.0,38.2,26,0.08,0.25,8,30.8,14.4,0,7,0,0,0,48,3,16.6,370,489,75.7,18,39,4,2,40,6953,2862,150,182,82.4,176,215,81.9,36,69,52.2,0,0,0,,0,0,,0,0,0,434,48,17,3,2,20,19,5,2,3,0,7,7,365,10,6,18,6,41,23,4,2,9,2,1,3,2,66.7,618,51,186,298,140,34,618,16,13,6,8,2,7,14,50.0,7,14,3,11,11,27,16,1,3.7,3.7,2.8,2.8,2.2,1.9,-1.7,-1.7,-1.2,0.16,0,1.8,0.61,0.8
Holstein Kiel,Bochum,2024-09-21,D,A,2,2,0,0,0,2,56,0,33,6,36.4,36.1,19,21,47.5,10,4,40.0,3,30.0,299,1280,627,18,11,15,2,13.3,1,0,0,9,18,4,2,1,1,0,0,0,5,0.0,12.4,14,0.14,0.5,4,28.6,16.5,1,4,0,0,0,57,0,7.1,366,489,74.8,8,21,8,3,34,7454,3087,130,151,86.1,164,196,83.7,69,118,58.5,0,0,0,,0,0,,0,0,0,428,57,18,1,5,25,26,5,3,2,0,4,12,362,11,4,9,5,26,18,4,1,0,3,0,3,1,33.3,593,67,255,234,112,30,593,11,5,7,3,1,5,11,45.5,6,7,4,3,16,27,19,0,1.9,1.9,1.1,1.1,1.5,1.3,0.1,0.1,0.5,0.13,1,1.4,0.46,-0.6
Dortmund,Bochum,2024-09-27,W,H,4,2,2,1,0,3,66,1,36,5,13.9,26.1,17,18,48.6,33,20,60.6,10,30.3,420,2519,1523,37,24,8,0,0.0,2,0,0,12,7,8,6,0,1,0,1,0,4,25.0,32.0,22,0.14,0.43,7,31.8,16.4,0,2,1,0,0,49,0,12.7,515,602,85.5,22,43,16,3,65,9340,3385,214,234,91.5,226,246,91.9,60,87,69.0,0,0,0,,0,0,,0,0,0,557,43,11,2,5,25,14,11,5,1,2,2,8,514,24,14,21,10,45,35,3,5,1,1,0,5,3,60.0,706,55,187,308,216,51,705,10,6,3,5,2,2,8,25.0,6,7,2,5,9,19,7,1,3.2,2.4,1.9,1.2,2.5,3.0,0.8,0.6,0.5,0.11,0,2.0,0.4,0.0
Wolfsburg,Bochum,2024-10-05,W,A,3,1,2,0,1,3,42,1,31,3,83.9,55.9,33,30,52.4,12,8,66.7,4,33.3,163,1001,438,12,12,21,1,4.8,2,0,0,12,11,5,3,0,0,2,0,0,9,22.2,21.3,16,0.19,0.75,4,25.0,18.2,0,1,1,0,0,31,2,13.4,222,338,65.7,11,15,9,0,28,4763,1981,77,105,73.3,97,129,75.2,41,87,47.1,0,0,0,,0,0,,0,0,0,289,48,15,2,6,11,16,6,2,4,0,1,4,218,12,4,9,10,29,18,1,2,6,2,0,5,4,80.0,475,103,192,203,82,23,474,12,8,5,6,1,5,11,45.5,6,15,7,8,8,20,49,0,2.4,1.4,0.6,-0.3,1.3,1.3,0.6,1.6,0.7,0.09,0,1.8,0.37,0.8
Hoffenheim,Bochum,2024-10-19,W,H,3,1,2,0,0,3,50,0,41,4,39.0,35.4,13,18,41.9,18,7,38.9,10,55.6,275,1223,617,11,9,6,0,0.0,1,0,0,10,12,4,4,0,0,0,0,0,8,12.5,17.6,12,0.25,0.43,7,58.3,15.9,0,3,0,1,0,55,2,20.7,343,456,75.2,10,24,11,2,35,6260,2241,141,163,86.5,164,191,85.9,30,74,40.5,1,0,1,100.0,0,1,100.0,0,0,0,408,45,11,1,5,14,20,4,1,0,0,3,13,338,9,7,9,6,22,18,1,2,0,1,0,4,2,75.0,560,81,211,244,112,22,560,17,10,6,11,0,10,18,55.6,8,12,4,8,9,26,22,0,2.5,2.5,-0.2,0.6,2.1,1.6,0.5,0.5,-0.1,0.2,0,1.5,0.17,0.5
Bayern Munich,Bochum,2024-10-27,W,A,5,0,5,0,0,5,72,0,40,2,17.5,28.1,19,10,65.5,30,15,50.0,14,46.7,535,2913,1591,32,32,10,0,0.0,1,0,0,6,15,9,4,1,1,0,2,1,3,0.0,13.7,19,0.26,0.5,10,52.6,17.0,1,3,0,0,0,52,2,23.5,691,779,88.7,17,44,11,1,60,11873,3894,313,338,92.6,336,364,92.3,39,60,65.0,0,0,0,,0,0,,0,0,0,733,43,17,5,4,16,16,6,1,3,0,3,13,689,32,9,17,3,36,26,4,3,0,2,1,1,1,100.0,895,57,233,466,204,35,895,9,8,1,7,1,2,5,40.0,3,10,2,8,4,13,28,0,2.2,2.2,1.6,1.6,2.0,2.6,2.8,2.8,1.0,0.12,1,0.1,0.06,0.1
Eint Frankfurt,Bochum,2024-11-02,W,H,7,2,5,0,0,7,64,0,42,6,14.3,21.3,22,11,66.7,26,10,38.5,16,61.5,408,1871,1047,20,17,12,0,0.0,1,0,0,6,15,13,7,0,3,0,1,2,4,0.0,21.5,18,0.39,0.78,9,50.0,17.0,2,0,0,0,0,43,1,14.7,524,621,84.4,9,32,10,1,45,9271,3272,236,259,91.1,229,253,90.5,51,85,60.0,0,0,0,,0,0,,0,1,0,582,39,14,4,5,14,13,5,1,3,0,0,11,521,17,10,17,10,31,19,1,3,3,3,2,8,6,75.0,754,76,260,335,162,38,754,13,13,7,3,3,5,10,50.0,5,10,0,10,13,26,21,2,3.5,3.5,1.7,1.7,2.5,2.5,3.5,3.5,2.5,0.2,2,2.4,0.3,0.4
Leverkusen,Bochum,2024-11-09,D,A,1,1,0,0,0,1,70,0,21,4,14.3,26.5,9,12,42.9,14,8,57.1,5,35.7,622,2962,1663,20,23,18,1,5.6,1,0,0,9,10,2,1,1,0,0,0,0,9,22.2,27.0,11,0.09,0.33,3,27.3,16.4,0,3,0,0,0,36,0,7.0,663,756,87.7,11,55,9,1,61,10177,3252,389,414,94.0,227,251,90.4,33,64,51.6,0,0,0,,0,0,,0,0,0,711,42,11,5,5,14,16,4,4,0,0,3,6,659,23,4,10,4,22,19,2,1,0,0,0,3,2,66.7,851,64,168,473,214,23,851,13,9,6,6,1,7,13,53.8,6,9,6,3,8,21,24,0,1.2,1.2,0.5,0.5,1.2,1.6,-0.2,-0.2,-0.2,0.11,0,0.2,0.08,-0.8
