Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Eint Frankfurt,Dortmund,2024-08-24,L,A,0,2,-2,0,0,0,31,0,18,5,22.2,27.7,3,17,15.0,19,7,36.8,12,63.2,216,1165,492,12,6,20,1,5.0,1,0,0,3,6,0,0,0,0,0,0,0,9,11.1,17.7,7,0.0,0.0,2,28.6,17.0,0,1,0,0,0,29,0,2.0,269,341,78.9,4,13,9,0,28,4469,1595,120,133,90.2,115,136,84.6,23,52,44.2,0,0,0,,0,0,,0,0,0,292,48,5,2,1,16,24,7,3,4,0,1,8,268,6,3,17,10,11,9,0,1,1,0,0,5,3,60.0,461,83,194,173,99,19,461,16,9,11,3,2,8,14,57.1,6,18,8,10,9,25,27,0,1.4,1.4,-0.3,-0.3,1.2,1.2,-1.4,-1.4,-1.2,0.2,0,1.3,0.25,-0.7
Werder Bremen,Dortmund,2024-08-31,D,H,0,0,0,0,0,0,47,0,31,9,12.9,25.5,11,10,52.4,13,5,38.5,6,46.2,352,1511,762,13,10,14,1,7.1,2,0,0,11,15,0,0,0,0,0,0,0,6,16.7,30.2,5,0.0,0.0,1,20.0,19.8,1,8,0,0,0,35,1,18.3,390,500,78.0,1,18,10,1,38,7226,2567,122,143,85.3,214,249,85.9,36,66,54.5,0,0,0,,0,0,,0,0,0,445,47,18,0,2,23,17,5,2,2,0,8,6,387,10,1,10,7,9,5,0,1,2,1,0,4,4,100.0,574,46,186,273,120,21,574,15,9,5,7,3,5,10,50.0,5,1,1,0,9,24,18,0,0.3,0.3,-0.3,-0.3,0.1,0.6,-0.3,-0.3,-0.1,0.07,1,0.6,0.14,0.6
Heidenheim,Dortmund,2024-09-13,L,A,2,4,-2,1,0,1,40,1,36,9,16.7,26.8,12,18,40.0,10,5,50.0,5,50.0,277,1356,768,18,7,18,0,0.0,2,0,0,18,11,4,3,0,0,0,1,0,6,50.0,39.5,10,0.1,0.33,3,30.0,18.2,0,1,1,1,0,30,2,32.5,302,395,76.5,8,20,9,2,23,5801,2247,116,137,84.7,138,158,87.3,41,72,56.9,1,1,0,0.0,1,0,0.0,0,0,0,348,46,11,0,1,20,23,1,1,0,0,1,14,301,7,4,16,3,21,17,1,0,1,2,0,6,2,50.0,517,81,224,204,93,21,516,17,6,10,6,1,11,22,50.0,11,12,4,8,5,22,36,0,1.8,1.0,-0.8,-0.9,0.7,0.7,0.2,0.0,0.3,0.1,0,2.3,0.26,-1.7
Stuttgart,Dortmund,2024-09-22,W,H,5,1,4,0,0,5,52,0,34,5,29.4,32.8,6,10,37.5,18,10,55.6,5,27.8,274,1555,763,16,13,10,1,10.0,1,0,0,10,6,9,8,0,1,0,0,0,2,0.0,8.0,17,0.29,0.56,9,52.9,14.8,0,3,0,0,0,42,0,9.5,447,527,84.8,14,35,7,3,29,7469,2633,225,241,93.4,176,200,88.0,36,64,56.3,0,0,0,,0,0,,0,0,0,486,38,8,2,3,19,20,6,2,1,0,3,10,439,13,6,14,8,29,22,2,1,3,1,0,3,2,66.7,635,61,206,275,159,21,635,15,8,5,7,3,10,19,52.6,9,14,1,13,7,22,18,0,3.4,3.4,2.7,2.7,2.9,2.3,1.6,1.6,2.1,0.2,0,0.4,0.12,-0.6
Bochum,Dortmund,2024-09-27,L,A,2,4,-2,0,0,2,34,0,31,3,77.4,46.1,18,17,51.4,9,6,66.7,2,22.2,142,820,431,8,8,23,3,13.0,0,0,0,9,11,2,2,0,0,0,0,0,19,68.4,42.6,10,0.2,0.4,5,50.0,20.0,0,3,0,1,0,30,0,2.8,218,310,70.3,8,11,5,2,17,4037,1935,96,112,85.7,81,109,74.3,27,64,42.2,1,1,0,0.0,1,0,0.0,0,0,0,261,46,14,1,1,11,8,0,0,0,0,3,4,217,8,5,11,8,16,16,0,0,0,0,0,8,4,62.5,422,102,198,168,60,12,422,20,15,14,5,1,10,30,33.3,20,13,7,6,9,29,25,1,1.3,1.3,-1.9,-1.2,0.9,0.5,0.7,0.7,0.1,0.13,0,1.9,0.12,-2.1
Union Berlin,Dortmund,2024-10-05,W,H,2,1,1,1,0,1,33,1,30,4,60.0,46.4,16,17,48.5,12,0,0.0,10,83.3,168,1066,536,10,7,14,5,35.7,4,0,0,15,17,4,2,0,0,0,1,1,5,40.0,39.0,13,0.08,0.25,4,30.8,19.1,0,4,1,0,0,43,0,5.2,205,319,64.3,8,15,6,3,16,3746,1751,90,113,79.6,74,100,74.0,28,72,38.9,0,0,0,,0,0,,0,0,0,271,44,16,2,2,15,18,3,0,3,0,4,5,203,7,5,13,5,21,13,3,0,1,3,1,4,3,75.0,439,49,153,172,120,18,438,25,17,15,9,1,14,24,58.3,10,11,0,11,11,36,15,0,1.5,0.7,0.7,0.0,0.5,0.8,0.5,0.3,0.5,0.05,0,1.6,0.4,0.6
St. Pauli,Dortmund,2024-10-18,L,A,1,2,-1,0,0,1,26,0,31,6,35.5,31.3,9,14,39.1,15,6,40.0,6,40.0,200,929,461,6,7,20,1,5.0,1,0,0,7,8,1,0,0,0,1,0,0,9,66.7,51.6,10,0.1,0.33,3,30.0,19.7,0,1,0,0,0,30,1,14.0,212,284,74.6,7,10,3,1,11,3450,1346,99,111,89.2,80,94,85.1,19,54,35.2,0,0,0,,0,0,,0,0,0,241,42,8,1,1,6,21,1,0,1,0,1,7,210,7,4,16,10,16,11,1,1,1,0,2,7,5,71.4,403,74,213,127,70,13,403,22,13,17,4,1,12,22,54.5,10,8,4,4,8,30,28,0,0.6,0.6,-2.0,-2.0,0.5,0.5,0.4,0.4,-0.5,0.06,0,2.2,0.32,0.2
Augsburg,Dortmund,2024-10-26,W,H,2,1,1,0,0,2,25,0,20,2,75.0,51.6,18,7,72.0,19,4,21.1,13,68.4,140,685,345,11,10,11,0,0.0,3,0,0,13,10,4,3,0,0,0,0,1,6,100.0,66.0,12,0.17,0.5,4,33.3,22.4,1,1,0,0,0,41,5,18.8,169,248,68.1,7,17,6,1,25,3172,1708,89,102,87.3,47,67,70.1,25,54,46.3,0,0,0,,0,0,,0,0,0,211,36,10,1,1,6,15,3,0,2,0,1,10,169,10,3,18,9,19,14,1,1,0,2,1,4,3,75.0,383,50,113,158,117,18,383,21,12,8,10,3,17,27,63.0,10,8,3,5,12,33,27,1,0.6,0.6,-0.4,-0.4,0.2,0.4,1.4,1.4,0.8,0.05,1,1.5,0.38,0.5
RB Leipzig,Dortmund,2024-11-02,L,A,1,2,-1,0,0,1,43,0,24,9,16.7,24.1,13,9,59.1,20,8,40.0,11,55.0,268,1297,629,8,13,17,0,0.0,4,0,0,12,11,2,2,0,0,0,0,0,7,42.9,36.6,7,0.14,0.5,2,28.6,18.8,0,2,0,0,0,62,1,22.0,343,439,78.1,6,22,5,0,28,5270,2410,187,222,84.2,122,142,85.9,21,43,48.8,0,0,0,,0,0,,0,1,0,401,36,13,1,1,9,13,0,0,0,0,2,10,341,13,3,15,9,14,12,1,0,0,1,0,7,5,71.4,578,64,244,243,101,16,578,21,11,15,6,0,6,20,30.0,14,19,6,13,8,29,33,0,0.5,0.5,-1.6,-1.6,0.5,0.5,0.5,0.5,0.5,0.07,0,1.8,0.32,-0.2
Mainz 05,Dortmund,2024-11-09,W,H,3,1,2,0,0,3,53,0,21,5,23.8,31.0,10,18,35.7,20,11,55.0,8,40.0,387,1922,911,22,16,13,1,7.7,3,0,0,17,5,6,6,0,0,0,0,0,6,33.3,33.7,13,0.23,0.33,9,69.2,13.4,0,3,0,1,0,47,6,20.7,430,525,81.9,10,35,11,3,54,8125,3343,181,203,89.2,189,212,89.2,53,83,63.9,1,1,0,0.0,1,0,0.0,0,0,0,485,37,5,2,2,23,16,8,4,3,0,3,13,429,16,5,14,7,23,15,4,1,1,1,1,1,0,100.0,618,47,187,273,169,29,618,17,12,12,2,3,8,13,61.5,5,8,0,8,8,25,13,0,2.0,2.0,1.2,1.9,2.0,2.6,1.0,1.0,1.0,0.16,0,0.7,0.0,-0.3
