Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Dortmund,Eint Frankfurt,2024-08-24,W,H,2,0,2,0,0,2,69,0,34,6,11.8,22.7,17,3,85.0,15,6,40.0,8,53.3,586,2721,1415,30,25,15,1,6.7,0,0,0,6,3,4,2,0,2,0,0,0,5,0.0,17.2,20,0.1,0.4,5,25.0,17.2,0,0,0,0,0,34,1,9.3,680,765,88.9,18,52,10,3,59,11233,3578,343,364,94.2,301,326,92.3,34,53,64.2,0,0,0,,0,0,,0,0,0,725,40,4,0,4,27,23,7,2,3,0,0,14,673,25,8,11,8,36,26,4,2,3,0,1,2,2,100.0,867,77,227,365,280,29,867,22,13,10,6,6,12,19,63.2,7,9,1,8,1,23,20,0,1.7,1.7,0.3,0.3,1.7,1.1,0.3,0.3,0.3,0.09,0,0.3,0.15,0.3
Hoffenheim,Eint Frankfurt,2024-08-31,L,A,1,3,-2,0,0,1,50,0,29,7,27.6,32.4,10,15,40.0,17,10,58.8,7,41.2,381,2139,1188,19,14,12,1,8.3,3,0,0,10,10,2,2,0,0,0,0,0,8,25.0,31.0,11,0.09,0.33,3,27.3,21.8,0,1,0,0,0,34,0,12.3,402,499,80.6,5,40,10,4,40,7221,2680,178,195,91.3,172,202,85.1,41,77,53.2,0,0,0,,0,0,,0,0,0,452,46,11,2,1,28,19,4,2,2,0,1,5,397,14,0,10,10,16,14,0,0,2,0,0,7,4,57.1,569,59,163,265,145,12,569,14,8,10,3,1,11,21,52.4,10,7,2,5,5,19,11,1,1.0,1.0,-1.4,-1.4,0.8,1.2,0.0,0.0,0.2,0.09,0,2.8,0.4,-0.2
Wolfsburg,Eint Frankfurt,2024-09-14,L,H,1,2,-1,0,0,1,60,0,50,8,38.0,35.5,9,15,37.5,11,6,54.5,5,45.5,337,1756,945,17,9,8,0,0.0,1,0,0,7,18,2,2,0,0,0,0,0,2,50.0,32.0,18,0.06,0.25,4,22.2,17.9,0,0,0,1,0,47,0,15.0,438,562,77.9,12,36,8,3,36,7269,2472,212,239,88.7,178,215,82.8,30,68,44.1,1,1,0,0.0,1,0,0.0,0,0,0,506,56,21,0,5,28,25,5,3,1,0,0,16,429,9,5,12,7,28,23,3,0,2,0,0,6,4,83.3,668,49,164,326,181,27,668,16,11,8,5,3,7,20,35.0,13,16,4,12,6,22,16,0,1.5,1.5,-1.0,-0.2,1.2,0.9,-0.5,-0.5,-0.2,0.09,0,2.5,0.26,0.5
Gladbach,Eint Frankfurt,2024-09-21,L,A,0,2,-2,0,0,0,63,0,35,5,20.0,25.6,15,14,51.7,14,7,50.0,6,42.9,440,2323,1305,16,21,11,2,18.2,1,0,0,12,9,0,0,0,0,0,0,0,6,0.0,13.8,25,0.0,0.0,7,28.0,17.6,1,2,0,0,0,42,0,6.3,601,680,88.4,19,47,11,4,39,9158,3082,342,366,93.4,226,247,91.5,28,44,63.6,0,0,0,,0,0,,0,0,0,641,37,9,5,1,17,14,5,0,5,0,2,9,596,21,6,9,7,49,26,9,4,3,6,1,4,2,50.0,784,78,235,358,194,30,784,19,10,13,4,2,12,20,60.0,8,13,6,7,6,25,20,1,1.7,1.7,-1.0,-1.0,1.4,1.3,-1.7,-1.7,-1.4,0.07,1,1.9,0.47,-0.1
Holstein Kiel,Eint Frankfurt,2024-09-29,L,H,2,4,-2,1,0,1,47,1,33,5,33.3,32.3,13,18,41.9,14,9,64.3,4,28.6,182,1030,543,12,10,23,0,0.0,1,0,0,12,12,4,3,0,0,0,1,0,10,20.0,24.6,9,0.11,0.25,4,44.4,23.4,1,1,1,0,0,32,0,15.7,322,428,75.2,6,24,3,1,24,6509,2442,113,126,89.7,164,205,80.0,43,84,51.2,0,0,0,,0,0,,0,2,0,376,51,12,0,4,21,20,4,1,3,0,1,9,321,10,2,10,5,20,15,2,0,0,3,0,10,6,60.0,545,97,265,176,104,11,544,15,10,10,4,1,5,13,38.5,8,16,7,9,3,18,29,1,1.1,0.3,-1.1,-1.9,0.2,0.3,0.9,0.7,-0.2,0.03,1,1.8,0.18,-2.2
Bayern Munich,Eint Frankfurt,2024-10-06,D,A,3,3,0,0,0,3,74,0,32,4,28.1,26.8,4,10,28.6,23,11,47.8,11,47.8,654,3274,1756,34,37,0,0,,1,0,0,6,8,5,4,0,0,1,0,0,0,,,24,0.13,0.23,13,54.2,17.5,2,5,0,0,0,53,5,45.6,800,908,88.1,17,83,19,2,85,12291,3397,465,487,95.5,299,336,89.0,30,55,54.5,0,0,0,,0,0,,0,0,0,863,40,11,6,2,32,14,11,6,1,0,5,11,797,37,11,6,9,44,34,2,1,5,2,0,4,1,25.0,1001,16,87,515,403,68,1001,16,10,3,10,3,8,17,47.1,9,6,0,6,8,24,11,0,2.2,2.2,0.9,0.9,1.5,2.3,0.8,0.8,0.5,0.09,2,1.6,0.41,-1.4
Leverkusen,Eint Frankfurt,2024-10-19,W,H,2,1,1,0,1,2,54,1,19,2,31.6,33.4,11,8,57.9,15,9,60.0,6,40.0,356,2039,1219,23,13,12,0,0.0,2,0,0,9,5,4,4,0,0,0,0,0,8,12.5,18.3,26,0.08,0.25,8,30.8,17.4,0,2,1,1,0,45,2,15.0,520,585,88.9,20,51,19,8,62,8547,3103,265,281,94.3,195,211,92.4,38,55,69.1,1,1,0,0.0,1,0,0.0,0,0,0,548,35,6,0,6,25,11,8,2,2,0,2,8,515,13,6,18,6,49,39,2,3,4,1,0,1,0,100.0,697,57,168,278,254,52,696,15,10,8,4,3,6,14,42.9,8,5,3,2,5,20,16,0,3.8,3.1,1.9,2.0,1.7,3.0,-1.8,-1.1,-0.7,0.12,0,0.9,0.0,-0.1
Union Berlin,Eint Frankfurt,2024-10-27,D,H,1,1,0,0,0,1,48,0,35,8,17.1,26.6,13,19,40.6,17,8,47.1,9,52.9,280,1607,812,16,8,8,0,0.0,5,0,0,13,7,2,1,0,1,0,0,0,3,0.0,25.7,13,0.08,0.25,4,30.8,14.8,0,4,0,0,0,61,1,16.7,358,498,71.9,8,32,7,3,41,6281,2394,178,205,86.8,141,194,72.7,37,80,46.3,0,0,0,,0,0,,0,1,0,460,34,8,0,2,21,17,4,2,2,0,4,10,356,8,1,14,6,21,14,2,3,2,0,0,5,4,80.0,614,41,179,309,132,16,614,19,10,8,9,2,12,16,75.0,4,10,5,5,16,35,13,0,1.4,1.4,0.0,0.0,1.2,1.2,-0.4,-0.4,-0.2,0.11,0,1.7,0.36,0.7
Bochum,Eint Frankfurt,2024-11-02,L,A,2,7,-5,0,0,2,36,0,30,4,70.0,44.7,11,22,33.3,10,5,50.0,5,50.0,223,949,376,8,8,11,0,0.0,2,0,0,15,6,4,2,1,0,0,1,0,7,100.0,64.6,11,0.18,0.25,8,72.7,17.5,0,1,0,0,0,46,4,23.4,247,354,69.8,9,20,2,1,24,5196,2270,97,115,84.3,103,133,77.4,44,89,49.4,0,0,0,,0,0,,1,0,0,308,45,6,0,2,17,22,2,2,0,0,1,10,241,8,2,12,8,17,13,2,0,0,2,0,9,2,22.2,471,65,196,180,98,10,471,26,16,15,7,4,16,26,61.5,10,16,6,10,5,31,28,2,1.8,1.8,-1.7,-1.7,1.7,1.3,0.2,0.2,0.3,0.16,0,4.8,0.53,-2.2
Stuttgart,Eint Frankfurt,2024-11-10,L,H,2,3,-1,0,1,2,60,1,30,5,20.0,32.0,13,10,56.5,21,8,38.1,13,61.9,335,1716,763,12,12,7,0,0.0,2,0,0,10,15,4,4,0,0,0,0,0,5,20.0,24.6,21,0.1,0.22,9,42.9,16.6,0,5,1,0,0,55,0,2.0,507,610,83.1,21,47,18,5,53,8552,3163,251,275,91.3,200,233,85.8,49,75,65.3,0,0,0,,0,0,,1,1,0,557,48,16,0,1,24,15,8,3,3,0,5,10,501,12,8,13,10,41,34,2,1,2,2,0,5,2,40.0,714,58,198,307,212,38,713,12,9,6,5,1,7,18,38.9,11,7,1,6,9,21,13,1,2.5,1.7,1.2,0.4,1.8,2.3,-0.5,0.3,0.2,0.08,0,1.9,0.38,-1.1
