Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Stuttgart,Freiburg,2024-08-24,L,A,1,3,-2,0,0,1,67,0,29,6,10.3,21.2,12,10,54.5,10,4,40.0,6,60.0,540,2485,1187,12,10,9,0,0.0,1,0,0,10,7,0,0,0,0,0,0,0,6,16.7,25.5,9,0.11,0.5,2,22.2,23.7,1,0,0,0,0,41,1,20.0,591,684,86.4,5,45,6,3,51,9671,3231,312,335,93.1,238,271,87.8,36,60,60.0,0,0,0,,0,0,,0,1,0,650,34,9,0,5,20,12,3,1,1,0,0,8,585,10,1,15,9,13,11,0,1,0,1,0,5,2,40.0,772,61,239,394,145,14,772,9,6,4,2,3,4,9,44.4,5,17,6,11,7,16,17,1,0.4,0.4,-1.8,-1.8,0.2,0.6,0.6,0.6,-0.2,0.04,1,2.0,0.5,-1.0
Bayern Munich,Freiburg,2024-09-01,W,H,2,0,2,1,0,1,66,1,49,6,6.1,22.9,19,8,70.4,22,13,59.1,9,40.9,552,2865,1301,25,20,8,0,0.0,1,0,0,13,10,3,1,0,1,1,0,0,3,0.0,11.7,11,0.09,0.5,2,18.2,16.0,0,1,0,1,0,50,2,14.0,657,745,88.2,7,50,11,1,47,10735,3945,354,391,90.5,257,281,91.5,40,54,74.1,1,0,0,,0,0,,0,0,0,706,38,11,2,4,13,21,2,1,1,0,1,10,655,20,5,15,7,18,12,1,3,2,0,0,3,3,100.0,843,53,257,430,159,26,842,14,9,6,6,2,7,12,58.3,5,10,1,9,6,20,21,2,1.5,0.8,0.5,0.5,0.5,1.1,0.5,0.2,0.5,0.07,0,0.1,0.04,0.1
Bochum,Freiburg,2024-09-14,L,A,1,2,-1,0,0,1,46,0,38,3,42.1,36.9,29,21,58.0,14,7,50.0,7,50.0,272,1129,422,10,4,18,1,5.6,3,0,0,16,5,1,0,0,0,1,0,0,10,80.0,55.0,13,0.08,0.33,3,23.1,19.8,0,2,0,0,0,39,3,15.3,295,416,70.9,9,29,8,1,31,6034,2765,107,125,85.6,141,174,81.0,42,88,47.7,0,0,0,,0,0,,0,0,0,361,53,12,3,1,14,22,6,2,3,0,2,12,291,4,2,23,9,20,14,3,0,2,0,1,8,6,75.0,549,70,210,237,106,18,549,12,9,7,3,2,6,15,40.0,9,16,10,6,11,23,24,0,0.9,0.9,-2.8,-2.8,0.5,0.6,0.1,0.1,-0.5,0.07,0,3.8,0.49,1.8
Heidenheim,Freiburg,2024-09-21,L,H,0,3,-3,0,0,0,42,0,33,4,24.2,31.7,16,12,57.1,10,2,20.0,7,70.0,269,1165,550,7,7,13,0,0.0,1,0,0,6,7,0,0,0,0,0,0,0,8,37.5,40.1,7,0.0,0.0,1,14.3,16.7,0,2,0,0,0,46,2,16.0,307,415,74.0,6,23,6,3,29,6423,2666,99,120,82.5,165,199,82.9,42,85,49.4,0,0,0,,0,0,,0,0,0,372,41,8,1,2,17,18,3,1,2,0,2,7,303,7,0,25,4,12,10,2,0,0,0,0,5,2,40.0,512,64,238,189,91,13,512,7,7,4,3,0,4,10,40.0,6,12,4,8,11,18,20,0,0.7,0.7,-0.7,-0.7,0.6,0.6,-0.7,-0.7,-0.6,0.1,0,2.5,0.5,-0.5
St. Pauli,Freiburg,2024-09-28,W,A,3,0,3,0,0,3,27,0,38,0,65.8,50.5,18,24,42.9,13,7,53.8,5,38.5,154,759,379,6,9,23,1,4.3,3,0,0,18,7,4,1,0,2,1,0,0,7,85.7,62.7,10,0.3,0.75,4,40.0,17.6,2,1,0,1,0,31,0,10.7,168,261,64.4,7,17,6,1,14,3618,1652,61,80,76.3,72,91,79.1,30,69,43.5,1,0,1,100.0,0,1,100.0,0,0,0,223,37,12,1,2,9,15,2,0,0,0,1,5,167,9,1,13,8,17,11,0,3,1,2,0,2,1,100.0,372,55,166,139,71,14,372,16,9,12,3,1,9,16,56.3,7,11,1,10,11,27,36,0,1.1,1.1,-0.1,0.7,0.9,0.4,1.9,1.9,2.1,0.11,2,1.2,0.13,1.2
Werder Bremen,Freiburg,2024-10-05,L,H,0,1,-1,0,0,0,58,0,37,9,27.0,30.5,13,14,48.1,14,4,28.6,10,71.4,536,2590,1226,15,11,13,1,7.7,1,0,0,7,9,0,0,0,0,0,0,0,13,7.7,23.5,12,0.0,0.0,3,25.0,19.6,1,0,0,0,0,35,1,14.0,556,670,83.0,7,28,7,3,39,9890,3285,215,243,88.5,277,306,90.5,44,75,58.7,0,0,0,,0,0,,0,0,0,616,54,8,0,3,23,24,7,6,0,0,0,18,551,11,2,16,11,21,15,2,0,3,1,0,3,2,66.7,775,73,288,328,162,24,775,10,5,5,3,2,5,14,35.7,9,13,6,7,6,16,18,0,1.0,1.0,-0.1,-0.1,0.7,0.9,-1.0,-1.0,-0.7,0.08,1,0.3,0.12,-0.7
Augsburg,Freiburg,2024-10-19,L,A,1,3,-2,0,0,1,43,0,33,7,27.3,29.3,20,16,55.6,11,6,54.5,5,45.5,363,1808,825,15,10,13,1,7.7,1,0,0,7,11,2,2,0,0,0,0,0,4,100.0,61.3,9,0.11,0.33,3,33.3,20.7,0,2,0,0,0,43,3,19.0,367,470,78.1,6,32,7,2,43,6874,2564,158,191,82.7,156,174,89.7,50,88,56.8,0,0,0,,0,0,,0,1,0,433,35,11,1,2,20,12,4,1,2,0,2,5,365,10,3,14,8,18,16,0,1,0,0,1,6,3,50.0,567,49,182,279,110,10,567,16,9,5,8,3,9,15,60.0,6,12,5,7,8,24,20,0,0.6,0.6,-0.2,-0.2,0.4,0.7,0.4,0.4,0.6,0.06,0,1.2,0.21,-1.8
RB Leipzig,Freiburg,2024-10-26,W,H,3,1,2,0,0,3,43,0,23,7,8.7,22.4,19,12,61.3,17,10,58.8,6,35.3,351,1580,860,15,12,15,2,13.3,2,0,0,9,7,6,5,0,1,0,0,0,10,40.0,31.2,12,0.25,0.33,9,75.0,13.4,0,1,0,0,0,39,0,10.0,363,456,79.6,10,27,10,3,26,6055,2379,178,201,88.6,157,190,82.6,22,44,50.0,0,0,0,,0,0,,0,0,0,412,43,8,0,7,15,20,3,2,0,0,1,7,361,12,5,20,10,20,14,1,3,0,1,1,5,4,80.0,573,70,228,246,108,21,573,18,11,6,7,5,7,19,36.8,12,11,2,9,8,26,26,2,1.8,1.8,0.1,0.1,1.5,1.9,1.2,1.2,0.5,0.15,0,1.7,0.34,0.7
Mainz 05,Freiburg,2024-11-03,D,A,0,0,0,0,0,0,49,0,42,10,35.7,35.6,22,22,50.0,5,2,40.0,3,60.0,288,1277,572,14,8,15,1,6.7,2,0,0,12,8,0,0,0,0,0,0,0,1,0.0,21.0,9,0.0,0.0,2,22.2,17.0,0,2,0,0,0,47,2,12.0,387,505,76.6,6,23,3,1,23,6742,2461,186,216,86.1,155,185,83.8,39,81,48.1,0,0,0,,0,0,,0,0,0,468,35,11,0,3,16,18,4,0,4,0,2,11,386,8,3,13,6,14,9,2,0,2,1,0,2,2,100.0,618,76,267,263,90,10,618,8,3,3,5,0,4,7,57.1,3,14,5,9,15,23,31,0,0.5,0.5,-0.3,-0.3,0.3,0.4,-0.5,-0.5,-0.3,0.06,0,0.4,0.18,0.4
Union Berlin,Freiburg,2024-11-08,D,H,0,0,0,0,0,0,41,0,21,3,42.9,36.8,17,24,41.5,15,10,66.7,5,33.3,257,1200,512,12,5,11,0,0.0,2,0,0,11,7,0,0,0,0,0,0,0,6,83.3,52.0,12,0.0,0.0,6,50.0,20.2,0,4,0,1,0,49,0,16.5,305,419,72.8,9,28,12,3,31,5518,2324,129,154,83.8,115,139,82.7,41,79,51.9,1,0,1,100.0,0,1,100.0,0,0,0,378,37,9,0,0,22,17,4,1,3,0,4,13,301,5,3,10,11,22,17,1,2,0,2,0,4,3,100.0,523,52,150,225,151,25,523,14,8,6,8,0,5,9,55.6,4,11,2,9,5,19,22,0,0.7,0.7,-0.9,-0.1,0.7,1.0,-0.7,-0.7,-0.7,0.06,0,1.2,0.12,1.2
