Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Holstein Kiel,Hoffenheim,2024-08-24,L,A,2,3,-1,0,0,2,46,0,33,4,48.5,36.8,27,20,57.4,10,4,40.0,6,60.0,236,1004,470,14,7,17,2,11.8,3,1,1,14,8,4,4,0,0,0,0,0,7,14.3,20.0,17,0.12,0.33,6,35.3,16.9,0,1,0,1,0,40,0,6.0,325,428,75.9,14,21,8,6,28,6020,2782,139,157,88.5,140,167,83.8,37,82,45.1,1,1,0,0.0,1,0,0.0,0,0,0,382,45,10,1,2,22,18,6,2,2,0,1,7,319,7,3,18,10,32,25,2,0,5,0,0,8,5,75.0,554,99,241,206,111,26,554,15,11,8,4,3,5,13,38.5,8,17,5,12,7,22,30,0,1.7,1.7,-1.7,-0.9,1.2,0.7,0.3,0.3,0.8,0.11,0,3.8,0.37,0.8
Eint Frankfurt,Hoffenheim,2024-08-31,W,H,3,1,2,0,0,3,50,0,27,6,59.3,41.3,15,10,60.0,24,10,41.7,11,45.8,402,2045,970,18,19,20,0,0.0,0,0,0,10,10,6,5,0,1,0,0,0,10,50.0,38.9,18,0.17,0.43,7,38.9,15.5,0,1,0,0,0,37,1,17.5,422,498,84.7,16,29,13,4,37,7517,2726,197,208,94.7,169,186,90.9,47,84,56.0,0,0,0,,0,0,,0,0,0,461,36,11,3,5,14,12,1,1,0,0,1,5,416,19,2,11,3,34,27,1,3,1,1,1,3,2,66.7,612,81,193,286,136,31,612,17,11,7,7,3,7,17,41.2,10,8,4,4,8,25,29,0,2.4,2.4,1.4,1.4,2.3,2.2,0.6,0.6,0.7,0.13,0,1.0,0.34,0.0
Leverkusen,Hoffenheim,2024-09-14,W,A,4,1,3,1,0,3,60,1,22,6,22.7,28.6,15,8,65.2,26,6,23.1,15,57.7,385,2156,1159,25,16,12,1,8.3,2,0,0,10,9,8,5,0,2,0,1,0,6,16.7,23.2,19,0.16,0.5,6,31.6,15.8,1,1,1,0,0,41,0,10.5,599,665,90.1,12,62,12,2,54,9581,3181,317,331,95.8,236,254,92.9,38,59,64.4,0,0,0,,0,0,,0,0,0,627,37,9,3,0,19,8,12,3,3,0,1,8,596,16,10,15,11,37,24,3,3,5,2,0,5,4,80.0,786,69,159,372,261,38,785,13,9,5,5,3,7,9,77.8,2,10,5,5,4,17,20,0,3.5,2.7,2.6,1.8,2.1,2.8,0.5,0.3,0.9,0.15,1,0.6,0.13,-0.4
Union Berlin,Hoffenheim,2024-09-21,W,H,2,1,1,0,0,2,51,0,18,5,33.3,34.9,19,19,50.0,18,9,50.0,8,44.4,286,1452,707,12,10,18,0,0.0,3,0,0,17,18,4,1,1,1,1,0,0,6,50.0,41.8,12,0.17,1.0,2,16.7,18.3,2,1,0,0,0,41,1,20.5,391,490,79.8,6,21,3,0,34,6123,2499,202,220,91.8,135,172,78.5,32,65,49.2,0,0,0,,0,0,,0,0,0,445,44,16,0,2,13,15,5,0,3,0,1,4,389,10,5,12,7,21,13,2,1,2,3,0,3,2,66.7,615,60,174,322,125,24,615,13,9,5,7,1,6,13,46.2,7,9,2,7,7,20,36,0,1.2,1.2,0.8,0.8,0.3,0.9,0.8,0.8,0.7,0.1,2,0.8,0.27,-0.2
Werder Bremen,Hoffenheim,2024-09-29,W,A,4,3,1,0,0,4,64,0,14,4,35.7,40.3,16,11,59.3,15,6,40.0,7,46.7,550,2494,1492,26,27,9,2,22.2,3,0,0,19,11,6,6,0,0,0,0,0,5,0.0,11.6,23,0.17,0.4,10,43.5,14.2,1,1,0,0,0,35,1,12.5,561,635,88.3,18,57,22,9,57,8652,2691,291,311,93.6,223,249,89.6,29,43,67.4,0,0,0,,0,0,,0,0,0,594,40,11,5,0,24,14,6,1,1,0,1,10,558,27,9,15,12,42,34,2,1,4,1,0,4,1,25.0,764,46,130,321,320,53,764,17,11,6,9,2,9,15,60.0,6,13,2,11,3,20,23,0,2.9,2.9,1.6,1.6,2.2,3.5,1.1,1.1,0.8,0.13,1,1.9,0.49,-1.1
Stuttgart,Hoffenheim,2024-10-06,D,H,1,1,0,0,1,1,67,1,36,6,11.1,24.1,18,17,51.4,21,13,61.9,8,38.1,480,2749,1378,27,20,8,0,0.0,1,0,0,10,6,1,0,0,0,1,0,0,3,0.0,14.0,19,0.05,0.2,5,26.3,15.1,0,0,0,0,0,35,3,31.7,637,737,86.4,14,76,20,10,71,10599,3570,308,330,93.3,281,314,89.5,41,70,58.6,0,0,0,,0,0,,0,0,0,693,44,6,0,4,44,23,10,3,2,0,0,7,628,20,3,13,12,35,24,3,3,5,0,0,4,3,75.0,846,46,164,416,270,41,845,25,14,13,8,4,11,20,55.0,9,10,1,9,4,29,15,1,1.9,1.1,1.0,0.2,0.8,2.5,-0.9,-0.1,-0.8,0.06,0,0.4,0.1,-0.6
Bochum,Hoffenheim,2024-10-19,L,A,1,3,-2,0,1,1,50,1,36,4,58.3,44.6,18,13,58.1,19,8,42.1,10,52.6,288,1367,577,11,10,7,0,0.0,1,0,0,12,10,2,2,0,0,0,0,0,6,0.0,14.0,12,0.08,0.33,3,25.0,19.8,1,0,1,0,0,38,2,13.9,358,461,77.7,10,21,7,1,45,6899,2879,149,178,83.7,149,173,86.1,51,80,63.8,0,0,0,,0,0,,0,0,0,410,51,11,5,2,10,28,2,1,0,0,0,9,355,10,2,19,7,24,18,0,1,1,2,2,7,4,57.1,581,52,172,285,126,17,580,16,11,7,8,1,10,17,58.8,7,12,1,11,4,20,23,1,2.7,1.9,0.2,-0.6,1.8,1.7,-1.7,-0.9,-0.8,0.16,1,3.7,0.54,0.7
Heidenheim,Hoffenheim,2024-10-27,D,H,0,0,0,0,0,0,47,0,34,10,26.5,30.4,10,11,47.6,22,14,63.6,8,36.4,338,2030,930,17,11,9,1,11.1,1,0,0,12,16,0,0,0,0,0,0,0,7,0.0,19.9,17,0.0,0.0,3,17.6,18.4,2,0,0,0,0,50,1,14.5,322,433,74.4,10,27,5,1,29,6093,2718,122,147,83.0,143,178,80.3,45,82,54.9,0,0,0,,0,0,,0,0,0,379,54,14,1,3,18,25,7,4,1,0,0,13,319,11,3,18,15,26,16,1,4,2,2,1,4,4,100.0,563,62,229,238,102,19,563,23,10,12,11,0,10,18,55.6,8,22,5,17,4,27,16,0,1.5,1.5,0.8,0.8,1.2,0.5,-1.5,-1.5,-1.2,0.11,2,0.8,0.21,0.8
St. Pauli,Hoffenheim,2024-11-02,W,A,2,0,2,0,0,2,33,0,26,3,61.5,45.8,24,34,41.4,10,6,60.0,4,40.0,233,1178,514,10,10,30,1,3.3,1,0,0,10,9,4,3,0,0,0,0,1,8,62.5,43.0,7,0.29,0.67,3,42.9,15.7,0,0,0,0,0,41,0,8.0,239,339,70.5,6,24,4,1,22,4475,2210,94,118,79.7,105,128,82.0,31,68,45.6,0,0,0,,0,0,,0,0,0,295,44,12,1,2,9,21,2,2,0,0,0,7,233,10,2,25,9,11,10,0,0,0,0,1,6,6,100.0,505,74,224,205,81,9,505,24,15,13,10,1,11,18,61.1,7,18,3,15,14,38,49,0,0.9,0.9,0.2,0.2,0.9,0.5,1.1,1.1,1.1,0.13,0,0.6,0.1,0.6
Augsburg,Hoffenheim,2024-11-10,D,H,0,0,0,0,0,0,44,0,25,5,32.0,33.3,19,18,51.4,23,8,34.8,14,60.9,342,1651,879,16,13,17,1,5.9,2,0,0,16,7,0,0,0,0,0,0,0,9,22.2,27.7,16,0.0,0.0,4,25.0,20.4,1,2,0,0,0,43,0,7.0,380,478,79.5,8,27,5,1,30,6379,2511,186,211,88.2,161,185,87.0,24,52,46.2,0,0,0,,0,0,,0,0,0,437,39,9,2,1,19,10,10,2,7,0,2,12,379,13,5,13,5,24,14,4,1,3,1,1,2,2,100.0,617,75,210,270,141,28,617,14,10,7,7,0,5,9,55.6,4,19,5,14,16,30,34,0,0.9,0.9,0.4,0.4,0.4,1.0,-0.9,-0.9,-0.4,0.06,1,0.3,0.15,0.3
