Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Hoffenheim,Holstein Kiel,2024-08-24,W,H,3,2,1,1,0,2,54,1,27,4,44.4,41.2,20,27,42.6,13,8,61.5,5,38.5,366,1651,893,23,19,19,0,0.0,2,0,0,8,14,5,3,0,0,1,1,0,12,41.7,36.8,20,0.1,0.29,7,35.0,17.0,0,2,1,0,0,39,2,12.7,409,510,80.2,16,35,12,5,44,7790,3041,185,205,90.2,159,192,82.8,56,84,66.7,0,0,0,,0,0,,0,0,0,455,53,14,3,8,28,16,8,1,2,0,2,14,405,19,12,7,10,39,29,5,2,2,1,0,6,4,66.7,627,79,190,252,189,36,626,16,11,4,9,3,6,10,60.0,4,11,4,7,5,21,38,0,3.5,2.7,1.7,0.9,1.9,1.8,-0.5,-0.7,-0.9,0.14,0,1.8,0.4,-0.2
Wolfsburg,Holstein Kiel,2024-08-31,W,A,2,0,2,0,0,2,46,0,34,3,82.4,51.3,20,25,44.4,13,5,38.5,8,61.5,265,1232,418,7,5,6,0,0.0,7,0,0,14,17,4,1,1,0,0,2,0,10,60.0,42.0,13,0.15,0.5,4,30.8,18.3,1,1,0,0,0,32,0,,267,379,70.4,10,31,2,0,40,4674,1921,133,155,85.8,93,122,76.2,30,82,36.6,0,0,0,,0,0,,0,0,0,322,56,18,0,1,23,20,7,7,0,0,1,2,266,5,6,15,11,24,14,4,1,1,4,0,5,5,100.0,485,44,125,181,181,20,485,16,9,1,7,8,3,10,30.0,7,6,2,4,5,21,16,0,1.3,1.3,0.2,0.2,0.9,0.8,0.7,0.7,0.1,0.1,1,1.2,0.25,1.2
Bayern Munich,Holstein Kiel,2024-09-14,W,A,6,1,5,1,0,4,70,1,42,0,14.3,24.0,11,10,52.4,32,14,43.8,18,56.3,642,2669,1154,22,14,11,0,0.0,1,0,0,11,12,7,4,0,0,1,1,1,4,0.0,21.0,22,0.18,0.36,11,50.0,15.9,0,0,1,0,0,54,2,23.3,757,836,90.6,19,66,12,0,66,12854,4225,360,378,95.2,337,362,93.1,51,79,64.6,0,0,0,,0,0,,0,0,0,791,45,11,3,6,20,18,10,6,0,0,0,4,755,14,10,9,6,42,28,5,2,5,1,1,1,0,0.0,943,40,194,487,265,38,942,9,7,3,3,3,6,11,54.5,5,6,1,5,8,17,13,0,3.2,2.4,2.9,2.1,2.3,1.2,1.8,1.6,0.7,0.11,0,0.1,0.09,-0.9
Bochum,Holstein Kiel,2024-09-21,D,H,2,2,0,0,0,2,44,0,35,5,54.3,38.3,21,19,52.5,12,6,50.0,5,41.7,281,1302,525,7,4,20,0,0.0,4,0,0,19,9,4,4,0,0,0,0,0,14,85.7,55.3,14,0.14,0.67,3,21.4,17.0,0,0,0,0,0,36,3,16.4,283,388,72.9,12,13,6,4,22,5109,2292,103,127,81.1,114,149,76.5,36,72,50.0,0,0,0,,0,0,,0,0,0,334,54,13,0,0,16,22,2,1,1,0,0,3,281,4,2,17,6,27,22,2,0,2,1,0,4,2,50.0,501,72,177,226,101,16,501,8,7,3,4,1,3,7,42.9,4,12,2,10,14,22,27,0,0.8,0.8,-1.1,-1.1,0.7,0.9,1.2,1.2,1.3,0.06,0,1.9,0.48,-0.1
Eint Frankfurt,Holstein Kiel,2024-09-29,W,A,4,2,2,0,0,4,53,0,32,6,28.1,31.6,18,13,58.1,14,8,57.1,5,35.7,352,1464,728,20,12,21,2,9.5,3,0,0,12,11,5,3,1,0,1,0,0,3,66.7,45.7,20,0.2,0.4,10,50.0,14.6,0,1,0,1,0,37,5,17.3,384,476,80.7,12,31,11,2,37,7008,2527,164,187,87.7,172,193,89.1,41,78,52.6,1,1,0,0.0,1,0,0.0,0,1,0,430,45,13,1,2,31,17,9,2,7,0,1,10,378,12,9,21,10,36,23,3,2,5,2,1,5,3,80.0,592,56,186,250,158,39,592,9,2,6,2,1,4,13,30.8,9,12,3,9,5,14,26,0,2.1,2.1,1.1,1.9,1.9,1.7,1.9,1.9,1.1,0.12,0,1.2,0.06,-0.8
Leverkusen,Holstein Kiel,2024-10-05,D,H,2,2,0,0,0,2,74,0,11,3,18.2,27.5,11,10,52.4,23,6,26.1,15,65.2,666,2990,1511,27,23,4,0,0.0,2,0,0,5,9,3,3,0,0,0,0,0,4,0.0,20.8,23,0.09,0.29,7,30.4,18.3,0,3,0,1,0,52,0,,764,860,88.8,19,87,18,6,105,11235,3266,446,475,93.9,256,287,89.2,37,60,61.7,1,1,0,0.0,1,0,0.0,0,1,0,807,50,10,4,5,37,21,12,3,2,0,3,5,760,23,8,12,11,41,30,4,1,3,2,1,4,2,75.0,978,29,112,410,462,50,978,11,6,5,4,2,5,9,55.6,4,13,2,11,9,20,5,1,2.1,2.1,0.5,1.3,1.9,3.1,-0.1,-0.1,0.1,0.09,0,1.9,0.32,-0.1
Union Berlin,Holstein Kiel,2024-10-20,W,A,2,0,2,0,0,2,52,0,25,9,16.0,31.6,17,24,41.5,15,6,40.0,8,53.3,346,1412,765,18,11,19,3,15.8,1,0,0,11,8,4,2,1,0,1,0,0,9,44.4,38.0,14,0.14,0.5,4,28.6,14.8,0,4,0,0,0,38,1,9.8,423,529,80.0,11,30,13,5,49,7423,2913,197,220,89.5,164,193,85.0,47,71,66.2,0,0,0,,0,0,,0,0,0,486,39,9,2,4,19,17,3,0,3,0,4,15,418,11,3,8,10,26,19,1,1,4,0,1,4,4,100.0,631,51,190,299,144,28,631,10,7,6,3,1,5,13,38.5,8,12,2,10,11,21,16,0,1.1,1.1,-0.2,-0.2,1.0,1.4,0.9,0.9,1.0,0.08,0,1.8,0.45,1.8
Stuttgart,Holstein Kiel,2024-10-26,W,H,2,1,1,0,0,2,58,0,21,2,14.3,28.7,12,6,66.7,19,9,47.4,9,47.4,345,2003,1001,22,11,14,1,7.1,3,1,1,6,17,2,2,0,0,0,0,0,5,40.0,46.8,16,0.13,0.33,6,37.5,17.8,0,2,0,0,0,38,1,21.8,494,572,86.4,16,53,16,4,55,8825,3028,226,250,90.4,215,239,90.0,50,67,74.6,0,0,0,,0,0,,0,0,0,516,54,20,3,2,22,18,9,3,3,0,2,10,491,11,5,20,7,28,26,1,1,0,0,0,3,2,66.7,673,43,125,354,200,27,673,15,10,6,4,5,9,14,64.3,5,6,2,4,2,17,17,0,1.6,1.6,1.1,1.1,1.6,1.2,0.4,0.4,0.4,0.1,0,0.5,0.17,-0.5
Heidenheim,Holstein Kiel,2024-11-02,L,A,0,1,-1,0,0,0,55,0,22,6,18.2,31.0,20,20,50.0,20,8,40.0,10,50.0,327,1849,972,16,15,12,1,8.3,5,0,0,14,16,0,0,0,0,0,0,0,6,16.7,26.7,17,0.0,0.0,4,23.5,15.0,0,0,0,0,0,37,0,12.5,348,452,77.0,13,34,13,7,39,6931,2648,120,149,80.5,181,211,85.8,45,80,56.3,0,0,0,,0,0,,0,0,0,386,66,17,0,3,22,35,6,5,1,0,0,11,342,15,1,19,5,32,18,4,2,2,5,1,6,5,83.3,581,63,181,268,139,29,581,16,7,8,5,3,10,17,58.8,7,10,1,9,11,27,26,0,1.2,1.2,0.1,0.1,1.0,1.7,-1.2,-1.2,-1.0,0.07,0,1.1,0.19,0.1
Werder Bremen,Holstein Kiel,2024-11-09,W,H,2,1,1,0,0,2,60,0,38,5,28.9,30.2,19,22,46.3,10,3,30.0,5,50.0,430,2190,1037,17,11,5,0,0.0,3,0,0,10,17,2,2,0,0,0,0,0,2,0.0,30.0,16,0.13,0.4,5,31.3,15.2,1,0,0,0,0,45,2,19.7,473,583,81.1,11,39,10,4,49,8251,2763,195,218,89.4,207,242,85.5,46,84,54.8,0,0,0,,0,0,,0,0,0,533,50,20,2,0,24,20,6,4,1,0,0,7,468,11,4,15,5,28,25,1,0,0,2,0,5,4,80.0,686,47,168,362,160,23,686,11,7,3,8,0,4,8,50.0,4,12,4,8,13,24,12,1,1.7,1.7,1.0,1.0,1.4,2.0,0.3,0.3,-0.4,0.11,1,0.8,0.15,-0.2
Mainz 05,Holstein Kiel,2024-11-24,W,A,3,0,3,1,0,2,62,1,25,5,24.0,30.4,8,14,36.4,11,7,63.6,2,18.2,441,2004,940,18,15,8,3,37.5,0,0,0,7,10,4,3,0,0,1,0,0,3,0.0,8.3,17,0.12,0.33,6,35.3,18.0,1,2,0,0,0,48,2,14.8,499,610,81.8,14,29,17,6,57,8881,3134,230,255,90.2,224,263,85.2,42,76,55.3,0,0,0,,0,0,,0,0,0,567,41,10,1,5,26,21,6,2,3,0,2,6,497,15,4,16,12,32,27,0,1,2,1,1,2,2,100.0,708,36,189,351,178,33,707,18,12,5,5,8,5,7,71.4,2,13,2,11,5,23,13,0,2.2,1.5,1.8,1.1,1.2,2.2,0.8,0.5,0.8,0.09,1,0.7,0.37,0.7
St. Pauli,Holstein Kiel,2024-11-29,W,H,3,1,2,0,0,3,49,0,29,7,24.1,31.6,13,17,43.3,19,6,31.6,10,52.6,273,1267,604,14,13,15,1,6.7,2,0,0,10,11,6,4,0,2,0,0,0,6,16.7,26.0,11,0.27,1.0,3,27.3,14.4,0,3,0,1,0,34,1,11.0,357,469,76.1,10,17,6,2,31,6423,2385,152,174,87.4,159,184,86.4,38,80,47.5,1,0,1,100.0,0,1,100.0,0,0,0,413,53,11,2,3,19,30,4,2,2,0,3,8,354,13,3,14,8,19,11,3,2,2,1,0,3,1,66.7,581,65,207,240,139,19,581,12,9,6,4,2,5,10,50.0,5,12,2,10,7,19,26,1,1.3,1.3,0.1,0.9,1.2,0.7,1.7,1.7,1.8,0.12,0,1.7,0.32,0.7
RB Leipzig,Holstein Kiel,2024-12-07,W,A,2,0,2,1,0,1,44,1,23,4,34.8,30.8,15,18,45.5,14,6,42.9,8,57.1,309,1321,695,10,6,19,0,0.0,3,0,0,13,10,3,1,0,0,1,1,0,12,50.0,42.1,8,0.13,0.25,4,50.0,16.7,0,2,1,0,0,48,0,9.0,326,424,76.9,6,17,5,2,25,5943,2504,140,165,84.8,155,185,83.8,27,55,49.1,0,0,0,,0,0,,0,0,0,378,44,12,2,1,7,18,1,1,0,0,2,7,326,6,5,16,8,16,11,0,3,1,1,0,5,5,100.0,546,75,222,251,78,14,545,14,11,8,4,2,3,9,33.3,6,14,6,8,9,23,29,2,1.6,0.8,0.4,-0.4,0.6,1.0,0.4,0.2,-0.6,0.1,0,1.1,0.22,1.1
Gladbach,Holstein Kiel,2024-12-14,W,H,4,1,3,0,0,4,56,0,25,4,24.0,29.1,17,8,68.0,24,13,54.2,9,37.5,464,2123,1116,18,11,8,0,0.0,1,0,0,10,14,8,7,1,0,0,0,0,5,0.0,12.8,17,0.24,0.67,6,35.3,13.4,0,4,0,0,0,41,3,20.2,477,570,83.7,13,27,11,6,41,7972,2563,236,256,92.2,199,230,86.5,34,56,60.7,0,0,0,,0,0,,0,0,0,524,42,17,2,1,23,13,5,3,2,0,4,8,472,11,5,9,11,30,20,4,2,2,1,1,3,2,66.7,692,58,201,373,126,27,692,10,4,4,4,2,3,5,60.0,2,19,5,14,10,20,17,0,2.4,2.4,1.8,1.8,1.8,1.8,1.6,1.6,2.2,0.14,0,0.4,0.13,-0.6
Augsburg,Holstein Kiel,2024-12-21,L,A,1,5,-4,0,0,1,63,0,24,3,16.7,29.7,19,11,63.3,22,13,59.1,7,31.8,366,1955,934,15,9,8,0,0.0,4,0,0,13,11,2,1,0,1,0,0,0,4,0.0,17.3,17,0.06,0.25,4,23.5,14.7,1,1,0,0,0,38,1,16.0,442,544,81.3,13,36,9,2,46,8062,2698,165,178,92.7,233,275,84.7,39,68,57.4,0,0,0,,0,0,,1,0,0,480,63,12,0,0,31,33,8,3,4,0,1,14,436,9,5,20,8,29,18,3,3,3,2,0,6,1,16.7,637,49,176,311,156,26,637,7,3,2,5,0,3,10,30.0,7,3,1,2,4,11,15,2,1.5,1.5,-0.1,-0.1,1.2,1.6,-0.5,-0.5,-0.2,0.09,1,3.0,0.5,-2.0
Freiburg,Holstein Kiel,2025-01-11,W,H,3,2,1,0,0,2,51,0,37,1,37.8,34.2,16,20,44.4,12,2,16.7,10,83.3,220,1339,560,11,7,12,0,0.0,2,0,0,9,6,3,2,0,0,0,1,0,8,100.0,67.3,14,0.14,0.4,5,35.7,18.0,1,1,0,0,0,38,4,17.3,382,495,77.2,9,28,9,2,31,6908,2163,151,175,86.3,186,213,87.3,40,85,47.1,0,0,0,,0,0,,0,0,0,446,48,13,1,0,16,17,7,6,0,0,1,8,379,7,4,9,8,24,15,2,1,3,2,1,7,5,71.4,595,72,188,274,137,26,595,14,6,6,6,2,8,12,66.7,4,9,4,5,6,20,18,0,0.7,0.7,-1.1,-1.1,0.4,0.8,1.3,1.3,-0.4,0.05,1,2.1,0.33,0.1
Dortmund,Holstein Kiel,2025-01-14,L,A,2,4,-2,0,0,2,75,0,16,4,6.3,17.8,18,11,62.1,31,12,38.7,13,41.9,564,3170,1655,26,23,3,1,33.3,2,0,0,11,13,3,2,0,1,0,0,0,5,20.0,20.6,16,0.13,0.5,4,25.0,18.0,0,2,0,0,0,35,0,3.0,587,685,85.7,11,62,8,5,57,9639,2723,288,314,91.7,257,285,90.2,31,56,55.4,0,0,0,,0,0,,0,0,0,627,56,13,1,0,42,26,9,6,2,0,2,12,581,23,3,19,13,29,21,2,3,2,1,0,7,3,42.9,789,30,104,457,232,23,789,8,2,4,1,3,4,5,80.0,1,7,0,7,4,12,11,1,1.0,1.0,-0.6,-0.6,0.8,1.3,1.0,1.0,0.2,0.07,0,4.0,0.57,0.0
Hoffenheim,Holstein Kiel,2025-01-18,W,A,3,1,2,0,0,3,47,0,25,4,60.0,43.6,29,24,54.7,14,3,21.4,10,71.4,251,1031,486,7,8,13,2,15.4,1,0,0,13,13,4,3,0,0,1,0,0,4,100.0,68.3,11,0.27,0.5,6,54.5,13.7,0,2,0,0,0,40,1,14.8,272,402,67.7,7,28,9,3,31,5172,2392,107,140,76.4,137,177,77.4,26,76,34.2,0,0,0,,0,0,,0,0,0,350,50,13,0,1,17,28,3,2,0,0,2,3,270,8,0,25,9,17,15,1,0,1,0,0,3,2,66.7,551,50,156,249,150,26,551,25,18,12,11,2,9,19,47.4,10,19,3,16,11,36,28,0,0.8,0.8,-0.3,-0.3,0.5,1.1,2.2,2.2,0.5,0.07,0,0.7,0.24,-0.3
