Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Gladbach,Leverkusen,2024-08-23,L,H,2,3,-1,0,0,2,43,0,46,5,28.3,31.0,9,16,36.0,9,4,44.4,4,44.4,308,1499,831,18,11,16,0,0.0,1,0,0,11,7,3,2,0,0,1,0,0,8,37.5,26.9,14,0.14,0.29,7,50.0,15.3,0,2,0,1,0,27,0,13.5,392,484,81.0,10,19,6,3,16,6320,2090,196,222,88.3,149,174,85.6,31,60,51.7,1,0,1,100.0,0,1,100.0,0,0,0,443,39,7,1,5,15,18,2,0,1,0,2,7,386,11,5,10,9,26,15,4,1,2,4,0,10,6,70.0,616,112,254,243,120,19,616,20,9,8,6,6,11,14,78.6,3,14,7,7,16,36,30,1,1.6,1.6,-1.1,-0.2,0.8,1.1,0.4,0.4,-0.8,0.12,0,2.3,0.14,-0.7
RB Leipzig,Leverkusen,2024-08-31,W,A,3,2,1,0,0,3,38,0,19,5,42.1,36.4,3,8,27.3,14,4,28.6,10,71.4,222,1186,646,8,9,25,0,0.0,1,0,0,8,7,6,6,0,0,0,0,0,5,20.0,35.0,8,0.38,0.75,4,50.0,18.2,0,5,0,0,0,46,0,6.8,307,383,80.2,7,18,6,1,27,5418,2056,142,158,89.9,131,150,87.3,32,62,51.6,0,0,0,,0,0,,0,0,0,349,29,7,2,0,9,12,2,1,1,0,5,5,307,9,1,6,6,14,14,0,0,0,0,0,10,8,80.0,533,97,203,235,100,12,533,25,13,10,13,2,12,20,60.0,8,20,7,13,14,39,38,2,1.1,1.1,-1.1,-1.1,1.1,1.6,1.9,1.9,1.9,0.14,0,1.6,0.16,-0.4
Hoffenheim,Leverkusen,2024-09-14,L,H,1,4,-3,0,0,1,40,0,23,4,52.2,39.7,8,15,34.8,10,2,20.0,7,70.0,326,1617,763,13,14,18,0,0.0,2,0,0,9,9,2,2,0,0,0,0,0,9,11.1,22.3,15,0.07,0.2,5,33.3,18.4,1,2,0,1,0,36,2,19.5,363,441,82.3,11,35,8,1,35,5912,2046,192,208,92.3,138,162,85.2,25,50,50.0,1,1,0,0.0,1,0,0.0,0,0,0,402,37,10,3,3,16,9,4,3,0,1,2,6,359,14,6,15,6,25,17,3,1,2,1,1,7,3,57.1,561,81,212,200,154,20,561,26,15,19,4,3,15,21,71.4,6,15,7,8,6,32,26,0,0.9,0.9,-2.6,-1.8,0.8,0.9,0.1,0.1,0.2,0.06,1,4.6,0.52,0.6
Wolfsburg,Leverkusen,2024-09-22,L,A,3,4,-1,0,0,2,22,0,25,3,84.0,52.0,12,10,54.5,12,5,41.7,7,58.3,140,601,256,4,10,20,0,0.0,5,1,0,14,5,4,1,1,1,0,1,0,11,90.9,66.5,9,0.22,0.5,4,44.4,22.1,0,1,0,0,0,32,0,12.5,161,238,67.6,6,15,4,3,18,3282,1211,58,68,85.3,71,90,78.9,28,68,41.2,0,0,0,,0,0,,0,3,0,183,54,10,0,0,6,26,2,2,0,0,1,5,156,10,2,15,8,15,10,2,2,0,1,0,7,3,42.9,353,66,160,141,56,6,353,12,7,7,3,2,9,26,34.6,17,13,6,7,13,25,30,0,0.7,0.7,-1.2,-1.2,0.6,0.5,1.3,1.3,1.4,0.08,0,3.1,0.44,-0.9
Bayern Munich,Leverkusen,2024-09-28,D,H,1,1,0,0,0,1,69,0,45,6,24.4,28.6,11,12,47.8,19,10,52.6,8,42.1,586,3242,1554,26,22,3,0,0.0,1,0,0,11,15,2,2,0,0,0,0,0,3,0.0,13.0,18,0.06,0.33,3,16.7,19.3,1,0,0,0,0,50,3,29.7,669,753,88.8,12,69,7,1,57,11074,3461,332,357,93.0,288,305,94.4,43,69,62.3,0,0,0,,0,0,,0,1,0,712,41,14,6,1,17,16,6,5,0,0,0,16,663,22,3,15,6,34,23,5,2,1,3,0,2,1,50.0,847,30,159,446,250,22,847,15,8,5,7,3,6,11,54.5,5,7,0,7,12,27,2,1,1.4,1.4,1.3,1.3,0.8,1.4,-0.4,-0.4,-0.8,0.08,1,0.5,0.24,-0.5
Holstein Kiel,Leverkusen,2024-10-05,D,A,2,2,0,1,0,1,26,1,23,1,69.6,47.7,10,11,47.6,10,4,40.0,5,50.0,201,873,352,8,7,34,0,0.0,2,0,0,9,5,4,0,1,1,1,1,0,16,93.8,64.2,7,0.14,0.33,3,42.9,13.6,0,1,1,0,0,35,0,8.0,217,299,72.6,7,14,3,2,9,4145,1996,102,119,85.7,80,103,77.7,31,57,54.4,0,0,0,,0,0,,0,0,0,259,39,7,2,0,5,10,3,2,0,0,1,10,215,7,3,7,6,15,7,3,2,2,1,0,7,5,71.4,444,111,230,168,51,11,443,26,14,20,3,3,15,21,71.4,6,15,10,5,14,40,44,1,1.6,0.8,-0.5,-1.3,0.9,0.8,0.4,0.2,0.1,0.12,0,1.3,0.19,-0.7
Eint Frankfurt,Leverkusen,2024-10-19,L,A,1,2,-1,1,0,0,46,1,28,8,32.1,29.3,8,11,42.1,17,8,47.1,6,35.3,419,1821,1040,14,14,21,0,0.0,1,0,0,5,9,2,0,1,0,0,1,0,14,14.3,19.1,8,0.0,,0,0.0,18.8,0,2,1,1,0,31,0,5.0,428,501,85.4,5,34,6,0,41,7118,2469,230,246,93.5,153,174,87.9,38,65,58.5,1,0,1,100.0,0,1,100.0,0,0,0,461,38,10,0,2,13,8,3,1,2,0,2,2,422,14,7,13,9,15,10,1,1,1,2,0,9,6,77.8,607,112,246,244,118,14,606,12,9,8,2,2,6,15,40.0,9,14,7,7,11,23,25,3,1.9,1.1,-1.9,-2.0,0.2,0.3,-0.9,-1.1,-0.2,0.14,0,3.4,0.3,1.4
Werder Bremen,Leverkusen,2024-10-26,D,H,2,2,0,0,0,2,43,0,34,4,29.4,31.9,17,15,53.1,11,7,63.6,4,36.4,348,1505,597,12,8,15,0,0.0,1,0,0,9,10,4,4,0,0,0,0,0,5,0.0,8.4,13,0.15,0.25,8,61.5,16.6,0,3,0,0,1,39,1,13.3,394,497,79.3,12,32,13,1,49,6833,2314,169,193,87.6,158,190,83.2,48,79,60.8,0,0,0,,0,0,,0,0,1,460,34,12,4,6,11,11,3,1,2,0,3,5,393,8,3,11,3,23,20,1,0,0,1,1,5,4,60.0,599,76,222,249,134,27,599,14,9,9,5,0,9,15,60.0,6,12,2,10,12,26,23,0,1.6,1.6,0.3,0.3,1.5,1.8,0.4,0.4,0.5,0.12,0,1.6,0.34,0.6
Stuttgart,Leverkusen,2024-11-01,D,A,0,0,0,0,0,0,47,0,38,3,47.4,40.8,10,16,38.5,8,6,75.0,2,25.0,310,1167,425,7,6,19,0,0.0,4,0,0,14,13,0,0,0,0,0,0,0,10,20.0,19.4,4,0.0,0.0,1,25.0,20.5,0,0,0,0,0,36,0,,360,453,79.5,3,28,5,0,25,6330,2694,169,188,89.9,142,171,83.0,39,77,50.6,0,0,0,,0,0,,0,0,0,409,44,22,1,4,8,9,2,0,1,0,0,3,359,6,3,17,8,7,6,0,0,1,0,0,5,5,100.0,556,109,265,196,97,12,556,14,8,12,1,1,9,26,34.6,17,13,5,8,11,25,34,0,0.3,0.3,-1.9,-1.9,0.2,0.4,-0.3,-0.3,-0.2,0.07,0,0.7,0.15,0.7
Bochum,Leverkusen,2024-11-09,D,H,1,1,0,0,0,1,30,0,17,0,76.5,45.1,12,9,57.1,13,6,46.2,7,53.8,223,1068,460,11,9,12,0,0.0,0,0,0,10,9,1,0,0,0,1,0,0,6,100.0,55.5,15,0.07,0.33,3,20.0,20.1,0,1,0,0,0,43,0,6.0,230,321,71.7,9,17,7,2,22,4704,2245,90,101,89.1,95,129,73.6,39,74,52.7,0,0,0,,0,0,,0,0,0,278,42,11,0,1,22,17,6,3,3,0,1,5,228,9,1,11,6,23,15,2,4,2,0,0,3,2,66.7,426,54,169,169,95,18,426,9,3,7,2,0,5,13,38.5,8,9,4,5,11,20,26,0,0.7,0.7,-0.5,-0.5,0.4,0.5,0.3,0.3,-0.4,0.05,0,0.5,0.16,-0.5
