Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Union Berlin,Mainz 05,2024-08-24,D,A,1,1,0,0,0,1,47,0,26,4,73.1,47.5,21,26,44.7,12,2,16.7,10,83.3,183,837,341,3,7,15,1,6.7,3,0,0,15,10,2,2,0,0,0,0,0,9,66.7,50.1,15,0.07,0.2,5,33.3,19.8,0,1,0,0,0,32,0,7.3,250,367,68.1,10,29,12,2,29,5158,2557,99,121,81.8,107,144,74.3,40,85,47.1,0,0,0,,0,0,,1,0,0,318,48,11,0,1,22,17,9,7,2,0,1,7,242,7,1,17,6,25,19,2,0,3,0,1,3,2,66.7,474,50,166,177,137,23,474,13,10,6,5,2,6,12,50.0,6,12,3,9,5,18,15,0,0.6,0.6,-0.5,-0.5,0.5,0.5,0.4,0.4,0.5,0.04,0,0.8,0.28,-0.2
Stuttgart,Mainz 05,2024-08-31,D,H,3,3,0,0,0,3,63,0,31,3,32.3,34.5,10,7,58.8,9,6,66.7,2,22.2,351,1315,598,13,9,11,0,0.0,4,0,0,6,11,3,1,0,0,2,0,0,4,0.0,17.3,28,0.11,0.27,11,39.3,14.9,2,2,0,1,0,37,2,21.0,462,557,82.9,19,39,14,6,50,8589,3147,193,213,90.6,213,244,87.3,50,82,61.0,1,1,0,0.0,1,0,0.0,0,0,0,504,51,12,0,3,32,20,11,2,9,0,2,7,453,9,5,10,13,46,35,2,1,7,1,0,7,4,71.4,659,71,202,273,190,35,659,14,9,3,9,2,4,6,66.7,2,8,3,5,7,21,19,0,3.8,3.8,1.6,2.4,1.6,2.0,-0.8,-0.8,-0.6,0.14,2,2.5,0.25,-0.5
Werder Bremen,Mainz 05,2024-09-15,W,A,2,1,1,1,0,1,42,1,30,2,40.0,42.9,11,11,50.0,12,6,50.0,3,25.0,268,1275,458,6,5,27,2,7.4,1,1,0,7,12,4,3,0,0,0,1,0,12,41.7,39.8,13,0.08,0.33,3,23.1,16.1,0,1,1,0,0,39,0,6.8,290,392,74.0,8,15,13,4,25,5640,2242,109,136,80.1,137,163,84.0,37,75,49.3,0,0,0,,0,0,,0,0,0,344,47,14,0,1,17,15,4,0,4,0,1,8,289,5,0,13,16,23,16,2,0,4,1,0,5,4,80.0,535,109,272,180,87,23,534,12,11,5,7,0,1,8,12.5,7,13,5,8,12,24,49,1,1.6,1.2,0.5,0.1,0.7,0.7,0.4,-0.2,0.3,0.1,0,1.1,0.22,0.1
Augsburg,Mainz 05,2024-09-20,L,H,2,3,-1,0,0,2,73,0,21,5,28.6,30.1,17,18,48.6,11,5,45.5,6,54.5,351,2005,1004,22,17,4,0,0.0,3,1,0,7,12,4,3,1,0,0,0,0,4,75.0,47.3,29,0.07,0.29,7,24.1,15.5,0,1,0,0,0,27,2,19.7,506,627,80.7,21,50,17,5,60,9328,2924,195,218,89.4,235,267,88.0,61,104,58.7,0,0,0,,0,0,,0,0,0,558,68,14,0,3,48,32,14,5,7,0,1,12,501,17,5,13,3,54,38,9,1,6,0,0,3,0,0.0,721,29,97,316,313,52,721,9,4,3,4,2,3,6,50.0,3,8,0,8,8,17,7,0,2.4,2.4,1.4,1.4,1.9,3.6,-0.4,-0.4,0.1,0.08,0,1.8,0.6,-1.2
Heidenheim,Mainz 05,2024-09-28,W,A,2,0,2,0,0,2,50,0,26,1,38.5,35.0,32,29,52.5,11,7,63.6,4,36.4,301,1230,575,10,9,21,1,4.8,4,1,0,10,10,4,2,1,0,1,0,0,5,60.0,45.4,14,0.14,0.33,6,42.9,14.5,0,2,0,0,0,39,0,5.5,321,440,73.0,14,20,10,4,25,6174,2411,116,151,76.8,149,177,84.2,43,80,53.8,0,0,0,,0,0,,0,0,0,388,50,10,1,3,20,28,6,1,5,0,2,7,318,9,1,11,12,27,16,5,1,4,1,0,1,1,100.0,556,54,181,250,133,21,556,21,16,10,9,2,10,14,71.4,4,9,3,6,8,29,29,0,1.2,1.2,0.6,0.6,1.2,1.3,0.8,0.8,0.8,0.09,0,0.3,0.27,0.3
St. Pauli,Mainz 05,2024-10-05,L,H,0,3,-3,0,0,0,56,0,36,4,52.8,38.9,17,19,47.2,21,9,42.9,9,42.9,321,1777,927,18,15,4,0,0.0,0,0,0,12,16,0,0,0,0,0,0,0,3,33.3,30.7,19,0.0,0.0,4,21.1,16.5,0,1,0,0,0,40,1,20.0,450,577,78.0,15,49,10,4,49,8052,2476,181,210,86.2,226,263,85.9,36,79,45.6,0,0,0,,0,0,,0,0,0,509,67,17,0,3,27,41,2,0,1,0,1,14,442,15,4,12,14,36,24,6,1,3,2,0,4,1,25.0,673,28,128,362,188,27,673,12,7,2,7,3,7,12,58.3,5,5,1,4,6,18,13,2,1.0,1.0,0.0,0.0,0.8,1.0,-1.0,-1.0,-0.8,0.06,0,0.9,0.22,-2.1
RB Leipzig,Mainz 05,2024-10-19,W,A,2,0,2,0,0,2,47,0,20,1,45.0,36.8,23,10,69.7,19,9,47.4,8,42.1,277,987,462,10,7,22,1,4.5,3,0,0,15,12,3,2,0,0,1,0,0,11,27.3,28.9,11,0.18,0.4,5,45.5,16.1,0,0,0,0,0,50,0,8.6,369,489,75.5,6,22,2,1,23,6268,2609,178,202,88.1,149,198,75.3,33,64,51.6,0,0,0,,0,0,,0,0,0,440,49,14,5,0,9,20,3,0,3,0,0,10,364,7,5,22,9,16,13,1,0,1,0,1,2,2,100.0,636,91,244,302,98,15,636,26,14,15,10,1,15,28,53.6,13,21,11,10,8,34,42,0,1.9,1.9,1.3,1.3,1.1,0.4,0.1,0.1,-0.1,0.18,0,0.2,0.1,0.2
Gladbach,Mainz 05,2024-10-25,D,A,1,1,0,0,0,1,48,0,37,2,51.4,38.4,27,26,50.9,14,9,64.3,5,35.7,367,1474,613,6,7,13,0,0.0,2,0,0,16,16,2,2,0,0,0,0,0,12,25.0,23.2,9,0.11,0.2,5,55.6,18.3,1,0,0,0,1,44,3,18.2,364,477,76.3,6,25,8,2,28,6674,2685,141,167,84.4,183,215,85.1,33,73,45.2,0,0,0,,0,0,,0,0,1,422,55,17,5,0,14,20,4,1,3,0,0,9,359,7,1,14,11,17,11,1,0,2,2,1,6,6,83.3,599,84,243,264,95,15,599,19,7,11,6,2,11,21,52.4,10,13,8,5,11,30,20,1,0.7,0.7,-0.9,-0.9,0.5,1.0,0.3,0.3,0.5,0.08,1,0.5,0.08,0.5
Freiburg,Mainz 05,2024-11-03,D,H,0,0,0,0,0,0,51,0,42,2,38.1,35.4,22,22,50.0,8,3,37.5,4,50.0,282,1821,926,15,7,14,2,14.3,1,0,0,9,12,0,0,0,0,0,0,0,6,33.3,34.5,10,0.0,0.0,2,20.0,19.7,0,2,0,0,0,39,1,10.6,403,527,76.5,10,38,5,1,37,7765,2780,139,169,82.2,216,248,87.1,43,86,50.0,0,0,0,,0,0,,0,0,0,473,52,15,2,2,19,22,8,4,3,0,2,12,389,7,8,7,4,20,15,3,0,0,2,0,2,2,100.0,611,60,180,309,125,13,611,9,4,1,5,3,3,5,60.0,2,11,2,9,8,17,20,0,0.8,0.8,0.3,0.3,0.8,0.5,-0.8,-0.8,-0.8,0.08,0,0.3,0.17,0.3
Dortmund,Mainz 05,2024-11-09,L,A,1,3,-2,1,0,0,47,1,33,2,39.4,40.5,18,10,64.3,14,5,35.7,8,57.1,338,1749,839,11,9,19,0,0.0,1,1,0,5,17,2,0,0,0,0,1,1,10,50.0,40.4,1,0.0,,0,0.0,23.0,0,0,1,0,0,31,2,16.8,373,472,79.0,0,26,3,2,22,6398,2013,174,193,90.2,156,182,85.7,31,70,44.3,0,0,0,,0,0,,0,0,0,428,44,19,1,4,16,12,0,0,0,0,0,9,368,9,4,11,9,4,1,0,0,0,2,1,9,6,66.7,560,68,212,258,95,10,559,15,11,9,5,1,8,19,42.1,11,11,1,10,11,26,21,0,0.9,0.1,-1.2,-1.9,0.0,0.5,0.1,-0.1,0.0,0.07,0,3.7,0.41,0.7
