Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Bochum,RB Leipzig,2024-08-24,L,A,0,1,-1,0,0,0,38,0,27,2,66.7,43.4,14,18,43.8,11,1,9.1,9,81.8,220,940,453,7,7,19,1,5.3,3,0,0,16,9,0,0,0,0,0,0,0,11,81.8,55.5,10,0.0,0.0,3,30.0,19.3,1,2,0,0,0,38,0,5.0,233,335,69.6,6,27,2,0,24,4877,2181,72,93,77.4,129,150,86.0,29,76,38.2,0,0,0,,0,0,,0,0,0,287,46,11,3,2,11,19,3,3,0,0,2,8,231,7,1,16,5,14,9,0,1,3,1,0,3,2,66.7,456,68,154,208,97,9,456,17,11,6,10,1,6,16,37.5,10,19,5,14,6,23,25,1,1.0,1.0,-0.3,-0.3,0.4,0.4,-1.0,-1.0,-0.4,0.11,1,0.5,0.15,-0.5
Leverkusen,RB Leipzig,2024-08-31,L,H,2,3,-1,0,0,2,62,0,21,1,23.8,30.4,8,3,72.7,20,8,40.0,12,60.0,363,1859,1102,34,19,6,0,0.0,3,0,0,7,8,3,2,0,1,0,0,0,4,0.0,12.5,26,0.08,0.2,10,38.5,15.6,0,0,0,0,0,49,3,20.2,527,625,84.3,21,45,15,3,48,8531,3249,278,309,90.0,172,200,86.0,52,75,69.3,0,0,0,,0,0,,0,0,0,572,53,13,1,4,33,14,18,7,6,0,0,16,523,19,6,7,13,47,34,5,3,4,1,0,4,1,25.0,722,49,168,309,247,52,722,16,14,4,9,3,10,14,71.4,4,5,1,4,8,24,9,0,2.2,2.2,1.1,1.1,1.7,2.7,-0.2,-0.2,-0.7,0.09,0,1.3,0.33,-1.7
Union Berlin,RB Leipzig,2024-09-14,D,A,0,0,0,0,0,0,33,0,23,4,30.4,33.4,5,17,22.7,15,6,40.0,8,53.3,257,1116,365,5,8,15,1,6.7,3,0,0,19,8,0,0,0,0,0,0,0,6,66.7,51.2,10,0.0,0.0,3,30.0,12.9,0,1,0,1,0,45,0,8.0,280,382,73.3,6,16,2,0,16,4651,1882,145,169,85.8,96,118,81.4,26,59,44.1,1,0,1,100.0,0,1,100.0,0,0,0,344,37,9,2,1,11,16,5,3,2,0,1,11,279,8,1,9,14,17,4,6,1,4,2,0,3,2,100.0,513,73,222,204,89,14,513,24,9,15,8,1,11,20,55.0,9,12,6,6,7,31,34,0,0.6,0.6,-0.7,0.1,0.4,0.7,-0.6,-0.6,-0.4,0.06,0,1.1,0.05,1.1
St. Pauli,RB Leipzig,2024-09-22,D,H,0,0,0,0,0,0,31,0,26,2,53.8,42.0,16,26,38.1,24,11,45.8,11,45.8,241,1258,547,12,11,9,0,0.0,2,0,0,6,8,0,0,0,0,0,0,0,6,66.7,52.3,17,0.0,0.0,4,23.5,14.0,0,2,0,0,0,55,0,17.3,248,362,68.5,14,32,8,2,43,4912,2372,103,128,80.5,101,132,76.5,38,77,49.4,0,0,0,,0,0,,0,0,0,325,35,9,2,4,17,16,3,0,2,0,2,5,247,11,10,16,13,32,22,2,3,4,1,0,5,5,100.0,500,51,148,219,140,37,500,23,10,6,13,4,8,16,50.0,8,18,1,17,7,30,22,0,1.4,1.4,0.7,0.7,1.2,1.5,-1.4,-1.4,-1.2,0.08,0,0.4,0.09,0.4
Augsburg,RB Leipzig,2024-09-28,L,A,0,4,-4,0,1,0,41,1,22,4,45.5,37.0,6,13,31.6,12,8,66.7,2,16.7,214,1059,555,11,5,18,1,5.6,2,0,0,13,9,0,0,0,0,0,0,0,6,66.7,46.5,6,0.0,,0,0.0,17.2,0,1,1,0,0,40,2,15.4,328,418,78.5,3,16,6,2,25,6317,2269,118,139,84.9,168,188,89.4,37,73,50.7,0,0,0,,0,0,,0,0,0,373,44,9,0,4,10,19,5,2,3,0,1,9,327,5,0,26,5,11,6,1,0,2,2,0,6,2,33.3,529,69,200,257,78,14,528,10,6,5,4,1,4,14,28.6,10,17,6,11,9,19,27,1,1.1,0.3,-2.0,-2.7,0.2,0.5,-1.1,-0.3,-0.2,0.05,0,3.6,0.61,-0.4
Heidenheim,RB Leipzig,2024-10-06,L,H,0,1,-1,0,0,0,45,0,32,6,40.6,40.9,14,19,42.4,21,9,42.9,11,52.4,319,1502,753,18,5,16,1,6.3,2,0,0,12,13,0,0,0,0,0,0,0,9,33.3,42.9,14,0.0,0.0,4,28.6,18.8,0,1,0,0,0,48,0,13.0,319,441,72.3,9,27,8,5,29,6318,2576,110,140,78.6,144,166,86.7,55,102,53.9,0,0,0,,0,0,,0,0,0,390,50,15,1,4,16,21,3,0,1,0,1,8,314,5,4,20,7,25,16,5,1,2,1,0,2,1,50.0,581,75,231,237,121,25,581,23,9,10,12,1,12,20,60.0,8,11,5,6,9,32,31,0,1.0,1.0,-0.4,-0.4,0.9,1.2,-1.0,-1.0,-0.9,0.08,0,0.5,0.26,-0.5
Mainz 05,RB Leipzig,2024-10-19,L,H,0,2,-2,0,0,0,53,0,23,1,39.1,37.0,10,23,30.3,31,13,41.9,15,48.4,310,1634,715,15,12,9,0,0.0,1,0,0,12,9,0,0,0,0,0,0,0,7,0.0,13.0,17,0.0,0.0,2,11.8,18.1,0,2,0,0,0,55,2,22.5,420,554,75.8,12,61,15,5,58,7701,2865,169,198,85.4,208,241,86.3,39,96,40.6,0,0,0,,0,0,,0,1,0,505,47,15,1,3,25,17,5,0,3,0,2,12,414,12,2,21,11,32,24,4,2,0,1,1,5,3,60.0,688,48,150,342,201,21,688,17,9,6,8,3,8,17,47.1,9,12,3,9,15,32,12,2,0.6,0.6,-1.3,-1.3,0.5,1.3,-0.6,-0.6,-0.5,0.04,0,1.7,0.34,-0.3
Freiburg,RB Leipzig,2024-10-26,L,A,1,3,-2,0,0,1,57,0,51,10,23.5,31.9,12,19,38.7,20,12,60.0,7,35.0,450,2168,1054,13,13,13,2,15.4,2,0,0,7,9,2,2,0,0,0,0,0,2,100.0,61.0,15,0.07,0.2,5,33.3,18.0,2,1,0,0,0,44,1,12.0,502,602,83.4,9,36,12,4,36,8397,2731,214,247,86.6,236,256,92.2,30,64,46.9,0,0,0,,0,0,,0,0,0,570,31,8,0,1,18,14,3,1,1,0,1,8,493,13,3,12,11,30,23,1,2,0,4,0,9,6,66.7,705,76,225,315,171,20,705,16,9,3,11,2,6,16,37.5,10,9,1,8,6,22,22,1,1.7,1.7,-0.1,-0.1,0.8,1.7,-0.7,-0.7,0.2,0.12,2,4.2,0.46,1.2
Dortmund,RB Leipzig,2024-11-02,W,H,2,1,1,0,0,2,57,0,36,1,38.9,34.8,9,13,40.9,20,14,70.0,6,30.0,434,1815,826,14,11,5,1,20.0,3,0,0,11,12,3,2,0,0,1,0,0,4,25.0,24.0,20,0.1,0.29,7,35.0,14.3,1,2,0,0,0,57,0,12.8,466,575,81.0,15,38,12,3,47,8126,3183,212,239,88.7,203,229,88.6,41,77,53.2,0,0,0,,0,0,,0,0,0,514,59,13,1,0,19,36,4,1,3,0,2,15,460,11,4,14,15,35,21,3,3,5,2,1,2,1,50.0,695,54,206,308,185,28,695,20,11,11,6,3,11,19,57.9,8,14,4,10,7,27,11,0,2.0,2.0,1.6,1.6,1.5,1.5,0.0,0.0,0.5,0.11,1,0.3,0.16,-0.7
Gladbach,RB Leipzig,2024-11-09,D,A,0,0,0,0,0,0,39,0,40,4,30.0,31.9,8,8,50.0,10,4,40.0,5,50.0,281,1236,474,10,5,22,0,0.0,2,0,0,7,14,0,0,0,0,0,0,0,10,50.0,40.2,14,0.0,0.0,4,28.6,19.2,0,4,0,0,0,39,0,,336,426,78.9,10,18,6,4,21,6145,2465,154,175,88.0,135,158,85.4,40,66,60.6,0,0,0,,0,0,,0,0,0,370,52,16,2,1,18,21,4,0,3,0,4,11,329,5,3,13,19,20,14,2,0,3,0,1,5,5,100.0,547,97,244,211,96,18,547,16,8,7,5,4,7,13,53.8,6,12,3,9,13,29,38,0,0.9,0.9,-0.1,-0.1,0.8,0.8,-0.9,-0.9,-0.8,0.07,0,1.3,0.27,1.3
