Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Heidenheim,St. Pauli,2024-08-25,W,A,2,0,2,0,0,2,40,0,25,2,56.0,44.6,25,17,59.5,19,8,42.1,11,57.9,234,1245,571,15,12,18,1,5.6,3,0,0,15,9,4,2,2,0,0,0,0,15,53.3,39.3,5,0.4,0.67,3,60.0,17.0,1,0,0,0,0,47,0,10.0,272,393,69.2,4,17,2,0,21,5083,2076,108,139,77.7,119,156,76.3,32,65,49.2,0,0,0,,0,0,,0,0,0,338,55,8,0,2,11,29,2,1,1,0,0,12,269,12,2,17,13,10,7,2,0,0,1,0,3,3,100.0,514,72,213,221,87,9,514,18,11,7,10,1,6,11,54.5,5,14,1,13,8,26,29,0,1.1,1.1,-0.1,-0.1,1.1,0.4,0.9,0.9,0.9,0.22,1,0.7,0.23,0.7
Union Berlin,St. Pauli,2024-08-30,W,H,1,0,1,0,0,1,39,0,30,7,36.7,33.2,18,21,46.2,11,8,72.7,3,27.3,249,1276,592,14,8,13,1,7.7,3,0,0,10,11,1,0,0,0,1,0,0,8,50.0,42.6,11,0.09,0.2,5,45.5,21.5,0,2,0,0,0,36,2,17.8,299,422,70.9,8,21,8,2,21,5842,2524,115,147,78.2,135,167,80.8,42,83,50.6,0,0,0,,0,0,,0,0,0,373,47,14,0,2,24,19,5,3,0,0,2,11,294,8,3,14,10,17,12,1,1,1,0,2,1,1,100.0,529,71,218,211,110,15,529,14,6,8,4,2,6,14,42.9,8,15,3,12,7,21,22,1,1.1,1.1,0.5,0.5,0.5,0.8,-0.1,-0.1,-0.5,0.1,0,0.0,0.04,0.0
Augsburg,St. Pauli,2024-09-15,W,H,3,1,2,0,0,3,44,0,28,7,42.9,36.4,29,19,60.4,10,8,80.0,2,20.0,198,984,453,12,5,18,2,11.1,4,0,0,12,9,4,3,0,1,0,0,0,8,100.0,67.8,18,0.17,0.38,8,44.4,15.0,0,1,0,0,0,39,0,9.9,270,375,72.0,14,26,7,3,28,5369,2578,102,125,81.6,122,152,80.3,37,73,50.7,0,0,0,,0,0,,0,0,0,322,52,12,3,2,27,23,7,3,3,0,1,12,266,5,4,27,7,32,18,7,1,2,3,1,3,2,66.7,509,68,176,213,123,35,509,12,10,4,5,3,5,11,45.5,6,15,5,10,9,21,35,2,2.7,2.7,2.2,2.2,1.8,1.6,0.3,0.3,0.2,0.15,0,0.8,0.27,-0.2
RB Leipzig,St. Pauli,2024-09-22,D,A,0,0,0,0,0,0,69,0,27,4,3.7,22.9,26,16,61.9,17,8,47.1,8,47.1,499,1807,1058,17,8,9,2,22.2,1,0,0,8,5,0,0,0,0,0,0,0,10,0.0,18.0,10,0.0,0.0,5,50.0,15.4,0,1,0,0,0,49,3,16.0,679,796,85.3,8,58,7,1,57,11092,3647,342,387,88.4,284,317,89.6,44,61,72.1,0,0,0,,0,0,,0,0,0,754,41,8,4,2,13,21,1,0,1,0,1,18,671,8,4,18,15,19,19,0,0,0,0,0,4,4,100.0,916,70,247,524,150,14,916,24,15,11,12,1,11,22,50.0,11,6,3,3,6,30,23,0,0.7,0.7,-0.7,-0.7,0.6,0.8,-0.7,-0.7,-0.6,0.07,0,0.7,0.19,0.7
Freiburg,St. Pauli,2024-09-28,L,H,0,3,-3,0,1,0,73,1,23,5,17.4,23.0,24,18,57.1,19,7,36.8,9,47.4,536,2831,1661,26,19,7,0,0.0,3,0,0,7,17,0,0,0,0,0,0,0,3,0.0,24.7,8,0.0,0.0,1,12.5,16.9,1,7,1,0,0,37,3,23.0,582,699,83.3,7,57,15,5,61,10135,2911,265,288,92.0,259,290,89.3,44,72,61.1,0,0,0,,0,0,,0,0,0,645,47,14,0,6,32,22,4,4,0,0,7,14,570,19,5,13,7,18,14,1,1,0,2,0,4,1,25.0,780,25,142,424,219,27,779,13,8,5,7,1,5,12,41.7,7,7,2,5,3,16,8,1,1.2,0.4,0.1,-0.7,0.3,1.2,-1.2,-0.4,-0.3,0.05,1,1.5,0.37,-1.5
Mainz 05,St. Pauli,2024-10-05,W,A,3,0,3,0,0,3,44,0,36,8,44.4,41.5,19,17,52.8,13,5,38.5,7,53.8,224,1014,439,11,4,22,0,0.0,3,0,0,16,12,4,4,0,0,0,0,0,10,50.0,36.3,8,0.38,0.75,4,50.0,21.4,0,1,0,0,0,42,0,7.3,338,446,75.8,7,16,5,0,14,6045,2093,151,176,85.8,148,175,84.6,34,81,42.0,0,0,0,,0,0,,0,0,0,407,38,13,3,2,5,12,2,0,2,0,1,4,336,4,4,16,5,14,14,0,0,0,0,0,4,4,100.0,577,94,261,266,54,9,577,23,15,11,11,1,9,18,50.0,9,20,9,11,9,32,35,0,1.1,1.1,0.0,0.0,1.1,0.7,1.9,1.9,1.9,0.14,0,1.0,0.26,1.0
Dortmund,St. Pauli,2024-10-18,W,H,2,1,1,0,0,2,74,0,28,3,21.4,28.7,14,9,60.9,24,10,41.7,12,50.0,631,2820,1505,15,33,5,0,0.0,2,0,0,8,7,4,3,0,1,0,0,0,3,33.3,23.3,20,0.1,0.29,7,35.0,13.4,0,1,0,0,0,35,1,23.0,746,822,90.8,16,74,11,5,60,13665,3283,296,310,95.5,386,404,95.5,58,85,68.2,0,0,0,,0,0,,0,0,0,780,41,8,6,9,30,21,7,2,5,0,1,8,738,33,3,13,10,36,26,2,4,4,0,0,3,2,66.7,933,48,151,523,265,24,933,16,11,8,5,3,6,12,50.0,6,12,5,7,6,22,15,1,2.6,2.6,2.0,2.0,2.7,2.7,-0.6,-0.6,-1.7,0.15,0,0.1,0.04,-0.9
Wolfsburg,St. Pauli,2024-10-26,D,A,0,0,0,0,0,0,46,0,31,3,35.5,36.2,24,12,66.7,15,7,46.7,7,46.7,322,1471,688,9,11,16,0,0.0,3,0,0,12,9,0,0,0,0,0,0,0,7,28.6,29.4,9,0.0,0.0,4,44.4,17.1,0,3,0,0,0,38,0,19.0,363,463,78.4,8,32,5,0,39,7241,2440,124,148,83.8,187,217,86.2,47,82,57.3,0,0,0,,0,0,,0,0,0,420,40,11,1,5,9,15,6,2,4,0,3,7,358,11,3,15,10,16,13,2,0,1,0,0,5,5,100.0,566,66,193,280,97,18,566,5,2,4,0,1,2,9,22.2,7,12,5,7,9,14,25,2,1.1,1.1,0.3,0.3,1.0,0.7,-1.1,-1.1,-1.0,0.12,0,0.8,0.16,0.8
Hoffenheim,St. Pauli,2024-11-02,L,H,0,2,-2,0,0,0,67,0,34,4,14.7,26.5,34,24,58.6,18,7,38.9,11,61.1,465,2494,1285,25,16,6,0,0.0,0,0,0,10,10,0,0,0,0,0,0,0,2,0.0,8.5,12,0.0,0.0,6,50.0,17.7,0,2,0,0,0,52,1,20.0,560,704,79.5,7,61,11,5,70,10868,3506,188,223,84.3,302,351,86.0,62,100,62.0,0,0,0,,0,0,,0,0,0,643,59,10,0,5,41,37,7,1,2,0,2,18,557,16,7,14,13,19,12,2,0,2,2,1,3,1,33.3,807,45,173,444,193,25,807,13,10,6,6,1,4,10,40.0,6,8,3,5,7,20,18,0,0.7,0.7,-0.2,-0.2,0.5,1.2,-0.7,-0.7,-0.5,0.06,0,1.6,0.54,-0.4
Bayern Munich,St. Pauli,2024-11-09,W,A,1,0,1,0,0,1,75,0,27,4,14.8,26.3,10,8,55.6,21,5,23.8,12,57.1,649,3474,1718,15,19,10,1,10.0,2,0,0,7,10,1,0,0,0,0,0,1,2,0.0,37.0,13,0.08,0.17,6,46.2,19.0,0,2,0,0,0,47,3,24.6,769,869,88.5,8,77,10,3,67,12521,3306,389,413,94.2,315,347,90.8,55,71,77.5,0,0,0,,0,0,,0,0,0,824,43,10,2,4,17,20,10,5,0,0,2,12,764,19,3,16,8,24,21,0,0,1,1,1,0,0,,974,37,113,654,210,19,974,17,12,3,13,1,7,11,63.6,4,8,1,7,10,27,16,1,0.8,0.8,0.7,0.7,0.5,1.1,0.2,0.2,-0.5,0.06,0,0.0,,0.0
