Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Freiburg,Stuttgart,2024-08-24,W,H,3,1,2,0,0,3,33,0,22,1,59.1,40.6,10,12,45.5,9,5,55.6,4,44.4,231,1274,618,11,8,17,0,0.0,2,0,0,7,10,5,2,1,0,2,0,0,8,62.5,49.5,16,0.19,0.6,5,31.3,16.4,1,3,0,0,0,41,1,21.0,251,344,73.0,10,13,5,1,23,4333,1703,102,122,83.6,106,124,85.5,28,62,45.2,0,0,0,,0,0,,0,1,0,300,41,9,1,3,15,16,6,0,6,0,3,12,248,8,7,18,5,27,19,2,2,3,1,0,2,1,50.0,439,47,138,216,88,20,439,15,11,9,5,1,6,10,60.0,4,9,2,7,11,26,19,0,2.1,2.1,1.8,1.8,1.3,1.1,0.9,0.9,0.7,0.17,1,0.9,0.46,-0.1
Mainz 05,Stuttgart,2024-08-31,D,A,3,3,0,1,0,2,37,1,22,4,54.5,43.0,7,10,41.2,7,2,28.6,4,57.1,143,586,252,3,4,30,2,6.7,1,0,0,12,6,6,5,0,0,0,1,0,8,62.5,40.5,10,0.2,0.33,6,60.0,21.6,1,2,1,0,0,31,0,7.9,244,326,74.8,6,17,8,2,27,4442,1784,115,132,87.1,92,108,85.2,31,70,44.3,0,0,0,,0,0,,1,0,0,285,39,6,2,3,13,19,2,0,2,0,2,5,243,4,0,9,10,18,16,0,0,0,2,0,11,8,72.7,453,88,186,185,83,12,452,15,6,4,10,1,2,8,25.0,6,14,8,6,7,22,36,2,2.3,1.5,-1.6,-2.4,1.4,1.3,0.7,0.5,0.6,0.15,1,2.8,0.26,-0.2
Gladbach,Stuttgart,2024-09-14,L,H,1,3,-2,0,0,1,44,0,37,2,29.7,29.2,9,14,39.1,12,4,33.3,7,58.3,283,1098,509,11,8,3,0,0.0,2,0,0,14,11,1,1,0,0,0,0,0,3,33.3,35.0,15,0.07,0.14,7,46.7,15.5,0,8,0,0,0,58,2,21.4,347,462,75.1,11,24,6,1,28,5600,2346,172,203,84.7,125,154,81.2,27,55,49.1,0,0,0,,0,0,,0,1,0,410,44,14,0,3,16,17,6,4,2,0,8,11,344,8,3,8,9,21,14,3,1,2,1,0,7,4,57.1,558,54,197,230,137,19,558,22,14,11,7,4,8,21,38.1,13,15,3,12,12,34,7,0,1.6,1.6,-0.5,-0.5,1.0,1.0,-0.6,-0.6,0.0,0.11,0,3.0,0.45,0.0
Dortmund,Stuttgart,2024-09-22,L,A,1,5,-4,0,0,1,48,0,36,2,16.7,26.8,10,6,62.5,21,9,42.9,10,47.6,320,1474,739,15,15,16,0,0.0,3,0,0,6,10,1,1,0,0,0,0,0,8,12.5,19.4,7,0.14,0.33,3,42.9,12.9,0,2,0,0,0,39,3,15.3,415,492,84.3,6,18,6,0,33,6914,2546,208,228,91.2,165,187,88.2,33,50,66.0,0,0,0,,0,0,,0,1,0,438,52,13,1,2,10,21,4,3,1,0,2,13,410,15,1,18,5,12,9,1,0,1,1,0,9,4,44.4,597,83,245,265,93,11,597,13,9,5,7,1,5,15,33.3,10,11,2,9,7,20,18,1,0.7,0.7,-2.7,-2.7,0.5,0.4,0.3,0.3,0.5,0.09,0,3.9,0.43,-1.1
Wolfsburg,Stuttgart,2024-09-28,D,H,2,2,0,0,0,2,31,0,24,0,62.5,47.0,16,15,51.6,11,6,54.5,5,45.5,135,661,254,6,4,9,0,0.0,5,0,0,20,9,3,2,0,0,0,0,1,9,55.6,43.1,5,0.4,1.0,2,40.0,14.3,0,2,0,1,0,41,0,4.0,177,282,62.8,5,15,2,1,16,3397,1552,74,103,71.8,71,102,69.6,26,59,44.1,1,0,1,100.0,0,1,100.0,0,0,0,231,49,12,1,2,5,24,1,1,0,0,2,6,174,4,4,21,2,9,8,0,0,0,0,1,4,1,50.0,393,50,157,169,69,13,393,14,7,6,8,0,4,14,28.6,10,20,8,12,8,22,15,1,1.1,1.1,-0.7,0.1,1.1,0.8,0.9,0.9,0.9,0.22,0,1.9,0.23,-0.1
Hoffenheim,Stuttgart,2024-10-06,D,A,1,1,0,0,0,1,33,0,34,4,44.1,37.3,17,18,48.6,22,9,40.9,11,50.0,256,1602,761,13,8,38,2,5.3,4,0,0,7,10,2,1,1,0,0,0,0,5,60.0,43.8,7,0.14,0.25,4,57.1,15.5,0,0,0,1,0,37,0,6.8,275,360,76.4,6,18,5,2,16,4832,1921,130,146,89.0,111,133,83.5,27,64,42.2,1,0,1,100.0,0,1,100.0,0,0,0,316,44,10,4,3,10,23,5,0,4,0,0,9,274,8,4,15,14,13,9,1,3,0,0,0,6,4,83.3,503,103,249,177,82,18,503,20,11,14,5,1,8,21,38.1,13,12,6,6,11,31,44,0,0.9,0.9,-1.0,-0.2,0.6,0.8,0.1,0.1,-0.6,0.13,0,1.7,0.12,0.7
Bayern Munich,Stuttgart,2024-10-19,W,H,4,0,4,0,0,4,65,0,57,3,14.0,25.9,5,6,45.5,18,13,72.2,5,27.8,439,2318,1190,22,12,6,0,0.0,0,0,0,6,10,7,3,0,2,2,0,0,3,0.0,11.7,22,0.18,0.4,10,45.5,15.9,0,2,0,0,0,51,1,15.8,648,733,88.4,17,47,17,4,51,11123,3534,314,343,91.5,272,293,92.8,54,80,67.5,0,0,0,,0,0,,0,0,0,694,37,12,4,3,15,14,7,3,0,0,2,7,647,12,11,12,7,42,33,1,5,3,0,0,1,1,100.0,828,66,261,350,222,42,828,15,11,5,6,4,7,16,43.8,9,5,1,4,4,19,13,0,3.2,3.2,2.7,2.7,2.5,2.6,0.8,0.8,-1.5,0.16,0,0.0,0.04,0.0
Holstein Kiel,Stuttgart,2024-10-26,L,A,1,2,-1,0,0,1,42,0,26,6,26.9,31.3,6,12,33.3,15,5,33.3,9,60.0,281,1170,495,6,7,16,1,6.3,6,1,1,17,6,1,0,0,0,1,0,0,16,62.5,47.1,9,0.11,0.33,3,33.3,18.0,0,3,0,0,0,30,0,16.0,317,408,77.7,6,29,5,1,30,6061,2334,116,130,89.2,158,186,84.9,38,73,52.1,0,0,0,,0,0,,0,0,0,360,45,8,0,0,18,13,5,4,1,0,3,6,314,7,2,14,6,15,11,2,0,2,0,0,6,4,66.7,495,70,206,206,86,18,495,16,11,7,8,1,9,18,50.0,9,9,1,8,6,22,16,0,0.5,0.5,-1.1,-1.1,0.4,0.4,0.5,0.5,-0.4,0.06,0,1.5,0.25,-0.5
Leverkusen,Stuttgart,2024-11-01,D,H,0,0,0,0,0,0,53,0,24,3,20.8,29.3,16,10,61.5,26,17,65.4,9,34.6,373,2044,1062,25,11,5,0,0.0,3,0,0,13,12,0,0,0,0,0,0,0,6,16.7,25.8,19,0.0,0.0,5,26.3,13.4,0,9,0,0,0,45,3,20.4,402,503,79.9,16,38,7,3,38,6731,2746,207,229,90.4,140,170,82.4,40,65,61.5,0,0,0,,0,0,,0,0,0,446,48,13,6,2,26,18,10,8,0,0,9,11,400,11,7,18,5,35,25,7,1,1,1,0,1,1,100.0,597,44,166,249,189,29,597,10,5,2,7,1,2,8,25.0,6,3,1,2,8,18,14,0,2.2,2.2,1.9,1.9,2.1,2.0,-2.2,-2.2,-2.1,0.12,0,0.1,0.1,0.1
Eint Frankfurt,Stuttgart,2024-11-10,W,A,3,2,1,0,0,3,40,0,35,6,34.3,33.8,10,13,43.5,18,11,61.1,7,38.9,284,1578,751,15,12,20,1,5.0,3,0,0,15,10,5,1,1,1,1,1,0,9,22.2,25.1,8,0.38,0.6,5,62.5,16.6,1,4,0,1,0,58,1,17.0,308,405,76.0,4,17,6,0,19,5422,2128,136,160,85.0,135,160,84.4,32,68,47.1,1,0,1,100.0,0,1,100.0,0,1,0,358,43,14,2,1,8,14,3,2,1,0,4,6,305,12,6,21,5,12,7,2,1,1,1,0,10,7,80.0,530,96,261,198,78,17,530,23,16,9,10,4,13,21,61.9,8,16,6,10,10,33,24,0,1.3,1.3,-1.2,-0.4,0.5,0.6,1.7,1.7,0.5,0.17,1,2.5,0.17,0.5
