Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Mainz 05,Union Berlin,2024-08-24,D,H,1,1,0,0,0,1,53,0,25,8,40.0,36.0,26,21,55.3,12,6,50.0,6,50.0,221,1015,452,11,4,21,2,9.5,1,0,0,10,14,1,0,0,0,0,1,0,10,50.0,48.2,14,0.07,0.33,3,21.4,15.4,1,1,0,0,0,29,3,14.2,319,422,75.6,10,29,11,3,23,6305,2701,127,151,84.1,129,154,83.8,55,90,61.1,0,0,0,,0,0,,0,0,0,370,51,14,0,3,17,17,8,1,5,2,1,11,318,4,1,15,7,24,16,4,0,2,2,0,5,4,80.0,535,72,206,217,115,19,535,16,8,10,4,2,10,12,83.3,2,7,2,5,7,23,38,0,1.2,1.2,0.5,0.5,0.7,1.4,-0.2,-0.2,-0.7,0.08,1,0.9,0.19,-0.1
St. Pauli,Union Berlin,2024-08-30,L,A,0,1,-1,0,0,0,61,0,37,9,21.6,27.2,21,18,53.8,17,8,47.1,6,35.3,344,1511,835,16,11,14,3,21.4,1,0,0,11,10,0,0,0,0,0,0,0,9,33.3,29.2,8,0.0,0.0,1,12.5,16.0,0,3,0,0,0,33,0,12.0,505,647,78.1,7,30,7,1,46,9094,3236,201,246,81.7,248,279,88.9,48,94,51.1,0,0,0,,0,0,,0,1,0,587,57,12,0,2,16,30,4,0,3,0,3,12,502,11,3,12,8,16,10,3,1,1,1,0,5,4,80.0,739,66,239,377,130,15,739,13,7,6,6,1,3,11,27.3,8,7,0,7,4,17,20,1,0.5,0.5,-0.5,-0.5,0.4,0.6,-0.5,-0.5,-0.4,0.07,0,0.7,0.14,-0.3
RB Leipzig,Union Berlin,2024-09-14,D,H,0,0,0,0,1,0,67,1,34,6,14.7,25.0,17,5,77.3,24,9,37.5,11,45.8,529,2191,999,16,15,10,0,0.0,2,0,0,8,19,0,0,0,0,0,0,0,3,0.0,19.7,14,0.0,0.0,2,14.3,21.5,1,1,1,0,0,47,0,17.0,678,783,86.6,9,50,7,0,43,10747,3491,320,363,88.2,298,323,92.3,37,62,59.7,0,0,0,,0,0,,0,0,0,740,42,19,3,1,18,13,6,0,4,0,1,7,677,15,6,16,13,29,22,2,2,1,2,0,3,3,100.0,906,48,175,578,156,23,905,22,13,8,6,8,8,14,57.1,6,14,3,11,6,28,16,0,1.3,0.5,0.7,-0.1,0.3,0.6,-1.3,-0.5,-0.3,0.03,1,0.4,0.14,0.4
Hoffenheim,Union Berlin,2024-09-21,L,A,1,2,-1,0,0,1,49,0,22,4,40.9,39.4,19,19,50.0,15,7,46.7,6,40.0,316,1525,744,8,9,9,1,11.1,3,0,0,18,16,2,1,0,1,0,0,0,4,50.0,42.0,7,0.14,0.33,3,42.9,20.5,1,0,0,0,0,36,2,20.0,345,470,73.4,5,25,4,1,40,6631,2427,119,156,76.3,188,219,85.8,34,74,45.9,0,0,0,,0,0,,0,1,0,422,48,17,0,1,22,19,5,0,4,0,0,11,343,9,2,11,7,14,9,1,3,0,1,0,2,0,0.0,563,57,156,288,125,14,563,15,11,1,12,2,8,17,47.1,9,8,5,3,3,18,20,1,0.4,0.4,-0.8,-0.8,0.3,1.2,0.6,0.6,-0.3,0.06,1,1.6,0.78,-0.4
Gladbach,Union Berlin,2024-09-28,W,H,1,0,1,0,0,1,62,0,42,8,11.9,24.8,22,16,57.9,21,7,33.3,14,66.7,461,1998,1031,19,12,15,0,0.0,3,0,0,11,11,2,1,1,0,0,0,0,7,14.3,24.4,8,0.13,0.5,2,25.0,14.6,0,3,0,0,0,28,4,33.0,549,668,82.2,7,36,9,3,44,9986,3356,203,224,90.6,301,346,87.0,40,74,54.1,0,0,0,,0,0,,0,0,0,615,50,13,1,1,20,27,2,1,1,0,3,11,543,12,5,15,3,15,14,1,0,0,0,0,2,2,100.0,787,75,316,347,127,20,787,19,9,13,6,0,7,11,63.6,4,12,1,11,5,24,27,0,0.9,0.9,0.2,0.2,0.8,0.9,0.1,0.1,0.2,0.11,0,0.9,0.46,0.9
Dortmund,Union Berlin,2024-10-05,L,A,1,2,-1,0,0,1,67,0,48,5,18.8,27.4,17,16,51.5,24,10,41.7,14,58.3,432,2381,1118,24,16,14,2,14.3,4,0,0,17,15,2,2,0,0,0,0,0,7,28.6,26.1,8,0.13,0.25,4,50.0,18.3,0,0,0,1,0,41,6,22.3,529,645,82.0,7,32,9,4,38,9579,3228,218,250,87.2,267,300,89.0,42,81,51.9,1,1,0,0.0,1,0,0.0,0,1,0,585,60,19,4,0,19,28,3,0,1,0,0,11,526,16,5,14,11,13,11,1,0,1,0,0,5,3,80.0,758,78,277,351,134,17,758,15,8,5,9,1,10,10,100.0,0,10,5,5,6,21,16,2,0.7,0.7,-0.7,0.0,0.7,0.9,0.3,0.3,0.3,0.09,0,1.3,0.08,-0.7
Holstein Kiel,Union Berlin,2024-10-20,L,H,0,2,-2,0,0,0,48,0,27,9,25.9,30.3,24,17,58.5,15,8,53.3,5,33.3,236,1459,802,14,9,14,0,0.0,2,0,0,8,11,0,0,0,0,0,0,0,7,71.4,50.6,12,0.0,0.0,4,33.3,14.7,0,1,0,0,0,30,2,24.0,381,493,77.3,8,23,7,5,30,7151,2655,138,166,83.1,206,239,86.2,35,69,50.7,0,0,0,,0,0,,0,1,0,434,58,15,1,3,24,26,7,3,3,0,1,13,379,9,1,11,5,20,13,6,0,0,1,0,4,2,50.0,602,66,199,290,117,18,602,18,11,12,4,2,8,14,57.1,6,18,4,14,8,26,18,0,1.3,1.3,0.2,0.2,1.0,0.9,-1.3,-1.3,-1.0,0.11,0,1.4,0.34,-0.6
Eint Frankfurt,Union Berlin,2024-10-27,D,A,1,1,0,0,0,1,52,0,34,1,41.2,39.0,19,13,59.4,16,4,25.0,12,75.0,301,1509,779,15,8,17,1,5.9,3,1,1,7,13,1,0,0,0,1,0,0,14,50.0,32.9,17,0.06,0.2,5,29.4,17.4,1,1,0,0,0,37,0,7.5,405,531,76.3,11,16,3,0,16,6772,2270,177,205,86.3,180,207,87.0,33,94,35.1,0,0,0,,0,0,,0,0,0,464,66,17,1,1,10,28,5,1,3,0,1,6,403,8,2,20,7,28,11,6,0,8,3,0,4,3,75.0,662,77,266,306,92,14,662,15,6,9,5,1,9,17,52.9,8,11,2,9,13,28,23,1,1.5,1.5,0.0,0.0,0.6,0.4,-0.5,-0.5,-0.6,0.11,1,1.4,0.35,0.4
Bayern Munich,Union Berlin,2024-11-02,W,H,3,0,3,1,0,2,77,1,24,2,8.3,23.6,12,17,41.4,22,13,59.1,8,36.4,643,3397,1778,27,19,5,0,0.0,0,0,0,2,9,6,5,0,0,0,1,0,4,0.0,20.5,15,0.13,0.33,6,40.0,16.6,0,1,1,0,0,44,0,6.0,816,902,90.5,14,84,13,0,79,13757,3685,363,391,92.8,412,436,94.5,37,56,66.1,0,0,0,,0,0,,0,0,0,862,39,11,4,3,18,16,7,3,0,0,1,12,814,19,9,7,4,31,29,0,1,0,1,0,1,1,100.0,993,44,131,587,282,35,992,12,7,3,5,4,4,10,40.0,6,9,3,6,6,18,15,1,2.5,1.7,2.0,1.2,1.6,3.1,0.5,0.3,0.4,0.11,0,0.4,0.4,0.4
Freiburg,Union Berlin,2024-11-08,D,A,0,0,0,0,1,0,59,1,58,9,22.4,28.8,24,17,58.5,10,4,40.0,5,50.0,335,2053,1091,22,13,16,4,25.0,0,0,0,8,10,0,0,0,0,0,0,0,5,0.0,14.0,13,0.0,0.0,3,23.1,19.8,0,1,1,0,0,36,1,8.6,504,613,82.2,9,25,9,3,36,8272,2737,232,257,90.3,217,247,87.9,38,72,52.8,0,0,0,,0,0,,0,0,0,577,35,14,0,2,15,14,1,0,1,0,1,10,494,13,5,7,9,26,23,0,1,1,1,0,6,6,100.0,727,101,281,325,124,29,726,16,10,9,6,1,5,15,33.3,10,14,4,10,5,21,29,0,1.7,0.9,0.9,0.1,0.8,1.7,-1.7,-0.9,-0.8,0.07,0,0.8,0.13,0.8
Wolfsburg,Union Berlin,2024-11-23,W,H,1,0,1,0,0,1,55,0,30,3,36.7,31.3,14,19,42.4,21,8,38.1,10,47.6,434,1977,959,13,10,18,0,0.0,1,0,0,7,15,2,2,0,0,0,0,0,6,66.7,47.7,10,0.1,0.2,5,50.0,18.9,1,1,0,0,0,38,1,15.0,445,555,80.2,5,37,9,0,54,8328,2908,157,190,82.6,241,262,92.0,36,72,50.0,0,0,0,,0,0,,0,0,0,503,51,16,2,6,21,20,8,5,2,1,1,17,442,10,1,19,2,15,13,0,0,0,2,0,4,4,100.0,673,54,143,363,169,23,673,14,8,6,5,3,8,19,42.1,11,9,0,9,13,27,25,0,0.6,0.6,0.1,0.1,0.3,1.2,0.4,0.4,-0.3,0.06,1,1.1,0.26,1.1
Leverkusen,Union Berlin,2024-11-30,W,A,2,1,1,0,0,2,62,0,33,7,42.4,37.7,16,15,51.6,13,3,23.1,8,61.5,361,1448,720,14,7,9,1,11.1,2,0,0,11,18,4,4,0,0,0,0,0,9,55.6,37.1,8,0.25,0.67,3,37.5,16.2,1,0,0,0,0,35,0,12.4,517,622,83.1,6,55,4,3,46,9629,2918,219,243,90.1,235,267,88.0,60,95,63.2,0,0,0,,0,0,,0,0,0,567,55,18,0,3,24,23,3,1,1,0,0,7,512,7,2,11,8,15,10,2,0,0,3,0,2,1,50.0,723,60,172,399,155,16,723,6,4,1,3,2,1,4,25.0,3,11,2,9,11,17,19,0,0.9,0.9,0.2,0.2,0.9,0.7,1.1,1.1,1.1,0.12,1,1.0,0.51,0.0
Stuttgart,Union Berlin,2024-12-06,W,H,3,2,1,0,0,3,64,0,36,3,55.6,41.8,14,23,37.8,20,5,25.0,14,70.0,507,2007,930,18,7,12,0,0.0,1,0,0,14,18,5,3,0,1,0,0,1,8,0.0,18.4,7,0.43,0.6,5,71.4,17.7,0,2,0,0,0,35,4,17.7,544,655,83.1,5,33,5,0,53,8651,3041,281,314,89.5,216,244,88.5,37,72,51.4,0,0,0,,0,0,,0,1,0,593,60,19,5,0,13,29,1,1,0,0,2,14,543,7,5,10,9,13,11,0,1,0,0,1,3,1,33.3,757,65,180,473,107,14,757,9,5,3,6,0,7,8,87.5,1,13,4,9,8,17,24,1,2.1,2.1,0.7,0.7,0.8,0.6,0.9,0.9,0.2,0.3,0,0.5,0.18,-1.5
Bochum,Union Berlin,2024-12-14,W,A,2,0,2,0,0,1,31,0,31,2,58.1,39.7,18,25,41.9,9,4,44.4,5,55.6,155,789,310,3,4,25,0,0.0,2,1,0,9,9,2,1,1,0,0,0,0,18,88.9,56.3,13,0.08,0.33,3,23.1,15.1,0,0,0,0,0,28,0,6.0,162,271,59.8,6,7,4,2,17,3544,1788,50,63,79.4,84,110,76.4,26,77,33.8,0,0,0,,0,0,,0,0,0,215,56,12,0,1,17,18,6,5,1,0,0,13,162,4,1,16,8,19,12,5,0,1,1,0,4,3,75.0,412,98,205,137,74,16,412,22,12,17,4,1,7,14,50.0,7,16,4,12,7,29,42,0,1.0,1.0,-1.5,-1.5,0.5,0.5,0.0,0.0,0.5,0.08,0,1.0,0.26,0.0
Werder Bremen,Union Berlin,2024-12-21,W,H,4,1,3,0,0,4,54,0,55,9,30.9,32.7,14,14,50.0,17,4,23.5,11,64.7,431,2121,947,13,13,15,4,26.7,2,0,0,9,11,8,7,0,0,1,0,0,3,0.0,11.0,10,0.4,0.8,5,50.0,11.9,0,1,0,0,0,48,0,7.0,475,578,82.2,9,30,12,4,39,8711,3034,182,214,85.0,231,264,87.5,51,80,63.8,0,0,0,,0,0,,0,0,0,529,48,14,2,1,13,25,4,2,0,0,1,11,470,13,5,24,9,19,15,1,0,2,0,1,4,3,75.0,731,107,302,297,136,24,731,26,19,13,11,2,16,26,61.5,10,19,8,11,16,42,29,0,2.3,2.3,1.0,1.0,2.1,2.2,1.7,1.7,1.9,0.24,0,1.6,0.39,0.6
Heidenheim,Union Berlin,2025-01-11,W,H,2,0,2,0,0,2,58,0,40,7,37.5,33.9,13,20,39.4,14,8,57.1,6,42.9,495,2828,1548,32,18,10,0,0.0,0,0,0,8,9,3,2,0,0,1,0,0,5,40.0,34.8,16,0.13,0.25,8,50.0,15.9,2,0,0,0,0,54,0,7.5,523,624,83.8,12,43,16,5,60,10478,3401,164,195,84.1,290,313,92.7,62,94,66.0,0,0,0,,0,0,,0,0,0,589,35,9,0,8,22,15,5,3,2,0,0,7,517,18,6,12,8,31,21,2,4,2,2,0,6,6,100.0,716,55,186,353,184,33,716,18,9,8,6,4,4,13,30.8,9,8,2,6,9,27,13,1,1.4,1.4,0.3,0.3,1.1,2.0,0.6,0.6,0.9,0.09,2,2.0,0.34,2.0
