Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Augsburg,Werder Bremen,2024-08-24,D,H,2,2,0,0,0,2,46,0,24,7,37.5,39.8,9,13,40.9,15,8,53.3,7,46.7,288,1247,647,9,16,14,0,0.0,3,0,0,11,10,4,4,0,0,0,0,0,10,40.0,29.1,11,0.18,0.67,3,27.3,15.9,0,1,0,0,0,38,1,11.0,336,424,79.2,9,26,4,2,34,5969,2518,145,159,91.2,146,172,84.9,32,62,51.6,0,0,0,,0,0,,0,0,0,378,45,12,2,1,19,16,4,3,0,0,1,11,335,16,1,15,8,20,13,3,0,3,1,0,5,3,60.0,515,59,138,230,153,16,515,10,5,3,3,4,4,8,50.0,4,11,3,8,6,16,17,0,1.0,1.0,-0.4,-0.4,0.9,0.9,1.0,1.0,1.1,0.1,0,0.8,0.17,-1.2
Dortmund,Werder Bremen,2024-08-31,D,A,0,0,0,0,0,0,53,0,32,4,28.1,27.4,10,11,47.6,10,5,50.0,5,50.0,275,1363,715,11,9,21,0,0.0,7,1,1,16,10,0,0,0,0,0,0,0,5,0.0,8.4,9,0.0,0.0,4,44.4,20.2,0,3,0,0,0,28,0,4.0,482,561,85.9,8,32,3,1,33,8235,2705,233,255,91.4,206,232,88.8,36,62,58.1,0,0,0,,0,0,,0,0,0,514,44,18,0,2,16,14,6,1,4,0,3,1,481,9,3,16,10,15,11,1,3,0,0,0,1,1,100.0,660,76,201,357,110,14,660,13,7,7,6,0,6,11,54.5,5,11,4,7,10,23,30,1,0.6,0.6,0.3,0.3,0.6,0.8,-0.6,-0.6,-0.6,0.07,0,0.0,0.04,0.0
Mainz 05,Werder Bremen,2024-09-15,L,H,1,2,-1,0,0,1,58,0,25,6,44.0,37.0,11,11,50.0,8,7,87.5,1,12.5,373,1786,844,20,7,13,1,7.7,3,0,0,12,6,2,2,0,0,0,0,0,6,33.3,36.8,16,0.06,0.2,5,31.3,16.9,1,4,0,1,0,41,7,26.4,424,550,77.1,11,44,12,3,63,7210,2666,204,232,87.9,174,216,80.6,37,71,52.1,1,1,0,0.0,1,0,0.0,0,0,0,495,51,6,1,0,37,26,10,3,2,2,4,12,422,7,4,15,11,31,27,1,1,1,1,0,4,2,75.0,650,46,127,284,241,37,650,19,10,8,6,5,3,9,33.3,6,11,4,7,13,32,16,1,1.1,1.1,-0.5,-0.1,0.6,2.1,-0.1,-0.1,-0.6,0.07,1,1.6,0.28,-0.4
Bayern Munich,Werder Bremen,2024-09-21,W,A,5,0,5,0,0,5,69,0,29,4,27.6,28.2,11,3,78.6,23,12,52.2,10,43.5,529,2792,1286,31,19,7,1,14.3,3,0,0,13,4,7,5,0,2,0,0,0,1,0.0,9.0,25,0.2,0.71,7,28.0,17.3,1,1,0,0,0,60,1,12.3,801,878,91.2,22,74,24,3,97,12754,4167,402,424,94.8,351,370,94.9,32,56,57.1,0,0,0,,0,0,,0,0,0,852,25,3,6,0,13,16,4,2,0,0,1,8,798,19,13,23,10,43,34,1,6,1,1,0,0,0,,1006,50,157,587,270,53,1006,20,13,5,10,5,10,15,66.7,5,8,0,8,12,32,11,0,3.0,3.0,3.0,3.0,2.7,4.4,2.0,2.0,1.3,0.12,1,0.0,,0.0
Hoffenheim,Werder Bremen,2024-09-29,L,H,3,4,-1,0,0,3,37,0,30,5,46.7,37.7,11,16,40.7,15,6,40.0,9,60.0,263,1154,579,9,1,18,1,5.6,3,1,0,11,18,6,5,0,1,0,0,0,5,20.0,19.0,10,0.3,0.75,4,40.0,17.2,2,1,0,0,0,32,0,12.0,281,365,77.0,7,27,4,1,21,5239,2127,107,121,88.4,130,150,86.7,32,65,49.2,0,0,0,,0,0,,0,2,0,312,52,18,3,0,12,22,2,2,0,0,1,11,277,1,4,7,8,18,12,2,2,0,2,0,10,6,60.0,476,87,222,174,84,14,476,19,7,15,3,1,7,13,53.8,6,18,10,8,5,24,26,0,1.2,1.2,-1.6,-1.6,0.9,0.9,1.8,1.8,1.1,0.12,2,4.3,0.48,0.3
Freiburg,Werder Bremen,2024-10-05,W,A,1,0,1,0,0,1,42,0,36,5,50.0,40.3,14,13,51.9,14,9,64.3,5,35.7,329,1809,874,20,14,16,1,6.3,1,0,0,9,7,2,2,0,0,0,0,0,6,16.7,28.7,15,0.07,0.33,3,20.0,20.6,0,0,0,0,0,48,2,16.4,382,485,78.8,12,33,8,1,35,6505,2588,193,213,90.6,150,176,85.2,30,71,42.3,0,0,0,,0,0,,0,0,0,446,39,7,6,2,19,20,5,3,0,0,0,9,374,14,8,15,5,25,18,0,4,2,0,1,3,3,100.0,616,56,184,298,142,22,616,21,12,11,10,0,10,14,71.4,4,18,3,15,14,35,26,0,1.0,1.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.07,0,0.7,0.24,0.7
Wolfsburg,Werder Bremen,2024-10-20,L,H,2,4,-2,0,0,2,43,0,31,3,32.3,35.7,13,10,56.5,18,9,50.0,7,38.9,264,1406,721,21,8,10,1,10.0,1,1,0,15,9,3,2,0,0,1,0,0,6,66.7,46.0,14,0.14,0.4,5,35.7,16.3,0,4,0,0,0,55,2,13.4,324,427,75.9,10,26,6,1,35,5985,2235,136,160,85.0,137,156,87.8,41,79,51.9,0,0,0,,0,0,,0,0,0,385,38,9,2,2,15,15,4,3,1,0,4,7,321,8,9,13,5,21,15,1,2,1,2,0,7,3,42.9,533,59,165,270,106,24,533,12,10,3,5,4,7,14,50.0,7,10,4,6,13,25,18,1,1.8,1.8,-0.2,-0.2,0.7,0.8,0.2,0.2,-0.7,0.15,0,2.8,0.42,-1.2
Leverkusen,Werder Bremen,2024-10-26,D,A,2,2,0,0,0,1,57,0,22,4,31.8,37.4,15,17,46.9,15,6,40.0,9,60.0,467,2368,1093,25,19,9,0,0.0,1,0,0,11,9,2,2,0,0,0,0,0,7,42.9,31.7,14,0.07,0.2,5,35.7,15.2,1,1,0,0,0,39,2,19.3,545,654,83.3,9,40,10,1,39,8313,2682,302,334,90.4,181,212,85.4,39,69,56.5,0,0,0,,0,0,,0,0,0,608,45,11,0,1,17,19,5,3,0,0,1,10,537,19,8,10,5,25,18,3,1,1,2,0,8,6,75.0,735,42,141,373,224,31,735,7,4,2,2,3,4,11,36.4,7,4,0,4,6,13,12,1,1.3,1.3,-0.3,-0.3,1.1,0.8,-0.3,-0.3,-0.1,0.09,1,2.4,0.3,0.4
Gladbach,Werder Bremen,2024-11-03,W,H,4,1,3,0,0,3,47,0,30,2,26.7,34.7,13,8,61.9,16,5,31.3,9,56.3,305,1586,712,16,9,21,1,4.8,1,0,0,12,10,6,5,0,0,0,0,1,5,20.0,15.6,16,0.19,0.43,7,43.8,14.5,0,2,0,0,0,60,0,7.0,422,530,79.6,12,25,13,2,41,7158,2853,208,231,90.0,155,184,84.2,44,75,58.7,0,0,0,,0,0,,0,0,0,483,45,11,3,3,19,20,7,4,3,0,2,18,418,9,5,15,10,27,19,3,1,3,0,1,5,4,80.0,665,87,235,302,134,31,665,13,6,6,5,2,7,15,46.7,8,14,5,9,15,28,27,2,2.5,2.5,1.1,1.1,2.1,1.7,0.5,0.5,0.9,0.16,0,1.6,0.32,0.6
Holstein Kiel,Werder Bremen,2024-11-09,L,A,1,2,-1,0,0,1,40,0,23,4,47.8,39.0,22,19,53.7,10,4,40.0,4,40.0,183,850,386,7,3,20,3,15.0,2,0,0,19,9,1,0,0,0,0,0,1,12,58.3,45.0,12,0.08,0.2,5,41.7,17.0,0,2,0,0,0,39,0,9.8,285,394,72.3,11,13,3,2,22,5358,2101,112,137,81.8,143,174,82.2,30,67,44.8,0,0,0,,0,0,,0,0,0,340,52,10,2,0,5,24,3,1,1,0,2,8,284,3,4,8,7,20,11,3,1,3,1,1,5,3,60.0,499,80,233,213,54,16,499,10,10,4,5,1,5,8,62.5,3,9,4,5,13,23,33,2,0.7,0.7,-1.0,-1.0,0.6,0.7,0.3,0.3,0.4,0.06,0,1.7,0.34,-0.3
