Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Bayern Munich,Wolfsburg,2024-08-25,W,A,3,2,1,0,0,2,70,0,60,8,15.0,26.3,16,12,57.1,33,16,48.5,13,39.4,385,1909,993,11,10,10,1,10.0,3,0,0,11,10,4,3,0,1,0,0,0,7,14.3,13.9,15,0.13,0.25,8,53.3,11.1,0,1,0,1,0,35,2,26.7,553,655,84.4,14,34,12,2,47,9002,3038,282,313,90.1,217,248,87.5,42,67,62.7,1,1,0,0.0,1,0,0.0,0,0,0,600,54,15,1,1,15,22,7,3,1,1,1,10,544,10,2,12,8,29,21,2,4,1,1,0,2,0,50.0,756,55,237,367,160,30,756,18,9,7,7,4,8,13,61.5,5,10,2,8,2,20,13,1,2.4,2.4,0.5,1.3,2.3,2.1,-0.4,-0.4,-0.3,0.16,0,1.8,0.47,-0.2
Holstein Kiel,Wolfsburg,2024-08-31,L,H,0,2,-2,0,0,0,54,0,22,6,31.8,32.3,25,20,55.6,10,7,70.0,3,30.0,285,1354,622,9,9,20,3,15.0,4,0,0,17,14,0,0,0,0,0,0,0,5,20.0,27.2,13,0.0,0.0,5,38.5,19.2,1,2,0,0,0,35,0,4.5,367,451,81.4,10,14,6,1,31,6337,2489,161,182,88.5,173,189,91.5,26,60,43.3,0,0,0,,0,0,,1,0,0,403,46,13,1,0,7,24,1,0,1,0,2,4,363,9,1,23,13,24,18,2,2,1,1,0,4,2,50.0,591,75,272,248,75,15,591,19,9,14,3,2,8,13,61.5,5,7,5,2,11,30,32,0,1.1,1.1,-0.2,-0.2,1.0,0.9,-1.1,-1.1,-1.0,0.08,1,1.2,0.3,-0.8
Eint Frankfurt,Wolfsburg,2024-09-14,W,A,2,1,1,1,0,1,40,1,30,5,36.7,32.5,15,9,62.5,21,13,61.9,7,33.3,301,1508,783,19,20,25,3,12.0,2,0,0,18,6,3,1,1,1,0,0,0,12,41.7,34.8,13,0.08,0.2,5,38.5,16.4,0,3,0,0,0,46,2,14.2,292,377,77.5,12,16,5,1,28,5253,2514,133,149,89.3,121,137,88.3,32,60,53.3,0,0,0,,0,0,,0,0,0,334,40,6,0,2,9,16,4,0,3,0,3,13,290,20,7,17,9,24,13,4,2,3,2,0,4,3,75.0,516,100,244,192,96,20,515,12,8,5,5,2,5,11,45.5,6,24,8,16,7,19,40,1,2.5,1.7,1.0,0.2,1.7,0.7,-0.5,-0.7,-0.7,0.13,0,0.3,0.06,-0.7
Leverkusen,Wolfsburg,2024-09-22,W,H,4,3,1,0,0,4,78,0,18,4,11.1,23.9,10,12,45.5,27,17,63.0,9,33.3,467,2378,1293,16,20,6,0,0.0,4,0,0,6,14,7,1,2,0,4,0,0,5,20.0,29.6,20,0.2,0.57,7,35.0,16.3,0,4,0,0,1,39,4,27.8,740,831,89.0,18,69,12,2,73,11395,3598,396,428,92.5,293,320,91.6,35,54,64.8,0,0,0,,0,0,,0,1,1,772,55,15,2,3,25,25,6,3,0,0,4,7,736,20,8,21,3,38,23,4,4,6,1,0,4,2,25.0,939,41,166,427,350,36,939,15,13,5,6,4,7,12,58.3,5,5,0,5,9,24,11,3,1.9,1.9,1.2,1.2,1.7,2.4,2.1,2.1,1.3,0.1,0,0.8,0.21,-1.2
Stuttgart,Wolfsburg,2024-09-28,D,A,2,2,0,0,1,2,69,1,40,2,37.5,34.8,15,16,48.4,15,10,66.7,4,26.7,294,1274,539,7,9,3,0,0.0,2,1,1,10,19,3,2,0,0,1,0,0,3,33.3,24.3,17,0.12,0.67,3,17.6,18.9,1,3,1,0,0,44,0,,515,622,82.8,12,47,8,2,48,9364,3268,224,260,86.2,240,261,92.0,48,77,62.3,0,0,0,,0,0,,0,0,0,563,56,20,0,1,12,27,3,1,2,0,3,14,505,9,3,13,10,32,22,3,1,4,2,0,2,0,0.0,719,52,226,285,210,19,718,7,2,3,2,2,5,11,45.5,6,6,1,5,11,18,14,0,1.8,1.0,0.7,-0.1,0.7,0.9,0.2,1.0,0.3,0.06,1,1.5,0.77,-0.5
Bochum,Wolfsburg,2024-10-05,L,H,1,3,-2,0,0,1,58,0,37,3,67.6,41.7,30,33,47.6,11,6,54.5,5,45.5,287,1419,645,16,16,10,0,0.0,1,0,0,11,12,2,2,0,0,0,0,0,5,80.0,53.6,18,0.06,0.2,5,27.8,18.9,1,5,0,1,0,32,2,24.7,333,463,71.9,12,30,8,3,34,6744,3186,115,139,82.7,167,200,83.5,47,97,48.5,1,0,1,100.0,0,1,100.0,0,1,0,410,48,12,1,1,29,20,7,5,2,0,5,11,327,16,4,12,7,30,19,6,1,1,2,1,5,1,40.0,562,57,179,243,146,31,562,14,10,8,4,2,4,12,33.3,8,10,7,3,8,22,12,0,1.7,1.7,-0.6,0.3,1.5,1.3,-0.7,-0.7,-0.5,0.1,1,3.0,0.39,0.0
Werder Bremen,Wolfsburg,2024-10-20,W,A,4,2,2,0,0,4,57,0,42,4,26.2,31.4,10,13,43.5,16,7,43.8,7,43.8,444,2167,1000,26,15,11,2,18.2,1,0,0,9,14,6,5,0,0,1,0,0,7,14.3,18.7,15,0.27,0.57,7,46.7,16.8,1,0,0,0,0,43,2,12.6,465,567,82.0,13,16,11,2,36,7770,2840,206,236,87.3,191,220,86.8,41,70,58.6,0,0,0,,0,0,,0,1,0,517,50,18,4,3,12,18,4,0,3,0,0,6,461,15,4,11,5,27,20,1,2,2,1,1,5,3,60.0,672,73,249,299,124,23,672,12,4,5,5,2,7,16,43.8,9,9,2,7,14,26,20,2,2.0,2.0,0.2,0.2,1.9,1.8,2.0,2.0,1.1,0.14,1,1.8,0.36,-0.2
St. Pauli,Wolfsburg,2024-10-26,D,H,0,0,0,0,0,0,54,0,44,3,9.1,26.4,12,24,33.3,9,7,77.8,2,22.2,306,1709,919,16,13,9,1,11.1,0,0,0,9,11,0,0,0,0,0,0,0,12,25.0,21.3,14,0.0,0.0,5,35.7,18.7,1,2,0,0,0,28,0,11.3,424,542,78.2,11,26,5,3,35,7393,2469,168,198,84.8,212,243,87.2,30,72,41.7,0,0,0,,0,0,,0,0,0,488,52,13,0,2,19,19,7,2,4,1,2,7,417,13,6,11,3,26,17,2,2,2,1,2,4,4,100.0,637,74,222,276,141,24,637,17,11,5,10,2,7,14,50.0,7,7,0,7,8,25,24,2,0.8,0.8,-0.3,-0.3,0.7,0.7,-0.8,-0.8,-0.7,0.06,1,2.2,0.56,2.2
Augsburg,Wolfsburg,2024-11-02,D,A,1,1,0,0,0,1,31,0,27,6,37.0,36.0,16,10,61.5,13,7,53.8,4,30.8,200,792,438,9,5,17,1,5.9,3,0,0,14,7,2,1,0,1,0,0,0,7,100.0,67.7,3,0.33,1.0,1,33.3,17.8,0,1,0,0,0,34,1,11.0,204,303,67.3,3,11,3,0,19,3598,1614,94,122,77.0,79,100,79.0,26,61,42.6,0,0,0,,0,0,,0,0,0,264,38,8,1,0,7,20,1,1,0,0,1,10,200,5,0,14,5,6,4,0,2,0,0,0,5,4,80.0,415,74,191,163,65,3,415,12,10,5,6,1,8,15,53.3,7,23,8,15,10,22,28,0,0.5,0.5,-0.8,-0.8,0.5,0.3,0.5,0.5,0.5,0.16,0,1.3,0.26,0.3
Heidenheim,Wolfsburg,2024-11-10,L,H,1,3,-2,0,0,1,65,0,26,6,15.4,25.7,29,18,61.7,14,4,28.6,8,57.1,435,2692,1482,24,23,8,0,0.0,1,0,0,9,22,1,0,0,0,1,0,0,4,0.0,20.8,19,0.05,0.25,4,21.1,14.6,1,4,0,0,0,43,3,13.5,461,575,80.2,12,33,7,4,43,8424,3044,163,196,83.2,242,280,86.4,43,69,62.3,0,0,0,,0,0,,0,1,0,513,58,20,0,2,33,25,5,3,2,0,4,8,459,23,4,18,9,32,17,5,1,5,4,0,6,3,50.0,694,47,165,353,187,28,694,21,12,13,5,3,11,17,64.7,6,10,4,6,8,29,16,2,2.4,2.4,0.9,0.9,1.4,1.4,-1.4,-1.4,-1.4,0.13,1,2.0,0.37,-1.0
