Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Alavés,Celta Vigo,2024-08-16,L,A,1,2,-1,0,0,1,37,0,23,1,95.7,58.9,6,12,33.3,15,4,26.7,10,66.7,218,1008,475,15,7,9,0,0.0,2,0,0,23,6,2,2,0,0,0,0,0,9,66.7,45.7,10,0.1,0.5,2,20.0,14.5,0,3,0,0,0,37,1,20.5,241,344,70.1,7,24,5,3,30,4733,2036,102,129,79.1,104,128,81.3,33,79,41.8,0,0,0,,0,0,,0,0,0,294,47,10,3,1,19,22,3,0,2,0,3,6,236,7,6,14,8,18,16,0,1,0,0,1,4,2,50.0,451,44,142,197,118,22,451,17,11,10,6,1,9,15,60.0,6,8,0,8,8,25,12,0,1.6,1.6,0.8,0.8,0.9,0.9,-0.6,-0.6,0.1,0.16,0,1.7,0.43,-0.3
Alavés,Betis,2024-08-25,D,H,0,0,0,0,0,0,38,0,18,1,66.7,44.7,9,14,39.1,17,6,35.3,10,58.8,194,1188,673,16,14,12,0,0.0,1,1,0,17,15,0,0,0,0,0,0,0,12,50.0,48.4,5,0.0,0.0,1,20.0,18.6,0,1,0,0,0,50,2,24.0,230,351,65.5,4,26,4,2,37,4663,2227,91,116,78.4,90,123,73.2,35,74,47.3,0,0,0,,0,0,,0,0,0,294,56,17,5,2,25,23,3,1,0,0,1,11,229,14,2,12,5,10,7,1,1,0,1,0,3,3,100.0,458,43,134,215,119,15,458,19,9,8,9,2,9,17,52.9,8,13,2,11,14,33,18,0,0.2,0.2,-1.3,-1.3,0.1,0.3,-0.2,-0.2,-0.1,0.04,0,0.4,0.13,0.4
Alavés,Real Sociedad,2024-08-28,W,A,2,1,1,1,0,1,47,1,17,2,76.5,46.3,13,23,36.1,13,6,46.2,5,38.5,239,1578,912,23,9,14,1,7.1,4,0,0,13,16,4,3,0,0,0,1,0,6,50.0,40.2,13,0.08,0.25,4,30.8,18.1,0,3,1,0,0,36,0,4.0,254,352,72.2,10,19,8,4,33,4908,1754,100,122,82.0,114,140,81.4,37,72,51.4,0,0,0,,0,0,,0,0,0,299,50,16,2,1,22,20,6,2,2,1,3,7,245,9,2,15,7,21,12,4,0,3,1,1,1,0,0.0,459,49,146,183,131,20,458,13,11,7,4,2,9,16,56.3,7,10,3,7,6,19,27,0,1.6,0.8,0.6,-0.2,0.4,0.7,0.4,0.2,-0.4,0.06,0,0.5,0.5,-0.5
Alavés,Las Palmas,2024-09-01,W,H,2,0,2,0,1,2,30,1,29,2,72.4,48.6,12,18,40.0,13,7,53.8,5,38.5,185,1019,505,12,8,14,1,7.1,3,0,0,13,9,2,2,0,0,0,0,0,8,62.5,48.1,14,0.14,0.4,5,35.7,19.6,1,1,1,0,0,24,0,8.8,190,276,68.8,10,17,9,3,23,3858,1764,74,90,82.2,86,106,81.1,28,67,41.8,0,0,0,,0,0,,0,0,0,235,40,7,1,2,16,18,6,3,2,1,1,7,188,8,2,12,5,27,19,3,1,0,4,0,6,6,100.0,376,52,136,138,103,23,375,16,7,4,10,2,4,13,30.8,9,7,1,6,8,24,23,0,2.0,1.3,1.4,0.6,1.1,0.9,0.0,0.7,-0.1,0.09,1,1.1,0.18,1.1
Alavés,Espanyol,2024-09-14,L,A,2,3,-1,0,0,2,61,0,23,5,43.5,37.8,15,19,44.1,15,5,33.3,7,46.7,361,2060,1035,15,13,8,1,12.5,3,0,0,14,15,4,1,1,1,1,0,0,6,50.0,35.2,19,0.11,0.33,6,31.6,14.1,2,0,0,1,0,45,0,11.3,368,488,75.4,13,48,15,8,54,6884,2944,172,204,84.3,133,169,78.7,52,86,60.5,1,1,0,0.0,1,0,0.0,0,0,0,434,54,18,1,6,37,21,5,1,3,1,0,14,362,13,2,17,10,36,22,5,1,3,4,1,4,1,50.0,574,44,131,256,190,35,574,16,11,8,8,0,7,11,63.6,4,3,1,2,11,27,7,0,1.9,1.9,0.3,1.1,0.9,1.7,0.1,0.1,0.1,0.1,2,2.4,0.48,-0.6
Alavés,Sevilla,2024-09-20,W,H,2,1,1,0,0,2,35,0,19,1,73.7,51.8,14,20,41.2,10,2,20.0,8,80.0,126,735,278,6,8,11,0,0.0,1,0,0,11,16,3,2,0,0,1,0,0,11,81.8,61.3,10,0.2,0.5,4,40.0,15.9,1,1,0,0,0,34,0,5.0,178,295,60.3,8,11,4,2,15,3799,1843,70,96,72.9,74,101,73.3,32,77,41.6,0,0,0,,0,0,,0,0,0,243,51,17,0,3,12,18,3,1,1,0,1,10,175,8,1,13,4,16,9,1,1,1,3,1,2,1,50.0,396,35,118,172,110,17,396,22,12,7,11,4,9,21,42.9,12,11,2,9,6,28,17,0,1.1,1.1,0.6,0.6,0.7,0.6,0.9,0.9,0.3,0.12,1,1.5,0.74,0.5
Alavés,Real Madrid,2024-09-24,L,A,2,3,-1,0,0,2,32,0,14,0,85.7,50.3,10,8,55.6,6,2,33.3,3,50.0,285,1727,866,14,11,7,0,0.0,0,0,0,10,7,4,4,0,0,0,0,0,9,100.0,66.8,12,0.17,0.67,3,25.0,19.7,0,1,0,0,0,50,1,32.5,269,362,74.3,10,21,5,2,20,4275,1843,158,184,85.9,85,102,83.3,19,45,42.2,0,0,0,,0,0,,0,0,0,318,43,8,0,4,17,18,4,2,1,0,1,10,267,11,3,9,8,22,18,0,1,0,1,2,4,1,25.0,455,45,129,222,109,14,455,24,16,11,10,3,14,29,48.3,15,11,3,8,11,35,10,1,0.9,0.9,-0.4,-0.4,0.8,0.5,1.1,1.1,1.2,0.07,0,1.5,0.39,-1.5
Alavés,Getafe,2024-09-28,L,A,0,2,-2,0,0,0,54,0,25,3,72.0,47.8,27,36,42.9,11,4,36.4,7,63.6,173,675,345,2,5,12,0,0.0,6,0,0,24,17,0,0,0,0,0,0,0,10,80.0,55.3,9,0.0,0.0,1,11.1,17.5,0,2,0,1,0,36,2,29.0,172,303,56.8,3,15,7,3,16,3591,1878,68,94,72.3,72,107,67.3,28,81,34.6,1,1,0,0.0,1,0,0.0,1,0,0,237,64,21,0,2,13,28,2,2,0,0,2,6,167,5,1,26,4,15,10,3,0,1,1,0,8,6,87.5,424,47,159,173,97,15,424,24,14,14,5,5,12,19,63.2,7,6,2,4,8,32,30,1,0.5,0.5,-1.6,-0.8,0.2,0.4,-0.5,-0.5,-0.2,0.06,0,2.4,0.18,0.4
Alavés,Barcelona,2024-10-06,L,H,0,3,-3,0,0,0,29,0,20,4,85.0,54.9,10,7,58.8,15,5,33.3,8,53.3,205,1147,558,15,7,6,0,0.0,2,0,0,13,8,0,0,0,0,0,0,0,4,25.0,33.3,11,0.0,0.0,2,18.2,18.5,0,11,0,0,0,39,2,21.4,192,287,66.9,9,14,4,0,21,3894,1925,86,103,83.5,57,86,66.3,38,58,65.5,0,0,0,,0,0,,0,0,0,227,49,10,2,5,20,20,11,4,4,0,11,8,191,7,4,17,11,18,14,2,1,1,0,0,9,6,66.7,381,50,123,166,94,23,381,12,10,7,4,1,7,18,38.9,11,8,5,3,6,18,16,0,0.7,0.7,-1.9,-1.9,0.6,0.5,-0.7,-0.7,-0.6,0.07,0,3.9,0.46,0.9
Alavés,Valladolid,2024-10-18,L,H,2,3,-1,0,0,2,62,0,24,2,58.3,44.8,24,25,49.0,11,6,54.5,4,36.4,245,1521,808,12,4,9,0,0.0,6,1,1,15,13,2,2,0,0,0,0,0,7,71.4,52.7,10,0.2,0.5,4,40.0,19.6,1,3,0,2,0,31,5,19.4,348,458,76.0,7,52,7,3,47,6886,2583,131,161,81.4,172,196,87.8,43,84,51.2,2,2,0,0.0,2,0,0.0,0,0,0,409,46,14,2,4,19,16,5,3,2,0,3,10,346,4,2,17,8,15,9,1,1,1,2,1,4,1,75.0,547,38,122,294,133,18,547,8,5,1,6,1,4,11,36.4,7,7,2,5,6,14,11,0,0.5,0.5,-1.9,-0.4,0.4,0.8,1.5,1.5,0.6,0.05,1,2.6,0.24,-0.4
