Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Athletic Club,Getafe,2024-08-15,D,H,1,1,0,0,0,1,68,0,33,7,36.4,34.7,17,18,48.6,21,9,42.9,9,42.9,300,1732,1064,12,5,13,1,7.7,4,0,0,15,12,2,2,0,0,0,0,0,10,80.0,54.7,7,0.14,0.25,4,57.1,24.0,1,2,0,0,0,27,2,17.9,389,497,78.3,6,31,1,0,42,7089,2146,158,184,85.9,197,229,86.0,30,65,46.2,0,0,0,,0,0,,0,1,0,433,62,17,0,6,16,28,5,5,0,0,2,9,384,5,2,8,13,13,10,2,0,0,1,0,2,1,50.0,592,54,152,333,111,8,592,10,2,4,4,2,3,9,33.3,6,6,2,4,4,14,26,1,0.3,0.3,-0.5,-0.5,0.3,0.5,0.7,0.7,0.7,0.05,1,1.0,0.49,0.0
Athletic Club,Barcelona,2024-08-24,L,A,1,2,-1,1,0,0,36,1,28,4,64.3,45.9,8,11,42.1,17,6,35.3,8,47.1,244,1319,649,11,9,11,1,9.1,5,0,0,16,11,2,1,0,0,0,1,0,4,50.0,36.5,7,0.0,0.0,1,14.3,20.3,0,5,1,0,0,34,0,8.5,256,336,76.2,5,19,5,1,25,4659,1910,127,145,87.6,90,104,86.5,35,73,47.9,0,0,0,,0,0,,0,0,0,288,43,12,1,6,16,18,6,2,3,0,5,4,251,9,5,11,9,15,12,0,2,0,1,0,5,3,60.0,432,53,172,175,86,18,431,16,10,7,7,2,13,26,50.0,13,15,3,12,11,27,14,0,1.0,0.2,-0.8,-1.6,0.2,0.6,0.0,-0.2,-0.2,0.03,0,1.7,0.33,-0.3
Athletic Club,Valencia,2024-08-28,W,H,1,0,1,0,0,1,50,0,31,3,35.5,34.3,15,14,51.7,23,13,56.5,8,34.8,252,1372,724,17,10,11,2,18.2,1,0,0,14,9,2,2,0,0,0,0,0,5,60.0,41.0,13,0.08,0.25,4,30.8,14.5,0,1,0,0,0,46,3,18.1,360,467,77.1,8,29,10,4,36,6707,2256,143,178,80.3,177,204,86.8,36,75,48.0,0,0,0,,0,0,,0,0,0,420,46,12,4,4,22,23,5,0,3,0,1,3,352,10,4,16,15,22,13,2,2,3,1,1,0,0,,573,43,150,275,150,23,573,14,11,4,10,0,6,14,42.9,8,4,1,3,10,24,27,0,1.4,1.4,1.3,1.3,0.6,0.5,-0.4,-0.4,0.4,0.11,0,0.0,,0.0
Athletic Club,Atlético Madrid,2024-08-31,L,H,0,1,-1,0,0,0,53,0,18,6,27.8,25.6,7,11,38.9,23,8,34.8,14,60.9,470,2622,1450,18,15,7,2,28.6,3,0,0,13,7,0,0,0,0,0,0,0,8,12.5,21.5,8,0.0,0.0,1,12.5,24.4,0,1,0,0,0,43,0,11.5,531,631,84.2,2,60,8,1,62,8575,2539,250,278,89.9,242,271,89.3,25,54,46.3,0,0,0,,0,0,,0,0,0,588,42,11,2,2,20,19,2,0,1,0,1,8,529,15,4,23,5,10,8,0,0,1,0,1,2,1,50.0,727,40,138,380,212,18,727,11,8,4,4,3,7,18,38.9,11,11,3,8,6,17,9,4,0.3,0.3,-1.4,-1.4,0.1,0.3,-0.3,-0.3,-0.1,0.04,0,1.4,0.71,0.4
Athletic Club,Las Palmas,2024-09-15,W,A,3,2,1,0,0,3,36,0,16,1,43.8,36.3,19,10,65.5,24,13,54.2,11,45.8,206,1325,670,17,10,22,2,9.1,2,1,0,12,8,5,4,0,0,1,0,0,9,88.9,58.0,9,0.33,0.75,4,44.4,14.2,0,1,0,0,0,55,0,9.8,253,372,68.0,8,22,2,2,31,4542,1904,117,158,74.1,104,131,79.4,27,61,44.3,0,0,0,,0,0,,1,1,0,325,46,8,1,5,13,23,3,2,0,0,1,8,252,10,6,14,8,15,10,1,2,1,0,1,5,3,60.0,505,79,184,230,98,14,505,14,8,4,9,1,10,14,71.4,4,17,6,11,10,24,33,0,1.7,1.7,0.3,0.3,2.1,0.6,1.3,1.3,0.9,0.24,0,1.2,0.26,-0.8
Athletic Club,Leganés,2024-09-19,W,A,2,0,2,0,0,2,52,0,27,7,40.7,36.5,9,20,31.0,17,8,47.1,8,47.1,369,1688,857,17,11,14,2,14.3,0,0,0,11,12,4,3,1,0,0,0,0,7,100.0,67.0,10,0.2,0.5,4,40.0,13.4,0,3,0,0,0,48,1,13.8,416,515,80.8,9,37,5,2,51,7684,3010,174,193,90.2,188,217,86.6,48,82,58.5,0,0,0,,0,0,,0,0,0,456,56,16,0,5,24,25,7,4,1,0,3,13,414,11,4,22,16,20,16,3,0,0,1,0,3,3,100.0,620,57,173,307,146,13,620,4,3,1,3,0,1,5,20.0,4,5,1,4,14,18,23,1,1.3,1.3,0.4,0.4,1.3,1.3,0.7,0.7,0.7,0.13,0,0.6,0.21,0.6
Athletic Club,Celta Vigo,2024-09-22,W,H,3,1,2,0,0,3,33,0,16,2,81.3,49.9,5,9,35.7,17,9,52.9,8,47.1,197,1253,658,14,12,14,0,0.0,3,0,0,16,11,5,3,0,1,1,0,0,4,75.0,60.0,10,0.3,0.6,5,50.0,15.8,0,1,0,1,0,43,2,17.8,271,339,79.9,5,23,8,2,36,4824,1575,117,129,90.7,124,144,86.1,26,53,49.1,1,1,0,0.0,1,0,0.0,0,0,0,298,40,13,2,1,12,18,3,0,1,0,1,5,269,12,3,15,10,17,13,1,1,2,0,0,4,3,100.0,451,56,140,206,111,18,451,11,9,6,4,1,6,13,46.2,7,6,3,3,14,25,37,0,0.7,0.7,-0.6,0.2,0.5,0.8,2.3,2.3,1.5,0.07,0,1.9,0.27,0.9
Athletic Club,Sevilla,2024-09-29,D,H,1,1,0,0,0,1,39,0,17,1,41.2,37.1,10,11,47.6,20,5,25.0,13,65.0,221,1184,567,12,11,11,2,18.2,0,1,0,6,7,2,0,1,0,0,1,0,9,77.8,54.9,13,0.08,0.2,5,38.5,18.7,0,3,0,0,1,39,0,4.5,271,374,72.5,10,32,5,2,28,5039,1971,115,137,83.9,118,150,78.7,31,69,44.9,0,0,0,,0,0,,0,0,1,323,48,10,4,5,19,23,4,1,1,0,3,3,264,11,4,9,9,22,14,4,1,1,1,1,3,3,66.7,494,58,156,220,123,14,494,21,10,9,10,2,9,24,37.5,15,7,3,4,17,38,19,0,2.0,2.0,0.9,0.9,1.5,1.0,-1.0,-1.0,-0.5,0.15,0,0.3,0.09,0.3
Athletic Club,Girona,2024-10-06,L,A,1,2,-1,0,2,1,34,2,22,3,77.3,46.0,9,17,34.6,27,10,37.0,11,40.7,270,1325,672,15,12,21,0,0.0,3,1,1,13,12,2,2,0,0,0,0,0,9,88.9,60.8,11,0.09,0.5,2,18.2,22.9,1,0,2,1,0,37,1,12.0,261,332,78.6,8,19,5,1,20,4703,2043,122,139,87.8,107,131,81.7,28,51,54.9,1,1,0,0.0,1,0,0.0,0,0,0,297,35,13,2,0,8,9,1,1,0,0,0,7,259,12,6,18,9,20,14,1,2,0,3,0,6,4,83.3,449,61,153,206,94,18,447,19,8,8,10,1,8,16,50.0,8,10,2,8,7,26,21,1,3.1,1.5,1.2,0.3,1.5,1.1,-2.1,-0.5,-0.5,0.14,1,1.5,0.19,-0.5
Athletic Club,Espanyol,2024-10-19,W,H,4,1,3,0,0,4,56,0,30,8,23.3,28.1,8,7,53.3,17,9,52.9,7,41.2,299,1750,952,19,11,14,3,21.4,2,0,0,15,20,7,6,0,1,0,0,0,4,75.0,51.3,10,0.4,0.67,6,60.0,16.8,0,0,0,0,0,42,2,13.5,431,530,81.3,8,34,6,1,45,7835,2584,172,188,91.5,226,265,85.3,32,64,50.0,0,0,0,,0,0,,1,0,0,475,55,23,0,1,21,21,5,1,4,0,0,11,428,11,4,15,10,19,15,1,3,0,0,0,2,1,50.0,632,47,185,316,139,19,632,10,6,4,6,0,7,12,58.3,5,8,1,7,6,16,22,0,1.3,1.3,1.1,1.1,1.3,0.6,2.7,2.7,2.7,0.13,0,0.6,0.28,-0.4
Athletic Club,Mallorca,2024-10-28,D,A,0,0,0,0,0,0,67,0,20,6,0.0,22.0,12,23,34.3,18,5,27.8,11,61.1,399,2087,1358,33,17,6,2,33.3,1,0,0,12,8,0,0,0,0,0,0,0,1,0.0,22.0,20,0.0,0.0,1,5.0,19.4,0,4,0,0,0,50,0,14.2,490,598,81.9,13,53,12,5,76,8670,2560,212,241,88.0,223,257,86.8,45,78,57.7,0,0,0,,0,0,,0,0,0,549,45,10,1,5,32,19,14,4,6,0,4,8,488,17,6,12,9,36,30,2,2,2,0,0,1,1,100.0,694,30,126,340,237,29,694,18,10,10,6,2,11,16,68.8,5,7,1,6,6,24,13,0,0.6,0.6,0.1,0.1,0.4,1.0,-0.6,-0.6,-0.4,0.03,0,0.3,0.28,0.3
Athletic Club,Betis,2024-11-03,D,H,1,1,0,0,0,1,50,0,25,3,48.0,36.3,18,11,62.1,17,7,41.2,8,47.1,267,1383,840,22,11,8,1,12.5,0,0,0,9,8,2,2,0,0,0,0,0,3,33.3,36.3,17,0.06,0.13,8,47.1,13.2,0,3,0,0,0,47,0,8.5,434,529,82.0,13,31,12,4,45,8663,2820,144,168,85.7,241,265,90.9,48,83,57.8,0,0,0,,0,0,,0,0,0,481,45,8,2,6,22,26,6,2,4,0,3,10,428,11,8,17,7,32,25,2,1,2,0,2,4,3,75.0,645,47,200,307,142,30,645,23,15,9,8,6,10,17,58.8,7,10,1,9,13,36,15,1,4.0,4.0,3.1,3.1,3.4,2.2,-3.0,-3.0,-2.4,0.25,0,1.5,0.37,0.5
