Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Barcelona,Valencia,2024-08-17,W,A,2,1,1,1,0,1,63,1,36,6,19.4,32.0,9,13,40.9,21,9,42.9,8,38.1,419,1928,918,16,17,10,0,0.0,3,0,0,13,10,3,1,0,0,1,1,0,5,20.0,24.0,17,0.06,0.2,5,29.4,18.6,1,1,1,0,0,46,0,2.0,526,617,85.3,14,38,12,3,50,9276,3050,225,253,88.9,250,278,89.9,43,65,66.2,0,0,0,,0,0,,0,0,0,569,47,16,2,6,16,16,8,1,2,0,1,6,522,17,6,11,11,33,22,2,2,4,3,0,1,0,0.0,714,47,195,341,186,28,713,14,8,4,8,2,9,15,60.0,6,9,2,7,4,18,13,1,3.2,2.4,2.2,1.4,2.3,1.3,-1.2,-1.4,-1.3,0.14,1,0.9,0.91,-0.1
Barcelona,Athletic Club,2024-08-24,W,H,2,1,1,0,0,2,64,0,32,10,12.5,28.3,11,8,57.9,29,13,44.8,13,44.8,389,2192,1184,19,11,16,1,6.3,4,0,0,11,16,4,3,0,0,0,1,0,6,16.7,20.8,13,0.15,0.4,5,38.5,16.6,0,2,0,1,0,38,2,13.1,527,609,86.5,11,39,14,2,53,9569,3274,228,259,88.0,234,258,90.7,57,68,83.8,1,1,0,0.0,1,0,0.0,0,0,0,559,48,20,3,6,14,15,5,0,1,0,2,12,526,11,2,13,3,24,18,1,2,0,3,0,2,1,100.0,700,61,209,335,157,27,700,17,13,7,7,3,8,14,57.1,6,7,3,4,5,22,10,0,1.8,1.8,0.8,1.6,1.6,1.2,0.2,0.2,-1.6,0.14,0,0.8,0.01,-0.2
Barcelona,Rayo Vallecano,2024-08-27,W,A,2,1,1,0,0,2,64,0,27,4,14.8,28.7,11,10,52.4,29,16,55.2,11,37.9,329,2045,1168,20,20,15,1,6.7,1,0,0,11,16,4,3,0,1,0,0,0,5,20.0,17.0,22,0.09,0.4,5,22.7,19.3,1,1,0,0,0,42,1,12.2,478,575,83.1,17,39,13,4,55,8171,3105,215,248,86.7,219,244,89.8,38,60,63.3,0,0,0,,0,0,,0,0,0,516,58,20,0,7,16,25,6,1,1,0,1,15,473,20,10,14,10,43,36,2,3,1,1,0,4,3,75.0,684,50,173,302,219,33,684,8,6,2,5,1,6,9,66.7,3,12,1,11,3,11,24,1,1.4,1.4,1.0,1.0,1.2,1.8,0.6,0.6,0.8,0.06,1,0.4,0.09,-0.6
Barcelona,Valladolid,2024-08-31,W,H,7,0,7,0,0,7,70,0,29,6,6.9,24.4,7,7,50.0,24,12,50.0,10,41.7,450,2533,1314,19,13,3,0,0.0,0,0,0,6,11,10,7,0,2,1,0,0,2,0.0,7.5,23,0.3,0.64,11,47.8,13.7,1,4,0,0,0,33,1,26.0,571,636,89.8,17,54,14,2,62,10026,2987,239,261,91.6,297,316,94.0,31,44,70.5,0,0,0,,0,0,,0,0,0,589,43,15,8,4,17,15,10,1,6,0,4,5,568,13,4,13,6,38,24,3,4,6,1,0,1,1,100.0,729,33,137,408,191,40,729,16,6,6,7,3,3,10,30.0,7,4,1,3,4,20,9,0,4.7,4.7,4.1,4.1,4.1,2.5,2.3,2.3,1.9,0.21,1,0.3,0.34,0.3
Barcelona,Girona,2024-09-15,W,A,4,1,3,0,0,4,55,0,41,5,19.5,29.6,5,1,83.3,23,10,43.5,9,39.1,353,1720,923,15,7,11,1,9.1,2,1,0,4,13,6,4,1,0,0,1,0,5,0.0,26.6,20,0.2,0.44,9,45.0,19.1,0,0,0,0,0,36,2,17.3,443,522,84.9,14,35,10,0,47,8299,2994,175,195,89.7,211,227,93.0,51,72,70.8,0,0,0,,0,0,,0,0,0,466,56,20,3,1,19,23,6,1,4,0,0,15,434,7,6,13,8,30,24,3,1,1,1,0,4,3,75.0,628,55,182,280,173,33,628,19,12,5,7,7,8,17,47.1,9,9,1,8,1,20,10,0,1.9,1.9,0.6,0.6,1.2,1.0,2.1,2.1,1.8,0.09,0,1.3,0.32,0.3
Barcelona,Villarreal,2024-09-22,W,A,5,1,4,0,1,5,63,1,31,3,6.5,26.5,6,5,54.5,16,9,56.3,5,31.3,426,2141,1319,27,29,13,0,0.0,1,0,0,12,10,9,8,0,0,1,0,0,11,9.1,24.3,16,0.31,0.56,9,56.3,14.6,0,0,1,0,0,29,0,17.0,575,644,89.3,14,32,11,3,57,10477,3127,235,260,90.4,283,297,95.3,50,66,75.8,0,0,0,,0,0,,0,0,0,600,44,17,4,6,17,11,3,2,0,0,0,10,568,29,5,7,13,29,22,2,0,3,1,1,4,3,75.0,748,73,218,338,201,29,747,15,11,4,9,2,8,16,50.0,8,6,2,4,9,24,23,1,3.9,3.2,1.8,1.0,2.0,1.9,1.1,1.8,2.0,0.21,0,1.1,0.28,0.1
Barcelona,Getafe,2024-09-25,W,H,1,0,1,0,0,1,76,0,38,8,13.2,26.0,15,8,65.2,33,12,36.4,15,45.5,424,2315,1343,23,14,10,0,0.0,1,0,0,4,14,2,2,0,0,0,0,0,5,40.0,36.4,15,0.07,0.25,4,26.7,19.1,2,5,0,0,0,31,6,24.4,585,679,86.2,10,59,8,1,58,10374,3207,253,282,89.7,269,291,92.4,50,72,69.4,0,0,0,,0,0,,0,0,0,620,54,19,1,7,19,22,7,5,1,0,5,9,582,14,7,17,9,24,16,1,1,2,3,1,1,1,100.0,801,47,167,420,219,27,801,13,9,7,4,2,8,11,72.7,3,7,3,4,4,17,21,0,1.9,1.9,1.2,1.2,1.4,0.9,-0.9,-0.9,-1.4,0.13,2,0.1,0.06,0.1
Barcelona,Osasuna,2024-09-28,L,A,2,4,-2,0,0,2,73,0,23,5,21.7,26.1,7,15,31.8,24,12,50.0,10,41.7,438,2365,1275,22,12,11,0,0.0,2,0,0,3,13,2,2,0,0,0,0,0,7,14.3,25.6,12,0.17,0.33,6,50.0,19.8,1,0,0,1,0,45,5,22.9,615,713,86.3,11,66,14,3,58,10165,3299,295,323,91.3,266,296,89.9,40,67,59.7,1,1,0,0.0,1,0,0.0,0,0,0,653,60,22,4,2,16,18,8,3,1,0,0,9,613,12,4,26,8,21,15,3,2,0,1,0,5,1,40.0,831,56,185,415,234,22,831,15,10,5,9,1,6,11,54.5,5,7,0,7,7,22,21,1,0.8,0.8,-1.4,-0.6,0.8,1.3,1.2,1.2,1.2,0.07,1,2.9,0.39,-1.1
Barcelona,Alavés,2024-10-06,W,A,3,0,3,0,0,3,71,0,53,1,13.2,25.6,7,10,41.2,19,11,57.9,7,36.8,463,2213,1188,16,10,13,0,0.0,2,0,0,8,13,6,3,1,1,0,1,0,9,44.4,34.1,15,0.2,0.33,9,60.0,16.8,1,3,0,0,0,37,7,20.1,616,688,89.5,11,30,7,1,33,10419,3260,293,314,93.3,251,269,93.3,51,74,68.9,0,0,0,,0,0,,0,0,0,633,52,23,2,4,7,16,3,1,0,0,3,3,612,10,6,22,5,28,17,3,2,4,2,0,2,2,100.0,804,80,237,473,101,23,804,19,10,5,11,3,8,13,61.5,5,8,3,5,6,25,26,1,2.7,2.7,1.9,1.9,2.6,1.6,0.3,0.3,0.4,0.18,1,0.4,0.18,0.4
Barcelona,Sevilla,2024-10-20,W,H,5,1,4,1,0,4,67,1,40,2,5.0,22.3,6,6,50.0,28,14,50.0,10,35.7,469,2343,1323,21,16,4,0,0.0,1,0,0,6,14,9,6,0,0,1,2,0,4,0.0,25.3,20,0.2,0.5,8,40.0,17.9,1,3,1,0,0,40,7,28.0,578,652,88.7,14,56,9,1,59,10233,2909,249,271,91.9,285,304,93.8,40,56,71.4,0,0,0,,0,0,,0,0,0,604,45,14,7,6,14,20,5,3,0,0,3,12,575,16,9,13,12,39,30,1,3,3,2,0,1,0,0.0,764,42,155,397,217,34,763,17,10,4,4,9,9,19,47.4,10,11,4,7,7,24,6,0,3.8,3.1,2.9,2.1,2.7,1.8,1.2,0.9,-0.7,0.16,1,0.8,0.82,-0.2
