Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Betis,Girona,2024-08-15,D,H,1,1,0,0,0,1,39,0,34,4,23.5,30.4,8,1,88.9,16,7,43.8,8,50.0,334,1634,767,17,7,15,0,0.0,2,0,0,11,7,2,0,1,0,1,0,0,8,12.5,20.8,19,0.05,0.25,4,21.1,20.3,0,1,0,0,0,43,2,26.5,328,403,81.4,15,26,9,2,28,5978,2127,131,142,92.3,154,170,90.6,36,66,54.5,0,0,0,,0,0,,0,0,0,362,40,10,2,4,12,16,4,2,1,0,1,15,325,7,9,13,13,35,27,2,1,3,0,2,2,1,50.0,530,72,238,173,126,29,530,18,11,9,4,5,7,15,46.7,8,11,5,6,13,31,27,1,1.4,1.4,-0.2,-0.2,1.1,0.9,-0.4,-0.4,-0.1,0.07,0,1.0,0.49,0.0
Betis,Alavés,2024-08-25,D,A,0,0,0,0,0,0,62,0,32,8,18.8,27.4,14,9,60.9,17,8,47.1,9,52.9,382,1969,1044,15,14,17,1,5.9,4,0,0,16,15,0,0,0,0,0,0,0,3,33.3,33.0,15,0.0,0.0,3,20.0,18.1,0,1,0,0,0,47,2,19.0,474,580,81.7,11,27,9,3,41,7462,2796,250,278,89.9,163,194,84.0,38,74,51.4,0,0,0,,0,0,,0,0,0,525,54,18,1,4,17,24,8,2,4,0,1,13,470,14,3,18,10,27,24,2,0,1,0,0,1,1,100.0,695,72,269,295,137,23,695,15,11,9,4,2,10,16,62.5,6,12,3,9,10,25,20,0,1.5,1.5,1.3,1.3,1.3,0.9,-1.5,-1.5,-1.3,0.1,0,0.1,0.09,0.1
Betis,Real Madrid,2024-09-01,L,A,0,2,-2,0,0,0,40,0,21,4,42.9,36.9,6,9,40.0,16,8,50.0,8,50.0,357,1895,896,15,15,14,1,7.1,0,0,0,17,8,0,0,0,0,0,0,0,6,33.3,41.2,11,0.0,0.0,2,18.2,16.3,0,2,0,1,0,46,2,13.8,373,449,83.1,11,22,10,1,38,5613,1871,222,242,91.7,119,137,86.9,21,46,45.7,1,1,0,0.0,1,0,0.0,0,0,0,412,35,10,0,2,9,13,3,1,1,0,2,8,372,15,7,11,10,21,19,1,0,1,0,0,7,5,85.7,565,72,214,226,132,25,565,21,11,14,7,0,13,29,44.8,16,19,8,11,7,28,21,1,0.6,0.6,-1.9,-1.1,0.6,0.9,-0.6,-0.6,-0.6,0.05,0,2.1,0.21,0.1
Betis,Leganés,2024-09-13,W,H,2,0,2,0,0,2,64,0,24,5,20.8,28.6,14,15,48.3,17,7,41.2,9,52.9,376,2148,1231,22,20,5,1,20.0,1,0,0,11,18,3,2,0,0,1,0,0,5,20.0,26.8,14,0.14,0.4,5,35.7,17.5,1,2,0,0,0,43,2,12.0,559,659,84.8,10,52,9,4,77,9560,2934,258,288,89.6,263,288,91.3,32,58,55.2,0,0,0,,0,0,,0,0,0,606,51,18,1,5,25,16,11,5,3,0,2,9,552,20,9,16,8,23,17,1,3,1,1,0,0,0,,756,36,131,413,220,26,756,11,6,3,6,2,6,14,42.9,8,8,1,7,6,17,8,0,2.1,2.1,2.0,2.0,1.4,1.0,-0.1,-0.1,-0.4,0.16,1,0.0,,0.0
Betis,Getafe,2024-09-18,W,H,2,1,1,1,0,1,65,1,36,6,22.2,27.4,15,18,45.5,24,19,79.2,5,20.8,420,1955,1080,20,11,15,1,6.7,3,0,0,10,18,3,2,0,0,1,0,0,9,66.7,50.6,16,0.06,0.17,6,37.5,16.2,0,0,0,0,0,36,0,13.0,429,550,78.0,12,34,7,2,39,7305,2734,204,236,86.4,189,220,85.9,31,66,47.0,0,0,0,,0,0,,0,1,0,490,60,20,3,2,20,21,8,3,2,0,0,14,425,11,7,19,7,31,21,2,4,4,0,0,5,4,80.0,666,66,233,285,155,31,665,22,13,12,7,3,14,22,63.6,8,7,3,4,5,27,24,0,2.6,1.9,2.0,1.3,1.4,1.0,-0.6,-0.9,-0.4,0.14,0,1.6,0.32,0.6
Betis,Mallorca,2024-09-23,L,H,1,2,-1,0,0,1,61,0,22,3,13.6,27.8,14,12,53.8,11,6,54.5,4,36.4,476,2235,1022,20,18,10,0,0.0,3,0,0,12,11,2,1,0,0,0,0,1,2,0.0,17.5,16,0.06,0.17,6,37.5,19.2,0,1,0,0,0,39,1,15.3,554,639,86.7,13,34,10,4,47,9515,2835,243,258,94.2,248,275,90.2,46,73,63.0,0,0,0,,0,0,,0,1,0,583,55,17,1,6,26,27,6,4,1,0,1,10,551,18,4,24,11,27,22,2,2,0,0,1,6,4,66.7,755,41,185,370,204,25,755,22,10,8,7,7,8,14,57.1,6,6,0,6,7,29,16,0,1.0,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.1,0.06,0,1.3,0.21,-0.7
Betis,Las Palmas,2024-09-26,D,A,1,1,0,0,0,1,45,0,25,2,8.0,23.3,13,7,65.0,27,10,37.0,12,44.4,350,1854,983,14,6,8,0,0.0,2,0,0,10,18,2,2,0,0,0,0,0,7,14.3,20.0,13,0.08,0.2,5,38.5,14.6,0,4,0,0,0,58,4,26.0,391,487,80.3,9,42,14,4,44,6651,2689,195,222,87.8,162,187,86.6,30,55,54.5,0,0,0,,0,0,,0,0,0,433,50,23,2,6,20,14,4,2,1,0,4,9,389,6,4,15,11,22,18,2,0,1,1,0,2,1,50.0,596,43,147,284,169,35,596,12,7,5,5,2,5,10,50.0,5,16,2,14,7,19,14,0,1.9,1.9,0.9,0.9,1.6,2.1,-0.9,-0.9,-0.6,0.15,0,1.0,0.52,0.0
Betis,Espanyol,2024-09-29,W,H,1,0,1,0,1,1,53,1,31,2,19.4,29.0,13,8,61.9,16,4,25.0,11,68.8,354,1616,793,12,10,12,1,8.3,2,0,0,14,19,2,2,0,0,0,0,0,3,0.0,18.3,19,0.05,0.1,10,52.6,16.4,0,0,1,0,0,46,5,21.9,411,497,82.7,15,31,13,0,45,6963,2460,186,205,90.7,190,216,88.0,30,57,52.6,0,0,0,,0,0,,0,0,0,451,46,20,2,1,21,14,8,2,4,0,0,7,403,10,3,16,11,36,25,3,1,5,2,0,1,1,100.0,614,40,166,262,193,40,613,14,12,6,6,2,10,15,66.7,5,9,4,5,10,24,16,0,2.1,1.3,1.7,0.9,1.2,1.5,-1.1,-0.3,-1.2,0.07,0,0.5,0.47,0.5
Betis,Sevilla,2024-10-06,L,A,0,1,-1,0,0,0,49,0,24,3,25.0,29.0,13,17,43.3,15,6,40.0,7,46.7,261,1214,566,9,11,13,1,7.7,3,0,0,15,15,0,0,0,0,0,0,0,6,33.3,37.5,11,0.0,0.0,3,27.3,19.1,0,1,0,1,0,32,4,22.1,312,410,76.1,8,21,5,0,30,5465,1913,129,156,82.7,143,177,80.8,29,60,48.3,1,1,0,0.0,1,0,0.0,0,0,0,362,47,17,2,3,13,21,1,0,1,0,1,6,308,11,3,10,14,19,17,1,0,1,0,0,5,4,100.0,530,62,211,228,93,17,530,13,8,7,5,1,5,19,26.3,14,9,2,7,8,21,27,2,0.6,0.6,-0.8,0.0,0.4,0.7,-0.6,-0.6,-0.4,0.06,0,0.8,0.04,-0.2
Betis,Osasuna,2024-10-19,W,A,2,1,1,0,0,2,45,0,34,8,47.1,41.1,13,12,52.0,10,7,70.0,3,30.0,242,1211,619,10,12,23,3,13.0,1,1,0,8,12,3,2,0,0,1,0,0,8,62.5,54.0,11,0.18,0.33,6,54.5,11.0,0,4,0,0,0,33,2,12.0,263,367,71.7,9,16,7,1,24,4749,1955,115,137,83.9,118,146,80.8,24,61,39.3,0,0,0,,0,0,,0,0,0,317,46,15,4,1,14,19,2,0,1,0,4,10,260,12,4,14,8,18,11,2,1,2,1,1,6,5,83.3,488,83,192,199,99,20,488,11,7,3,5,3,5,14,35.7,9,13,6,7,12,23,38,0,2.1,2.1,0.0,0.0,1.5,1.3,-0.1,-0.1,-0.5,0.21,0,1.8,0.3,0.8
Betis,Atlético Madrid,2024-10-27,W,H,1,0,1,0,0,0,42,0,24,4,41.7,38.3,12,15,44.4,23,14,60.9,7,30.4,300,1394,734,25,18,19,0,0.0,3,0,0,8,4,0,0,0,0,0,0,0,3,33.3,35.3,24,0.0,0.0,3,12.5,18.3,0,3,0,0,0,60,0,17.0,329,424,77.6,18,20,9,3,44,6406,2470,115,140,82.1,154,175,88.0,48,78,61.5,0,0,0,,0,0,,0,0,0,389,32,5,1,0,17,20,3,0,1,0,3,10,322,18,8,20,2,40,32,1,5,2,0,0,3,3,100.0,593,64,205,248,149,29,593,21,12,8,9,4,11,16,68.8,5,15,3,12,17,38,43,0,1.9,1.9,1.4,1.4,1.3,0.8,-1.9,-1.9,-1.3,0.08,0,0.3,0.1,0.3
Betis,Athletic Club,2024-11-03,D,A,1,1,0,0,0,1,50,0,48,7,22.9,30.8,11,18,37.9,17,7,41.2,10,58.8,369,1587,815,13,10,19,0,0.0,0,0,0,8,8,2,2,0,0,0,0,0,7,71.4,46.4,7,0.14,0.25,4,57.1,20.4,1,0,0,0,0,44,0,7.5,439,536,81.9,3,20,2,1,27,8065,2624,179,208,86.1,203,230,88.3,44,76,57.9,0,0,0,,0,0,,0,0,0,493,43,11,1,4,12,21,2,1,0,0,0,9,435,10,3,19,13,9,7,0,0,1,1,0,8,7,87.5,657,85,285,284,94,10,657,15,8,5,10,0,8,15,53.3,7,12,2,10,10,25,28,0,0.9,0.9,-3.1,-3.1,0.5,0.2,0.1,0.1,0.5,0.13,1,3.3,0.42,2.3
Betis,Celta Vigo,2024-11-10,D,H,2,2,0,0,0,2,56,0,26,4,19.2,25.9,9,12,42.9,17,11,64.7,5,29.4,500,2502,1322,24,16,6,0,0.0,3,0,0,12,8,4,4,0,0,0,0,0,2,0.0,11.0,19,0.11,0.33,6,31.6,19.4,0,1,0,0,0,54,0,,525,623,84.3,17,41,11,7,42,8387,2275,276,295,93.6,200,219,91.3,35,76,46.1,0,0,0,,0,0,,0,0,0,575,47,12,1,6,24,28,2,1,0,0,1,12,522,16,8,8,13,34,26,2,4,1,0,1,2,0,0.0,726,31,155,376,200,33,726,18,13,6,9,3,10,14,71.4,4,8,0,8,16,34,10,0,1.6,1.6,0.4,0.4,1.6,1.3,0.4,0.4,0.4,0.08,0,1.4,0.68,-0.6
Betis,Valencia,2024-11-23,L,A,2,4,-2,0,0,1,52,0,33,8,30.3,30.9,15,12,55.6,25,7,28.0,15,60.0,340,1816,943,11,11,12,1,8.3,2,0,0,16,10,2,2,0,0,0,0,0,5,40.0,34.4,7,0.14,0.33,3,42.9,15.4,0,6,0,0,0,49,3,20.6,394,489,80.6,7,29,9,1,35,7002,2610,178,200,89.0,167,194,86.1,41,69,59.4,0,0,0,,0,0,,0,1,0,426,57,14,2,4,14,29,4,3,1,0,6,8,388,11,4,21,16,12,10,2,0,0,0,0,5,1,20.0,605,52,204,287,122,13,605,16,14,6,8,2,11,18,61.1,7,14,4,10,7,23,18,0,1.3,1.3,-0.3,-0.3,1.3,0.9,-0.3,-0.3,-0.3,0.18,0,2.5,0.5,-1.5
Betis,Real Sociedad,2024-12-01,L,A,0,2,-2,0,0,0,59,0,31,2,35.5,34.6,10,20,33.3,26,7,26.9,10,38.5,393,1836,828,12,9,6,0,0.0,2,0,0,10,26,0,0,0,0,0,0,0,3,33.3,40.3,7,0.0,0.0,2,28.6,17.2,0,1,0,1,1,43,4,28.8,468,577,81.1,5,29,2,1,35,7858,2497,219,243,90.1,191,216,88.4,41,77,53.2,1,1,0,0.0,1,0,0.0,0,0,1,496,80,33,3,3,13,37,4,3,1,0,1,16,465,9,5,26,19,13,7,2,2,0,2,0,1,0,0.0,704,39,210,374,127,17,704,22,18,10,10,2,11,18,61.1,7,9,0,9,11,33,14,0,0.4,0.4,-0.4,0.4,0.3,0.7,-0.4,-0.4,-0.3,0.06,0,0.8,0.0,-0.2
Betis,Barcelona,2024-12-07,D,H,2,2,0,1,0,1,38,1,24,4,45.8,41.1,10,10,50.0,15,7,46.7,7,46.7,223,1042,465,12,6,14,0,0.0,1,0,0,15,14,4,3,0,0,0,1,0,8,50.0,39.0,11,0.09,0.25,4,36.4,19.9,1,0,1,0,0,45,1,17.7,256,351,72.9,9,18,7,4,29,4885,1882,114,133,85.7,91,117,77.8,42,77,54.5,0,0,0,,0,0,,0,0,0,304,47,16,1,6,21,14,6,3,3,0,0,11,253,6,4,12,6,23,16,3,0,0,4,0,3,1,33.3,468,64,171,179,121,21,467,21,9,3,14,4,13,25,52.0,12,8,1,7,10,31,22,1,3.1,2.4,1.2,0.4,1.5,0.6,-1.1,-1.4,-0.5,0.21,1,1.7,0.56,-0.3
