Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Celta Vigo,Alavés,2024-08-16,W,H,2,1,1,0,0,2,63,0,14,4,0.0,16.7,12,6,66.7,18,6,33.3,9,50.0,386,2153,1229,15,18,13,0,0.0,2,0,0,8,22,3,3,0,0,0,0,0,10,40.0,32.7,6,0.33,0.5,4,66.7,18.2,1,4,0,0,0,35,0,14.0,499,597,83.6,5,34,7,2,56,8689,2798,219,242,90.5,239,267,89.5,34,60,56.7,0,0,0,,0,0,,0,0,0,527,66,26,2,3,13,25,3,2,0,0,4,9,495,18,5,18,8,11,9,0,0,0,2,0,2,1,50.0,709,57,180,414,121,15,709,18,8,6,10,2,10,14,71.4,4,5,3,2,11,29,25,1,0.8,0.8,-0.8,-0.8,0.8,1.0,1.2,1.2,1.2,0.14,1,1.0,0.49,0.0
Celta Vigo,Valencia,2024-08-23,W,H,3,1,2,0,1,3,49,1,23,4,26.1,28.7,10,9,52.6,11,6,54.5,5,45.5,307,1499,645,11,5,21,1,4.8,3,0,0,9,10,4,4,0,0,0,0,0,7,28.6,30.0,6,0.5,0.75,4,66.7,17.6,0,2,0,0,0,30,0,6.0,452,526,85.9,5,27,8,3,26,8103,2846,167,184,90.8,229,250,91.6,42,65,64.6,0,0,0,,0,0,,0,1,0,476,48,11,4,5,11,24,4,2,0,0,2,10,450,5,4,13,12,11,7,1,2,0,1,0,4,3,75.0,636,74,229,310,99,14,635,16,8,6,10,0,7,11,63.6,4,9,2,7,9,25,34,0,1.3,0.5,0.4,-0.3,0.5,0.5,1.7,2.5,1.5,0.09,0,0.7,0.16,-0.3
Celta Vigo,Villarreal,2024-08-26,L,A,3,4,-1,0,0,3,55,0,16,2,18.8,24.3,5,11,31.3,15,10,66.7,5,33.3,434,2196,1325,22,14,17,0,0.0,3,0,0,7,7,5,3,0,0,1,1,0,14,28.6,23.0,20,0.15,0.43,7,35.0,14.4,1,1,0,1,1,31,2,21.0,524,595,88.1,13,33,13,2,51,8602,2766,253,269,94.1,219,239,91.6,36,61,59.0,1,0,1,100.0,0,1,100.0,0,1,1,551,43,9,3,6,16,11,4,1,1,0,1,9,521,14,5,14,9,36,22,2,4,7,1,0,9,5,55.6,690,67,204,303,190,29,690,10,6,5,4,1,4,8,50.0,4,5,2,3,5,15,22,1,2.7,2.7,-0.9,0.0,2.0,2.0,0.3,0.3,-1.0,0.14,1,4.6,0.41,1.6
Celta Vigo,Osasuna,2024-09-01,L,A,2,3,-1,0,0,1,50,0,28,5,10.7,23.9,6,13,31.6,16,4,25.0,9,56.3,383,1991,1044,18,19,14,0,0.0,0,1,0,10,19,2,1,0,1,0,0,0,5,0.0,18.6,12,0.08,0.25,4,33.3,19.5,3,3,0,0,1,34,3,24.4,403,495,81.4,8,24,5,1,38,6712,2182,196,215,91.2,160,183,87.4,33,64,51.6,0,0,0,,0,0,,0,1,1,440,52,19,2,4,9,21,3,0,3,0,3,15,402,19,8,15,9,21,16,0,2,0,3,0,3,1,0.0,584,61,215,213,161,18,584,9,5,7,2,0,7,16,43.8,9,9,5,4,4,13,17,0,1.7,1.7,0.7,0.7,1.5,1.3,-0.7,-0.7,-0.5,0.14,3,1.9,0.64,-0.1
Celta Vigo,Valladolid,2024-09-15,W,H,3,1,2,0,0,3,54,0,24,11,20.8,29.3,12,5,70.6,18,8,44.4,9,50.0,441,2108,988,15,13,11,2,18.2,3,0,0,14,14,5,3,0,1,1,0,0,3,33.3,32.3,14,0.21,0.33,9,64.3,13.6,0,3,0,0,0,40,1,12.0,455,532,85.5,11,25,8,1,31,7824,2808,192,212,90.6,211,223,94.6,38,61,62.3,0,0,0,,0,0,,0,0,0,477,52,16,2,3,8,26,5,0,3,0,3,12,450,13,7,13,10,24,17,2,2,2,0,1,2,1,50.0,610,43,158,340,118,31,610,12,8,8,3,1,6,14,42.9,8,6,2,4,6,18,10,0,1.8,1.8,1.3,1.3,1.0,0.9,1.2,1.2,1.0,0.13,0,0.5,0.27,-0.5
Celta Vigo,Athletic Club,2024-09-22,L,A,1,3,-2,1,0,0,67,1,21,9,4.8,19.8,9,5,64.3,13,7,53.8,6,46.2,541,2569,1365,24,16,10,0,0.0,2,0,0,11,16,2,1,0,0,0,1,0,4,25.0,32.3,10,0.0,0.0,3,30.0,13.7,0,2,1,0,0,41,1,30.0,595,691,86.1,10,39,10,1,56,10926,3167,227,250,90.8,311,346,89.9,50,74,67.6,0,0,0,,0,0,,0,0,0,639,50,16,3,7,19,20,6,0,5,0,2,5,594,16,4,10,5,20,13,5,0,1,1,0,5,2,40.0,772,56,212,419,151,23,771,18,9,10,7,1,8,17,47.1,9,6,2,4,4,22,13,0,1.3,0.5,0.6,-0.2,0.5,0.8,-0.3,-0.5,-0.5,0.05,0,1.8,0.36,-1.2
Celta Vigo,Atlético Madrid,2024-09-26,L,H,0,1,-1,0,0,0,58,0,20,5,15.0,26.9,6,9,40.0,16,7,43.8,9,56.3,593,2696,1537,26,17,12,0,0.0,2,0,0,11,10,0,0,0,0,0,0,0,6,16.7,31.3,10,0.0,0.0,4,40.0,16.1,0,0,0,0,0,47,0,10.0,611,699,87.4,9,56,10,3,58,10811,3171,247,273,90.5,309,334,92.5,44,65,67.7,0,0,0,,0,0,,0,0,0,665,34,11,2,2,12,13,2,0,2,0,0,8,607,17,3,12,8,17,15,0,2,0,0,0,2,1,50.0,798,58,218,433,156,17,798,10,9,5,3,2,6,7,85.7,1,13,4,9,15,25,21,0,1.5,1.5,0.9,0.9,1.4,1.8,-1.5,-1.5,-1.4,0.15,0,1.0,0.51,0.0
Celta Vigo,Girona,2024-09-29,D,H,1,1,0,0,0,1,48,0,22,5,22.7,30.8,7,11,38.9,11,5,45.5,6,54.5,508,2370,1233,21,9,13,2,15.4,1,0,0,9,13,2,2,0,0,0,0,0,3,0.0,14.7,12,0.08,0.5,2,16.7,19.5,1,0,0,0,0,38,1,12.5,507,597,84.9,10,44,11,4,43,8647,2672,204,227,89.9,237,265,89.4,41,69,59.4,0,0,0,,0,0,,0,0,0,555,42,14,0,0,24,19,4,0,3,0,0,4,505,9,13,7,5,22,18,1,1,0,2,0,4,3,75.0,677,52,151,325,202,36,677,14,8,4,8,2,6,14,42.9,8,11,4,7,2,16,17,1,0.5,0.5,-0.3,-0.3,0.4,1.0,0.5,0.5,0.6,0.04,1,1.5,0.38,0.5
Celta Vigo,Las Palmas,2024-10-05,W,A,1,0,1,0,0,1,40,0,16,2,75.0,49.3,9,22,29.0,18,11,61.1,6,33.3,236,1174,480,8,6,35,2,5.7,8,2,2,13,9,2,2,0,0,0,0,0,16,75.0,53.9,8,0.13,1.0,1,12.5,24.8,1,2,0,0,0,40,0,5.7,305,383,79.6,4,26,3,1,28,5506,2205,131,142,92.3,151,180,83.9,22,53,41.5,0,0,0,,0,0,,0,0,0,335,46,9,1,1,8,18,2,1,0,0,2,7,304,6,5,16,6,12,8,0,1,2,1,0,5,5,100.0,509,85,169,256,87,13,509,12,7,7,3,2,6,21,28.6,15,22,9,13,12,24,34,0,0.8,0.8,-0.6,-0.6,0.5,0.5,0.2,0.2,0.5,0.1,1,0.9,0.18,0.9
Celta Vigo,Real Madrid,2024-10-19,L,H,1,2,-1,0,0,1,47,0,15,7,13.3,26.7,7,8,46.7,11,6,54.5,5,45.5,409,1943,1033,26,13,8,2,25.0,2,0,0,16,12,2,2,0,0,0,0,0,6,33.3,31.7,13,0.08,0.2,5,38.5,18.7,0,2,0,0,0,42,0,7.7,485,572,84.8,11,46,10,3,47,8257,2886,226,244,92.6,207,232,89.2,43,67,64.2,0,0,0,,0,0,,0,0,0,528,42,14,2,4,17,13,6,0,2,0,2,13,482,13,8,12,10,22,20,1,1,0,0,0,3,1,33.3,649,60,182,323,146,26,649,15,8,8,2,5,12,23,52.2,11,7,2,5,6,21,13,3,1.8,1.8,1.1,1.1,1.8,1.0,-0.8,-0.8,-0.8,0.14,0,0.7,0.25,-1.3
