Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Espanyol,Valladolid,2024-08-19,L,A,0,1,-1,0,0,0,54,0,24,6,33.3,34.3,18,9,66.7,5,2,40.0,2,40.0,251,1291,633,5,5,16,0,0.0,2,0,0,8,15,0,0,0,0,0,0,0,10,10.0,23.1,10,0.0,0.0,2,20.0,19.4,1,1,0,0,0,34,2,16.8,417,520,80.2,8,22,5,4,27,7671,2732,159,179,88.8,220,253,87.0,34,66,51.5,0,0,0,,0,0,,0,0,0,468,51,20,1,1,17,17,2,0,2,0,1,14,415,5,0,15,7,20,16,2,0,0,2,0,1,0,0.0,603,63,198,321,88,13,603,12,10,5,7,0,5,18,27.8,13,12,5,7,6,18,15,0,0.7,0.7,-0.1,-0.1,0.3,0.3,-0.7,-0.7,-0.3,0.07,1,0.1,0.14,-0.9
Espanyol,Real Sociedad,2024-08-24,L,H,0,1,-1,0,0,0,34,0,23,4,43.5,41.4,6,5,54.5,15,5,33.3,6,40.0,191,1269,729,19,12,14,2,14.3,2,0,0,14,18,0,0,0,0,0,0,0,7,0.0,10.4,13,0.0,0.0,3,23.1,14.7,0,1,0,0,0,36,3,16.7,205,294,69.7,8,21,6,0,23,3971,1598,89,108,82.4,84,108,77.8,32,67,47.8,0,0,0,,0,0,,0,0,0,246,47,20,0,3,19,11,7,1,5,0,1,8,203,12,3,12,5,21,14,1,3,2,0,1,3,2,66.7,388,63,136,160,100,19,388,18,11,10,6,2,8,14,57.1,6,8,2,6,7,25,23,0,1.6,1.6,0.9,0.9,1.2,0.4,-1.6,-1.6,-1.2,0.14,0,0.5,0.18,-0.5
Espanyol,Atlético Madrid,2024-08-28,D,A,0,0,0,0,0,0,37,0,28,1,67.9,53.0,15,17,46.9,11,6,54.5,5,45.5,224,1217,648,11,7,20,0,0.0,2,0,0,9,6,0,0,0,0,0,0,0,13,53.8,44.2,8,0.0,0.0,1,12.5,18.7,1,0,0,0,0,34,0,11.5,307,390,78.7,6,21,5,4,23,6042,2340,116,143,81.1,149,163,91.4,40,77,51.9,0,0,0,,0,0,,0,0,0,351,39,10,0,4,15,12,3,0,2,0,0,6,303,7,2,13,5,15,10,2,1,1,1,0,7,7,100.0,512,100,197,227,91,10,512,14,10,8,6,0,4,10,40.0,6,16,8,8,7,21,41,1,0.6,0.6,-1.7,-1.7,0.6,0.6,-0.6,-0.6,-0.6,0.08,1,1.4,0.19,1.4
Espanyol,Rayo Vallecano,2024-08-31,W,H,2,1,1,0,0,2,47,0,33,7,15.2,29.9,16,14,53.3,14,4,28.6,8,57.1,230,1519,893,9,7,21,1,4.8,3,0,0,14,15,4,3,0,0,1,0,0,9,22.2,22.4,10,0.2,0.67,3,30.0,15.2,0,0,0,0,0,37,1,13.7,300,395,75.9,10,15,4,2,28,5526,2200,117,133,88.0,140,168,83.3,32,65,49.2,0,0,0,,0,0,,0,0,0,344,51,18,3,3,14,19,3,1,2,0,0,9,294,7,3,17,7,20,15,3,0,1,1,0,5,4,80.0,520,75,224,206,93,16,520,18,14,11,7,0,7,14,50.0,7,12,5,7,11,29,37,0,1.6,1.6,0.3,0.3,1.6,1.2,0.4,0.4,0.4,0.17,0,0.6,0.11,-0.4
Espanyol,Alavés,2024-09-14,W,H,3,2,1,1,0,2,39,1,23,9,47.8,39.4,19,15,55.9,16,4,25.0,7,43.8,247,1553,786,11,4,32,3,9.4,2,0,0,17,13,6,3,0,1,1,1,0,10,50.0,45.5,8,0.25,0.67,3,37.5,17.9,0,3,1,0,0,32,1,7.5,225,308,73.1,6,15,2,1,19,4569,2033,82,100,82.0,108,133,81.2,30,63,47.6,0,0,0,,0,0,,0,1,0,259,46,13,1,3,11,20,0,0,0,0,3,1,223,4,4,18,9,16,11,1,1,1,2,0,6,4,66.7,440,77,197,192,58,16,439,17,10,10,6,1,7,12,58.3,5,17,6,11,4,21,48,2,1.6,0.8,-0.3,-1.1,0.7,1.1,1.4,1.2,1.3,0.1,0,2.7,0.51,0.7
Espanyol,Real Madrid,2024-09-21,L,A,1,4,-3,0,0,0,27,0,18,2,94.4,63.6,6,9,40.0,14,6,42.9,8,57.1,153,899,470,6,7,13,1,7.7,3,0,0,5,6,0,0,0,0,0,0,0,12,58.3,43.9,10,0.0,0.0,1,10.0,23.3,0,1,0,1,0,33,1,23.0,193,280,68.9,7,10,3,1,17,3648,1561,86,106,81.1,76,92,82.6,29,67,43.3,1,1,0,0.0,1,0,0.0,0,1,0,238,41,9,0,4,6,11,4,0,3,0,1,11,192,7,3,16,2,15,9,2,1,2,0,1,14,10,78.6,400,73,184,146,74,13,400,17,12,8,8,1,8,20,40.0,12,21,8,13,8,25,23,2,0.3,0.3,-4.0,-3.2,0.3,0.3,-0.3,-0.3,-0.3,0.03,0,4.5,0.26,0.5
Espanyol,Villarreal,2024-09-26,L,H,1,2,-1,0,0,1,56,0,30,8,30.0,35.8,8,17,32.0,20,8,40.0,11,55.0,390,1921,1000,14,14,8,1,12.5,5,0,0,12,14,2,0,1,0,0,1,0,8,12.5,15.8,9,0.11,0.5,2,22.2,20.9,1,0,0,0,0,35,1,16.3,457,548,83.4,6,30,4,1,47,8414,2916,187,204,91.7,208,223,93.3,55,94,58.5,0,0,0,,0,0,,0,0,0,503,45,14,1,5,18,16,4,0,3,0,0,5,457,14,5,11,8,17,11,2,1,1,2,0,4,2,50.0,645,66,229,294,126,16,645,12,6,6,4,2,5,15,33.3,10,7,4,3,6,18,21,0,0.4,0.4,-1.2,-1.2,0.3,0.4,0.6,0.6,0.7,0.05,1,1.4,0.36,-0.6
Espanyol,Betis,2024-09-29,L,A,0,1,-1,0,0,0,47,0,29,4,31.0,33.6,8,13,38.1,17,5,29.4,10,58.8,389,2058,816,11,6,13,2,15.4,4,0,0,20,12,0,0,0,0,0,0,0,6,50.0,37.0,8,0.0,0.0,1,12.5,19.8,1,1,0,1,0,29,2,10.2,363,444,81.8,7,20,6,3,25,6379,2307,156,174,89.7,163,184,88.6,37,69,53.6,1,0,1,100.0,0,1,100.0,0,0,0,402,41,12,1,3,14,17,4,0,4,0,1,5,360,6,4,13,4,14,10,3,0,0,1,0,11,9,90.9,562,85,249,241,78,15,562,22,11,14,6,2,11,15,73.3,4,9,5,4,9,31,26,0,0.5,0.5,-1.7,-0.9,0.4,0.3,-0.5,-0.5,-0.4,0.06,1,2.1,0.14,1.1
Espanyol,Mallorca,2024-10-05,W,H,2,1,1,0,0,2,40,0,22,4,45.5,40.5,24,18,57.1,12,7,58.3,5,41.7,184,1021,593,15,13,26,1,3.8,1,0,0,14,17,4,3,1,0,0,0,0,7,85.7,56.6,8,0.25,0.67,3,37.5,18.4,0,0,0,0,0,37,0,7.3,229,318,72.0,7,22,4,2,22,4600,1758,81,107,75.7,113,135,83.7,32,64,50.0,0,0,0,,0,0,,0,1,0,266,52,19,3,1,15,20,4,2,0,0,0,10,228,13,4,10,7,13,8,3,0,0,1,1,5,4,80.0,454,66,178,198,88,15,454,29,21,22,5,2,7,19,36.8,12,14,4,10,10,39,44,1,0.9,0.9,-0.7,-0.7,0.9,0.8,1.1,1.1,1.1,0.12,0,2.6,0.52,1.6
Espanyol,Athletic Club,2024-10-19,L,A,1,4,-3,0,0,1,44,0,28,12,21.4,28.4,7,8,46.7,14,5,35.7,7,50.0,251,1060,482,7,6,15,2,13.3,3,0,0,22,14,2,0,0,1,0,1,0,5,40.0,31.4,5,0.2,0.5,2,40.0,19.0,1,1,0,0,0,35,0,10.2,311,412,75.5,3,20,4,1,26,6261,2206,97,113,85.8,167,195,85.6,41,79,51.9,0,0,0,,0,0,,0,1,0,355,56,14,0,4,22,27,5,0,4,0,1,9,309,6,1,18,3,10,6,1,2,0,1,0,6,2,33.3,513,66,224,190,100,9,513,17,13,9,7,1,7,16,43.8,9,9,0,9,10,27,21,0,0.2,0.2,-1.1,-1.1,0.1,0.3,0.8,0.8,-0.1,0.05,1,3.4,0.56,-0.6
