Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Getafe,Athletic Club,2024-08-15,D,A,1,1,0,0,0,1,32,0,16,2,68.8,54.3,18,17,51.4,13,6,46.2,3,23.1,152,868,347,4,7,13,2,15.4,1,0,0,12,14,2,0,2,0,0,0,0,2,100.0,64.5,9,0.11,0.5,2,22.2,19.7,0,6,0,0,0,37,0,5.5,140,239,58.6,7,8,1,0,11,3031,1480,49,65,75.4,50,79,63.3,32,72,44.4,0,0,0,,0,0,,0,0,0,182,51,17,0,4,13,24,6,4,2,0,6,4,138,7,1,15,7,15,5,7,1,0,2,0,4,3,75.0,354,33,127,165,68,11,354,22,12,11,9,2,9,18,50.0,9,9,1,8,9,31,23,0,0.8,0.8,0.5,0.5,0.7,0.3,0.2,0.2,0.3,0.09,0,0.8,0.23,-0.2
Getafe,Rayo Vallecano,2024-08-24,D,H,0,0,0,0,0,0,48,0,17,1,82.4,59.8,24,20,54.5,26,12,46.2,14,53.8,201,1081,588,9,13,10,0,0.0,1,0,0,16,18,0,0,0,0,0,0,0,13,46.2,41.2,12,0.0,,0,0.0,16.4,0,0,0,0,0,36,0,8.0,199,331,60.1,10,23,6,2,33,3796,2009,83,117,70.9,79,114,69.3,32,87,36.8,0,0,0,,0,0,,0,0,0,263,68,21,0,3,16,30,3,1,2,0,0,5,196,13,3,27,9,21,12,3,5,0,1,0,0,0,,448,49,137,183,137,16,448,19,11,7,7,5,8,14,57.1,6,10,1,9,3,22,11,0,0.5,0.5,0.2,0.2,0.4,0.5,-0.5,-0.5,-0.4,0.04,0,0.0,,0.0
Getafe,Real Sociedad,2024-09-01,D,H,0,0,0,0,0,0,53,0,10,3,50.0,42.3,31,20,60.8,24,11,45.8,13,54.2,244,1269,579,16,11,8,1,12.5,1,0,0,14,16,0,0,0,0,0,0,0,4,25.0,33.8,16,0.0,0.0,1,6.3,25.5,0,2,0,0,0,43,0,12.0,257,398,64.6,12,38,3,0,32,4893,2118,114,155,73.5,98,135,72.6,36,81,44.4,0,0,0,,0,0,,0,0,0,342,54,15,0,6,23,30,4,3,0,0,2,6,256,11,5,23,6,29,23,1,2,3,0,0,0,0,,522,24,101,259,170,28,522,17,10,10,5,2,9,13,69.2,4,8,1,7,5,22,20,0,0.6,0.6,0.5,0.5,0.3,0.8,-0.6,-0.6,-0.3,0.04,0,0.0,,0.0
Getafe,Sevilla,2024-09-14,L,A,0,1,-1,0,0,0,40,0,17,4,52.9,42.1,21,18,53.8,12,4,33.3,4,33.3,174,940,497,10,3,7,0,0.0,4,0,0,15,17,0,0,0,0,0,0,0,6,50.0,45.0,15,0.0,0.0,4,26.7,21.9,1,2,0,0,0,33,2,23.5,208,316,65.8,8,26,6,5,25,4218,1770,84,103,81.6,91,125,72.8,31,74,41.9,0,0,0,,0,0,,0,0,0,264,50,19,0,4,25,19,4,2,2,0,2,7,207,3,2,18,15,25,16,4,2,1,2,0,4,3,75.0,426,37,132,187,112,12,426,30,15,13,15,2,9,25,36.0,16,8,2,6,3,33,15,1,1.0,1.0,-0.4,-0.4,0.8,0.5,-1.0,-1.0,-0.8,0.07,1,1.1,0.28,0.1
Getafe,Betis,2024-09-18,L,A,1,2,-1,0,0,1,35,0,11,1,81.8,54.6,18,15,54.5,22,8,36.4,14,63.6,187,1053,537,13,8,17,0,0.0,5,0,0,20,9,2,0,1,0,1,0,0,8,100.0,68.0,15,0.07,0.2,5,33.3,21.7,0,2,0,1,0,41,2,12.8,197,295,66.8,11,17,8,3,24,3454,1680,103,128,80.5,67,95,70.5,22,55,40.0,1,1,0,0.0,1,0,0.0,0,0,0,248,45,10,0,1,21,20,4,1,3,0,2,8,193,8,5,17,8,26,17,4,3,2,0,0,7,5,85.7,441,56,138,175,132,23,441,12,9,7,4,1,5,24,20.8,19,16,3,13,7,19,27,1,0.6,0.6,-2.0,-1.3,0.5,0.8,0.4,0.4,0.5,0.04,0,2.1,0.2,0.1
Getafe,Leganés,2024-09-22,D,H,1,1,0,1,0,0,59,1,12,3,50.0,37.8,25,19,56.8,20,9,45.0,9,45.0,320,1507,811,20,8,10,1,10.0,3,0,0,16,16,2,0,0,1,0,1,0,6,50.0,42.8,12,0.0,0.0,3,25.0,21.9,1,0,1,0,0,41,1,15.3,345,485,71.1,9,43,10,3,46,6294,2713,159,193,82.4,127,169,75.1,45,90,50.0,0,0,0,,0,0,,0,0,0,419,66,16,1,5,26,36,6,1,4,0,0,10,345,8,3,21,20,22,15,3,2,0,2,0,2,1,50.0,604,36,141,286,183,24,603,19,9,8,8,3,9,16,56.3,7,8,2,6,5,24,20,0,1.5,0.8,1.0,0.2,0.7,0.9,-0.5,-0.8,-0.7,0.06,1,1.1,0.56,0.1
Getafe,Barcelona,2024-09-25,L,A,0,1,-1,0,0,0,24,0,10,0,90.0,64.2,8,15,34.8,12,3,25.0,8,66.7,98,717,343,10,10,15,0,0.0,1,0,0,15,4,0,0,0,0,0,0,0,12,100.0,63.7,7,0.0,0.0,1,14.3,21.7,0,7,0,0,0,35,0,3.3,103,209,49.3,4,12,5,2,12,1954,942,50,70,71.4,30,53,56.6,19,58,32.8,0,0,0,,0,0,,0,0,0,158,44,8,0,2,18,17,5,2,1,0,7,8,102,10,5,14,5,10,8,1,0,0,0,1,4,3,75.0,327,58,132,122,77,14,327,24,13,14,8,2,15,27,55.6,12,12,5,7,3,27,31,1,0.7,0.7,-1.2,-1.2,0.5,0.3,-0.7,-0.7,-0.5,0.1,0,1.4,0.36,0.4
Getafe,Alavés,2024-09-28,W,H,2,0,2,1,0,1,46,1,13,2,76.9,52.5,36,27,57.1,19,7,36.8,12,63.2,131,529,198,4,5,13,0,0.0,3,0,0,17,23,3,1,0,0,1,1,0,11,100.0,67.9,13,0.08,0.14,7,53.8,19.0,2,4,0,0,0,33,2,16.6,140,255,54.9,10,10,4,2,17,2997,1910,53,70,75.7,47,90,52.2,30,67,44.8,0,0,0,,0,0,,0,0,0,183,68,24,1,2,16,30,2,0,2,0,4,4,134,5,4,20,12,27,11,5,3,2,6,0,1,1,100.0,387,48,143,140,109,20,386,11,8,6,3,2,7,11,63.6,4,10,3,7,9,20,27,0,2.1,1.3,1.6,0.8,1.3,0.8,-0.1,-0.3,-1.3,0.11,2,0.2,0.18,0.2
Getafe,Osasuna,2024-10-05,D,H,1,1,0,0,0,1,41,0,6,0,100.0,61.8,26,27,49.1,18,8,44.4,10,55.6,135,822,316,6,11,16,0,0.0,2,0,0,17,10,2,1,1,0,0,0,0,13,92.3,64.5,11,0.09,0.33,3,27.3,18.2,1,5,0,0,0,35,1,34.0,151,274,55.1,7,17,6,4,17,3263,1926,64,85,75.3,56,90,62.2,27,80,33.8,0,0,0,,0,0,,0,0,0,210,59,9,0,6,16,31,4,1,3,0,5,4,147,11,2,25,14,19,11,4,1,0,2,1,2,1,50.0,410,43,125,171,118,18,410,13,10,8,2,3,9,18,50.0,9,8,0,8,7,20,35,0,0.8,0.8,0.5,0.5,0.6,1.1,0.2,0.2,0.4,0.08,1,0.5,0.26,-0.5
Getafe,Villarreal,2024-10-20,D,A,1,1,0,1,0,0,44,1,24,0,79.2,48.8,28,17,62.2,19,6,31.6,10,52.6,152,936,408,8,12,12,0,0.0,3,0,0,21,17,2,1,0,0,0,1,0,7,100.0,61.9,20,0.0,0.0,3,15.0,17.7,0,1,1,0,0,38,0,5.5,223,318,70.1,16,20,11,7,23,4463,2025,87,112,77.7,81,104,77.9,42,76,55.3,0,0,0,,0,0,,0,0,0,258,59,18,1,6,21,27,5,2,1,0,1,7,219,12,4,14,8,36,25,3,2,3,2,1,4,3,75.0,452,42,119,206,133,28,451,14,9,6,7,1,4,13,30.8,9,7,1,6,16,30,26,0,1.9,1.1,1.1,0.3,0.9,0.9,-0.9,-1.1,-0.9,0.06,0,1.5,0.39,0.5
