Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Girona,Betis,2024-08-15,D,A,1,1,0,0,0,1,61,0,32,4,25.0,29.7,1,8,11.1,16,8,50.0,7,43.8,511,2590,1229,19,19,8,1,12.5,0,0,0,7,10,2,1,0,1,0,0,0,11,18.2,26.7,13,0.08,0.5,2,15.4,17.5,0,3,0,0,0,40,2,15.8,542,633,85.6,12,44,5,2,55,8519,2818,298,316,94.3,199,220,90.5,35,67,52.2,0,0,0,,0,0,,0,1,0,575,55,12,1,4,23,26,4,3,1,0,3,9,539,19,5,14,11,23,20,0,2,0,0,1,4,3,75.0,747,68,220,353,178,19,747,21,10,11,7,3,8,15,53.3,7,20,5,15,8,29,13,1,1.6,1.6,0.2,0.2,1.6,1.4,-0.6,-0.6,-0.6,0.12,0,1.3,0.34,0.3
Girona,Atlético Madrid,2024-08-25,L,A,0,3,-3,0,0,0,57,0,16,4,18.8,31.3,6,8,42.9,19,12,63.2,7,36.8,518,2424,1196,14,17,5,1,20.0,3,0,0,11,11,0,0,0,0,0,0,0,3,0.0,15.0,13,0.0,0.0,4,30.8,19.4,0,2,0,0,0,39,0,11.3,588,658,89.4,7,70,8,3,51,9877,2759,295,310,95.2,250,274,91.2,40,60,66.7,0,0,0,,0,0,,1,0,0,611,45,13,1,3,26,16,9,2,4,0,2,7,580,17,3,19,16,21,18,1,0,1,1,0,6,3,50.0,743,42,150,351,245,25,743,13,9,5,4,4,6,11,54.5,5,7,2,5,7,20,10,0,0.7,0.7,-0.5,-0.5,0.4,0.9,-0.7,-0.7,-0.4,0.05,0,1.4,0.24,-1.6
Girona,Osasuna,2024-08-29,W,H,4,0,4,0,0,4,60,0,24,3,4.2,21.3,3,8,27.3,15,7,46.7,7,46.7,450,2995,1604,27,24,5,1,20.0,0,0,0,10,9,8,8,0,0,0,0,0,2,0.0,9.0,10,0.4,0.8,5,50.0,14.3,0,5,0,0,0,47,2,24.7,545,620,87.9,6,47,15,4,66,9625,2468,237,262,90.5,278,295,94.2,30,53,56.6,0,0,0,,0,0,,0,0,0,578,37,11,1,5,22,18,5,1,1,0,5,5,525,24,7,11,8,15,12,2,0,0,0,1,0,0,,700,35,153,340,211,33,700,11,7,3,6,2,4,11,36.4,7,7,0,7,7,18,7,0,2.4,2.4,2.4,2.4,1.7,1.7,1.6,1.6,1.3,0.24,0,0.0,,0.0
Girona,Sevilla,2024-09-01,W,A,2,0,2,1,0,1,50,1,32,5,21.9,31.6,4,3,57.1,23,10,43.5,12,52.2,281,1613,848,11,11,8,1,12.5,2,0,0,14,5,3,2,0,0,1,0,0,6,50.0,47.3,10,0.1,0.33,3,30.0,17.0,0,0,0,0,0,36,1,16.0,412,478,86.2,8,40,5,1,35,7950,2653,148,157,94.3,218,235,92.8,46,77,59.7,0,0,0,,0,0,,0,0,0,436,42,9,0,1,19,21,5,1,4,0,0,8,409,11,6,18,5,18,11,2,1,3,1,0,5,5,100.0,593,69,212,250,138,22,592,24,12,10,12,2,12,22,54.5,10,14,4,10,8,32,15,0,1.9,1.2,1.0,0.2,0.9,1.1,0.1,-0.2,0.1,0.12,0,0.4,0.07,0.4
Girona,Barcelona,2024-09-15,L,H,1,4,-3,0,0,1,45,0,26,3,7.7,25.2,1,5,16.7,17,9,52.9,8,47.1,323,1820,860,16,9,14,0,0.0,3,0,0,13,3,2,1,0,1,0,0,0,14,14.3,21.0,9,0.11,0.25,4,44.4,15.7,0,7,0,0,0,38,2,31.5,362,427,84.8,9,27,9,5,29,6191,2246,174,187,93.0,146,161,90.7,36,54,66.7,0,0,0,,0,0,,0,0,0,383,37,4,0,3,12,13,1,0,0,0,7,9,358,9,5,14,11,18,17,0,1,0,0,0,9,5,55.6,536,90,251,198,95,15,536,17,10,10,6,1,9,19,47.4,10,13,2,11,6,23,26,2,1.3,1.3,-0.6,-0.6,1.3,0.9,-0.3,-0.3,-0.3,0.14,0,3.5,0.39,-0.5
Girona,Valencia,2024-09-21,L,A,0,2,-2,0,0,0,67,0,29,6,13.8,28.2,6,9,40.0,25,10,40.0,11,44.0,383,1852,1004,19,13,15,4,26.7,2,0,0,10,13,0,0,0,0,0,0,0,3,0.0,25.0,8,0.0,0.0,3,37.5,17.1,0,2,0,0,0,36,1,10.3,573,660,86.8,7,42,2,0,46,11299,3042,189,207,91.3,313,329,95.1,68,106,64.2,0,0,0,,0,0,,0,0,0,607,51,14,5,8,18,27,4,2,2,0,2,12,565,13,3,19,6,16,12,2,1,1,0,0,2,0,0.0,767,64,240,403,130,11,767,22,16,11,9,2,14,19,73.7,5,15,2,13,6,28,14,0,0.4,0.4,0.0,0.0,0.3,0.7,-0.4,-0.4,-0.3,0.05,0,0.3,0.16,-1.7
Girona,Rayo Vallecano,2024-09-25,D,H,0,0,0,0,0,0,71,0,24,0,8.3,21.3,4,7,36.4,18,6,33.3,7,38.9,502,2765,1315,24,19,9,0,0.0,3,0,0,8,16,0,0,0,0,0,0,0,4,0.0,27.0,11,0.0,0.0,1,9.1,17.6,1,2,0,0,0,35,0,,618,711,86.9,7,62,7,1,70,10115,3064,296,317,93.4,254,283,89.8,53,77,68.8,0,0,0,,0,0,,0,0,0,638,71,15,3,4,18,47,4,2,2,0,2,9,597,19,6,10,16,21,13,3,1,1,2,1,0,0,,798,38,181,392,230,21,798,15,11,4,7,4,7,11,63.6,4,6,0,6,6,21,11,0,2.0,2.0,1.5,1.5,1.1,1.5,-2.0,-2.0,-1.1,0.18,1,0.0,,0.0
Girona,Celta Vigo,2024-09-29,D,A,1,1,0,0,0,1,52,0,40,5,10.0,24.0,11,7,61.1,14,8,57.1,6,42.9,482,2283,1035,16,13,20,0,0.0,0,0,0,14,9,2,2,0,0,0,0,0,8,37.5,34.8,9,0.11,0.25,4,44.4,12.9,0,1,0,0,0,46,2,27.5,571,642,88.9,8,34,10,1,45,9194,2807,266,280,95.0,259,275,94.2,31,58,53.4,0,0,0,,0,0,,0,0,0,604,37,9,1,0,21,14,4,1,3,0,1,10,567,13,6,15,8,16,13,2,0,1,0,0,2,1,50.0,739,112,287,324,132,22,739,11,8,6,5,0,6,11,54.5,5,9,5,4,10,21,32,0,0.8,0.8,0.3,0.3,0.8,1.5,0.2,0.2,0.2,0.09,0,0.6,0.28,-0.4
Girona,Athletic Club,2024-10-06,W,H,2,1,1,1,0,1,66,1,27,8,25.9,32.3,17,9,65.4,20,8,40.0,8,40.0,469,2245,1048,18,9,5,0,0.0,4,0,0,12,13,4,2,0,0,1,1,0,5,40.0,33.6,13,0.08,0.2,5,38.5,15.9,0,3,1,2,0,40,2,20.7,541,631,85.7,13,40,18,5,63,9310,3235,252,269,93.7,231,252,91.7,48,82,58.5,2,0,2,100.0,0,2,100.0,0,0,0,587,41,11,1,5,24,17,6,4,2,0,3,9,538,9,6,19,11,28,23,2,1,1,1,0,4,1,75.0,734,58,230,328,180,37,733,20,9,11,6,3,11,21,52.4,10,8,3,5,8,28,14,1,1.9,1.2,-1.2,-0.3,1.2,2.1,0.1,-0.2,-0.2,0.09,0,2.4,0.21,1.4
Girona,Real Sociedad,2024-10-19,L,H,0,1,-1,0,0,0,47,0,29,5,24.1,31.6,8,8,50.0,23,14,60.9,7,30.4,357,1760,917,12,8,11,1,9.1,2,0,0,10,11,0,0,0,0,0,0,0,9,44.4,41.4,8,0.0,0.0,3,37.5,15.2,0,1,0,0,0,31,0,11.7,403,482,83.6,6,38,10,2,36,7389,2550,175,190,92.1,177,193,91.7,39,70,55.7,0,0,0,,0,0,,0,0,0,428,53,13,0,5,25,23,6,0,4,0,1,12,398,8,2,7,8,14,11,1,1,0,1,0,4,3,75.0,559,66,189,242,134,20,559,14,9,7,7,0,9,17,52.9,8,5,4,1,6,20,10,0,0.4,0.4,-1.3,-1.3,0.3,0.8,-0.4,-0.4,-0.3,0.05,0,0.3,0.07,-0.7
