Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Las Palmas,Sevilla,2024-08-16,D,H,2,2,0,0,0,1,48,0,33,7,27.3,32.8,11,20,35.5,13,3,23.1,7,53.8,357,1528,708,11,4,13,0,0.0,2,0,0,14,13,2,2,0,0,0,0,0,8,12.5,15.9,15,0.07,0.2,5,33.3,18.3,0,1,0,0,1,36,1,29.5,384,489,78.5,14,36,13,8,33,6979,2571,164,193,85.0,187,225,83.1,32,62,51.6,0,0,0,,0,0,,0,0,1,430,58,17,4,0,27,24,6,3,1,1,1,9,383,4,1,17,6,28,21,4,2,0,1,0,5,4,60.0,602,74,205,279,120,21,602,16,9,10,5,1,9,16,56.3,7,12,3,9,9,25,15,0,1.4,1.4,-0.4,-0.4,1.4,1.1,-0.4,-0.4,-0.4,0.09,0,1.5,0.31,0.5
Las Palmas,Leganés,2024-08-25,L,A,1,2,-1,0,0,1,61,0,31,7,9.7,24.4,12,15,44.4,9,5,55.6,4,44.4,331,1820,1021,14,9,8,1,12.5,1,0,0,10,11,2,2,0,0,0,0,0,7,0.0,16.9,10,0.1,0.2,5,50.0,16.6,0,0,0,1,0,34,2,17.0,464,584,79.5,8,29,7,5,31,8165,2782,191,220,86.8,234,269,87.0,32,73,43.8,1,0,1,100.0,0,1,100.0,0,0,0,520,64,12,0,2,23,35,7,1,6,0,0,11,462,9,2,12,9,19,13,4,0,2,0,0,5,2,60.0,677,54,217,350,110,22,677,13,7,3,7,3,8,11,72.7,3,9,1,8,7,20,12,1,0.9,0.9,-0.6,0.2,0.8,0.7,0.1,0.1,0.2,0.09,0,1.8,0.25,-0.2
Las Palmas,Real Madrid,2024-08-29,D,H,1,1,0,0,0,1,43,0,26,7,53.8,38.8,2,12,14.3,17,10,58.8,6,35.3,362,1736,904,18,13,14,0,0.0,0,0,0,16,12,2,1,0,1,0,0,0,14,35.7,29.4,7,0.14,0.5,2,28.6,18.1,0,1,0,1,0,34,0,,376,455,82.6,7,21,4,1,20,5719,2095,218,236,92.4,114,134,85.1,31,64,48.4,1,1,0,0.0,1,0,0.0,0,0,0,413,41,12,2,2,14,11,2,2,0,0,1,4,373,13,2,15,7,13,10,0,1,1,1,0,8,7,100.0,587,112,263,254,74,8,587,24,14,17,5,2,13,27,48.1,14,13,6,7,13,37,32,0,0.8,0.8,-1.7,-1.3,0.8,0.4,0.2,0.2,0.2,0.11,0,1.4,0.07,0.4
Las Palmas,Alavés,2024-09-01,L,A,0,2,-2,0,0,0,70,0,22,6,4.5,22.9,18,12,60.0,14,9,64.3,4,28.6,418,2126,1149,15,20,13,2,15.4,0,0,0,9,13,0,0,0,0,0,0,0,9,11.1,22.1,12,0.0,0.0,6,50.0,18.4,1,0,0,1,0,28,0,3.0,551,647,85.2,10,32,6,2,40,9331,3287,260,278,93.5,234,273,85.7,42,68,61.8,1,0,0,,0,0,,0,0,0,597,50,13,1,4,18,20,5,1,3,0,0,8,543,20,1,11,12,24,18,2,2,1,1,0,5,3,60.0,730,57,215,394,123,13,730,10,6,4,6,0,5,12,41.7,7,11,4,7,4,14,18,0,0.7,0.7,-1.4,-0.6,0.6,0.8,-0.7,-0.7,-0.6,0.06,1,1.8,0.36,-0.2
Las Palmas,Athletic Club,2024-09-15,L,H,2,3,-1,0,0,2,64,0,31,4,29.0,29.3,10,19,34.5,14,4,28.6,10,71.4,446,2281,1061,11,13,11,1,9.1,1,0,0,8,11,4,3,0,0,0,1,0,5,0.0,21.4,15,0.13,0.4,5,33.3,17.9,2,0,0,0,0,55,5,20.5,525,655,80.2,9,38,14,3,53,8696,2756,270,302,89.4,207,240,86.3,37,75,49.3,0,0,0,,0,0,,0,1,0,606,49,11,0,2,32,20,9,2,5,0,0,15,521,13,1,21,4,26,17,3,1,3,2,0,4,1,25.0,769,58,228,380,165,30,769,19,12,7,10,2,11,24,45.8,13,7,0,7,11,30,14,0,1.4,1.4,-0.3,-0.3,0.6,0.7,0.6,0.6,0.4,0.1,2,2.7,0.67,-0.3
Las Palmas,Osasuna,2024-09-21,L,A,1,2,-1,0,0,1,60,0,38,7,36.8,32.1,12,13,48.0,21,11,52.4,9,42.9,397,1987,1108,13,9,16,0,0.0,5,0,0,11,11,2,2,0,0,0,0,0,10,10.0,23.8,11,0.09,0.17,6,54.5,15.7,0,3,0,1,0,44,1,40.0,428,535,80.0,9,31,4,1,42,7048,2504,207,231,89.6,177,210,84.3,31,67,46.3,1,1,0,0.0,1,0,0.0,0,0,0,477,55,18,4,1,17,20,4,3,0,0,3,8,423,9,7,11,7,21,15,1,4,0,1,0,4,2,75.0,637,68,212,304,126,21,637,17,11,7,8,2,5,14,35.7,9,7,2,5,6,23,23,0,0.8,0.8,-1.1,-0.3,0.8,1.0,0.2,0.2,0.2,0.08,0,1.8,0.25,-0.2
Las Palmas,Betis,2024-09-26,D,H,1,1,0,0,0,1,55,0,50,4,24.0,28.8,7,13,35.0,13,5,38.5,5,38.5,413,1789,904,17,18,17,0,0.0,4,0,0,21,10,2,2,0,0,0,0,0,11,18.2,22.6,8,0.13,0.5,2,25.0,19.9,0,2,0,0,0,53,0,4.0,491,586,83.8,7,26,4,1,33,7675,2758,257,283,90.8,196,213,92.0,22,49,44.9,0,0,0,,0,0,,0,0,0,543,41,14,1,0,12,14,1,0,1,0,2,16,489,18,3,19,7,16,15,0,1,0,0,0,5,4,80.0,696,100,309,272,116,9,696,23,16,15,8,0,12,22,54.5,10,9,1,8,6,29,28,0,1.0,1.0,-0.9,-0.9,1.0,0.8,0.0,0.0,0.0,0.13,0,1.1,0.21,0.1
Las Palmas,Villarreal,2024-09-30,L,A,1,3,-2,0,0,1,57,0,37,3,10.8,25.9,5,8,38.5,17,4,23.5,10,58.8,391,1471,790,16,12,19,0,0.0,4,0,0,11,15,2,2,0,0,0,0,0,5,20.0,15.8,7,0.14,0.33,3,42.9,20.2,0,1,0,1,0,28,0,8.7,586,654,89.6,7,31,4,1,49,10308,3086,240,265,90.6,300,317,94.6,43,61,70.5,1,0,1,100.0,0,1,100.0,0,0,0,606,47,20,2,3,9,16,2,2,0,0,1,7,581,12,3,11,10,14,11,1,1,0,1,0,7,3,57.1,744,72,264,377,104,11,744,4,3,1,2,1,4,11,36.4,7,11,6,5,6,10,21,1,0.9,0.9,-1.9,-1.1,0.9,1.1,0.1,0.1,0.1,0.12,0,2.3,0.25,-0.7
Las Palmas,Celta Vigo,2024-10-05,L,H,0,1,-1,0,0,0,60,0,31,4,22.6,29.2,22,9,71.0,21,15,71.4,6,28.6,386,2282,1236,29,20,7,0,0.0,3,0,0,9,12,0,0,0,0,0,0,0,7,28.6,25.1,25,0.0,0.0,5,20.0,20.1,2,1,0,0,0,47,6,30.3,482,583,82.7,18,46,13,8,50,8733,2842,207,224,92.4,208,242,86.0,54,79,68.4,0,0,0,,0,0,,0,0,0,527,55,13,1,2,42,22,11,5,2,0,1,18,474,20,11,11,6,49,38,4,3,2,2,0,1,0,0.0,677,52,156,308,222,44,677,12,8,7,4,1,6,17,35.3,11,9,2,7,8,20,11,0,1.3,1.3,0.6,0.6,1.0,1.4,-1.3,-1.3,-1.0,0.05,2,0.8,0.85,-0.2
Las Palmas,Valencia,2024-10-21,W,A,3,2,1,0,0,3,52,0,41,5,61.0,42.6,12,10,54.5,15,4,26.7,11,73.3,342,1518,667,7,4,28,1,3.6,9,0,0,12,12,5,4,0,0,1,0,0,3,0.0,7.3,11,0.27,0.5,6,54.5,20.4,1,0,0,1,0,43,1,12.7,426,522,81.6,7,23,6,1,35,6605,2329,229,246,93.1,161,189,85.2,24,61,39.3,1,1,0,0.0,1,0,0.0,0,1,0,480,42,13,6,2,5,21,2,2,0,0,0,7,426,4,2,14,8,19,15,0,0,2,1,1,7,5,85.7,654,93,284,294,83,12,654,15,9,8,6,1,7,13,53.8,6,14,3,11,10,25,37,2,1.2,1.2,-0.4,0.4,0.8,0.9,1.8,1.8,1.2,0.11,1,2.2,0.18,0.2
