Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Leganés,Osasuna,2024-08-17,D,A,1,1,0,0,0,1,39,0,20,0,90.0,55.5,18,26,40.9,13,5,38.5,5,38.5,206,968,382,9,8,29,0,0.0,2,0,0,12,13,2,2,0,0,0,0,0,12,91.7,65.6,10,0.1,0.25,4,40.0,17.0,1,2,0,0,1,35,0,,213,340,62.6,6,9,3,0,16,3591,1643,99,124,79.8,82,121,67.8,17,66,25.8,0,0,0,,0,0,,0,0,1,286,52,14,1,0,15,20,4,1,3,0,2,6,211,8,1,24,10,19,9,3,1,2,3,1,6,6,83.3,478,83,198,220,65,8,478,20,11,9,10,1,11,19,57.9,8,11,5,6,9,29,43,0,1.0,1.0,-0.8,-0.8,0.8,0.5,0.0,0.0,0.2,0.1,1,1.2,0.21,1.2
Leganés,Las Palmas,2024-08-25,W,H,2,1,1,0,1,2,39,1,24,2,45.8,40.3,15,12,55.6,11,3,27.3,8,72.7,231,1165,492,11,13,20,1,5.0,1,0,0,11,9,4,3,0,0,0,0,1,9,88.9,66.8,9,0.22,0.5,4,44.4,20.4,1,1,1,0,0,38,0,7.0,274,376,72.9,6,17,9,2,25,5269,2040,106,124,85.5,122,142,85.9,36,83,43.4,0,0,0,,0,0,,0,0,0,338,37,8,1,5,16,15,3,3,0,0,1,11,272,13,3,18,5,16,11,1,1,0,1,2,5,4,80.0,502,63,206,198,103,24,501,13,10,6,7,0,4,9,44.4,5,12,1,11,14,27,30,0,1.5,0.7,0.6,-0.2,0.6,0.6,0.5,1.3,1.4,0.08,1,2.3,0.47,1.3
Leganés,Valladolid,2024-08-28,D,A,0,0,0,0,0,0,42,0,21,4,66.7,53.5,6,14,30.0,17,10,58.8,6,35.3,290,1329,545,6,8,23,3,13.0,5,0,0,19,12,0,0,0,0,0,0,0,9,100.0,73.6,7,0.0,0.0,1,14.3,26.9,1,2,0,0,0,31,0,6.3,311,390,79.7,5,15,3,1,25,5827,1957,121,136,89.0,149,158,94.3,31,68,45.6,0,0,0,,0,0,,0,0,0,349,39,11,0,4,12,14,4,2,1,0,2,15,310,8,3,8,13,14,9,2,2,0,1,0,2,2,100.0,481,57,174,229,81,6,481,12,10,6,6,0,7,17,41.2,10,8,1,7,8,20,27,0,0.2,0.2,-0.9,-0.9,0.1,0.3,-0.2,-0.2,-0.1,0.03,1,0.4,0.22,0.4
Leganés,Mallorca,2024-08-31,L,H,0,1,-1,0,0,0,54,0,22,4,36.4,34.6,17,26,39.5,19,10,52.6,8,42.1,342,1798,953,14,12,15,1,6.7,1,0,0,11,17,0,0,0,0,0,0,0,7,85.7,59.9,9,0.0,0.0,2,22.2,18.8,0,3,0,0,0,37,0,10.2,405,508,79.7,7,31,9,2,41,7689,2484,165,192,85.9,187,219,85.4,46,81,56.8,0,0,0,,0,0,,0,0,0,465,40,17,1,9,17,13,1,0,1,0,3,6,404,12,2,9,5,17,14,0,2,0,1,0,3,2,66.7,614,51,219,279,124,16,614,15,11,8,7,0,6,9,66.7,3,11,4,7,14,29,27,0,0.3,0.3,-0.7,-0.7,0.3,0.7,-0.3,-0.3,-0.3,0.04,0,1.2,0.39,0.2
Leganés,Betis,2024-09-13,L,A,0,2,-2,0,0,0,36,0,25,5,68.0,49.4,15,14,51.7,15,8,53.3,6,40.0,209,771,389,3,8,23,2,8.7,2,0,0,18,11,0,0,0,0,0,0,0,12,75.0,55.9,3,0.0,,0,0.0,27.0,0,1,0,0,0,37,0,6.0,274,372,73.7,1,17,2,0,23,4798,2017,128,147,87.1,110,134,82.1,28,67,41.8,0,0,0,,0,0,,0,0,0,335,36,13,0,1,7,7,1,1,0,0,1,8,271,8,0,15,5,5,4,0,0,1,0,0,5,3,60.0,477,75,205,211,66,5,477,17,13,8,8,1,9,16,56.3,7,10,2,8,12,29,23,0,0.1,0.1,-2.0,-2.0,0.1,0.1,-0.1,-0.1,-0.1,0.03,0,2.3,0.47,0.3
Leganés,Athletic Club,2024-09-19,L,H,0,2,-2,0,0,0,48,0,18,5,33.3,30.3,20,9,69.0,6,4,66.7,1,16.7,251,1211,576,11,6,20,0,0.0,3,0,0,12,9,0,0,0,0,0,0,0,6,50.0,43.7,14,0.0,0.0,3,21.4,20.7,0,4,0,0,0,50,0,14.5,363,477,76.1,8,21,8,4,22,6704,2444,148,176,84.1,173,203,85.2,37,80,46.3,0,0,0,,0,0,,0,1,0,419,54,13,3,2,17,28,4,2,1,0,4,5,362,6,4,20,3,18,12,1,1,3,0,1,4,2,50.0,590,49,249,250,95,16,590,24,13,9,13,2,8,16,50.0,8,11,2,9,5,29,27,0,0.9,0.9,-0.4,-0.4,0.5,0.5,-0.9,-0.9,-0.5,0.07,0,1.4,0.34,-0.6
Leganés,Getafe,2024-09-22,D,A,1,1,0,0,0,1,41,0,19,0,84.2,58.5,19,25,43.2,18,7,38.9,9,50.0,191,789,282,7,10,20,2,10.0,2,0,0,17,15,2,0,1,0,0,1,0,10,100.0,71.7,6,0.17,0.5,2,33.3,23.6,0,1,0,1,0,36,1,7.4,207,339,61.1,4,10,1,1,17,3959,1539,90,108,83.3,82,125,65.6,33,94,35.1,1,1,0,0.0,1,0,0.0,0,0,0,283,55,14,1,2,11,27,2,2,0,0,1,6,205,10,4,15,10,8,5,1,0,1,1,0,4,3,100.0,477,62,217,199,66,9,477,29,20,16,10,3,9,18,50.0,9,17,7,10,7,36,40,0,0.6,0.6,-1.0,-0.2,0.5,0.2,0.4,0.4,0.5,0.1,0,1.4,0.16,0.4
Leganés,Rayo Vallecano,2024-09-28,D,A,1,1,0,0,0,1,46,0,26,5,61.5,49.2,9,13,40.9,19,11,57.9,6,31.6,307,1746,1038,16,12,13,0,0.0,1,0,0,7,11,2,1,0,1,0,0,0,6,100.0,76.8,13,0.08,0.33,3,23.1,17.8,1,2,0,0,0,51,0,12.7,343,450,76.2,8,32,3,0,34,6108,2328,168,186,90.3,124,156,79.5,42,83,50.6,0,0,0,,0,0,,0,0,0,406,42,13,3,4,26,16,5,2,2,0,2,9,342,12,4,8,9,22,10,4,2,0,2,4,6,5,83.3,564,61,201,230,135,13,564,21,13,9,7,5,11,22,50.0,11,10,5,5,11,32,29,1,0.9,0.9,0.0,0.0,0.5,0.7,0.1,0.1,0.5,0.07,1,1.4,0.23,0.4
Leganés,Valencia,2024-10-04,D,H,0,0,0,0,0,0,59,0,21,6,38.1,34.2,15,15,50.0,13,5,38.5,5,38.5,446,2026,1054,19,14,13,1,7.7,2,0,0,15,13,0,0,0,0,0,0,0,11,45.5,45.0,8,0.0,,0,0.0,16.8,0,9,0,0,0,37,1,14.4,461,567,81.3,6,30,4,1,38,7971,2706,226,244,92.6,176,202,87.1,48,86,55.8,0,0,0,,0,0,,0,0,0,515,43,15,1,3,12,15,1,1,0,0,9,5,459,14,4,14,10,15,9,2,2,1,1,0,1,1,100.0,661,59,238,304,125,11,661,15,7,5,8,2,8,13,61.5,5,7,1,6,5,20,20,0,0.8,0.8,0.3,0.3,0.7,0.5,-0.8,-0.8,-0.7,0.1,0,0.2,0.18,0.2
Leganés,Atlético Madrid,2024-10-20,L,A,1,3,-2,0,0,1,37,0,23,2,56.5,44.2,8,13,38.1,23,11,47.8,10,43.5,219,926,410,9,10,22,2,9.1,1,0,0,8,13,2,2,0,0,0,0,0,11,72.7,51.7,5,0.2,0.5,2,40.0,24.0,1,1,0,0,0,47,1,10.9,280,370,75.7,4,17,1,0,18,5464,2231,117,134,87.3,122,148,82.4,39,75,52.0,0,0,0,,0,0,,0,0,0,320,49,13,2,2,7,19,2,1,0,0,1,5,278,10,2,20,9,9,7,0,0,0,1,1,8,5,62.5,517,100,247,217,67,8,517,12,8,8,2,2,7,23,30.4,16,14,8,6,16,28,51,4,0.3,0.3,-4.1,-4.1,0.2,0.1,0.7,0.7,0.8,0.05,1,3.6,0.45,0.6
