Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Mallorca,Real Madrid,2024-08-18,D,H,1,1,0,0,0,1,34,0,5,0,160.0,91.2,10,10,50.0,15,6,40.0,9,60.0,228,1315,617,10,9,9,0,0.0,1,0,0,11,6,2,1,1,0,0,0,0,10,30.0,31.3,12,0.08,0.2,5,41.7,17.2,0,0,0,0,0,42,0,3.5,287,362,79.3,7,26,6,2,28,5373,2031,135,148,91.2,110,131,84.0,39,71,54.9,0,0,0,,0,0,,0,0,0,321,41,5,1,7,24,16,8,3,4,0,0,7,282,9,3,9,6,22,17,2,1,2,0,0,5,4,80.0,478,62,164,207,115,18,478,18,11,12,6,0,8,19,42.1,11,11,3,8,14,32,29,0,1.0,1.0,0.4,0.4,0.4,0.5,0.0,0.0,0.6,0.09,0,1.2,0.25,0.2
Mallorca,Osasuna,2024-08-24,L,A,0,1,-1,0,0,0,54,0,22,5,54.5,50.0,25,18,58.1,24,9,37.5,14,58.3,269,1708,913,17,11,17,0,0.0,1,0,0,8,10,0,0,0,0,0,0,0,10,30.0,30.1,10,0.0,0.0,1,10.0,17.9,0,0,0,0,0,40,0,8.3,335,431,77.7,9,41,11,6,48,7174,2519,112,125,89.6,155,180,86.1,64,107,59.8,0,0,0,,0,0,,0,0,0,383,48,11,0,7,26,21,4,1,2,0,0,11,326,11,2,14,9,19,15,1,2,1,0,0,5,4,80.0,566,75,202,242,133,15,566,23,12,13,7,3,8,12,66.7,4,10,3,7,6,29,45,1,0.6,0.6,0.0,0.0,0.6,1.1,-0.6,-0.6,-0.6,0.06,0,0.6,0.12,-0.4
Mallorca,Sevilla,2024-08-27,D,H,0,0,0,0,0,0,45,0,14,3,42.9,47.2,14,12,53.8,10,6,60.0,3,30.0,327,1470,605,10,11,16,0,0.0,0,0,0,15,9,0,0,0,0,0,0,0,11,9.1,21.5,12,0.0,0.0,4,33.3,16.5,0,3,0,0,0,40,0,,345,438,78.8,9,34,5,3,33,6256,2328,158,182,86.8,130,153,85.0,43,72,59.7,0,0,0,,0,0,,0,0,0,385,50,11,0,4,25,22,5,2,3,0,3,9,342,11,4,14,10,22,13,3,2,2,2,0,7,7,100.0,547,63,174,210,171,14,547,13,5,4,5,4,5,10,50.0,5,8,3,5,8,21,27,0,0.9,0.9,0.1,0.1,0.4,0.8,-0.9,-0.9,-0.4,0.08,0,1.0,0.14,1.0
Mallorca,Leganés,2024-08-31,W,A,1,0,1,0,0,1,46,0,21,3,66.7,50.7,26,17,60.5,10,3,30.0,6,60.0,268,1619,781,19,15,12,0,0.0,3,0,0,17,10,2,2,0,0,0,0,0,8,12.5,18.3,12,0.08,0.33,3,25.0,16.1,0,0,0,0,0,33,1,17.5,344,441,78.0,8,26,11,6,36,6733,2777,142,164,86.6,153,178,86.0,46,82,56.1,0,0,0,,0,0,,0,0,0,393,48,14,2,3,24,22,3,2,1,0,0,10,339,15,4,11,9,22,19,2,0,1,0,0,2,2,100.0,543,55,186,219,143,26,543,13,8,8,3,2,8,18,44.4,10,5,1,4,15,28,32,0,1.0,1.0,0.7,0.7,0.7,1.4,0.0,0.0,0.3,0.08,0,0.0,0.01,0.0
Mallorca,Villarreal,2024-09-14,L,H,1,2,-1,0,0,0,53,0,31,7,38.7,37.5,12,21,36.4,12,4,33.3,6,50.0,375,1970,1059,20,20,15,1,6.7,3,1,0,11,9,0,0,0,0,0,0,0,13,30.8,30.2,9,0.0,0.0,4,44.4,16.9,0,2,0,0,0,41,0,4.0,381,493,77.3,7,29,8,3,42,6675,2707,192,226,85.0,152,181,84.0,35,70,50.0,0,0,0,,0,0,,0,1,0,444,47,11,0,3,31,13,7,3,4,0,2,10,379,20,0,11,4,18,12,4,1,1,0,0,4,2,50.0,580,76,196,220,171,21,580,15,14,10,3,2,6,8,75.0,2,15,7,8,4,19,12,0,0.3,0.3,-1.4,-1.4,0.2,0.5,-0.3,-0.3,-0.2,0.04,0,2.0,0.51,0.0
Mallorca,Real Sociedad,2024-09-17,W,H,1,0,1,1,0,0,40,1,28,0,60.7,43.6,22,18,55.0,13,10,76.9,2,15.4,186,1226,513,12,9,13,0,0.0,1,0,0,5,9,1,0,0,0,1,0,0,9,44.4,43.0,9,0.0,0.0,3,33.3,17.4,0,3,0,0,0,50,0,7.0,293,392,74.7,8,16,4,1,19,5686,2323,117,133,88.0,115,144,79.9,48,86,55.8,0,0,0,,0,0,,0,0,0,353,36,10,1,1,14,11,5,1,3,1,3,3,288,9,1,11,13,17,10,5,0,1,1,0,5,5,100.0,503,68,187,234,89,14,502,17,11,10,4,3,8,14,57.1,6,8,2,6,11,28,31,0,1.2,0.4,0.6,-0.2,0.4,0.5,-0.2,-0.4,-0.4,0.04,0,0.2,0.05,0.2
Mallorca,Betis,2024-09-23,W,A,2,1,1,0,0,2,39,0,17,3,47.1,43.2,12,14,46.2,15,6,40.0,8,53.3,202,1046,532,11,7,18,1,5.6,3,0,0,14,12,4,3,1,0,0,0,0,6,33.3,30.7,7,0.29,0.33,6,85.7,14.1,0,3,0,0,0,33,0,2.0,321,405,79.3,6,18,6,4,20,5487,2092,151,180,83.9,133,149,89.3,31,55,56.4,0,0,0,,0,0,,0,0,0,358,44,12,0,2,11,21,3,0,3,0,3,6,316,7,4,17,14,13,10,2,0,1,0,0,6,5,83.3,536,66,182,263,95,16,536,15,9,9,4,2,4,10,40.0,6,11,5,6,4,19,33,1,1.0,1.0,0.0,0.0,0.9,0.5,1.0,1.0,1.1,0.15,0,1.0,0.17,0.0
Mallorca,Valladolid,2024-09-27,W,A,2,1,1,0,0,2,49,0,25,1,56.0,41.4,20,18,52.6,17,10,58.8,6,35.3,303,1604,808,14,15,21,0,0.0,2,0,0,11,15,3,2,0,0,0,0,1,12,66.7,54.8,17,0.12,0.33,6,35.3,16.4,0,1,0,0,0,41,0,17.0,345,452,76.3,12,22,7,3,33,6577,2329,141,157,89.8,148,183,80.9,47,87,54.0,0,0,0,,0,0,,0,0,0,401,50,18,1,5,21,14,4,1,2,0,1,8,344,15,1,17,7,24,16,2,2,3,0,1,1,0,0.0,569,65,194,244,142,16,569,19,12,9,7,3,8,13,61.5,5,10,4,6,7,26,26,0,2.2,2.2,1.1,1.1,1.8,0.8,-0.2,-0.2,-0.8,0.13,0,0.9,0.88,-0.1
Mallorca,Espanyol,2024-10-05,L,A,1,2,-1,0,0,1,60,0,24,5,16.7,25.5,18,24,42.9,19,12,63.2,7,36.8,362,1944,852,14,14,10,0,0.0,5,0,0,19,10,1,0,0,0,1,0,0,8,37.5,32.9,11,0.09,0.2,5,45.5,13.6,1,0,0,0,0,39,0,8.3,390,486,80.2,8,28,10,6,31,6997,2540,187,208,89.9,149,175,85.1,47,78,60.3,0,0,0,,0,0,,0,0,0,424,62,13,0,5,33,32,6,3,2,0,0,13,384,14,1,24,22,17,8,3,2,2,1,1,3,1,33.3,591,50,181,249,166,23,591,12,9,7,2,3,5,12,41.7,7,8,0,8,10,22,20,1,1.6,1.6,0.7,0.7,1.4,0.8,-0.6,-0.6,-0.4,0.16,1,1.1,0.38,-0.9
Mallorca,Rayo Vallecano,2024-10-20,W,H,1,0,1,0,0,1,51,0,23,3,60.9,47.9,20,11,64.5,14,5,35.7,4,28.6,246,1389,661,13,17,15,0,0.0,1,0,0,9,12,2,1,1,0,0,0,0,11,45.5,36.8,19,0.05,0.2,5,26.3,12.5,0,2,0,0,0,46,1,18.5,304,420,72.4,12,30,6,3,36,6083,2817,124,151,82.1,127,167,76.0,49,88,55.7,0,0,0,,0,0,,0,0,0,363,55,13,1,3,27,21,9,3,6,0,2,9,296,17,2,9,8,33,18,6,2,4,2,1,2,2,100.0,513,56,145,241,131,24,513,11,8,5,5,1,3,7,42.9,4,10,1,9,12,23,14,0,2.0,2.0,1.4,1.4,1.6,1.3,-1.0,-1.0,-0.6,0.11,0,0.1,0.06,0.1
Mallorca,Athletic Club,2024-10-28,D,H,0,0,0,0,0,0,33,0,33,5,66.7,44.5,23,12,65.7,16,5,31.3,11,68.8,199,1002,393,3,5,25,1,4.0,5,1,1,9,12,0,0,0,0,0,0,0,18,83.3,58.2,4,0.0,0.0,1,25.0,13.6,0,1,0,0,0,42,2,12.8,209,296,70.6,3,16,2,2,19,4842,2512,73,91,80.2,87,110,79.1,45,82,54.9,0,0,0,,0,0,,0,0,0,249,46,16,0,2,8,10,1,0,1,0,1,6,208,5,1,17,7,6,3,2,0,1,0,0,1,1,100.0,418,93,195,170,59,9,418,20,10,14,3,3,11,16,68.8,5,14,8,6,12,32,34,0,0.5,0.5,-0.1,-0.1,0.4,0.3,-0.5,-0.5,-0.4,0.15,0,0.1,0.07,0.1
Mallorca,Alavés,2024-11-01,L,A,0,1,-1,0,0,0,49,0,32,4,53.1,43.9,19,27,41.3,18,7,38.9,7,38.9,245,1243,599,9,7,17,3,17.6,2,0,0,12,19,0,0,0,0,0,0,0,6,50.0,38.3,7,0.0,0.0,2,28.6,16.6,0,3,0,0,0,36,2,12.8,252,355,71.0,5,19,7,3,24,4530,2010,124,141,87.9,86,114,75.4,30,77,39.0,0,0,0,,0,0,,0,0,0,295,57,19,1,2,14,28,2,1,1,0,3,3,247,7,0,21,15,13,8,2,1,1,1,0,3,2,66.7,474,59,175,197,104,10,474,16,10,7,7,2,8,11,72.7,3,10,6,4,13,29,25,1,0.5,0.5,-0.6,-0.6,0.3,0.6,-0.5,-0.5,-0.3,0.07,0,1.2,0.4,0.2
Mallorca,Atlético Madrid,2024-11-10,L,H,0,1,-1,0,0,0,53,0,19,2,15.8,24.1,19,6,76.0,18,7,38.9,8,44.4,398,1597,932,16,9,5,0,0.0,1,0,0,10,16,0,0,0,0,0,0,0,6,33.3,35.2,13,0.0,0.0,5,38.5,15.5,2,3,0,0,0,42,1,18.5,506,582,86.9,9,61,12,7,54,9440,3105,201,216,93.1,249,277,89.9,52,75,69.3,0,0,0,,0,0,,0,0,0,527,52,15,4,2,25,22,7,2,2,0,3,4,503,9,1,7,12,23,15,3,0,3,2,0,2,1,50.0,673,35,138,380,159,22,673,19,12,13,2,4,9,12,75.0,3,8,3,5,8,27,17,1,0.6,0.6,0.0,0.0,0.5,0.8,-0.6,-0.6,-0.5,0.05,2,1.2,0.58,0.2
Mallorca,Las Palmas,2024-11-23,W,A,3,2,1,0,0,3,39,0,21,1,42.9,38.6,17,13,56.7,11,5,45.5,5,45.5,218,1248,594,18,13,23,1,4.3,2,1,0,18,9,5,4,1,0,0,0,0,7,57.1,38.7,9,0.33,1.0,3,33.3,13.4,0,0,0,1,0,33,0,9.0,247,338,73.1,7,18,5,4,24,4475,1819,112,134,83.6,106,138,76.8,25,50,50.0,1,1,0,0.0,1,0,0.0,0,0,0,295,43,11,1,1,18,19,3,3,0,0,0,7,242,13,7,19,6,16,14,2,0,0,0,0,3,1,66.7,445,69,145,195,111,20,445,11,9,2,8,1,2,5,40.0,3,9,5,4,11,22,24,0,1.7,1.7,0.5,1.3,1.1,0.9,1.3,1.3,0.9,0.19,0,1.0,0.1,-1.0
