Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Osasuna,Leganés,2024-08-17,D,H,1,1,0,0,0,0,61,0,16,3,18.8,28.2,26,18,59.1,22,8,36.4,11,50.0,245,1488,777,21,13,12,0,0.0,3,0,0,14,12,0,0,0,0,0,0,0,3,66.7,49.3,16,0.0,0.0,6,37.5,13.8,0,1,0,0,0,46,5,30.5,384,528,72.7,13,35,9,5,35,6575,2394,185,224,82.6,155,194,79.9,34,83,41.0,0,0,0,,0,0,,0,0,0,471,56,14,0,6,37,31,6,3,3,0,1,11,375,13,2,19,9,32,25,3,2,1,1,0,4,3,75.0,647,33,132,320,201,26,647,15,9,3,8,4,5,10,50.0,5,9,4,5,5,20,23,0,1.7,1.7,0.8,0.8,1.5,1.4,-1.7,-1.7,-1.5,0.11,0,1.5,0.39,0.5
Osasuna,Mallorca,2024-08-24,W,H,1,0,1,0,0,1,46,0,15,4,60.0,47.7,18,25,41.9,12,4,33.3,8,66.7,206,1265,620,18,10,20,2,10.0,2,0,0,10,8,1,0,0,0,1,0,0,11,81.8,63.5,15,0.07,0.2,5,33.3,19.2,1,1,0,0,0,40,0,7.0,262,371,70.6,8,23,4,3,32,5002,2081,114,135,84.4,105,134,78.4,38,88,43.2,0,0,0,,0,0,,0,0,0,318,52,6,0,3,23,29,5,1,0,0,1,10,257,10,5,11,15,25,15,5,0,4,1,0,1,1,100.0,488,45,135,209,146,16,488,23,12,7,14,2,14,23,60.9,9,15,5,10,10,33,19,0,0.6,0.6,0.0,0.0,0.2,0.3,0.4,0.4,-0.2,0.04,1,0.1,0.06,0.1
Osasuna,Girona,2024-08-29,L,A,0,4,-4,0,0,0,40,0,41,1,29.3,35.4,8,3,72.7,13,7,53.8,4,30.8,294,1315,515,10,10,18,3,16.7,0,0,0,9,10,0,0,0,0,0,0,0,8,0.0,19.1,1,0.0,,0,0.0,30.0,0,2,0,0,0,32,1,13.8,344,419,82.1,1,22,1,0,18,5986,2300,147,170,86.5,161,180,89.4,27,51,52.9,0,0,0,,0,0,,0,0,0,376,41,14,0,0,6,14,0,0,0,0,2,7,340,10,0,9,7,2,1,0,1,0,0,0,5,1,20.0,491,75,236,193,67,2,491,15,5,8,5,2,7,14,50.0,7,7,2,5,9,24,17,1,0.0,0.0,-2.4,-2.4,0.0,0.1,0.0,0.0,0.0,0.04,0,3.4,0.69,-0.6
Osasuna,Celta Vigo,2024-09-01,W,H,3,2,1,0,0,2,50,0,25,3,48.0,40.6,13,6,68.4,16,9,56.3,7,43.8,307,1571,723,16,14,6,0,0.0,2,0,0,19,9,3,2,0,0,1,0,0,7,85.7,61.9,10,0.2,0.67,3,30.0,14.6,0,3,0,0,1,40,6,26.1,396,489,81.0,8,33,4,1,41,7965,2819,144,167,86.2,193,221,87.3,54,88,61.4,0,0,0,,0,0,,0,0,1,444,42,13,1,7,21,13,6,4,0,0,3,5,392,14,3,9,2,15,8,3,0,4,0,0,4,3,50.0,591,47,167,306,122,22,591,18,8,7,9,2,9,13,69.2,4,18,4,14,11,29,17,1,0.9,0.9,-0.7,-0.7,0.9,1.0,1.1,1.1,1.1,0.1,0,1.5,0.37,0.5
Osasuna,Rayo Vallecano,2024-09-16,L,A,1,3,-2,0,0,1,35,0,26,1,92.3,57.2,22,10,68.8,22,11,50.0,8,36.4,160,826,403,9,6,25,1,4.0,2,0,0,15,12,1,0,0,1,0,0,0,13,92.3,64.5,5,0.2,0.5,2,40.0,18.4,0,0,0,0,0,31,1,11.3,170,290,58.6,4,14,5,2,19,3572,2019,86,110,78.2,43,69,62.3,36,82,43.9,0,0,0,,0,0,,0,1,0,230,60,15,0,1,12,24,4,3,1,0,0,9,168,6,3,17,10,9,5,1,3,0,0,0,6,3,50.0,410,64,153,176,87,15,410,18,13,8,8,2,5,16,31.3,11,18,3,15,4,22,29,0,0.3,0.3,-1.3,-1.3,0.3,0.5,0.7,0.7,-0.3,0.07,0,1.3,0.21,-1.7
Osasuna,Las Palmas,2024-09-21,W,H,2,1,1,1,0,1,40,1,29,3,34.5,34.1,13,12,52.0,14,9,64.3,5,35.7,200,1438,853,17,11,14,1,7.1,2,0,0,15,11,4,2,0,1,0,1,0,8,12.5,25.3,12,0.08,0.33,3,25.0,16.7,0,3,1,0,0,47,4,20.4,260,363,71.6,10,24,5,3,39,4780,2048,107,129,82.9,130,160,81.3,20,59,33.9,0,0,0,,0,0,,0,1,0,309,51,13,1,1,21,26,2,0,0,0,3,7,259,11,6,14,12,24,17,3,1,0,3,0,6,5,83.3,468,59,153,192,127,20,467,16,10,6,9,1,9,20,45.0,11,7,0,7,10,26,23,0,1.9,1.2,1.1,0.3,1.0,0.8,0.1,-0.2,0.0,0.1,0,1.3,0.21,0.3
Osasuna,Valencia,2024-09-24,D,A,0,0,0,0,0,0,48,0,35,5,48.6,38.3,17,13,56.7,12,5,41.7,7,58.3,217,1185,522,6,5,21,2,9.5,3,0,0,11,4,0,0,0,0,0,0,0,9,55.6,44.9,9,0.0,0.0,2,22.2,19.8,0,2,0,0,0,30,4,18.4,302,416,72.6,7,22,8,4,30,5999,2390,112,133,84.2,138,169,81.7,44,84,52.4,0,0,0,,0,0,,0,0,0,360,54,11,0,5,24,28,5,2,2,0,2,14,296,5,3,16,9,17,12,4,0,0,1,0,3,3,100.0,524,68,174,226,127,16,524,14,7,6,7,1,6,13,46.2,7,17,4,13,3,17,34,0,0.5,0.5,-0.2,-0.2,0.4,0.5,-0.5,-0.5,-0.4,0.05,0,0.3,0.09,0.3
Osasuna,Barcelona,2024-09-28,W,H,4,2,2,1,0,3,27,1,17,1,82.4,56.2,15,7,68.2,12,5,41.7,6,50.0,157,895,438,15,9,12,0,0.0,2,0,0,13,3,7,4,0,1,0,1,1,6,100.0,68.3,10,0.3,0.75,4,40.0,19.2,0,10,1,0,0,48,6,18.6,161,270,59.6,6,19,2,2,23,3374,1594,70,91,76.9,55,78,70.5,31,73,42.5,0,0,0,,0,0,,0,0,0,220,40,2,1,5,17,24,5,2,2,0,10,10,160,9,9,16,9,14,10,1,1,0,1,1,6,4,66.7,376,60,140,123,118,23,375,18,13,9,5,4,10,22,45.5,12,10,2,8,9,27,30,1,2.2,1.4,1.4,0.6,1.3,0.7,1.8,1.6,0.7,0.14,0,1.4,0.23,-0.6
Osasuna,Getafe,2024-10-05,D,A,1,1,0,0,0,1,59,0,37,5,35.1,35.2,27,26,50.9,18,9,50.0,9,50.0,227,991,420,8,6,13,1,7.7,4,0,0,10,16,1,1,0,0,0,0,0,8,25.0,35.0,6,0.17,0.5,2,33.3,18.9,0,0,0,0,0,27,2,23.7,261,398,65.6,4,18,6,5,27,4925,2234,110,139,79.1,117,160,73.1,29,80,36.3,0,0,0,,0,0,,0,0,0,332,66,22,0,2,25,32,2,1,1,0,0,8,255,6,2,20,4,7,4,1,1,0,1,0,3,2,66.7,514,72,204,223,95,12,514,24,15,15,7,2,10,18,55.6,8,7,3,4,6,30,34,0,0.3,0.3,-0.5,-0.5,0.3,0.4,0.7,0.7,0.7,0.06,0,1.4,0.47,0.4
Osasuna,Betis,2024-10-19,L,H,1,2,-1,0,0,1,55,0,26,6,38.5,34.6,12,13,48.0,18,9,50.0,5,27.8,282,1621,835,21,10,9,1,11.1,2,0,0,12,8,2,0,1,0,0,1,0,6,33.3,36.0,19,0.05,0.17,6,31.6,13.2,0,4,0,0,0,37,6,22.4,318,445,71.5,14,37,16,4,49,5867,2587,133,163,81.6,143,182,78.6,34,73,46.6,0,0,0,,0,0,,0,0,0,381,60,12,0,5,32,29,10,4,1,1,4,12,316,10,7,13,6,34,21,4,4,2,2,1,6,4,66.7,550,48,168,210,177,45,550,11,8,7,3,1,3,10,30.0,7,12,2,10,10,21,11,0,2.0,2.0,0.0,0.0,1.3,1.9,-1.0,-1.0,-1.3,0.11,0,2.7,0.46,0.7
