Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Rayo Vallecano,Real Sociedad,2024-08-18,W,A,2,1,1,0,0,2,34,0,4,2,100.0,59.8,20,14,58.8,11,6,54.5,5,45.5,146,789,404,13,10,21,0,0.0,4,0,0,21,14,3,2,0,1,0,0,0,11,81.8,54.5,12,0.17,0.5,4,33.3,21.7,1,3,0,0,0,44,0,,167,269,62.1,6,14,2,0,21,2780,1252,87,98,88.8,58,90,64.4,16,55,29.1,0,0,0,,0,0,,0,0,0,219,47,13,1,1,12,16,5,3,0,0,3,11,165,10,4,12,8,19,9,6,2,1,1,0,4,3,75.0,392,58,146,154,98,17,392,18,10,8,8,2,5,11,45.5,6,8,2,6,7,25,39,0,1.1,1.1,0.0,0.0,0.6,0.6,0.9,0.9,1.4,0.09,1,0.6,0.15,-0.4
Rayo Vallecano,Getafe,2024-08-24,D,A,0,0,0,0,0,0,52,0,16,4,68.8,51.6,20,24,45.5,17,6,35.3,8,47.1,183,988,493,11,3,11,1,9.1,2,0,0,18,16,0,0,0,0,0,0,0,13,84.6,61.2,3,0.0,,0,0.0,29.0,0,4,0,0,0,37,0,7.7,219,353,62.0,3,21,4,1,21,4019,1787,113,135,83.7,69,105,65.7,31,88,35.2,0,0,0,,0,0,,0,0,0,295,54,14,0,0,14,24,2,1,1,0,4,9,217,3,2,17,11,6,4,1,0,0,1,0,0,0,,464,62,188,183,95,7,464,23,17,15,6,2,14,26,53.8,12,6,4,2,11,34,30,0,0.2,0.2,-0.2,-0.2,0.2,0.2,-0.2,-0.2,-0.2,0.08,0,0.0,,0.0
Rayo Vallecano,Barcelona,2024-08-27,L,H,1,2,-1,0,0,1,36,0,23,3,78.3,52.3,10,11,47.6,11,3,27.3,6,54.5,207,1038,453,9,8,14,0,0.0,3,0,0,17,11,2,2,0,0,0,0,0,8,50.0,45.0,8,0.13,0.25,4,50.0,20.9,0,4,0,0,0,51,0,9.8,223,317,70.3,5,20,6,1,31,4533,2222,87,106,82.1,101,122,82.8,32,70,45.7,0,0,0,,0,0,,0,0,0,268,45,11,1,5,24,17,6,3,2,0,4,13,222,8,3,22,2,15,11,3,0,0,0,1,5,3,60.0,446,83,193,164,96,18,446,21,13,12,6,3,11,27,40.7,16,25,11,14,17,38,25,0,0.4,0.4,-1.0,-1.0,0.2,0.4,0.6,0.6,0.8,0.05,0,1.7,0.34,-0.3
Rayo Vallecano,Espanyol,2024-08-31,L,A,1,2,-1,0,0,1,53,0,19,4,26.3,28.9,14,16,46.7,16,7,43.8,7,43.8,283,1434,759,14,8,11,0,0.0,2,0,0,16,12,2,2,0,0,0,0,0,8,12.5,24.3,17,0.06,0.2,5,29.4,23.0,2,2,0,0,0,42,1,13.0,347,445,78.0,8,37,8,4,41,6386,2645,136,164,82.9,173,190,91.1,34,69,49.3,0,0,0,,0,0,,0,0,0,390,53,12,3,0,26,23,7,3,3,0,2,11,345,8,7,11,11,25,16,4,2,0,3,0,3,1,33.3,558,44,158,265,138,24,558,15,12,6,8,1,8,12,66.7,4,10,3,7,9,24,13,0,1.3,1.3,-0.3,-0.3,0.8,0.7,-0.3,-0.3,0.2,0.08,2,1.6,0.61,-0.4
Rayo Vallecano,Osasuna,2024-09-16,W,H,3,1,2,0,0,3,65,0,22,5,31.8,37.5,10,22,31.3,16,11,68.8,5,31.3,342,1769,876,23,16,9,0,0.0,3,0,0,12,14,3,3,0,0,0,0,0,9,22.2,31.4,17,0.18,0.5,6,35.3,18.9,0,3,0,0,0,52,1,24.0,416,547,76.1,15,34,11,3,52,7158,3065,194,227,85.5,165,197,83.8,41,86,47.7,0,0,0,,0,0,,0,0,0,485,59,14,0,5,28,27,7,3,4,0,3,16,415,16,7,25,13,25,22,0,1,1,1,0,2,1,50.0,654,48,183,295,187,25,654,18,16,10,8,0,8,19,42.1,11,6,0,6,3,21,14,0,1.6,1.6,1.3,1.3,1.6,0.8,1.4,1.4,1.4,0.1,0,0.2,0.08,-0.8
Rayo Vallecano,Atlético Madrid,2024-09-22,D,H,1,1,0,0,0,1,54,0,38,3,52.6,42.2,11,21,34.4,11,4,36.4,7,63.6,335,1723,690,10,8,9,3,33.3,0,0,0,9,12,1,0,0,0,1,0,0,4,25.0,32.0,16,0.06,0.25,4,25.0,20.8,1,0,0,0,0,49,1,13.8,442,558,79.2,9,43,4,2,43,8329,2707,172,199,86.4,222,253,87.7,44,94,46.8,0,0,0,,0,0,,0,0,0,519,39,10,2,3,17,20,3,1,0,0,0,9,437,8,2,17,5,27,19,1,2,3,2,0,5,4,80.0,663,69,211,298,163,11,663,7,4,4,3,0,6,15,40.0,9,6,3,3,14,21,19,0,1.7,1.7,1.1,1.1,1.6,0.6,-0.7,-0.7,-0.6,0.12,1,1.3,0.26,0.3
Rayo Vallecano,Girona,2024-09-25,D,A,0,0,0,0,0,0,29,0,13,2,69.2,55.4,7,4,63.6,13,4,30.8,7,53.8,190,800,354,5,6,16,1,6.3,4,0,0,16,8,0,0,0,0,0,0,0,10,40.0,34.9,2,0.0,,0,0.0,17.2,0,0,0,0,0,42,0,4.0,211,288,73.3,2,15,3,1,22,3955,1750,100,113,88.5,83,109,76.1,26,55,47.3,0,0,0,,0,0,,0,0,0,250,38,10,0,3,12,14,3,1,2,0,0,7,211,6,2,16,8,4,4,0,0,0,0,0,1,1,100.0,398,60,170,157,75,7,398,23,13,12,8,3,7,13,53.8,6,9,3,6,13,36,26,0,0.5,0.5,-1.5,-1.5,0.5,0.2,-0.5,-0.5,-0.5,0.23,0,0.1,0.09,0.1
Rayo Vallecano,Leganés,2024-09-28,D,H,1,1,0,0,0,1,54,0,29,6,37.9,35.7,13,9,59.1,22,11,50.0,11,50.0,313,1771,954,21,16,22,3,13.6,2,0,0,12,5,2,0,0,1,0,0,1,7,57.1,49.7,15,0.07,0.17,6,40.0,19.2,0,2,0,0,0,51,0,7.4,421,521,80.8,13,30,7,2,41,7447,2868,181,202,89.6,194,216,89.8,35,76,46.1,0,0,0,,0,0,,0,0,0,468,51,9,0,1,19,28,5,2,3,0,2,7,419,16,6,13,10,30,21,1,5,1,0,2,3,2,66.7,648,72,272,234,146,23,648,15,10,6,7,2,6,17,35.3,11,10,4,6,10,25,29,0,0.9,0.9,0.0,0.0,0.7,0.7,0.1,0.1,-0.7,0.06,0,1.1,0.36,0.1
Rayo Vallecano,Valladolid,2024-10-05,W,A,2,1,1,0,0,2,60,0,21,3,52.4,40.9,11,8,57.9,22,11,50.0,8,36.4,402,1718,884,18,13,16,0,0.0,2,0,0,18,11,3,2,0,0,1,0,0,7,57.1,47.0,17,0.12,0.67,3,17.6,20.7,2,2,0,0,0,48,0,6.5,422,517,81.6,11,36,11,3,45,8060,3013,165,184,89.7,199,218,91.3,52,88,59.1,0,0,0,,0,0,,0,0,0,468,47,12,1,1,30,13,13,11,0,0,2,8,419,13,4,12,7,33,28,1,1,1,2,0,5,4,80.0,618,63,183,267,176,27,618,11,6,2,4,5,5,14,35.7,9,7,3,4,3,14,27,1,1.5,1.5,-0.5,-0.5,1.0,1.3,0.5,0.5,0.0,0.09,2,1.2,0.25,0.2
Rayo Vallecano,Mallorca,2024-10-20,L,A,0,1,-1,0,0,0,49,0,22,4,59.1,49.0,11,20,35.5,9,4,44.4,3,33.3,268,1403,733,13,8,21,2,9.5,1,0,0,13,8,0,0,0,0,0,0,0,17,47.1,40.6,10,0.0,0.0,2,20.0,17.1,0,0,0,0,0,38,1,12.5,305,407,74.9,8,20,7,4,26,5599,2376,137,167,82.0,138,162,85.2,28,68,41.2,0,0,0,,0,0,,0,1,0,357,50,11,0,0,16,18,2,2,0,0,0,9,303,8,3,9,8,20,18,1,0,1,0,0,5,4,80.0,504,77,203,223,86,12,504,12,8,2,8,2,4,9,44.4,5,10,4,6,8,20,26,0,0.6,0.6,-1.4,-1.4,0.6,0.4,-0.6,-0.6,-0.6,0.06,0,1.6,0.31,0.6
