Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Real Madrid,Mallorca,2024-08-18,D,A,1,1,0,0,0,1,66,0,19,3,15.8,29.4,10,10,50.0,20,11,55.0,8,40.0,512,2692,1289,19,15,21,1,4.8,0,1,0,6,11,1,1,0,0,0,0,0,7,0.0,15.0,13,0.08,0.2,5,38.5,21.3,0,0,0,0,0,38,0,4.5,620,701,88.4,10,45,9,0,66,9785,2873,310,329,94.2,248,270,91.9,38,60,63.3,0,0,0,,0,0,,0,1,0,656,45,11,1,5,13,18,7,2,3,0,0,10,614,15,10,10,10,25,23,1,1,0,0,0,5,4,80.0,793,58,208,364,229,37,793,15,11,11,4,0,9,15,60.0,6,7,1,6,4,19,23,0,0.6,0.6,-0.4,-0.4,0.4,1.0,0.4,0.4,0.6,0.05,0,0.6,0.12,-0.4
Real Madrid,Valladolid,2024-08-25,W,H,3,0,3,0,0,3,63,0,24,6,16.7,28.8,8,13,38.1,31,19,61.3,11,35.5,540,3110,1629,24,27,9,1,11.1,1,0,0,10,14,6,5,1,0,0,0,0,6,0.0,9.7,17,0.18,0.33,9,52.9,17.2,1,4,0,0,0,45,0,9.8,617,689,89.6,15,81,13,2,76,10660,3185,274,294,93.2,284,305,93.1,45,62,72.6,0,0,0,,0,0,,0,0,0,644,41,15,1,5,17,14,5,3,0,0,4,8,613,27,8,13,8,33,26,2,3,2,0,0,0,0,,795,61,157,363,282,28,795,17,10,5,6,6,7,14,50.0,7,10,3,7,9,26,14,0,2.1,2.1,1.7,1.7,2.0,1.5,0.9,0.9,1.0,0.13,1,0.0,,0.0
Real Madrid,Las Palmas,2024-08-29,D,A,1,1,0,1,0,0,57,1,29,5,13.8,26.4,12,2,85.7,28,14,50.0,13,46.4,461,2605,1493,29,28,10,1,10.0,2,0,0,13,15,1,0,0,0,1,0,0,3,33.3,37.0,24,0.0,0.0,7,29.2,18.0,1,0,0,0,0,43,3,13.1,509,593,85.8,19,62,11,1,70,9177,2817,217,246,88.2,237,261,90.8,43,60,71.7,0,0,0,,0,0,,0,0,0,543,50,16,1,7,18,23,6,3,2,0,0,9,505,28,14,15,11,44,30,3,5,5,0,1,2,1,50.0,703,39,135,314,256,43,702,13,9,5,6,2,6,16,37.5,10,5,1,4,9,22,9,0,2.5,2.1,1.7,1.3,1.9,1.7,-1.5,-2.1,-1.9,0.09,1,0.8,0.42,-0.2
Real Madrid,Betis,2024-09-01,W,H,2,0,2,1,0,1,60,1,37,10,2.7,25.2,9,6,60.0,31,16,51.6,13,41.9,438,2583,1572,35,15,5,0,0.0,2,0,0,9,17,4,3,0,0,0,1,0,5,20.0,40.0,21,0.05,0.17,6,28.6,16.3,0,1,1,0,0,35,1,12.4,585,662,88.4,17,58,14,0,58,10595,3491,255,270,94.4,271,299,90.6,55,72,76.4,0,0,0,,0,0,,0,0,0,608,53,18,3,4,21,22,7,2,3,1,1,13,580,15,10,14,8,38,27,4,1,4,2,0,2,2,100.0,777,65,211,310,266,43,776,18,13,7,9,2,8,16,50.0,8,12,6,6,10,28,9,0,2.4,1.7,1.9,1.1,1.5,2.0,-0.4,-0.7,-0.5,0.08,0,0.0,0.01,0.0
Real Madrid,Real Sociedad,2024-09-14,W,A,2,0,2,2,0,0,52,2,24,5,25.0,29.9,8,8,50.0,18,5,27.8,9,50.0,403,2219,1062,14,13,11,1,9.1,1,0,0,9,11,3,0,0,1,1,1,0,11,36.4,31.8,14,0.0,0.0,4,28.6,19.4,1,1,1,0,0,34,0,8.5,459,528,86.9,10,36,8,0,34,7984,2552,206,220,93.6,196,216,90.7,44,66,66.7,0,0,0,,0,0,,0,0,0,482,45,11,0,4,12,16,6,1,2,0,1,6,456,13,6,20,6,25,13,4,3,2,3,0,2,2,100.0,645,88,253,233,163,22,643,17,12,11,4,2,7,11,63.6,4,11,4,7,6,23,12,0,2.3,0.8,1.3,-0.3,0.6,0.7,-0.3,-0.8,-0.6,0.06,1,0.9,0.45,0.9
Real Madrid,Espanyol,2024-09-21,W,H,4,1,3,1,0,3,73,1,23,3,8.7,26.9,9,6,60.0,21,12,57.1,8,38.1,505,2977,1809,47,21,5,1,20.0,4,0,0,7,5,6,3,0,1,1,1,0,7,0.0,20.7,30,0.1,0.23,13,43.3,17.4,0,2,1,0,1,48,0,7.0,663,742,89.4,27,56,21,2,88,11584,3685,304,330,92.1,282,302,93.4,66,81,81.5,0,0,0,,0,0,,0,0,1,701,39,5,4,7,18,16,9,6,2,0,2,15,659,21,13,17,9,58,45,5,2,5,1,0,1,1,0.0,861,44,159,444,260,56,860,10,7,4,4,2,8,14,57.1,6,15,5,10,12,22,6,1,4.4,3.6,4.0,3.2,2.6,2.3,-0.4,-0.6,-0.6,0.12,0,0.2,0.19,0.2
Real Madrid,Alavés,2024-09-24,W,H,3,2,1,0,0,3,68,0,28,7,10.7,24.6,8,10,44.4,30,15,50.0,14,46.7,583,3380,1828,28,15,12,0,0.0,4,0,0,7,10,6,3,0,3,0,0,0,8,37.5,41.4,10,0.3,0.75,4,40.0,14.7,1,2,0,0,0,40,0,15.0,698,767,91.0,7,41,4,1,39,11686,3376,327,352,92.9,303,313,96.8,49,71,69.0,0,0,0,,0,0,,0,0,0,724,41,10,1,7,7,16,4,2,2,0,2,8,694,15,15,15,10,17,9,1,3,2,1,1,3,1,33.3,873,59,227,506,146,28,873,11,7,4,6,1,3,5,60.0,2,12,4,8,10,21,16,1,1.3,1.3,0.4,0.4,1.1,0.8,1.7,1.7,1.9,0.13,1,1.6,0.53,-0.4
Real Madrid,Atlético Madrid,2024-09-29,D,A,1,1,0,0,0,1,49,0,36,10,27.8,31.7,14,9,60.9,14,2,14.3,9,64.3,468,2109,946,13,7,12,1,8.3,1,0,0,11,11,2,1,1,0,0,0,0,5,80.0,63.0,12,0.08,0.25,4,33.3,20.4,0,0,0,0,0,43,0,6.7,513,579,88.6,10,47,5,2,48,9015,2686,250,261,95.8,205,223,91.9,50,80,62.5,0,0,0,,0,0,,0,0,0,545,34,13,0,10,12,9,5,1,2,0,0,3,505,7,3,15,6,23,21,2,0,0,0,0,4,3,75.0,704,74,221,334,150,16,704,15,6,8,5,2,9,15,60.0,6,13,6,7,14,29,24,1,0.8,0.8,-0.5,-0.5,0.7,1.0,0.2,0.2,0.3,0.06,0,1.6,0.39,0.6
Real Madrid,Villarreal,2024-10-05,W,H,2,0,2,0,0,2,55,0,22,2,9.1,24.5,4,5,44.4,21,9,42.9,10,47.6,495,2331,1143,23,20,14,0,0.0,0,0,0,7,11,4,2,2,0,0,0,0,12,25.0,31.5,11,0.18,1.0,2,18.2,22.0,0,1,0,0,0,37,1,9.5,612,672,91.1,10,49,8,0,44,10113,3000,314,328,95.7,235,245,95.9,49,69,71.0,0,0,0,,0,0,,0,0,0,630,41,13,0,13,7,13,2,1,0,0,1,9,608,20,11,9,5,19,10,4,3,0,1,1,1,1,100.0,756,69,201,354,206,19,756,20,14,9,7,4,13,16,81.3,3,6,3,3,11,31,12,0,0.5,0.5,-0.6,-0.6,0.5,0.6,1.5,1.5,1.5,0.04,0,0.0,0.01,0.0
Real Madrid,Celta Vigo,2024-10-19,W,A,2,1,1,0,0,2,53,0,32,6,18.8,31.6,8,7,53.3,24,11,45.8,12,50.0,397,2182,1202,19,16,14,1,7.1,1,0,0,13,16,2,2,0,0,0,0,0,7,57.1,45.1,10,0.2,0.67,3,30.0,18.6,0,1,0,0,0,46,0,8.5,560,640,87.5,7,44,7,0,38,9456,2508,260,288,90.3,250,268,93.3,43,72,59.7,0,0,0,,0,0,,0,0,0,598,41,18,1,3,11,12,2,0,1,0,1,5,557,16,5,12,3,14,12,1,1,0,0,0,5,4,80.0,739,73,217,375,154,17,739,15,8,13,1,1,5,11,45.5,6,16,4,12,8,23,14,0,0.7,0.7,-1.1,-1.1,0.4,0.5,1.3,1.3,1.6,0.07,0,1.7,0.35,0.7
