Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Sevilla,Las Palmas,2024-08-16,D,A,2,2,0,0,0,1,52,0,44,7,38.6,34.7,20,11,64.5,20,7,35.0,9,45.0,292,1531,806,18,11,22,0,0.0,2,0,0,15,13,2,2,0,0,0,0,0,6,33.3,28.5,18,0.06,0.2,5,27.8,17.4,0,2,0,0,1,44,2,23.0,426,525,81.1,15,27,8,5,33,6523,2122,227,259,87.6,151,173,87.3,27,56,48.2,0,0,0,,0,0,,0,0,1,476,47,15,1,5,15,20,3,2,0,0,2,10,421,11,4,19,7,33,29,1,1,1,1,0,5,4,60.0,653,84,215,311,134,29,653,13,11,7,5,1,7,10,70.0,3,11,4,7,10,23,26,0,1.8,1.8,0.4,0.4,1.5,1.5,-0.8,-0.8,-0.5,0.1,0,1.1,0.23,0.1
Sevilla,Villarreal,2024-08-23,L,H,1,2,-1,0,0,1,59,0,27,4,37.0,33.4,13,17,43.3,26,14,53.8,9,34.6,433,2107,1106,18,17,6,0,0.0,3,0,0,16,7,2,2,0,0,0,0,0,4,0.0,13.0,16,0.06,0.14,7,43.8,17.7,1,4,0,0,0,48,0,,477,583,81.8,10,30,6,1,41,7916,2507,226,249,90.8,207,234,88.5,29,69,42.0,0,0,0,,0,0,,0,0,0,530,49,11,1,4,24,24,7,4,2,0,4,12,474,17,4,18,7,25,13,3,3,3,2,1,6,4,66.7,692,45,225,344,129,17,692,20,12,8,7,5,8,11,72.7,3,10,0,10,8,28,11,0,1.0,1.0,0.2,0.2,0.5,0.6,0.0,0.0,0.5,0.07,1,0.9,0.15,-1.1
Sevilla,Mallorca,2024-08-27,D,A,0,0,0,0,0,0,55,0,31,3,38.7,38.5,12,14,46.2,10,5,50.0,5,50.0,346,1978,1004,17,15,20,1,5.0,1,1,0,10,14,0,0,0,0,0,0,0,7,28.6,28.7,16,0.0,0.0,7,43.8,22.3,0,1,0,0,0,38,1,11.6,431,525,82.1,14,26,8,0,44,7064,2315,215,237,90.7,182,210,86.7,24,56,42.9,0,0,0,,0,0,,0,0,0,472,52,18,1,3,19,17,9,5,0,0,1,7,427,15,4,11,8,30,24,3,1,2,0,0,4,4,100.0,634,71,236,281,122,16,634,13,8,9,3,1,3,9,33.3,6,10,2,8,8,21,28,0,0.7,0.7,-0.1,-0.1,0.6,0.5,-0.7,-0.7,-0.6,0.05,0,0.9,0.22,0.9
Sevilla,Girona,2024-09-01,L,H,0,2,-2,0,0,0,50,0,11,1,27.3,34.6,3,4,42.9,27,10,37.0,12,44.4,336,1716,922,18,11,17,0,0.0,3,0,0,6,13,0,0,0,0,0,0,0,6,16.7,21.8,16,0.0,0.0,5,31.3,19.4,2,4,0,1,0,41,0,,395,476,83.0,11,24,8,1,29,6063,1971,213,226,94.2,147,168,87.5,22,50,44.0,1,1,0,0.0,1,0,0.0,0,0,0,419,53,12,1,0,13,25,7,0,5,0,4,12,391,11,4,11,12,27,14,5,3,3,2,0,4,2,75.0,578,51,191,254,141,23,578,17,13,9,6,2,12,22,54.5,10,11,2,9,4,21,17,0,0.9,0.9,-1.0,-0.2,0.6,0.5,-0.9,-0.9,-0.6,0.06,2,1.7,0.24,-0.3
Sevilla,Getafe,2024-09-14,W,H,1,0,1,0,0,1,60,0,38,1,68.4,53.2,18,21,46.2,28,16,57.1,9,32.1,274,1314,522,13,10,21,1,4.8,3,1,1,19,15,2,2,0,0,0,0,0,10,50.0,45.7,10,0.1,0.25,4,40.0,17.3,0,1,0,0,0,39,0,4.7,370,467,79.2,7,32,4,1,34,6053,2321,187,205,91.2,141,162,87.0,29,74,39.2,0,0,0,,0,0,,0,0,0,421,45,17,0,1,9,14,3,2,0,0,1,7,369,10,4,16,21,15,11,1,3,0,0,0,4,4,100.0,590,76,180,290,127,14,590,19,9,10,6,3,4,8,50.0,4,11,5,6,6,25,22,1,1.4,1.4,0.4,0.4,0.9,0.3,-0.4,-0.4,0.1,0.14,0,0.4,0.1,0.4
Sevilla,Alavés,2024-09-20,L,A,1,2,-1,0,0,1,65,0,24,7,29.2,29.9,20,14,58.8,21,12,57.1,9,42.9,400,2059,1026,17,12,9,0,0.0,4,0,0,16,11,2,2,0,0,0,0,0,6,16.7,24.0,8,0.13,0.5,2,25.0,21.2,0,2,0,0,0,35,2,20.7,453,553,81.9,7,23,4,1,33,7632,2700,229,257,89.1,175,206,85.0,38,66,57.6,0,0,0,,0,0,,0,0,0,499,52,12,2,7,17,26,5,2,0,0,2,10,447,12,5,19,13,15,12,1,2,0,0,0,4,2,50.0,665,46,255,295,123,12,665,12,7,7,3,2,8,10,80.0,2,11,3,8,11,23,15,0,0.5,0.5,-0.6,-0.6,0.5,0.5,0.5,0.5,0.5,0.07,0,0.8,0.19,-1.2
Sevilla,Valladolid,2024-09-24,W,H,2,1,1,0,0,1,54,0,19,4,57.9,42.5,10,16,38.5,20,7,35.0,12,60.0,261,1428,730,15,11,13,2,15.4,5,1,1,14,12,0,0,0,0,0,0,0,6,33.3,35.3,22,0.05,0.2,5,22.7,19.0,0,2,0,0,0,36,0,11.0,331,420,78.8,14,22,8,4,25,5826,2223,147,170,86.5,124,147,84.4,39,70,55.7,0,0,0,,0,0,,0,0,0,361,57,16,0,2,21,27,6,4,0,0,2,8,331,11,6,16,13,35,22,2,3,5,2,1,2,1,50.0,533,46,157,206,177,31,533,16,10,7,5,4,6,12,50.0,6,8,3,5,6,22,16,0,2.1,2.1,1.5,1.5,1.5,1.0,-1.1,-1.1,-1.5,0.1,0,0.9,0.46,-0.1
Sevilla,Athletic Club,2024-09-29,D,A,1,1,0,0,0,0,61,0,31,1,29.0,29.8,11,10,52.4,28,15,53.6,9,32.1,402,2121,1083,25,20,13,0,0.0,3,0,0,7,6,0,0,0,0,0,0,0,12,33.3,29.3,13,0.0,0.0,3,23.1,20.5,2,3,0,0,0,46,0,12.1,459,576,79.7,7,25,4,0,25,7321,2133,233,260,89.6,190,217,87.6,25,71,35.2,0,0,0,,0,0,,0,0,0,521,52,7,2,4,19,24,7,4,0,0,3,8,453,20,7,9,12,18,9,1,5,1,2,0,5,4,80.0,691,76,274,269,154,16,691,22,14,13,7,2,13,18,72.2,5,4,2,2,14,36,21,1,1.1,1.1,-0.9,-0.9,0.4,0.3,-1.1,-1.1,-0.4,0.09,2,1.4,0.27,0.4
Sevilla,Betis,2024-10-06,W,H,1,0,1,1,0,0,51,1,30,1,56.7,41.9,17,13,56.7,20,14,70.0,5,25.0,328,1602,826,25,12,8,2,25.0,6,1,1,15,12,1,0,0,0,1,0,0,8,87.5,61.9,13,0.0,0.0,4,30.8,24.9,1,2,0,0,0,35,3,15.0,328,434,75.6,9,22,5,1,22,5613,2021,160,178,89.9,114,136,83.8,37,85,43.5,0,0,0,,0,0,,0,0,0,389,43,13,2,0,14,17,4,3,0,0,2,7,323,12,8,13,8,21,13,3,2,1,2,0,3,3,100.0,539,55,184,242,119,20,538,21,9,12,4,5,7,13,53.8,6,6,1,5,8,29,21,1,1.4,0.7,0.8,0.0,0.5,0.4,-0.4,-0.7,-0.5,0.05,1,0.6,0.19,0.6
Sevilla,Barcelona,2024-10-20,L,A,1,5,-4,0,0,1,33,0,19,2,73.7,50.2,6,6,50.0,21,10,47.6,9,42.9,275,1461,725,13,10,13,1,7.7,2,0,0,14,5,2,1,1,0,0,0,0,11,18.2,20.1,7,0.14,1.0,1,14.3,15.2,0,3,0,1,0,41,2,11.3,249,321,77.6,6,8,2,0,11,3860,1427,141,151,93.4,80,96,83.3,17,43,39.5,1,1,0,0.0,1,0,0.0,1,1,0,275,43,9,3,1,7,12,5,2,2,0,3,8,248,10,6,18,8,14,8,2,2,1,1,0,9,4,55.6,441,76,242,138,65,12,441,22,12,13,8,1,10,24,41.7,14,15,4,11,12,34,21,0,1.0,1.0,-2.9,-2.1,0.9,0.2,0.0,0.0,0.1,0.14,0,4.5,0.41,-0.5
