Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Valladolid,Espanyol,2024-08-19,W,H,1,0,1,0,0,1,46,0,31,7,38.7,36.5,9,18,33.3,19,13,68.4,5,26.3,292,1501,758,16,13,13,1,7.7,2,0,0,15,7,1,1,0,0,0,0,0,7,85.7,65.0,12,0.08,1.0,1,8.3,20.8,0,6,0,0,0,37,3,23.3,349,444,78.6,11,26,8,3,43,6237,2393,167,186,89.8,140,165,84.8,36,74,48.6,0,0,0,,0,0,,0,0,0,396,42,9,2,5,22,22,3,2,1,0,6,7,345,13,4,14,7,21,15,2,1,1,1,1,2,2,100.0,539,50,184,238,123,22,539,9,6,2,7,0,2,4,50.0,2,15,3,12,8,17,21,0,0.8,0.8,0.1,0.1,0.8,1.0,0.2,0.2,0.2,0.07,0,0.8,0.41,0.8
Valladolid,Real Madrid,2024-08-25,L,A,0,3,-3,0,0,0,37,0,38,8,31.6,33.0,13,8,61.9,15,7,46.7,7,46.7,268,1541,811,15,4,14,2,14.3,1,0,0,15,9,0,0,0,0,0,0,0,6,33.3,31.5,8,0.0,,0,0.0,18.8,0,0,0,0,0,36,0,13.0,321,397,80.9,7,12,3,1,23,5449,2174,159,173,91.9,133,150,88.7,24,58,41.4,0,0,0,,0,0,,1,0,0,350,47,14,1,6,12,18,5,2,2,0,0,9,318,4,5,16,10,16,13,2,0,0,0,1,9,6,66.7,502,87,240,187,83,21,502,19,11,14,4,1,11,30,36.7,19,12,5,7,9,28,17,0,0.4,0.4,-1.7,-1.7,0.4,0.3,-0.4,-0.4,-0.4,0.05,0,1.9,0.21,-1.1
Valladolid,Leganés,2024-08-28,D,H,0,0,0,0,0,0,58,0,22,4,13.6,27.7,14,6,70.0,25,10,40.0,7,28.0,357,1738,962,16,13,8,0,0.0,1,0,0,13,17,0,0,0,0,0,0,0,6,0.0,20.5,12,0.0,0.0,2,16.7,14.2,0,0,0,0,0,35,0,,463,549,84.3,8,26,8,6,46,8504,2911,203,224,90.6,192,224,85.7,60,79,75.9,0,0,0,,0,0,,0,0,0,498,51,21,1,9,32,19,4,1,3,0,0,11,460,13,5,9,5,20,15,1,1,2,1,0,1,1,100.0,650,42,213,300,141,32,650,19,11,10,8,1,6,16,37.5,10,13,2,11,4,23,13,0,1.1,1.1,0.9,0.9,0.7,0.7,-1.1,-1.1,-0.7,0.09,0,0.0,0.02,0.0
Valladolid,Barcelona,2024-08-31,L,A,0,7,-7,0,0,0,30,0,28,5,53.6,44.1,7,7,50.0,10,7,70.0,3,30.0,150,867,428,10,7,16,1,6.3,3,0,0,12,6,0,0,0,0,0,0,0,8,37.5,34.5,4,0.0,0.0,1,25.0,19.1,0,4,0,0,0,27,2,16.5,205,267,76.8,2,14,1,0,20,4335,1619,71,78,91.0,97,113,85.8,36,62,58.1,0,0,0,,0,0,,0,1,0,232,31,10,1,7,6,4,1,0,1,0,4,4,200,7,2,8,13,8,7,1,0,0,0,0,11,4,36.4,364,91,198,123,46,8,364,16,10,13,1,2,10,22,45.5,12,11,5,6,6,22,27,0,0.5,0.5,-4.1,-4.1,0.5,0.2,-0.5,-0.5,-0.5,0.13,0,4.0,0.36,-3.0
Valladolid,Celta Vigo,2024-09-15,L,A,1,3,-2,0,0,1,46,0,53,6,32.1,32.9,5,12,29.4,16,8,50.0,6,37.5,264,1404,706,9,6,7,0,0.0,5,1,0,15,14,1,1,0,0,0,0,0,3,0.0,19.7,6,0.17,0.5,2,33.3,14.9,0,1,0,0,0,45,5,23.0,368,446,82.5,4,16,4,1,24,6825,2364,133,151,88.1,191,209,91.4,34,66,51.5,0,0,0,,0,0,,0,0,0,401,44,17,1,1,16,17,3,1,1,0,1,7,355,6,4,14,6,11,8,1,1,1,0,0,9,6,66.7,542,82,235,232,79,11,542,19,15,8,9,2,9,17,52.9,8,15,4,11,14,33,16,0,0.5,0.5,-1.3,-1.3,0.4,0.9,0.5,0.5,0.6,0.09,0,2.7,0.31,-0.3
Valladolid,Real Sociedad,2024-09-21,D,H,0,0,0,0,0,0,36,0,20,1,60.0,43.9,28,14,66.7,18,8,44.4,10,55.6,139,959,471,13,6,18,1,5.6,4,0,0,15,10,0,0,0,0,0,0,0,8,62.5,54.0,15,0.0,0.0,2,13.3,21.0,1,0,0,0,0,34,0,7.8,222,320,69.4,11,17,7,4,24,4571,2152,83,104,79.8,99,129,76.7,33,67,49.3,0,0,0,,0,0,,0,0,0,267,53,14,0,4,25,25,5,3,0,0,0,6,220,6,4,8,12,25,13,3,2,2,3,2,3,3,100.0,444,66,172,142,135,17,444,17,12,7,7,3,6,14,42.9,8,13,5,8,12,29,20,0,1.0,1.0,-0.4,-0.4,0.9,0.7,-1.0,-1.0,-0.9,0.07,1,0.5,0.17,0.5
Valladolid,Sevilla,2024-09-24,L,A,1,2,-1,0,0,1,46,0,20,4,25.0,30.4,16,10,61.5,15,6,40.0,6,40.0,211,1281,517,7,10,16,2,12.5,4,0,0,12,13,2,2,0,0,0,0,0,9,100.0,67.1,8,0.13,0.5,2,25.0,19.6,1,4,0,0,1,31,0,9.0,263,354,74.3,4,22,1,0,24,5276,2189,112,127,88.2,101,126,80.2,44,78,56.4,0,0,0,,0,0,,0,0,1,295,55,15,0,4,16,24,4,1,3,0,4,8,259,10,2,14,10,12,3,3,0,1,4,1,5,4,60.0,469,59,181,191,106,11,469,25,13,18,6,1,12,19,63.2,7,14,10,4,8,33,27,3,0.7,0.7,-1.5,-1.5,0.5,0.7,0.3,0.3,0.5,0.09,1,1.5,0.3,0.5
Valladolid,Mallorca,2024-09-27,L,H,1,2,-1,0,0,1,51,0,23,5,13.0,29.0,18,20,47.4,13,5,38.5,8,61.5,280,1587,726,13,9,18,2,11.1,3,0,0,16,11,2,2,0,0,0,0,0,10,20.0,31.6,13,0.08,1.0,1,7.7,17.5,0,2,0,0,0,36,0,5.3,356,464,76.7,9,32,6,3,38,7007,2663,127,143,88.8,184,222,82.9,41,76,53.9,0,0,0,,0,0,,0,0,0,409,53,12,1,5,26,21,7,4,2,0,2,9,351,9,3,11,11,25,24,0,0,1,0,0,6,4,66.7,564,54,182,257,130,19,564,13,6,4,7,2,6,16,37.5,10,9,3,6,7,20,18,2,1.2,1.2,-1.1,-1.1,0.6,0.6,-0.2,-0.2,0.4,0.1,0,2.8,0.47,0.8
Valladolid,Rayo Vallecano,2024-10-05,L,H,1,2,-1,0,0,1,40,0,20,5,20.0,39.3,8,11,42.1,17,9,52.9,5,29.4,264,1812,1028,21,6,22,1,4.5,4,0,0,13,18,2,1,0,1,0,0,0,11,0.0,14.5,13,0.08,0.2,5,38.5,14.3,0,1,0,0,0,41,0,5.3,270,348,77.6,12,21,6,3,32,5252,2303,106,120,88.3,116,139,83.5,41,71,57.7,0,0,0,,0,0,,0,0,0,288,59,20,0,2,20,20,5,3,2,0,1,7,268,6,4,25,6,24,17,3,2,0,2,0,3,1,33.3,462,73,178,200,89,21,462,15,10,10,5,0,8,19,42.1,11,12,6,6,9,24,19,0,2.0,2.0,0.5,0.5,1.8,1.4,-1.0,-1.0,-0.8,0.15,0,1.3,0.44,-0.7
Valladolid,Alavés,2024-10-18,W,A,3,2,1,2,0,1,38,2,23,4,82.6,54.9,25,24,51.0,12,7,58.3,4,33.3,175,966,507,9,2,14,1,7.1,2,0,0,14,13,5,3,0,0,1,1,0,13,30.8,27.2,10,0.1,0.5,2,20.0,19.9,0,1,1,0,0,23,4,21.9,182,281,64.8,9,17,4,2,12,3980,1847,65,90,72.2,81,105,77.1,35,75,46.7,0,0,0,,0,0,,0,0,0,220,60,16,2,1,12,22,6,2,3,0,1,5,182,2,4,18,4,22,10,4,5,2,1,0,4,2,50.0,390,57,204,132,56,13,388,12,5,8,4,0,4,10,40.0,6,10,2,8,12,24,23,1,2.4,0.9,1.9,0.4,0.9,0.8,0.6,0.1,0.1,0.09,0,1.5,0.38,-0.5
