Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Celta Vigo,Alavés,2024-08-16,W,H,2,1,1,0,0,2,63,0,14,4,0.0,16.7,12,6,66.7,18,6,33.3,9,50.0,386,2153,1229,15,18,13,0,0.0,2,0,0,8,22,3,3,0,0,0,0,0,10,40.0,32.7,6,0.33,0.5,4,66.7,18.2,1,4,0,0,0,35,0,14.0,499,597,83.6,5,34,7,2,56,8689,2798,219,242,90.5,239,267,89.5,34,60,56.7,0,0,0,,0,0,,0,0,0,527,66,26,2,3,13,25,3,2,0,0,4,9,495,18,5,18,8,11,9,0,0,0,2,0,2,1,50.0,709,57,180,414,121,15,709,18,8,6,10,2,10,14,71.4,4,5,3,2,11,29,25,1,0.8,0.8,-0.8,-0.8,0.8,1.0,1.2,1.2,1.2,0.14,1,1.0,0.49,0.0
Betis,Alavés,2024-08-25,D,A,0,0,0,0,0,0,62,0,32,8,18.8,27.4,14,9,60.9,17,8,47.1,9,52.9,382,1969,1044,15,14,17,1,5.9,4,0,0,16,15,0,0,0,0,0,0,0,3,33.3,33.0,15,0.0,0.0,3,20.0,18.1,0,1,0,0,0,47,2,19.0,474,580,81.7,11,27,9,3,41,7462,2796,250,278,89.9,163,194,84.0,38,74,51.4,0,0,0,,0,0,,0,0,0,525,54,18,1,4,17,24,8,2,4,0,1,13,470,14,3,18,10,27,24,2,0,1,0,0,1,1,100.0,695,72,269,295,137,23,695,15,11,9,4,2,10,16,62.5,6,12,3,9,10,25,20,0,1.5,1.5,1.3,1.3,1.3,0.9,-1.5,-1.5,-1.3,0.1,0,0.1,0.09,0.1
Real Sociedad,Alavés,2024-08-28,L,H,1,2,-1,0,0,1,53,0,22,3,59.1,43.6,23,13,63.9,18,7,38.9,9,50.0,213,1259,660,14,6,18,1,5.6,4,1,0,16,13,2,2,0,0,0,0,0,13,76.9,55.1,10,0.1,1.0,1,10.0,17.9,1,3,0,1,0,27,3,23.3,297,398,74.6,7,27,5,1,25,5629,2154,116,141,82.3,137,165,83.0,36,66,54.5,1,1,0,0.0,1,0,0.0,0,0,0,335,60,15,0,1,21,21,8,3,5,0,3,9,292,6,3,12,4,18,10,2,2,2,2,0,5,3,80.0,496,62,153,215,130,19,496,12,7,7,4,1,5,11,45.5,6,6,1,5,4,16,23,1,1.0,1.0,-0.6,0.2,1.0,0.7,0.0,0.0,0.0,0.1,1,2.2,0.25,0.2
Las Palmas,Alavés,2024-09-01,L,A,0,2,-2,0,0,0,70,0,22,6,4.5,22.9,18,12,60.0,14,9,64.3,4,28.6,418,2126,1149,15,20,13,2,15.4,0,0,0,9,13,0,0,0,0,0,0,0,9,11.1,22.1,12,0.0,0.0,6,50.0,18.4,1,0,0,1,0,28,0,3.0,551,647,85.2,10,32,6,2,40,9331,3287,260,278,93.5,234,273,85.7,42,68,61.8,1,0,0,,0,0,,0,0,0,597,50,13,1,4,18,20,5,1,3,0,0,8,543,20,1,11,12,24,18,2,2,1,1,0,5,3,60.0,730,57,215,394,123,13,730,10,6,4,6,0,5,12,41.7,7,11,4,7,4,14,18,0,0.7,0.7,-1.4,-0.6,0.6,0.8,-0.7,-0.7,-0.6,0.06,1,1.8,0.36,-0.2
Espanyol,Alavés,2024-09-14,W,H,3,2,1,1,0,2,39,1,23,9,47.8,39.4,19,15,55.9,16,4,25.0,7,43.8,247,1553,786,11,4,32,3,9.4,2,0,0,17,13,6,3,0,1,1,1,0,10,50.0,45.5,8,0.25,0.67,3,37.5,17.9,0,3,1,0,0,32,1,7.5,225,308,73.1,6,15,2,1,19,4569,2033,82,100,82.0,108,133,81.2,30,63,47.6,0,0,0,,0,0,,0,1,0,259,46,13,1,3,11,20,0,0,0,0,3,1,223,4,4,18,9,16,11,1,1,1,2,0,6,4,66.7,440,77,197,192,58,16,439,17,10,10,6,1,7,12,58.3,5,17,6,11,4,21,48,2,1.6,0.8,-0.3,-1.1,0.7,1.1,1.4,1.2,1.3,0.1,0,2.7,0.51,0.7
Sevilla,Alavés,2024-09-20,L,A,1,2,-1,0,0,1,65,0,24,7,29.2,29.9,20,14,58.8,21,12,57.1,9,42.9,400,2059,1026,17,12,9,0,0.0,4,0,0,16,11,2,2,0,0,0,0,0,6,16.7,24.0,8,0.13,0.5,2,25.0,21.2,0,2,0,0,0,35,2,20.7,453,553,81.9,7,23,4,1,33,7632,2700,229,257,89.1,175,206,85.0,38,66,57.6,0,0,0,,0,0,,0,0,0,499,52,12,2,7,17,26,5,2,0,0,2,10,447,12,5,19,13,15,12,1,2,0,0,0,4,2,50.0,665,46,255,295,123,12,665,12,7,7,3,2,8,10,80.0,2,11,3,8,11,23,15,0,0.5,0.5,-0.6,-0.6,0.5,0.5,0.5,0.5,0.5,0.07,0,0.8,0.19,-1.2
Real Madrid,Alavés,2024-09-24,W,H,3,2,1,0,0,3,68,0,28,7,10.7,24.6,8,10,44.4,30,15,50.0,14,46.7,583,3380,1828,28,15,12,0,0.0,4,0,0,7,10,6,3,0,3,0,0,0,8,37.5,41.4,10,0.3,0.75,4,40.0,14.7,1,2,0,0,0,40,0,15.0,698,767,91.0,7,41,4,1,39,11686,3376,327,352,92.9,303,313,96.8,49,71,69.0,0,0,0,,0,0,,0,0,0,724,41,10,1,7,7,16,4,2,2,0,2,8,694,15,15,15,10,17,9,1,3,2,1,1,3,1,33.3,873,59,227,506,146,28,873,11,7,4,6,1,3,5,60.0,2,12,4,8,10,21,16,1,1.3,1.3,0.4,0.4,1.1,0.8,1.7,1.7,1.9,0.13,1,1.6,0.53,-0.4
Getafe,Alavés,2024-09-28,W,H,2,0,2,1,0,1,46,1,13,2,76.9,52.5,36,27,57.1,19,7,36.8,12,63.2,131,529,198,4,5,13,0,0.0,3,0,0,17,23,3,1,0,0,1,1,0,11,100.0,67.9,13,0.08,0.14,7,53.8,19.0,2,4,0,0,0,33,2,16.6,140,255,54.9,10,10,4,2,17,2997,1910,53,70,75.7,47,90,52.2,30,67,44.8,0,0,0,,0,0,,0,0,0,183,68,24,1,2,16,30,2,0,2,0,4,4,134,5,4,20,12,27,11,5,3,2,6,0,1,1,100.0,387,48,143,140,109,20,386,11,8,6,3,2,7,11,63.6,4,10,3,7,9,20,27,0,2.1,1.3,1.6,0.8,1.3,0.8,-0.1,-0.3,-1.3,0.11,2,0.2,0.18,0.2
Barcelona,Alavés,2024-10-06,W,A,3,0,3,0,0,3,71,0,53,1,13.2,25.6,7,10,41.2,19,11,57.9,7,36.8,463,2213,1188,16,10,13,0,0.0,2,0,0,8,13,6,3,1,1,0,1,0,9,44.4,34.1,15,0.2,0.33,9,60.0,16.8,1,3,0,0,0,37,7,20.1,616,688,89.5,11,30,7,1,33,10419,3260,293,314,93.3,251,269,93.3,51,74,68.9,0,0,0,,0,0,,0,0,0,633,52,23,2,4,7,16,3,1,0,0,3,3,612,10,6,22,5,28,17,3,2,4,2,0,2,2,100.0,804,80,237,473,101,23,804,19,10,5,11,3,8,13,61.5,5,8,3,5,6,25,26,1,2.7,2.7,1.9,1.9,2.6,1.6,0.3,0.3,0.4,0.18,1,0.4,0.18,0.4
Valladolid,Alavés,2024-10-18,W,A,3,2,1,2,0,1,38,2,23,4,82.6,54.9,25,24,51.0,12,7,58.3,4,33.3,175,966,507,9,2,14,1,7.1,2,0,0,14,13,5,3,0,0,1,1,0,13,30.8,27.2,10,0.1,0.5,2,20.0,19.9,0,1,1,0,0,23,4,21.9,182,281,64.8,9,17,4,2,12,3980,1847,65,90,72.2,81,105,77.1,35,75,46.7,0,0,0,,0,0,,0,0,0,220,60,16,2,1,12,22,6,2,3,0,1,5,182,2,4,18,4,22,10,4,5,2,1,0,4,2,50.0,390,57,204,132,56,13,388,12,5,8,4,0,4,10,40.0,6,10,2,8,12,24,23,1,2.4,0.9,1.9,0.4,0.9,0.8,0.6,0.1,0.1,0.09,0,1.5,0.38,-0.5
