Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Villarreal,Atlético Madrid,2024-08-19,D,H,2,2,0,0,0,1,44,0,19,3,42.1,37.5,5,8,38.5,27,14,51.9,10,37.0,284,1650,790,15,13,11,0,0.0,1,0,0,7,11,2,2,0,0,0,0,0,5,0.0,21.8,9,0.11,0.33,3,33.3,16.8,2,2,0,0,0,42,0,8.7,436,505,86.3,5,38,10,1,46,8291,2423,154,171,90.1,231,246,93.9,47,71,66.2,0,0,0,,0,0,,0,0,0,470,33,12,0,4,12,11,2,2,0,0,2,7,424,13,2,11,7,17,12,1,2,0,2,0,4,2,50.0,603,54,202,268,138,19,603,11,7,4,4,3,3,11,27.3,8,14,1,13,10,21,21,0,0.8,0.8,-0.3,-0.3,0.6,0.6,0.2,0.2,0.4,0.09,2,0.4,0.1,-1.6
Girona,Atlético Madrid,2024-08-25,L,A,0,3,-3,0,0,0,57,0,16,4,18.8,31.3,6,8,42.9,19,12,63.2,7,36.8,518,2424,1196,14,17,5,1,20.0,3,0,0,11,11,0,0,0,0,0,0,0,3,0.0,15.0,13,0.0,0.0,4,30.8,19.4,0,2,0,0,0,39,0,11.3,588,658,89.4,7,70,8,3,51,9877,2759,295,310,95.2,250,274,91.2,40,60,66.7,0,0,0,,0,0,,1,0,0,611,45,13,1,3,26,16,9,2,4,0,2,7,580,17,3,19,16,21,18,1,0,1,1,0,6,3,50.0,743,42,150,351,245,25,743,13,9,5,4,4,6,11,54.5,5,7,2,5,7,20,10,0,0.7,0.7,-0.5,-0.5,0.4,0.9,-0.7,-0.7,-0.4,0.05,0,1.4,0.24,-1.6
Espanyol,Atlético Madrid,2024-08-28,D,A,0,0,0,0,0,0,37,0,28,1,67.9,53.0,15,17,46.9,11,6,54.5,5,45.5,224,1217,648,11,7,20,0,0.0,2,0,0,9,6,0,0,0,0,0,0,0,13,53.8,44.2,8,0.0,0.0,1,12.5,18.7,1,0,0,0,0,34,0,11.5,307,390,78.7,6,21,5,4,23,6042,2340,116,143,81.1,149,163,91.4,40,77,51.9,0,0,0,,0,0,,0,0,0,351,39,10,0,4,15,12,3,0,2,0,0,6,303,7,2,13,5,15,10,2,1,1,1,0,7,7,100.0,512,100,197,227,91,10,512,14,10,8,6,0,4,10,40.0,6,16,8,8,7,21,41,1,0.6,0.6,-1.7,-1.7,0.6,0.6,-0.6,-0.6,-0.6,0.08,1,1.4,0.19,1.4
Athletic Club,Atlético Madrid,2024-08-31,L,H,0,1,-1,0,0,0,53,0,18,6,27.8,25.6,7,11,38.9,23,8,34.8,14,60.9,470,2622,1450,18,15,7,2,28.6,3,0,0,13,7,0,0,0,0,0,0,0,8,12.5,21.5,8,0.0,0.0,1,12.5,24.4,0,1,0,0,0,43,0,11.5,531,631,84.2,2,60,8,1,62,8575,2539,250,278,89.9,242,271,89.3,25,54,46.3,0,0,0,,0,0,,0,0,0,588,42,11,2,2,20,19,2,0,1,0,1,8,529,15,4,23,5,10,8,0,0,1,0,1,2,1,50.0,727,40,138,380,212,18,727,11,8,4,4,3,7,18,38.9,11,11,3,8,6,17,9,4,0.3,0.3,-1.4,-1.4,0.1,0.3,-0.3,-0.3,-0.1,0.04,0,1.4,0.71,0.4
Valencia,Atlético Madrid,2024-09-15,L,A,0,3,-3,0,0,0,47,0,16,4,25.0,33.8,8,12,40.0,18,7,38.9,10,55.6,254,1203,584,8,10,17,0,0.0,2,0,0,8,9,0,0,0,0,0,0,0,13,76.9,56.2,5,0.0,0.0,1,20.0,21.8,0,2,0,0,0,38,1,19.0,409,507,80.7,4,56,2,0,48,7758,2627,174,187,93.0,192,215,89.3,42,77,54.5,0,0,0,,0,0,,0,0,0,455,50,11,0,6,16,20,3,1,1,0,2,16,407,10,2,20,2,10,6,1,1,0,2,0,4,1,25.0,608,51,129,325,161,8,608,11,8,4,6,1,5,10,50.0,5,9,1,8,4,15,19,1,0.1,0.1,-2.9,-2.9,0.1,0.2,-0.1,-0.1,-0.1,0.03,0,3.1,0.77,0.1
Rayo Vallecano,Atlético Madrid,2024-09-22,D,H,1,1,0,0,0,1,54,0,38,3,52.6,42.2,11,21,34.4,11,4,36.4,7,63.6,335,1723,690,10,8,9,3,33.3,0,0,0,9,12,1,0,0,0,1,0,0,4,25.0,32.0,16,0.06,0.25,4,25.0,20.8,1,0,0,0,0,49,1,13.8,442,558,79.2,9,43,4,2,43,8329,2707,172,199,86.4,222,253,87.7,44,94,46.8,0,0,0,,0,0,,0,0,0,519,39,10,2,3,17,20,3,1,0,0,0,9,437,8,2,17,5,27,19,1,2,3,2,0,5,4,80.0,663,69,211,298,163,11,663,7,4,4,3,0,6,15,40.0,9,6,3,3,14,21,19,0,1.7,1.7,1.1,1.1,1.6,0.6,-0.7,-0.7,-0.6,0.12,1,1.3,0.26,0.3
Celta Vigo,Atlético Madrid,2024-09-26,L,H,0,1,-1,0,0,0,58,0,20,5,15.0,26.9,6,9,40.0,16,7,43.8,9,56.3,593,2696,1537,26,17,12,0,0.0,2,0,0,11,10,0,0,0,0,0,0,0,6,16.7,31.3,10,0.0,0.0,4,40.0,16.1,0,0,0,0,0,47,0,10.0,611,699,87.4,9,56,10,3,58,10811,3171,247,273,90.5,309,334,92.5,44,65,67.7,0,0,0,,0,0,,0,0,0,665,34,11,2,2,12,13,2,0,2,0,0,8,607,17,3,12,8,17,15,0,2,0,0,0,2,1,50.0,798,58,218,433,156,17,798,10,9,5,3,2,6,7,85.7,1,13,4,9,15,25,21,0,1.5,1.5,0.9,0.9,1.4,1.8,-1.5,-1.5,-1.4,0.15,0,1.0,0.51,0.0
Real Madrid,Atlético Madrid,2024-09-29,D,A,1,1,0,0,0,1,49,0,36,10,27.8,31.7,14,9,60.9,14,2,14.3,9,64.3,468,2109,946,13,7,12,1,8.3,1,0,0,11,11,2,1,1,0,0,0,0,5,80.0,63.0,12,0.08,0.25,4,33.3,20.4,0,0,0,0,0,43,0,6.7,513,579,88.6,10,47,5,2,48,9015,2686,250,261,95.8,205,223,91.9,50,80,62.5,0,0,0,,0,0,,0,0,0,545,34,13,0,10,12,9,5,1,2,0,0,3,505,7,3,15,6,23,21,2,0,0,0,0,4,3,75.0,704,74,221,334,150,16,704,15,6,8,5,2,9,15,60.0,6,13,6,7,14,29,24,1,0.8,0.8,-0.5,-0.5,0.7,1.0,0.2,0.2,0.3,0.06,0,1.6,0.39,0.6
Real Sociedad,Atlético Madrid,2024-10-06,D,H,1,1,0,0,0,1,66,0,12,2,25.0,30.1,11,19,36.7,25,14,56.0,6,24.0,616,3191,1618,38,26,2,1,50.0,0,0,0,10,9,1,1,0,0,0,0,0,6,0.0,18.8,16,0.06,0.14,7,43.8,19.2,0,2,0,0,0,50,0,6.0,608,705,86.2,15,68,13,4,53,9843,2684,298,323,92.3,246,271,90.8,41,68,60.3,0,0,0,,0,0,,0,0,0,660,43,11,1,4,34,19,5,3,2,0,2,9,600,26,4,19,5,28,22,2,2,1,1,0,1,0,0.0,818,27,100,468,254,28,818,17,12,7,8,2,9,12,75.0,3,14,0,14,5,22,13,0,1.0,1.0,0.5,0.5,1.0,1.5,0.0,0.0,0.0,0.06,0,0.4,0.39,-0.6
Leganés,Atlético Madrid,2024-10-20,L,A,1,3,-2,0,0,1,37,0,23,2,56.5,44.2,8,13,38.1,23,11,47.8,10,43.5,219,926,410,9,10,22,2,9.1,1,0,0,8,13,2,2,0,0,0,0,0,11,72.7,51.7,5,0.2,0.5,2,40.0,24.0,1,1,0,0,0,47,1,10.9,280,370,75.7,4,17,1,0,18,5464,2231,117,134,87.3,122,148,82.4,39,75,52.0,0,0,0,,0,0,,0,0,0,320,49,13,2,2,7,19,2,1,0,0,1,5,278,10,2,20,9,9,7,0,0,0,1,1,8,5,62.5,517,100,247,217,67,8,517,12,8,8,2,2,7,23,30.4,16,14,8,6,16,28,51,4,0.3,0.3,-4.1,-4.1,0.2,0.1,0.7,0.7,0.8,0.05,1,3.6,0.45,0.6
