Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Valencia,Barcelona,2024-08-17,L,H,1,2,-1,0,0,1,37,0,33,5,51.5,41.8,13,9,59.1,17,6,35.3,9,52.9,179,1211,623,17,9,12,0,0.0,2,0,0,11,12,2,2,0,0,0,0,0,4,50.0,46.0,6,0.17,1.0,1,16.7,14.8,0,7,0,1,0,36,0,,274,364,75.3,6,13,3,1,19,5279,1963,112,132,84.8,124,143,86.7,33,67,49.3,1,1,0,0.0,1,0,0.0,0,0,0,311,46,14,0,2,14,23,3,0,3,0,7,8,271,9,2,13,5,10,7,2,1,0,0,0,6,4,83.3,466,67,201,179,93,13,466,19,12,12,5,2,8,17,47.1,9,12,6,6,6,25,20,1,1.0,1.0,-2.2,-1.4,1.0,1.3,0.0,0.0,0.0,0.17,0,2.5,0.26,0.5
Athletic Club,Barcelona,2024-08-24,L,A,1,2,-1,1,0,0,36,1,28,4,64.3,45.9,8,11,42.1,17,6,35.3,8,47.1,244,1319,649,11,9,11,1,9.1,5,0,0,16,11,2,1,0,0,0,1,0,4,50.0,36.5,7,0.0,0.0,1,14.3,20.3,0,5,1,0,0,34,0,8.5,256,336,76.2,5,19,5,1,25,4659,1910,127,145,87.6,90,104,86.5,35,73,47.9,0,0,0,,0,0,,0,0,0,288,43,12,1,6,16,18,6,2,3,0,5,4,251,9,5,11,9,15,12,0,2,0,1,0,5,3,60.0,432,53,172,175,86,18,431,16,10,7,7,2,13,26,50.0,13,15,3,12,11,27,14,0,1.0,0.2,-0.8,-1.6,0.2,0.6,0.0,-0.2,-0.2,0.03,0,1.7,0.33,-0.3
Rayo Vallecano,Barcelona,2024-08-27,L,H,1,2,-1,0,0,1,36,0,23,3,78.3,52.3,10,11,47.6,11,3,27.3,6,54.5,207,1038,453,9,8,14,0,0.0,3,0,0,17,11,2,2,0,0,0,0,0,8,50.0,45.0,8,0.13,0.25,4,50.0,20.9,0,4,0,0,0,51,0,9.8,223,317,70.3,5,20,6,1,31,4533,2222,87,106,82.1,101,122,82.8,32,70,45.7,0,0,0,,0,0,,0,0,0,268,45,11,1,5,24,17,6,3,2,0,4,13,222,8,3,22,2,15,11,3,0,0,0,1,5,3,60.0,446,83,193,164,96,18,446,21,13,12,6,3,11,27,40.7,16,25,11,14,17,38,25,0,0.4,0.4,-1.0,-1.0,0.2,0.4,0.6,0.6,0.8,0.05,0,1.7,0.34,-0.3
Valladolid,Barcelona,2024-08-31,L,A,0,7,-7,0,0,0,30,0,28,5,53.6,44.1,7,7,50.0,10,7,70.0,3,30.0,150,867,428,10,7,16,1,6.3,3,0,0,12,6,0,0,0,0,0,0,0,8,37.5,34.5,4,0.0,0.0,1,25.0,19.1,0,4,0,0,0,27,2,16.5,205,267,76.8,2,14,1,0,20,4335,1619,71,78,91.0,97,113,85.8,36,62,58.1,0,0,0,,0,0,,0,1,0,232,31,10,1,7,6,4,1,0,1,0,4,4,200,7,2,8,13,8,7,1,0,0,0,0,11,4,36.4,364,91,198,123,46,8,364,16,10,13,1,2,10,22,45.5,12,11,5,6,6,22,27,0,0.5,0.5,-4.1,-4.1,0.5,0.2,-0.5,-0.5,-0.5,0.13,0,4.0,0.36,-3.0
Girona,Barcelona,2024-09-15,L,H,1,4,-3,0,0,1,45,0,26,3,7.7,25.2,1,5,16.7,17,9,52.9,8,47.1,323,1820,860,16,9,14,0,0.0,3,0,0,13,3,2,1,0,1,0,0,0,14,14.3,21.0,9,0.11,0.25,4,44.4,15.7,0,7,0,0,0,38,2,31.5,362,427,84.8,9,27,9,5,29,6191,2246,174,187,93.0,146,161,90.7,36,54,66.7,0,0,0,,0,0,,0,0,0,383,37,4,0,3,12,13,1,0,0,0,7,9,358,9,5,14,11,18,17,0,1,0,0,0,9,5,55.6,536,90,251,198,95,15,536,17,10,10,6,1,9,19,47.4,10,13,2,11,6,23,26,2,1.3,1.3,-0.6,-0.6,1.3,0.9,-0.3,-0.3,-0.3,0.14,0,3.5,0.39,-0.5
Villarreal,Barcelona,2024-09-22,L,H,1,5,-4,0,0,1,37,0,19,5,52.6,43.6,5,6,45.5,17,8,47.1,8,47.1,274,1404,822,16,6,14,1,7.1,6,0,0,11,12,2,2,0,0,0,0,0,4,25.0,26.8,13,0.08,0.25,4,30.8,13.8,0,7,0,1,0,33,0,2.5,289,371,77.9,10,26,6,2,32,5331,1852,135,145,93.1,114,140,81.4,35,65,53.8,1,0,0,,0,0,,0,1,0,318,46,12,4,8,16,17,7,3,3,0,7,3,287,6,7,6,7,23,19,2,1,1,0,0,9,4,44.4,463,57,179,180,108,24,463,18,11,7,11,0,5,14,35.7,9,12,4,8,11,29,16,1,2.2,2.2,-1.8,-1.0,1.6,1.0,-1.2,-1.2,-0.6,0.17,0,3.2,0.39,-1.8
Getafe,Barcelona,2024-09-25,L,A,0,1,-1,0,0,0,24,0,10,0,90.0,64.2,8,15,34.8,12,3,25.0,8,66.7,98,717,343,10,10,15,0,0.0,1,0,0,15,4,0,0,0,0,0,0,0,12,100.0,63.7,7,0.0,0.0,1,14.3,21.7,0,7,0,0,0,35,0,3.3,103,209,49.3,4,12,5,2,12,1954,942,50,70,71.4,30,53,56.6,19,58,32.8,0,0,0,,0,0,,0,0,0,158,44,8,0,2,18,17,5,2,1,0,7,8,102,10,5,14,5,10,8,1,0,0,0,1,4,3,75.0,327,58,132,122,77,14,327,24,13,14,8,2,15,27,55.6,12,12,5,7,3,27,31,1,0.7,0.7,-1.2,-1.2,0.5,0.3,-0.7,-0.7,-0.5,0.1,0,1.4,0.36,0.4
Osasuna,Barcelona,2024-09-28,W,H,4,2,2,1,0,3,27,1,17,1,82.4,56.2,15,7,68.2,12,5,41.7,6,50.0,157,895,438,15,9,12,0,0.0,2,0,0,13,3,7,4,0,1,0,1,1,6,100.0,68.3,10,0.3,0.75,4,40.0,19.2,0,10,1,0,0,48,6,18.6,161,270,59.6,6,19,2,2,23,3374,1594,70,91,76.9,55,78,70.5,31,73,42.5,0,0,0,,0,0,,0,0,0,220,40,2,1,5,17,24,5,2,2,0,10,10,160,9,9,16,9,14,10,1,1,0,1,1,6,4,66.7,376,60,140,123,118,23,375,18,13,9,5,4,10,22,45.5,12,10,2,8,9,27,30,1,2.2,1.4,1.4,0.6,1.3,0.7,1.8,1.6,0.7,0.14,0,1.4,0.23,-0.6
Alavés,Barcelona,2024-10-06,L,H,0,3,-3,0,0,0,29,0,20,4,85.0,54.9,10,7,58.8,15,5,33.3,8,53.3,205,1147,558,15,7,6,0,0.0,2,0,0,13,8,0,0,0,0,0,0,0,4,25.0,33.3,11,0.0,0.0,2,18.2,18.5,0,11,0,0,0,39,2,21.4,192,287,66.9,9,14,4,0,21,3894,1925,86,103,83.5,57,86,66.3,38,58,65.5,0,0,0,,0,0,,0,0,0,227,49,10,2,5,20,20,11,4,4,0,11,8,191,7,4,17,11,18,14,2,1,1,0,0,9,6,66.7,381,50,123,166,94,23,381,12,10,7,4,1,7,18,38.9,11,8,5,3,6,18,16,0,0.7,0.7,-1.9,-1.9,0.6,0.5,-0.7,-0.7,-0.6,0.07,0,3.9,0.46,0.9
Sevilla,Barcelona,2024-10-20,L,A,1,5,-4,0,0,1,33,0,19,2,73.7,50.2,6,6,50.0,21,10,47.6,9,42.9,275,1461,725,13,10,13,1,7.7,2,0,0,14,5,2,1,1,0,0,0,0,11,18.2,20.1,7,0.14,1.0,1,14.3,15.2,0,3,0,1,0,41,2,11.3,249,321,77.6,6,8,2,0,11,3860,1427,141,151,93.4,80,96,83.3,17,43,39.5,1,1,0,0.0,1,0,0.0,1,1,0,275,43,9,3,1,7,12,5,2,2,0,3,8,248,10,6,18,8,14,8,2,2,1,1,0,9,4,55.6,441,76,242,138,65,12,441,22,12,13,8,1,10,24,41.7,14,15,4,11,12,34,21,0,1.0,1.0,-2.9,-2.1,0.9,0.2,0.0,0.0,0.1,0.14,0,4.5,0.41,-0.5
