Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Girona,Betis,2024-08-15,D,A,1,1,0,0,0,1,61,0,32,4,25.0,29.7,1,8,11.1,16,8,50.0,7,43.8,511,2590,1229,19,19,8,1,12.5,0,0,0,7,10,2,1,0,1,0,0,0,11,18.2,26.7,13,0.08,0.5,2,15.4,17.5,0,3,0,0,0,40,2,15.8,542,633,85.6,12,44,5,2,55,8519,2818,298,316,94.3,199,220,90.5,35,67,52.2,0,0,0,,0,0,,0,1,0,575,55,12,1,4,23,26,4,3,1,0,3,9,539,19,5,14,11,23,20,0,2,0,0,1,4,3,75.0,747,68,220,353,178,19,747,21,10,11,7,3,8,15,53.3,7,20,5,15,8,29,13,1,1.6,1.6,0.2,0.2,1.6,1.4,-0.6,-0.6,-0.6,0.12,0,1.3,0.34,0.3
Alavés,Betis,2024-08-25,D,H,0,0,0,0,0,0,38,0,18,1,66.7,44.7,9,14,39.1,17,6,35.3,10,58.8,194,1188,673,16,14,12,0,0.0,1,1,0,17,15,0,0,0,0,0,0,0,12,50.0,48.4,5,0.0,0.0,1,20.0,18.6,0,1,0,0,0,50,2,24.0,230,351,65.5,4,26,4,2,37,4663,2227,91,116,78.4,90,123,73.2,35,74,47.3,0,0,0,,0,0,,0,0,0,294,56,17,5,2,25,23,3,1,0,0,1,11,229,14,2,12,5,10,7,1,1,0,1,0,3,3,100.0,458,43,134,215,119,15,458,19,9,8,9,2,9,17,52.9,8,13,2,11,14,33,18,0,0.2,0.2,-1.3,-1.3,0.1,0.3,-0.2,-0.2,-0.1,0.04,0,0.4,0.13,0.4
Real Madrid,Betis,2024-09-01,W,H,2,0,2,1,0,1,60,1,37,10,2.7,25.2,9,6,60.0,31,16,51.6,13,41.9,438,2583,1572,35,15,5,0,0.0,2,0,0,9,17,4,3,0,0,0,1,0,5,20.0,40.0,21,0.05,0.17,6,28.6,16.3,0,1,1,0,0,35,1,12.4,585,662,88.4,17,58,14,0,58,10595,3491,255,270,94.4,271,299,90.6,55,72,76.4,0,0,0,,0,0,,0,0,0,608,53,18,3,4,21,22,7,2,3,1,1,13,580,15,10,14,8,38,27,4,1,4,2,0,2,2,100.0,777,65,211,310,266,43,776,18,13,7,9,2,8,16,50.0,8,12,6,6,10,28,9,0,2.4,1.7,1.9,1.1,1.5,2.0,-0.4,-0.7,-0.5,0.08,0,0.0,0.01,0.0
Leganés,Betis,2024-09-13,L,A,0,2,-2,0,0,0,36,0,25,5,68.0,49.4,15,14,51.7,15,8,53.3,6,40.0,209,771,389,3,8,23,2,8.7,2,0,0,18,11,0,0,0,0,0,0,0,12,75.0,55.9,3,0.0,,0,0.0,27.0,0,1,0,0,0,37,0,6.0,274,372,73.7,1,17,2,0,23,4798,2017,128,147,87.1,110,134,82.1,28,67,41.8,0,0,0,,0,0,,0,0,0,335,36,13,0,1,7,7,1,1,0,0,1,8,271,8,0,15,5,5,4,0,0,1,0,0,5,3,60.0,477,75,205,211,66,5,477,17,13,8,8,1,9,16,56.3,7,10,2,8,12,29,23,0,0.1,0.1,-2.0,-2.0,0.1,0.1,-0.1,-0.1,-0.1,0.03,0,2.3,0.47,0.3
Getafe,Betis,2024-09-18,L,A,1,2,-1,0,0,1,35,0,11,1,81.8,54.6,18,15,54.5,22,8,36.4,14,63.6,187,1053,537,13,8,17,0,0.0,5,0,0,20,9,2,0,1,0,1,0,0,8,100.0,68.0,15,0.07,0.2,5,33.3,21.7,0,2,0,1,0,41,2,12.8,197,295,66.8,11,17,8,3,24,3454,1680,103,128,80.5,67,95,70.5,22,55,40.0,1,1,0,0.0,1,0,0.0,0,0,0,248,45,10,0,1,21,20,4,1,3,0,2,8,193,8,5,17,8,26,17,4,3,2,0,0,7,5,85.7,441,56,138,175,132,23,441,12,9,7,4,1,5,24,20.8,19,16,3,13,7,19,27,1,0.6,0.6,-2.0,-1.3,0.5,0.8,0.4,0.4,0.5,0.04,0,2.1,0.2,0.1
Mallorca,Betis,2024-09-23,W,A,2,1,1,0,0,2,39,0,17,3,47.1,43.2,12,14,46.2,15,6,40.0,8,53.3,202,1046,532,11,7,18,1,5.6,3,0,0,14,12,4,3,1,0,0,0,0,6,33.3,30.7,7,0.29,0.33,6,85.7,14.1,0,3,0,0,0,33,0,2.0,321,405,79.3,6,18,6,4,20,5487,2092,151,180,83.9,133,149,89.3,31,55,56.4,0,0,0,,0,0,,0,0,0,358,44,12,0,2,11,21,3,0,3,0,3,6,316,7,4,17,14,13,10,2,0,1,0,0,6,5,83.3,536,66,182,263,95,16,536,15,9,9,4,2,4,10,40.0,6,11,5,6,4,19,33,1,1.0,1.0,0.0,0.0,0.9,0.5,1.0,1.0,1.1,0.15,0,1.0,0.17,0.0
Las Palmas,Betis,2024-09-26,D,H,1,1,0,0,0,1,55,0,50,4,24.0,28.8,7,13,35.0,13,5,38.5,5,38.5,413,1789,904,17,18,17,0,0.0,4,0,0,21,10,2,2,0,0,0,0,0,11,18.2,22.6,8,0.13,0.5,2,25.0,19.9,0,2,0,0,0,53,0,4.0,491,586,83.8,7,26,4,1,33,7675,2758,257,283,90.8,196,213,92.0,22,49,44.9,0,0,0,,0,0,,0,0,0,543,41,14,1,0,12,14,1,0,1,0,2,16,489,18,3,19,7,16,15,0,1,0,0,0,5,4,80.0,696,100,309,272,116,9,696,23,16,15,8,0,12,22,54.5,10,9,1,8,6,29,28,0,1.0,1.0,-0.9,-0.9,1.0,0.8,0.0,0.0,0.0,0.13,0,1.1,0.21,0.1
Espanyol,Betis,2024-09-29,L,A,0,1,-1,0,0,0,47,0,29,4,31.0,33.6,8,13,38.1,17,5,29.4,10,58.8,389,2058,816,11,6,13,2,15.4,4,0,0,20,12,0,0,0,0,0,0,0,6,50.0,37.0,8,0.0,0.0,1,12.5,19.8,1,1,0,1,0,29,2,10.2,363,444,81.8,7,20,6,3,25,6379,2307,156,174,89.7,163,184,88.6,37,69,53.6,1,0,1,100.0,0,1,100.0,0,0,0,402,41,12,1,3,14,17,4,0,4,0,1,5,360,6,4,13,4,14,10,3,0,0,1,0,11,9,90.9,562,85,249,241,78,15,562,22,11,14,6,2,11,15,73.3,4,9,5,4,9,31,26,0,0.5,0.5,-1.7,-0.9,0.4,0.3,-0.5,-0.5,-0.4,0.06,1,2.1,0.14,1.1
Sevilla,Betis,2024-10-06,W,H,1,0,1,1,0,0,51,1,30,1,56.7,41.9,17,13,56.7,20,14,70.0,5,25.0,328,1602,826,25,12,8,2,25.0,6,1,1,15,12,1,0,0,0,1,0,0,8,87.5,61.9,13,0.0,0.0,4,30.8,24.9,1,2,0,0,0,35,3,15.0,328,434,75.6,9,22,5,1,22,5613,2021,160,178,89.9,114,136,83.8,37,85,43.5,0,0,0,,0,0,,0,0,0,389,43,13,2,0,14,17,4,3,0,0,2,7,323,12,8,13,8,21,13,3,2,1,2,0,3,3,100.0,539,55,184,242,119,20,538,21,9,12,4,5,7,13,53.8,6,6,1,5,8,29,21,1,1.4,0.7,0.8,0.0,0.5,0.4,-0.4,-0.7,-0.5,0.05,1,0.6,0.19,0.6
Osasuna,Betis,2024-10-19,L,H,1,2,-1,0,0,1,55,0,26,6,38.5,34.6,12,13,48.0,18,9,50.0,5,27.8,282,1621,835,21,10,9,1,11.1,2,0,0,12,8,2,0,1,0,0,1,0,6,33.3,36.0,19,0.05,0.17,6,31.6,13.2,0,4,0,0,0,37,6,22.4,318,445,71.5,14,37,16,4,49,5867,2587,133,163,81.6,143,182,78.6,34,73,46.6,0,0,0,,0,0,,0,0,0,381,60,12,0,5,32,29,10,4,1,1,4,12,316,10,7,13,6,34,21,4,4,2,2,1,6,4,66.7,550,48,168,210,177,45,550,11,8,7,3,1,3,10,30.0,7,12,2,10,10,21,11,0,2.0,2.0,0.0,0.0,1.3,1.9,-1.0,-1.0,-1.3,0.11,0,2.7,0.46,0.7
