Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Alavés,Celta Vigo,2024-08-16,L,A,1,2,-1,0,0,1,37,0,23,1,95.7,58.9,6,12,33.3,15,4,26.7,10,66.7,218,1008,475,15,7,9,0,0.0,2,0,0,23,6,2,2,0,0,0,0,0,9,66.7,45.7,10,0.1,0.5,2,20.0,14.5,0,3,0,0,0,37,1,20.5,241,344,70.1,7,24,5,3,30,4733,2036,102,129,79.1,104,128,81.3,33,79,41.8,0,0,0,,0,0,,0,0,0,294,47,10,3,1,19,22,3,0,2,0,3,6,236,7,6,14,8,18,16,0,1,0,0,1,4,2,50.0,451,44,142,197,118,22,451,17,11,10,6,1,9,15,60.0,6,8,0,8,8,25,12,0,1.6,1.6,0.8,0.8,0.9,0.9,-0.6,-0.6,0.1,0.16,0,1.7,0.43,-0.3
Valencia,Celta Vigo,2024-08-23,L,A,1,3,-2,0,0,1,51,0,25,6,28.0,32.3,9,10,47.4,12,4,33.3,7,58.3,424,1961,953,15,18,8,0,0.0,0,0,0,11,9,1,0,0,0,1,0,0,5,20.0,23.0,13,0.08,0.25,4,30.8,16.6,0,1,0,1,0,38,3,22.4,451,552,81.7,11,35,7,3,45,7364,2419,244,270,90.4,170,191,89.0,31,63,49.2,1,0,1,100.0,0,1,100.0,0,1,0,501,50,11,1,2,29,23,7,1,5,0,1,9,448,18,3,16,9,22,14,3,2,2,1,0,5,1,40.0,647,49,157,324,169,19,647,17,14,9,6,2,5,11,45.5,6,10,0,10,5,22,10,0,0.9,0.9,-0.4,0.3,0.8,1.1,0.1,0.1,0.2,0.07,0,1.9,0.22,-1.1
Villarreal,Celta Vigo,2024-08-26,W,H,4,3,1,0,1,3,45,1,13,1,15.4,27.5,11,5,68.8,9,4,44.4,4,44.4,290,1742,829,18,13,11,0,0.0,4,0,0,8,7,4,2,0,0,2,0,0,4,25.0,26.5,23,0.13,0.38,8,34.8,15.3,1,2,1,0,0,40,0,12.6,420,482,87.1,17,45,10,3,54,8101,2598,142,156,91.0,230,255,90.2,43,58,74.1,0,0,0,,0,0,,1,1,0,451,29,6,1,5,21,8,7,4,3,0,2,5,417,13,2,15,6,42,30,5,0,5,2,0,7,4,57.1,593,57,136,284,174,27,592,14,7,4,7,3,5,15,33.3,10,18,8,10,6,20,21,1,3.6,2.7,0.9,0.0,2.4,1.7,-0.6,0.3,-0.4,0.12,1,2.8,0.4,-0.2
Osasuna,Celta Vigo,2024-09-01,W,H,3,2,1,0,0,2,50,0,25,3,48.0,40.6,13,6,68.4,16,9,56.3,7,43.8,307,1571,723,16,14,6,0,0.0,2,0,0,19,9,3,2,0,0,1,0,0,7,85.7,61.9,10,0.2,0.67,3,30.0,14.6,0,3,0,0,1,40,6,26.1,396,489,81.0,8,33,4,1,41,7965,2819,144,167,86.2,193,221,87.3,54,88,61.4,0,0,0,,0,0,,0,0,1,444,42,13,1,7,21,13,6,4,0,0,3,5,392,14,3,9,2,15,8,3,0,4,0,0,4,3,50.0,591,47,167,306,122,22,591,18,8,7,9,2,9,13,69.2,4,18,4,14,11,29,17,1,0.9,0.9,-0.7,-0.7,0.9,1.0,1.1,1.1,1.1,0.1,0,1.5,0.37,0.5
Valladolid,Celta Vigo,2024-09-15,L,A,1,3,-2,0,0,1,46,0,53,6,32.1,32.9,5,12,29.4,16,8,50.0,6,37.5,264,1404,706,9,6,7,0,0.0,5,1,0,15,14,1,1,0,0,0,0,0,3,0.0,19.7,6,0.17,0.5,2,33.3,14.9,0,1,0,0,0,45,5,23.0,368,446,82.5,4,16,4,1,24,6825,2364,133,151,88.1,191,209,91.4,34,66,51.5,0,0,0,,0,0,,0,0,0,401,44,17,1,1,16,17,3,1,1,0,1,7,355,6,4,14,6,11,8,1,1,1,0,0,9,6,66.7,542,82,235,232,79,11,542,19,15,8,9,2,9,17,52.9,8,15,4,11,14,33,16,0,0.5,0.5,-1.3,-1.3,0.4,0.9,0.5,0.5,0.6,0.09,0,2.7,0.31,-0.3
Athletic Club,Celta Vigo,2024-09-22,W,H,3,1,2,0,0,3,33,0,16,2,81.3,49.9,5,9,35.7,17,9,52.9,8,47.1,197,1253,658,14,12,14,0,0.0,3,0,0,16,11,5,3,0,1,1,0,0,4,75.0,60.0,10,0.3,0.6,5,50.0,15.8,0,1,0,1,0,43,2,17.8,271,339,79.9,5,23,8,2,36,4824,1575,117,129,90.7,124,144,86.1,26,53,49.1,1,1,0,0.0,1,0,0.0,0,0,0,298,40,13,2,1,12,18,3,0,1,0,1,5,269,12,3,15,10,17,13,1,1,2,0,0,4,3,100.0,451,56,140,206,111,18,451,11,9,6,4,1,6,13,46.2,7,6,3,3,14,25,37,0,0.7,0.7,-0.6,0.2,0.5,0.8,2.3,2.3,1.5,0.07,0,1.9,0.27,0.9
Atlético Madrid,Celta Vigo,2024-09-26,W,A,1,0,1,0,0,1,42,0,17,6,35.3,33.1,9,6,60.0,8,1,12.5,6,75.0,351,1786,953,20,18,8,1,12.5,2,0,0,11,11,2,2,0,0,0,0,0,9,44.4,40.6,8,0.13,0.5,2,25.0,17.4,0,0,0,0,0,45,0,13.5,394,501,78.6,7,35,5,3,24,6535,2456,186,220,84.5,158,180,87.8,35,70,50.0,0,0,0,,0,0,,0,0,0,464,37,11,2,2,13,13,3,1,1,0,0,10,385,18,4,9,4,15,13,1,0,1,0,0,4,4,100.0,580,48,168,299,117,12,580,17,9,8,7,2,9,16,56.3,7,8,0,8,12,29,9,0,0.6,0.6,-0.9,-0.9,0.6,0.9,0.4,0.4,0.4,0.08,0,1.1,0.27,1.1
Girona,Celta Vigo,2024-09-29,D,A,1,1,0,0,0,1,52,0,40,5,10.0,24.0,11,7,61.1,14,8,57.1,6,42.9,482,2283,1035,16,13,20,0,0.0,0,0,0,14,9,2,2,0,0,0,0,0,8,37.5,34.8,9,0.11,0.25,4,44.4,12.9,0,1,0,0,0,46,2,27.5,571,642,88.9,8,34,10,1,45,9194,2807,266,280,95.0,259,275,94.2,31,58,53.4,0,0,0,,0,0,,0,0,0,604,37,9,1,0,21,14,4,1,3,0,1,10,567,13,6,15,8,16,13,2,0,1,0,0,2,1,50.0,739,112,287,324,132,22,739,11,8,6,5,0,6,11,54.5,5,9,5,4,10,21,32,0,0.8,0.8,0.3,0.3,0.8,1.5,0.2,0.2,0.2,0.09,0,0.6,0.28,-0.4
Las Palmas,Celta Vigo,2024-10-05,L,H,0,1,-1,0,0,0,60,0,31,4,22.6,29.2,22,9,71.0,21,15,71.4,6,28.6,386,2282,1236,29,20,7,0,0.0,3,0,0,9,12,0,0,0,0,0,0,0,7,28.6,25.1,25,0.0,0.0,5,20.0,20.1,2,1,0,0,0,47,6,30.3,482,583,82.7,18,46,13,8,50,8733,2842,207,224,92.4,208,242,86.0,54,79,68.4,0,0,0,,0,0,,0,0,0,527,55,13,1,2,42,22,11,5,2,0,1,18,474,20,11,11,6,49,38,4,3,2,2,0,1,0,0.0,677,52,156,308,222,44,677,12,8,7,4,1,6,17,35.3,11,9,2,7,8,20,11,0,1.3,1.3,0.6,0.6,1.0,1.4,-1.3,-1.3,-1.0,0.05,2,0.8,0.85,-0.2
Real Madrid,Celta Vigo,2024-10-19,W,A,2,1,1,0,0,2,53,0,32,6,18.8,31.6,8,7,53.3,24,11,45.8,12,50.0,397,2182,1202,19,16,14,1,7.1,1,0,0,13,16,2,2,0,0,0,0,0,7,57.1,45.1,10,0.2,0.67,3,30.0,18.6,0,1,0,0,0,46,0,8.5,560,640,87.5,7,44,7,0,38,9456,2508,260,288,90.3,250,268,93.3,43,72,59.7,0,0,0,,0,0,,0,0,0,598,41,18,1,3,11,12,2,0,1,0,1,5,557,16,5,12,3,14,12,1,1,0,0,0,5,4,80.0,739,73,217,375,154,17,739,15,8,13,1,1,5,11,45.5,6,16,4,12,8,23,14,0,0.7,0.7,-1.1,-1.1,0.4,0.5,1.3,1.3,1.6,0.07,0,1.7,0.35,0.7
