Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Valladolid,Espanyol,2024-08-19,W,H,1,0,1,0,0,1,46,0,31,7,38.7,36.5,9,18,33.3,19,13,68.4,5,26.3,292,1501,758,16,13,13,1,7.7,2,0,0,15,7,1,1,0,0,0,0,0,7,85.7,65.0,12,0.08,1.0,1,8.3,20.8,0,6,0,0,0,37,3,23.3,349,444,78.6,11,26,8,3,43,6237,2393,167,186,89.8,140,165,84.8,36,74,48.6,0,0,0,,0,0,,0,0,0,396,42,9,2,5,22,22,3,2,1,0,6,7,345,13,4,14,7,21,15,2,1,1,1,1,2,2,100.0,539,50,184,238,123,22,539,9,6,2,7,0,2,4,50.0,2,15,3,12,8,17,21,0,0.8,0.8,0.1,0.1,0.8,1.0,0.2,0.2,0.2,0.07,0,0.8,0.41,0.8
Real Sociedad,Espanyol,2024-08-24,W,A,1,0,1,0,0,1,66,0,27,2,11.1,24.3,5,6,45.5,15,6,40.0,8,53.3,349,2056,1105,24,10,14,0,0.0,2,0,0,18,14,2,1,0,1,0,0,0,11,54.5,44.7,8,0.13,0.33,3,37.5,19.8,1,2,0,0,0,37,1,19.0,479,564,84.9,6,35,7,4,44,8388,2698,221,242,91.3,217,244,88.9,37,60,61.7,0,0,0,,0,0,,0,0,0,513,49,14,0,4,19,19,4,2,2,0,2,8,466,10,7,14,10,15,10,1,2,1,1,0,3,3,100.0,664,70,183,341,145,30,664,11,7,3,6,2,6,11,54.5,5,12,4,8,8,19,19,1,0.7,0.7,-0.9,-0.9,0.6,0.7,0.3,0.3,0.4,0.09,1,0.5,0.15,0.5
Atlético Madrid,Espanyol,2024-08-28,D,H,0,0,0,0,0,0,63,0,13,3,15.4,26.4,17,15,53.1,11,6,54.5,4,36.4,458,2462,1276,24,27,14,0,0.0,0,0,0,6,9,0,0,0,0,0,0,0,11,18.2,27.4,25,0.0,0.0,7,28.0,16.2,0,6,0,0,0,39,2,20.7,558,660,84.5,18,38,21,5,66,9189,2903,272,290,93.8,217,248,87.5,46,77,59.7,0,0,0,,0,0,,0,0,0,596,58,9,2,5,28,28,9,2,5,0,6,8,553,27,3,8,10,45,38,4,0,3,0,0,1,1,100.0,747,61,187,338,231,36,747,10,8,4,5,1,5,11,45.5,6,6,0,6,5,15,15,0,2.3,2.3,1.7,1.7,1.8,2.1,-2.3,-2.3,-1.8,0.1,0,0.0,0.03,0.0
Rayo Vallecano,Espanyol,2024-08-31,L,A,1,2,-1,0,0,1,53,0,19,4,26.3,28.9,14,16,46.7,16,7,43.8,7,43.8,283,1434,759,14,8,11,0,0.0,2,0,0,16,12,2,2,0,0,0,0,0,8,12.5,24.3,17,0.06,0.2,5,29.4,23.0,2,2,0,0,0,42,1,13.0,347,445,78.0,8,37,8,4,41,6386,2645,136,164,82.9,173,190,91.1,34,69,49.3,0,0,0,,0,0,,0,0,0,390,53,12,3,0,26,23,7,3,3,0,2,11,345,8,7,11,11,25,16,4,2,0,3,0,3,1,33.3,558,44,158,265,138,24,558,15,12,6,8,1,8,12,66.7,4,10,3,7,9,24,13,0,1.3,1.3,-0.3,-0.3,0.8,0.7,-0.3,-0.3,0.2,0.08,2,1.6,0.61,-0.4
Alavés,Espanyol,2024-09-14,L,A,2,3,-1,0,0,2,61,0,23,5,43.5,37.8,15,19,44.1,15,5,33.3,7,46.7,361,2060,1035,15,13,8,1,12.5,3,0,0,14,15,4,1,1,1,1,0,0,6,50.0,35.2,19,0.11,0.33,6,31.6,14.1,2,0,0,1,0,45,0,11.3,368,488,75.4,13,48,15,8,54,6884,2944,172,204,84.3,133,169,78.7,52,86,60.5,1,1,0,0.0,1,0,0.0,0,0,0,434,54,18,1,6,37,21,5,1,3,1,0,14,362,13,2,17,10,36,22,5,1,3,4,1,4,1,50.0,574,44,131,256,190,35,574,16,11,8,8,0,7,11,63.6,4,3,1,2,11,27,7,0,1.9,1.9,0.3,1.1,0.9,1.7,0.1,0.1,0.1,0.1,2,2.4,0.48,-0.6
Real Madrid,Espanyol,2024-09-21,W,H,4,1,3,1,0,3,73,1,23,3,8.7,26.9,9,6,60.0,21,12,57.1,8,38.1,505,2977,1809,47,21,5,1,20.0,4,0,0,7,5,6,3,0,1,1,1,0,7,0.0,20.7,30,0.1,0.23,13,43.3,17.4,0,2,1,0,1,48,0,7.0,663,742,89.4,27,56,21,2,88,11584,3685,304,330,92.1,282,302,93.4,66,81,81.5,0,0,0,,0,0,,0,0,1,701,39,5,4,7,18,16,9,6,2,0,2,15,659,21,13,17,9,58,45,5,2,5,1,0,1,1,0.0,861,44,159,444,260,56,860,10,7,4,4,2,8,14,57.1,6,15,5,10,12,22,6,1,4.4,3.6,4.0,3.2,2.6,2.3,-0.4,-0.6,-0.6,0.12,0,0.2,0.19,0.2
Villarreal,Espanyol,2024-09-26,W,A,2,1,1,0,0,2,44,0,22,6,22.7,29.2,17,8,68.0,17,10,58.8,5,29.4,325,2063,1199,25,22,15,5,33.3,3,0,0,14,10,4,2,1,0,0,1,0,5,40.0,37.6,15,0.13,0.5,4,26.7,17.8,0,1,0,0,0,36,1,10.6,360,432,83.3,15,27,4,1,31,6699,2667,155,176,88.1,167,197,84.8,35,52,67.3,0,0,0,,0,0,,0,0,0,396,35,12,2,8,10,15,1,1,0,0,1,3,356,22,6,19,7,27,19,2,2,1,2,1,2,1,50.0,546,54,196,241,119,20,546,19,13,12,4,3,11,19,57.9,8,11,5,6,11,30,19,0,1.6,1.6,1.2,1.2,1.6,1.0,0.4,0.4,0.4,0.11,0,0.4,0.22,-0.6
Betis,Espanyol,2024-09-29,W,H,1,0,1,0,1,1,53,1,31,2,19.4,29.0,13,8,61.9,16,4,25.0,11,68.8,354,1616,793,12,10,12,1,8.3,2,0,0,14,19,2,2,0,0,0,0,0,3,0.0,18.3,19,0.05,0.1,10,52.6,16.4,0,0,1,0,0,46,5,21.9,411,497,82.7,15,31,13,0,45,6963,2460,186,205,90.7,190,216,88.0,30,57,52.6,0,0,0,,0,0,,0,0,0,451,46,20,2,1,21,14,8,2,4,0,0,7,403,10,3,16,11,36,25,3,1,5,2,0,1,1,100.0,614,40,166,262,193,40,613,14,12,6,6,2,10,15,66.7,5,9,4,5,10,24,16,0,2.1,1.3,1.7,0.9,1.2,1.5,-1.1,-0.3,-1.2,0.07,0,0.5,0.47,0.5
Mallorca,Espanyol,2024-10-05,L,A,1,2,-1,0,0,1,60,0,24,5,16.7,25.5,18,24,42.9,19,12,63.2,7,36.8,362,1944,852,14,14,10,0,0.0,5,0,0,19,10,1,0,0,0,1,0,0,8,37.5,32.9,11,0.09,0.2,5,45.5,13.6,1,0,0,0,0,39,0,8.3,390,486,80.2,8,28,10,6,31,6997,2540,187,208,89.9,149,175,85.1,47,78,60.3,0,0,0,,0,0,,0,0,0,424,62,13,0,5,33,32,6,3,2,0,0,13,384,14,1,24,22,17,8,3,2,2,1,1,3,1,33.3,591,50,181,249,166,23,591,12,9,7,2,3,5,12,41.7,7,8,0,8,10,22,20,1,1.6,1.6,0.7,0.7,1.4,0.8,-0.6,-0.6,-0.4,0.16,1,1.1,0.38,-0.9
Athletic Club,Espanyol,2024-10-19,W,H,4,1,3,0,0,4,56,0,30,8,23.3,28.1,8,7,53.3,17,9,52.9,7,41.2,299,1750,952,19,11,14,3,21.4,2,0,0,15,20,7,6,0,1,0,0,0,4,75.0,51.3,10,0.4,0.67,6,60.0,16.8,0,0,0,0,0,42,2,13.5,431,530,81.3,8,34,6,1,45,7835,2584,172,188,91.5,226,265,85.3,32,64,50.0,0,0,0,,0,0,,1,0,0,475,55,23,0,1,21,21,5,1,4,0,0,11,428,11,4,15,10,19,15,1,3,0,0,0,2,1,50.0,632,47,185,316,139,19,632,10,6,4,6,0,7,12,58.3,5,8,1,7,6,16,22,0,1.3,1.3,1.1,1.1,1.3,0.6,2.7,2.7,2.7,0.13,0,0.6,0.28,-0.4
